date,NAV
1/2/1990,1000000
1/3/1990,1000000
1/4/1990,995389.884
1/5/1990,989440.4496
1/8/1990,992108.7032
1/9/1990,985111.6294
1/10/1990,981325.0547
1/11/1990,983479.5627
1/12/1990,968228.7443
1/15/1990,963264.3539
1/16/1990,968498.0842
1/17/1990,962953.1995
1/18/1990,962457.4972
1/19/1990,964961.4414
1/22/1990,950314.8732
1/23/1990,952760.6963
1/24/1990,938460.8799
1/25/1990,941232.9183
1/26/1990,939741.0992
1/29/1990,939157.1798
1/30/1990,935302.4462
1/31/1990,946949.7951
2/1/1990,947026.1282
2/2/1990,949861.2214
2/5/1990,951801.4011
2/6/1990,947680.571
2/7/1990,954918.2744
2/8/1990,954362.8585
2/9/1990,957928.1208
2/12/1990,951198.7279
2/13/1990,953860.8785
2/14/1990,955440.4613
2/15/1990,959586.7676
2/16/1990,956163.5446
2/20/1990,945477.6612
2/21/1990,945091.3378
2/22/1990,943075.2633
2/23/1990,940780.3143
2/26/1990,950039.1276
2/27/1990,953748.8453
2/28/1990,955308.1862
3/1/1990,955821.65
3/2/1990,961406.0473
3/5/1990,957362.5002
3/6/1990,965380.6648
3/7/1990,964047.6163
3/8/1990,969979.1627
3/9/1990,965037.6838
3/12/1990,966463.6826
3/13/1990,960820.1377
3/14/1990,963556.6846
3/15/1990,965708.4298
3/16/1990,973400.6475
3/19/1990,976441.7896
3/20/1990,973955.069
3/21/1990,971053.0448
3/22/1990,964246.5695
3/23/1990,967065.8579
3/26/1990,968618.8426
3/27/1990,975248.3114
3/28/1990,976125.1045
3/29/1990,973289.344
3/30/1990,971052.2564
4/2/1990,969299.539
4/3/1990,978161.7548
4/4/1990,975432.5467
4/5/1990,974815.5918
4/6/1990,974133.9585
4/9/1990,976130.9959
4/10/1990,977313.2811
4/11/1990,976903.1237
4/12/1990,981082.5523
4/13/1990,981082.5523
4/16/1990,981595.1092
4/17/1990,980141.3073
4/18/1990,972032.7295
4/19/1990,967466.7089
4/20/1990,961801.2267
4/23/1990,954669.5623
4/24/1990,953229.9603
4/25/1990,956114.141
4/26/1990,956971.6247
4/27/1990,950395.2836
4/30/1990,954113.1002
5/1/1990,956480.964
5/2/1990,960216.8532
5/3/1990,963176.5509
5/4/1990,971370.0671
5/7/1990,975152.9158
5/8/1990,978641.6617
5/9/1990,979154.8541
5/10/1990,982005.518
5/11/1990,998765.6434
5/14/1990,1004753.427
5/15/1990,1003463.173
5/16/1990,1002907.844
5/17/1990,1003665.8
5/18/1990,1003100.689
5/21/1990,1009362.66
5/22/1990,1011782.87
5/23/1990,1013962.747
5/24/1990,1012550.514
5/25/1990,1005535.543
5/29/1990,1016657.579
5/30/1990,1017709.752
5/31/1990,1018709.127
6/1/1990,1024817.349
6/4/1990,1032488.447
6/5/1990,1030880.505
6/6/1990,1028181.612
6/7/1990,1025473.35
6/8/1990,1017972.155
6/11/1990,1023203.922
6/12/1990,1031144.608
6/13/1990,1030261.577
6/14/1990,1027433.945
6/15/1990,1026273.21
6/18/1990,1015621.989
6/19/1990,1018265.499
6/20/1990,1018826.759
6/21/1990,1021565.643
6/22/1990,1013289.52
6/25/1990,1007635.394
6/26/1990,1007620.069
6/27/1990,1013635.671
6/28/1990,1018845.851
6/29/1990,1020452.76
7/2/1990,1023344.027
7/3/1990,1025080.542
7/5/1990,1017465.791
7/6/1990,1020648.484
7/9/1990,1022171.038
7/10/1990,1016899.079
7/11/1990,1025173.188
7/12/1990,1033872.186
7/13/1990,1037906.157
7/16/1990,1041218.357
7/17/1990,1038969.681
7/18/1990,1032629.478
7/19/1990,1034528.793
7/20/1990,1028855.011
7/23/1990,1018588.431
7/24/1990,1018683.496
7/25/1990,1021617.511
7/26/1990,1019910.885
7/27/1990,1016870.834
7/30/1990,1022437.031
7/31/1990,1023652.95
8/1/1990,1023794.09
8/2/1990,1015508.162
8/3/1990,1003880.88
8/6/1990,982808.4334
8/7/1990,982814.4706
8/8/1990,988945.9955
8/9/1990,993221.4021
8/10/1990,985514.7558
8/13/1990,991550.2723
8/14/1990,993216.6956
8/15/1990,994683.5556
8/16/1990,979383.3722
8/17/1990,970903.5417
8/20/1990,972558.5634
8/21/1990,960466.9769
8/22/1990,950058.9969
8/23/1990,932078.3148
8/24/1990,939471.4254
8/27/1990,959881.2145
8/28/1990,959419.2793
8/29/1990,966023.9693
8/30/1990,956239.1973
8/31/1990,963412.9235
9/4/1990,964436.1899
9/5/1990,967623.9797
9/6/1990,960896.0518
9/7/1990,966673.4249
9/10/1990,963382.2315
9/11/1990,962710.4789
9/12/1990,965717.4358
9/13/1990,958954.7334
9/14/1990,955114.952
9/17/1990,957124.3084
9/18/1990,958663.282
9/19/1990,955348.3463
9/20/1990,945890.4583
9/21/1990,944824.0336
9/24/1990,932301.2502
9/25/1990,939360.4546
9/26/1990,933738.0331
9/27/1990,927868.3431
9/28/1990,938502.1976
10/1/1990,956782.9871
10/2/1990,957598.3267
10/3/1990,951075.2756
10/4/1990,954000.7567
10/5/1990,952402.2975
10/8/1990,956016.7254
10/9/1990,938485.6924
10/10/1990,929246.6082
10/11/1990,919753.1908
10/12/1990,929499.9082
10/15/1990,936260.2362
10/16/1990,928509.8161
10/17/1990,928771.1927
10/18/1990,942506.2274
10/19/1990,956343.108
10/22/1990,960860.7585
10/23/1990,956316.512
10/24/1990,956764.2436
10/25/1990,953159.5921
10/26/1990,943160.4394
10/29/1990,937473.4382
10/30/1990,941695.3516
10/31/1990,942392.4431
11/1/1990,949454.8699
11/2/1990,958587.2922
11/5/1990,965615.1692
11/6/1990,960197.1984
11/7/1990,949135.4284
11/8/1990,952295.5632
11/9/1990,965308.3076
11/12/1990,975984.4194
11/13/1990,974483.5752
11/14/1990,979882.3057
11/15/1990,973495.5103
11/16/1990,974900.8774
11/19/1990,978453.0918
11/20/1990,971677.9373
11/21/1990,973791.2731
11/23/1990,972178.4644
11/26/1990,975483.9869
11/27/1990,978444.9148
11/28/1990,977804.5248
11/29/1990,974790.587
11/30/1990,986491.7611
12/3/1990,991258.6336
12/4/1990,995797.8064
12/5/1990,1003028.005
12/6/1990,1001192.815
12/7/1990,1001484.903
12/10/1990,1004690.057
12/11/1990,1001029.524
12/12/1990,1008475.719
12/13/1990,1005845.567
12/14/1990,1000369.103
12/17/1990,999513.4803
12/18/1990,1007498.213
12/19/1990,1007905.73
12/20/1990,1007235.504
12/21/1990,1009319.286
12/24/1990,1005299.661
12/26/1990,1008171.597
12/27/1990,1004269.875
12/28/1990,1004686.231
12/31/1990,1008673.182
1/2/1991,1003755.244
1/3/1991,996106.9382
1/4/1991,993193.0102
1/7/1991,981702.7417
1/8/1991,980480.0466
1/9/1991,973151.4771
1/10/1991,980120.7859
1/11/1991,981185.342
1/14/1991,976082.5933
1/15/1991,978708.6394
1/16/1991,983145.1816
1/17/1991,1007915.143
1/18/1991,1016285.936
1/21/1991,1014135.756
1/22/1991,1008912.134
1/23/1991,1012891.541
1/24/1991,1022092.613
1/25/1991,1023624.109
1/28/1991,1024056.63
1/29/1991,1024352.159
1/30/1991,1033543.857
1/31/1991,1039515.267
2/1/1991,1040362.372
2/4/1991,1051266.862
2/5/1991,1057543.971
2/6/1991,1070039.341
2/7/1991,1067169.822
2/8/1991,1073231.972
2/11/1991,1090435.764
2/12/1991,1085089.563
2/13/1991,1091564.758
2/14/1991,1081178.182
2/15/1991,1091732.801
2/19/1991,1092158.115
2/20/1991,1084188.014
2/21/1991,1083426.594
2/22/1991,1084141.229
2/25/1991,1087686.123
2/26/1991,1078814.649
2/27/1991,1087413.377
2/28/1991,1085950.743
3/1/1991,1090227.007
3/4/1991,1088666.146
3/5/1991,1102417.469
3/6/1991,1101103.093
3/7/1991,1101532.345
3/8/1991,1099295.808
3/11/1991,1097306.302
3/12/1991,1091839.708
3/13/1991,1101123.766
3/14/1991,1099562.345
3/15/1991,1098341.485
3/18/1991,1095111.238
