Date,Open,High,Low,Close,AdjClose,TotalVolume
1/3/2005,44.95,45.44,44.21,44.52,,10481801
1/4/2005,42.62,43.26,41.5,42.14,,19511332
1/5/2005,41.57,42.76,41.56,41.77,,8362057
1/6/2005,41.81,42.25,40.9,41.05,,8704606
1/7/2005,41.33,42.69,41.16,42.32,,9874272
1/10/2005,41.94,42.96,41.71,41.84,,7383701
1/11/2005,41.4,42.16,41.01,41.64,,7943193
1/12/2005,41.49,42.48,40.82,42.3,,8104858
1/13/2005,42.45,44.58,42.34,42.6,,17406432
1/14/2005,42.9,44.66,42.36,44.55,,12536350
1/18/2005,44.24,45,44.15,44.58,,7187293
1/19/2005,44.44,44.74,43.43,43.96,,7448549
1/20/2005,41.69,42.68,41.64,42.36,,12831817
1/21/2005,41.96,42.55,41.02,41.16,,10603843
1/24/2005,41.32,41.95,40.31,40.38,,9698196
1/25/2005,40.64,41.44,40.45,40.94,,9030283
1/26/2005,41.18,41.8,40.26,41.34,,7738030
1/27/2005,41.27,42.4,41.14,42.31,,8044036
1/28/2005,42.09,43,41.53,42.22,,6152337
1/31/2005,42.44,43.42,42.43,43.22,,6361423
2/1/2005,43,43.27,42.38,42.48,,6770024
2/2/2005,43.05,43.59,40.86,41.88,,27868416
2/3/2005,34.9,35.89,34.53,35.75,,60570596
2/4/2005,35.65,35.98,35.19,35.72,,17353144
2/7/2005,35.82,35.84,35.55,35.69,,7135441
2/8/2005,35.54,36.52,35.53,36.3,,9605864
2/9/2005,36.45,36.8,35.87,35.89,,7961097
2/10/2005,36.07,36.11,35.53,35.78,,8002975
2/11/2005,35.57,35.95,35,35.78,,7848476
2/14/2005,35.65,36.63,35.5,36.03,,6989107
2/15/2005,36.21,36.45,35.75,36.14,,5521689
2/16/2005,35.93,36.35,35.58,35.66,,5230409
2/17/2005,35.74,35.85,35.25,35.69,,5339220
2/18/2005,35.61,35.75,35.1,35.31,,4754523
2/22/2005,35.02,35.39,34.51,34.72,,6869677
2/23/2005,34.95,34.97,33.2,34.14,,10502368
2/24/2005,33.66,34.85,33.66,34.69,,8393219
2/25/2005,34.72,35.23,34.48,34.99,,5887427
2/28/2005,34.72,35.66,34.67,35.18,,8538237
3/1/2005,35.06,35.41,34.82,35.39,,5883062
3/2/2005,35.39,35.93,35.07,35.5,,5009896
3/3/2005,35.5,35.96,35.4,35.65,,5033228
3/4/2005,35.84,36.31,35.7,35.85,,5545626
3/7/2005,35.94,36.4,35.81,36.32,,3600383
3/8/2005,36.31,36.43,35.75,35.83,,4792885
3/9/2005,35.74,36.5,34.9,35.4,,7412268
3/10/2005,35.31,35.71,34.57,34.91,,5873258
3/11/2005,34.81,34.87,34.05,34.75,,8014530
3/14/2005,34.67,34.75,34,34.6,,5433688
3/15/2005,34.58,34.85,33.9,34.18,,5075472
3/16/2005,33.88,34.44,33.6,33.87,,5534631
3/17/2005,33.58,34.44,33.58,33.97,,4910552
3/18/2005,34.15,34.28,33.65,34.16,,5294963
3/21/2005,34.21,34.63,33.54,33.67,,6085759
3/22/2005,33.7,33.94,33.07,33.15,,5527602
3/23/2005,33.09,33.84,32.82,33.18,,6337154
