Date,Open,High,Low,Close,Volume
01/02/1970,989.1251,1005.4374,985.2941,1000.0000,0.0000
01/05/1970,1000.0000,1012.3579,994.5625,1002.6075,0.0000
01/06/1970,1002.5951,1006.0553,987.0242,993.1537,0.0000
01/07/1970,993.2032,999.1349,983.9348,990.8675,0.0000
01/08/1970,990.8551,1000.1235,984.7998,991.1888,0.0000
01/09/1970,991.2259,995.6747,981.7103,986.2951,0.0000
01/12/1970,986.2827,987.6421,971.7004,976.9155,0.0000
01/13/1970,976.8907,984.6762,967.0044,973.8136,0.0000
01/14/1970,973.8013,984.5526,964.4093,972.7632,0.0000
01/15/1970,972.8127,977.8794,961.4434,970.1433,0.0000
01/16/1970,970.0939,978.7444,961.8141,967.1280,0.0000
01/19/1970,967.1280,969.4760,954.2758,959.0583,0.0000
01/20/1970,959.0954,967.7459,952.4221,961.2580,0.0000
01/21/1970,961.3198,974.5427,956.5002,966.7202,0.0000
01/22/1970,966.7573,980.2274,960.7019,971.4532,0.0000
01/23/1970,971.4532,975.5314,956.9946,958.4033,0.0000
01/26/1970,958.3539,960.8255,942.2887,950.1730,0.0000
01/27/1970,950.1977,955.2644,936.6041,944.1300,0.0000
01/28/1970,944.1423,951.4335,933.8853,937.7657,0.0000
01/29/1970,937.7162,940.0643,919.0559,924.8022,0.0000
01/30/1970,924.8641,934.5032,913.3712,919.5007,0.0000
02/02/1970,919.5501,934.8739,913.7420,922.4419,0.0000
02/03/1970,922.3925,944.7602,913.0005,936.0603,0.0000
02/04/1970,936.1097,946.6139,924.4933,932.3900,0.0000
02/05/1970,932.4024,935.1211,918.5615,927.1626,0.0000
02/06/1970,927.2120,937.5927,920.6624,930.2645,0.0000
02/09/1970,930.3015,945.2546,927.3357,933.8606,0.0000
02/10/1970,933.8853,937.3455,918.4380,922.6767,0.0000
02/11/1970,922.6396,940.0643,914.4834,935.8997,0.0000
02/12/1970,935.8626,942.0415,925.4820,933.7741,0.0000
02/13/1970,933.7617,937.5927,921.8982,930.9194,0.0000
02/16/1970,930.9194,940.5585,924.3697,931.4137,0.0000
02/17/1970,931.4137,935.6154,915.8428,923.6653,0.0000
02/18/1970,923.6283,942.4122,921.2803,935.2447,0.0000
02/19/1970,935.2447,947.7262,928.8185,936.6287,0.0000
02/20/1970,936.6041,944.7602,925.9762,936.0603,0.0000
02/24/1970,936.1097,941.3001,925.4820,932.3035,0.0000
02/25/1970,932.2788,954.8937,926.2234,949.4316,0.0000
02/26/1970,949.4562,952.1750,933.6381,944.6985,0.0000
02/27/1970,944.7602,969.1053,942.4122,960.9367,0.0000
03/02/1970,960.9490,976.8907,957.1181,964.1992,0.0000
03/03/1970,964.1621,976.8907,957.8596,973.0845,0.0000
03/04/1970,973.0598,983.0697,966.7573,973.9867,0.0000
03/05/1970,974.0484,983.0697,967.7459,973.2452,0.0000
03/06/1970,973.3069,976.1493,963.1735,969.0064,0.0000
03/09/1970,968.9817,970.8353,956.0059,961.8265,0.0000
03/10/1970,961.8141,970.5883,954.2758,963.5442,0.0000
03/11/1970,963.5442,971.0825,956.8710,961.5917,0.0000
03/12/1970,961.5669,965.8922,953.7815,959.5526,0.0000
03/13/1970,959.5897,963.0499,949.0855,954.1646,0.0000
03/16/1970,954.1522,955.0173,939.4464,945.4399,0.0000
03/17/1970,945.5017,955.7588,938.2106,948.3687,0.0000
03/18/1970,948.3441,958.6011,944.1423,949.0237,0.0000
03/19/1970,949.0855,956.2531,941.1764,945.3534,0.0000
03/20/1970,945.3781,949.8269,937.8399,943.7221,0.0000
03/23/1970,943.7716,949.5798,936.7276,943.6480,0.0000
03/24/1970,944.7602,960.2076,944.7602,956.2037,0.0000
03/25/1970,958.6011,992.7088,958.6011,976.4335,0.0000
03/26/1970,976.3964,985.5413,970.3411,977.5704,0.0000
03/30/1970,977.6322,979.2388,962.9263,969.6614,0.0000
03/31/1970,969.7232,975.2842,961.9377,970.7983,0.0000
04/01/1970,970.8353,983.3169,968.9817,978.7938,0.0000
04/02/1970,978.7444,986.0356,972.5655,979.2017,0.0000
04/03/1970,979.2388,984.1819,972.5655,978.5467,0.0000
04/06/1970,978.4973,983.8111,971.7004,977.7311,0.0000
04/07/1970,977.7558,985.0469,970.9590,978.2996,0.0000
04/08/1970,978.2501,983.6876,973.0598,978.2996,0.0000
04/09/1970,978.2501,987.1478,972.5655,979.3623,0.0000
04/10/1970,979.3623,985.2941,970.0939,976.8413,0.0000
04/13/1970,976.8907,980.9688,966.5101,971.2061,0.0000
04/14/1970,971.2061,973.0598,955.1409,964.6070,0.0000
04/15/1970,964.6564,974.9135,960.3311,967.1280,0.0000
04/16/1970,967.1280,972.8127,955.2644,958.8112,0.0000
04/17/1970,958.8483,965.3979,947.8497,958.8977,0.0000
