Date,Open,High,Low,Close,Volume
01/03/1950,100.0000,100.0000,100.000,100.0000,100
01/04/1950,101.1405,101.1405,101.140,101.1405,100
01/05/1950,101.6207,101.6207,101.621,101.6207,100
01/06/1950,101.9208,101.9208,101.921,101.9208,100
01/09/1950,102.5210,102.5210,102.521,102.5210,100
01/10/1950,102.2209,102.2209,102.221,102.2209,100
01/11/1950,102.5810,102.5810,102.581,102.5810,100
01/12/1950,100.6002,100.6002,100.600,100.6002,100
01/13/1950,100.0600,100.0600,100.060,100.0600,100
01/16/1950,100.3601,100.3601,100.360,100.3601,100
01/17/1950,101.2005,101.2005,101.200,101.2005,100
01/18/1950,101.1405,101.1405,101.140,101.1405,100
01/19/1950,101.2605,101.2605,101.261,101.2605,100
01/20/1950,101.4406,101.4406,101.441,101.4406,100
01/23/1950,101.5606,101.5606,101.561,101.5606,100
01/24/1950,101.2005,101.2005,101.200,101.2005,100
01/25/1950,100.4802,100.4802,100.480,100.4802,100
01/26/1950,100.4202,100.4202,100.420,100.4202,100
01/27/1950,100.9604,100.9604,100.960,100.9604,100
01/30/1950,102.1609,102.1609,102.161,102.1609,100
01/31/1950,102.3409,102.3409,102.341,102.3409,100
02/01/1950,102.3409,102.3409,102.341,102.3409,100
02/02/1950,103.4214,103.4214,103.421,103.4214,100
02/03/1950,103.7815,103.7815,103.782,103.7815,100
02/06/1950,103.9616,103.9616,103.962,103.9616,100
02/07/1950,103.4214,103.4214,103.421,103.4214,100
02/08/1950,103.3013,103.3013,103.301,103.3013,100
02/09/1950,103.7215,103.7215,103.721,103.7215,100
02/10/1950,103.4814,103.4814,103.481,103.4814,100
02/14/1950,102.4010,102.4010,102.401,102.4010,100
02/15/1950,102.4010,102.4010,102.401,102.4010,100
02/16/1950,101.9808,101.9808,101.981,101.9808,100
02/17/1950,102.9412,102.9412,102.941,102.9412,100
02/20/1950,103.2413,103.2413,103.241,103.2413,100
02/21/1950,103.0612,103.0612,103.061,103.0612,100
02/23/1950,103.3013,103.3013,103.301,103.3013,100
02/24/1950,103.7215,103.7215,103.721,103.7215,100
02/27/1950,103.7215,103.7215,103.721,103.7215,100
02/28/1950,103.3613,103.3613,103.361,103.3613,100
03/01/1950,103.4814,103.4814,103.481,103.4814,100
03/02/1950,103.4214,103.4214,103.421,103.4214,100
03/03/1950,103.7815,103.7815,103.782,103.7815,100
03/06/1950,103.9616,103.9616,103.962,103.9616,100
03/07/1950,103.2413,103.2413,103.241,103.2413,100
03/08/1950,103.1813,103.1813,103.181,103.1813,100
03/09/1950,102.4610,102.4610,102.461,102.4610,100
03/10/1950,102.5810,102.5810,102.581,102.5810,100
03/13/1950,102.7611,102.7611,102.761,102.7611,100
03/14/1950,103.5414,103.5414,103.541,103.5414,100
03/15/1950,104.7419,104.7419,104.742,104.7419,100
03/16/1950,104.9820,104.9820,104.982,104.9820,100
03/17/1950,104.7419,104.7419,104.742,104.7419,100
03/20/1950,104.6819,104.6819,104.682,104.6819,100
03/21/1950,104.7419,104.7419,104.742,104.7419,100
03/22/1950,105.3421,105.3421,105.342,105.3421,100
03/23/1950,105.4022,105.4022,105.402,105.4022,100
03/24/1950,105.4022,105.4022,105.402,105.4022,100
03/27/1950,104.8019,104.8019,104.802,104.8019,100
03/28/1950,105.2221,105.2221,105.222,105.2221,100
03/29/1950,104.6819,104.6819,104.682,104.6819,100
03/30/1950,103.8415,103.8415,103.842,103.8415,100
03/31/1950,103.7815,103.7815,103.782,103.7815,100
04/03/1950,105.2221,105.2221,105.222,105.2221,100
04/04/1950,105.3421,105.3421,105.342,105.3421,100
04/05/1950,105.8223,105.8223,105.822,105.8223,100
04/06/1950,106.7227,106.7227,106.723,106.7227,100
04/10/1950,107.1429,107.1429,107.143,107.1429,100
04/11/1950,106.5426,106.5426,106.543,106.5426,100
04/12/1950,107.6831,107.6831,107.683,107.6831,100
04/13/1950,107.9232,107.9232,107.923,107.9232,100
04/14/1950,107.8031,107.8031,107.803,107.8031,100
04/17/1950,107.3229,107.3229,107.323,107.3229,100
04/18/1950,108.2233,108.2233,108.223,108.2233,100
04/19/1950,108.3433,108.3433,108.343,108.3433,100
04/20/1950,107.6231,107.6231,107.623,107.6231,100
04/21/1950,107.8031,107.8031,107.803,107.8031,100
04/24/1950,107.0228,107.0228,107.023,107.0228,100
04/25/1950,107.0228,107.0228,107.023,107.0228,100
04/26/1950,106.6026,106.6026,106.603,106.6026,100
04/27/1950,107.2029,107.2029,107.203,107.2029,100
