Date,Open,High,Low,Close,Volume
01/30/1970,1007.8806,1015.4082,992.9429,1000.0000,0.0000
02/02/1970,1000.0000,1020.4658,996.9420,1008.5863,0.0000
02/03/1970,1008.5863,1029.6401,995.5305,1020.5834,0.0000
02/04/1970,1020.5834,1031.0516,1006.7043,1014.3496,0.0000
02/05/1970,1014.3496,1018.8192,999.1767,1010.3506,0.0000
02/06/1970,1010.3506,1021.8772,1002.4701,1015.4082,0.0000
02/09/1970,1015.4082,1033.2863,1013.4087,1023.4063,0.0000
02/10/1970,1023.4063,1027.9935,1006.5867,1012.7029,0.0000
02/11/1970,1012.7029,1027.7582,1003.2934,1022.5830,0.0000
02/12/1970,1022.5830,1029.6401,1010.7034,1020.1130,0.0000
02/13/1970,1020.1130,1026.8173,1008.1158,1017.8782,0.0000
02/16/1970,1017.8782,1026.8173,1009.1744,1017.0549,0.0000
02/17/1970,1017.0549,1024.2297,1006.4691,1015.8787,0.0000
02/18/1970,1015.8787,1035.8739,1013.7615,1028.4640,0.0000
02/19/1970,1028.4640,1043.2839,1022.5830,1032.2278,0.0000
02/20/1970,1032.2278,1043.7544,1021.7597,1035.4035,0.0000
02/24/1970,1035.4035,1045.7540,1026.5820,1034.9330,0.0000
02/25/1970,1034.9330,1056.2221,1024.5825,1050.9292,0.0000
02/26/1970,1050.9292,1054.2225,1030.6987,1045.6364,0.0000
02/27/1970,1048.6681,1065.5365,1043.0060,1055.7458,0.0000
03/02/1970,1055.7458,1071.0806,1048.9040,1058.2229,0.0000
03/03/1970,1058.2229,1069.5471,1049.3759,1064.3569,0.0000
03/04/1970,1064.3569,1074.0297,1053.6225,1062.1156,0.0000
03/05/1970,1062.1156,1073.3218,1054.3302,1061.6438,0.0000
03/06/1970,1061.6438,1065.8904,1047.9603,1055.0380,0.0000
03/09/1970,1054.9200,1054.9200,1037.3440,1044.0677,0.0000
03/10/1970,1044.0677,1054.6842,1036.7541,1046.8987,0.0000
03/11/1970,1046.8987,1056.6895,1039.3493,1046.1910,0.0000
03/12/1970,1046.1910,1050.9093,1034.2770,1041.9444,0.0000
03/13/1970,1041.9444,1054.9200,1029.6765,1036.4003,0.0000
03/16/1970,1036.4003,1037.6978,1019.0601,1025.1940,0.0000
03/17/1970,1025.1940,1036.4003,1018.7062,1029.6765,0.0000
03/18/1970,1029.6765,1041.3546,1025.4299,1032.6255,0.0000
03/19/1970,1032.6255,1040.4109,1024.8401,1031.2100,0.0000
03/20/1970,1031.2100,1035.3386,1019.5319,1026.9634,0.0000
03/23/1970,1026.9634,1033.8051,1016.7009,1026.1377,0.0000
03/24/1970,1026.1377,1043.1240,1025.0761,1037.8158,0.0000
03/25/1970,1039.3493,1074.2655,1039.3493,1058.9306,0.0000
03/26/1970,1058.9306,1069.3112,1051.9710,1060.7001,0.0000
03/30/1970,1060.7001,1066.4802,1048.7861,1057.2792,0.0000
03/31/1970,1060.3542,1066.7426,1051.1265,1060.3542,0.0000
04/01/1970,1060.3542,1072.0663,1056.4502,1065.5595,0.0000
04/02/1970,1065.5595,1073.0126,1056.2136,1062.2471,0.0000
04/03/1970,1062.2471,1066.6243,1050.6533,1057.5149,0.0000
04/06/1970,1057.5149,1060.1176,1042.8453,1050.0618,0.0000
04/07/1970,1050.0618,1056.5685,1040.3609,1047.2225,0.0000
04/08/1970,1047.2225,1053.9658,1039.0596,1046.8676,0.0000
04/09/1970,1046.8676,1056.6868,1040.5975,1047.3408,0.0000
04/10/1970,1047.3408,1054.5573,1038.9413,1043.9100,0.0000
04/13/1970,1043.9100,1048.9970,1031.0150,1036.8118,0.0000
04/14/1970,1036.8118,1037.8766,1017.5284,1027.9390,0.0000
04/15/1970,1027.9390,1037.6399,1023.6801,1026.0462,0.0000
04/16/1970,1026.0462,1030.7783,1011.6132,1015.9904,0.0000
04/17/1970,1015.9904,1021.6690,1002.6221,1013.5060,0.0000
04/20/1970,1013.5060,1021.6690,1005.4614,1015.3989,0.0000
04/21/1970,1015.3989,1023.7984,1005.4614,1010.0752,0.0000
04/22/1970,1010.0752,1011.6132,991.8564,996.9435,0.0000
04/23/1970,996.9435,997.2985,977.3052,982.3922,0.0000
04/24/1970,982.3922,989.2538,969.6154,979.1980,0.0000
04/27/1970,979.1980,982.8654,959.2047,963.7002,0.0000
04/28/1970,963.7002,971.9815,944.7717,949.6221,0.0000
04/29/1970,949.6221,984.6400,938.2650,967.8408,0.0000
04/30/1970,971.0430,980.0638,958.5801,967.6008,0.0000
05/01/1970,967.6008,977.0965,952.7640,966.6513,0.0000
05/04/1970,964.7522,964.7522,935.9093,942.0815,0.0000
05/05/1970,942.0815,947.5415,926.0576,932.9419,0.0000
05/06/1970,932.9419,960.3605,928.5503,943.2684,0.0000
05/07/1970,943.2684,956.6809,936.3841,947.5415,0.0000
05/08/1970,947.5415,951.3397,934.2476,942.9124,0.0000
05/11/1970,942.9124,946.2358,929.2624,932.9419,0.0000
05/12/1970,932.9419,939.4702,914.6629,924.0398,0.0000
05/13/1970,922.8529,922.8529,901.1317,908.3721,0.0000
05/14/1970,908.3721,909.6778,878.6984,895.4344,0.0000
05/15/1970,895.4344,918.9359,885.3453,912.7638,0.0000
05/18/1970,912.7638,922.0220,902.9122,913.4760,0.0000
05/19/1970,913.4760,916.3246,892.7044,895.6718,0.0000
05/20/1970,894.3661,894.3661,869.4402,872.6449,0.0000
