Date,Open,High,Low,Close,Volume
01/02/1968,100.0000,100.0000,100.000,100.0000,100
01/03/1968,100.0195,100.0195,100.019,100.0195,100
01/04/1968,100.0472,100.0472,100.047,100.0472,100
01/05/1968,100.0770,100.0770,100.077,100.0770,100
01/08/1968,100.0891,100.0891,100.089,100.0891,100
01/09/1968,100.0880,100.0880,100.088,100.0880,100
01/10/1968,100.1022,100.1022,100.102,100.1022,100
01/11/1968,100.1266,100.1266,100.127,100.1266,100
01/12/1968,100.1461,100.1461,100.146,100.1461,100
01/15/1968,100.1747,100.1747,100.175,100.1747,100
01/16/1968,100.2027,100.2027,100.203,100.2027,100
01/17/1968,100.2261,100.2261,100.226,100.2261,100
01/18/1968,100.2439,100.2439,100.244,100.2439,100
01/19/1968,100.2507,100.2507,100.251,100.2507,100
01/22/1968,100.2701,100.2701,100.270,100.2701,100
01/23/1968,100.2946,100.2946,100.295,100.2946,100
01/24/1968,100.3173,100.3173,100.317,100.3173,100
01/25/1968,100.3555,100.3555,100.356,100.3555,100
01/26/1968,100.3905,100.3905,100.390,100.3905,100
01/29/1968,100.4216,100.4216,100.422,100.4216,100
01/30/1968,100.4377,100.4377,100.438,100.4377,100
01/31/1968,100.4480,100.4480,100.448,100.4480,100
02/01/1968,100.4721,100.4721,100.472,100.4721,100
02/02/1968,100.4918,100.4918,100.492,100.4918,100
02/05/1968,100.4997,100.4997,100.500,100.4997,100
02/06/1968,100.4947,100.4947,100.495,100.4947,100
02/07/1968,100.5006,100.5006,100.501,100.5006,100
02/08/1968,100.5203,100.5203,100.520,100.5203,100
02/09/1968,100.5441,100.5441,100.544,100.5441,100
02/13/1968,100.5665,100.5665,100.566,100.5665,100
02/14/1968,100.5878,100.5878,100.588,100.5878,100
02/15/1968,100.6152,100.6152,100.615,100.6152,100
02/16/1968,100.6456,100.6456,100.646,100.6456,100
02/19/1968,100.6722,100.6722,100.672,100.6722,100
02/20/1968,100.6811,100.6811,100.681,100.6811,100
02/21/1968,100.6886,100.6886,100.689,100.6886,100
02/23/1968,100.7027,100.7027,100.703,100.7027,100
02/26/1968,100.7153,100.7153,100.715,100.7153,100
02/27/1968,100.7287,100.7287,100.729,100.7287,100
02/28/1968,100.7534,100.7534,100.753,100.7534,100
02/29/1968,100.7780,100.7780,100.778,100.7780,100
03/01/1968,100.7992,100.7992,100.799,100.7992,100
03/04/1968,100.8231,100.8231,100.823,100.8231,100
03/05/1968,100.8430,100.8430,100.843,100.8430,100
03/06/1968,100.8561,100.8561,100.856,100.8561,100
03/07/1968,100.8623,100.8623,100.862,100.8623,100
03/08/1968,100.8756,100.8756,100.876,100.8756,100
03/11/1968,100.8962,100.8962,100.896,100.8962,100
03/12/1968,100.9081,100.9081,100.908,100.9081,100
03/13/1968,100.9046,100.9046,100.905,100.9046,100
03/14/1968,100.8800,100.8800,100.880,100.8800,100
03/15/1968,100.8937,100.8937,100.894,100.8937,100
03/18/1968,100.9449,100.9449,100.945,100.9449,100
03/19/1968,100.9707,100.9707,100.971,100.9707,100
03/20/1968,100.9939,100.9939,100.994,100.9939,100
03/21/1968,101.0220,101.0220,101.022,101.0220,100
03/22/1968,101.0534,101.0534,101.053,101.0534,100
03/25/1968,101.0868,101.0868,101.087,101.0868,100
03/26/1968,101.1190,101.1190,101.119,101.1190,100
03/27/1968,101.1387,101.1387,101.139,101.1387,100
03/28/1968,101.1509,101.1509,101.151,101.1509,100
03/29/1968,101.1650,101.1650,101.165,101.1650,100
04/01/1968,101.1895,101.1895,101.190,101.1895,100
04/02/1968,101.2042,101.2042,101.204,101.2042,100
04/03/1968,101.2174,101.2174,101.217,101.2174,100
04/04/1968,101.2247,101.2247,101.225,101.2247,100
04/05/1968,101.2416,101.2416,101.242,101.2416,100
04/08/1968,101.2631,101.2631,101.263,101.2631,100
04/10/1968,101.2684,101.2684,101.268,101.2684,100
04/11/1968,101.2640,101.2640,101.264,101.2640,100
04/15/1968,101.2801,101.2801,101.280,101.2801,100
04/16/1968,101.3130,101.3130,101.313,101.3130,100
04/17/1968,101.3461,101.3461,101.346,101.3461,100
04/18/1968,101.3700,101.3700,101.370,101.3700,100
04/19/1968,101.3577,101.3577,101.358,101.3577,100
04/22/1968,101.3612,101.3612,101.361,101.3612,100
04/23/1968,101.3902,101.3902,101.390,101.3902,100
04/24/1968,101.4134,101.4134,101.413,101.4134,100
04/25/1968,101.4343,101.4343,101.434,101.4343,100
04/26/1968,101.4546,101.4546,101.455,101.4546,100
04/29/1968,101.4804,101.4804,101.480,101.4804,100
04/30/1968,101.5006,101.5006,101.501,101.5006,100
05/01/1968,101.5238,101.5238,101.524,101.5238,100
05/02/1968,101.5489,101.5489,101.549,101.5489,100
05/03/1968,101.5602,101.5602,101.560,101.5602,100
05/06/1968,101.5852,101.5852,101.585,101.5852,100
05/07/1968,101.6074,101.6074,101.607,101.6074,100
05/08/1968,101.6226,101.6226,101.623,101.6226,100
05/09/1968,101.6401,101.6401,101.640,101.6401,100
05/10/1968,101.6599,101.6599,101.660,101.6599,100
05/13/1968,101.6855,101.6855,101.686,101.6855,100
05/14/1968,101.6980,101.6980,101.698,101.6980,100
05/15/1968,101.7004,101.7004,101.700,101.7004,100
05/16/1968,101.6970,101.6970,101.697,101.6970,100
05/17/1968,101.7050,101.7050,101.705,101.7050,100
05/20/1968,101.7241,101.7241,101.724,101.7241,100
05/21/1968,101.7294,101.7294,101.729,101.7294,100
05/22/1968,101.7526,101.7526,101.753,101.7526,100
05/23/1968,101.7944,101.7944,101.794,101.7944,100
05/24/1968,101.8381,101.8381,101.838,101.8381,100
05/27/1968,101.8779,101.8779,101.878,101.8779,100
05/28/1968,101.8966,101.8966,101.897,101.8966,100
05/29/1968,101.9108,101.9108,101.911,101.9108,100
05/31/1968,101.9404,101.9404,101.940,101.9404,100
06/03/1968,101.9735,101.9735,101.973,101.9735,100
06/04/1968,101.9970,101.9970,101.997,101.9970,100
06/05/1968,102.0193,102.0193,102.019,102.0193,100
06/06/1968,102.0407,102.0407,102.041,102.0407,100
06/07/1968,102.0616,102.0616,102.062,102.0616,100
06/10/1968,102.0805,102.0805,102.080,102.0805,100
06/11/1968,102.0939,102.0939,102.094,102.0939,100
06/13/1968,102.1171,102.1171,102.117,102.1171,100
06/14/1968,102.1537,102.1537,102.154,102.1537,100
06/17/1968,102.1912,102.1912,102.191,102.1912,100
06/18/1968,102.2151,102.2151,102.215,102.2151,100
06/20/1968,102.2678,102.2678,102.268,102.2678,100
06/21/1968,102.3454,102.3454,102.345,102.3454,100
06/24/1968,102.3866,102.3866,102.387,102.3866,100
06/25/1968,102.3800,102.3800,102.380,102.3800,100
06/27/1968,102.3863,102.3863,102.386,102.3863,100
06/28/1968,102.4128,102.4128,102.413,102.4128,100
07/01/1968,102.4358,102.4358,102.436,102.4358,100
07/02/1968,102.4496,102.4496,102.450,102.4496,100
07/03/1968,102.4575,102.4575,102.457,102.4575,100
07/08/1968,102.4835,102.4835,102.484,102.4835,100
07/09/1968,102.5037,102.5037,102.504,102.5037,100
07/11/1968,102.5174,102.5174,102.517,102.5174,100
07/12/1968,102.5397,102.5397,102.540,102.5397,100
07/15/1968,102.5558,102.5558,102.556,102.5558,100
07/16/1968,102.5644,102.5644,102.564,102.5644,100
07/18/1968,102.6029,102.6029,102.603,102.6029,100
07/19/1968,102.6483,102.6483,102.648,102.6483,100
07/22/1968,102.6776,102.6776,102.678,102.6776,100
07/23/1968,102.7015,102.7015,102.702,102.7015,100
07/25/1968,102.7329,102.7329,102.733,102.7329,100
07/26/1968,102.7597,102.7597,102.760,102.7597,100
07/29/1968,102.7811,102.7811,102.781,102.7811,100
07/30/1968,102.8004,102.8004,102.800,102.8004,100
08/01/1968,102.8585,102.8585,102.858,102.8585,100
08/02/1968,102.9162,102.9162,102.916,102.9162,100
08/05/1968,102.9429,102.9429,102.943,102.9429,100
08/06/1968,102.9458,102.9458,102.946,102.9458,100
08/08/1968,102.9571,102.9571,102.957,102.9571,100
08/09/1968,102.9737,102.9737,102.974,102.9737,100
08/12/1968,102.9796,102.9796,102.980,102.9796,100
08/13/1968,102.9826,102.9826,102.983,102.9826,100
08/15/1968,102.9865,102.9865,102.987,102.9865,100
08/16/1968,103.0114,103.0114,103.011,103.0114,100
08/19/1968,103.0399,103.0399,103.040,103.0399,100
08/20/1968,103.0554,103.0554,103.055,103.0554,100
08/22/1968,103.0675,103.0675,103.067,103.0675,100
08/23/1968,103.0885,103.0885,103.088,103.0885,100
08/26/1968,103.1101,103.1101,103.110,103.1101,100
08/27/1968,103.1246,103.1246,103.125,103.1246,100
08/29/1968,103.1387,103.1387,103.139,103.1387,100
08/30/1968,103.1627,103.1627,103.163,103.1627,100
09/03/1968,103.1873,103.1873,103.187,103.1873,100
09/04/1968,103.2063,103.2063,103.206,103.2063,100
09/05/1968,103.2207,103.2207,103.221,103.2207,100
09/06/1968,103.2365,103.2365,103.237,103.2365,100
09/09/1968,103.2549,103.2549,103.255,103.2549,100
09/10/1968,103.2648,103.2648,103.265,103.2648,100
09/12/1968,103.2794,103.2794,103.279,103.2794,100
09/13/1968,103.3116,103.3116,103.312,103.3116,100
09/16/1968,103.3434,103.3434,103.343,103.3434,100
09/17/1968,103.3697,103.3697,103.370,103.3697,100
09/19/1968,103.3993,103.3993,103.399,103.3993,100
09/20/1968,103.4223,103.4223,103.422,103.4223,100
09/23/1968,103.4412,103.4412,103.441,103.4412,100
09/24/1968,103.4683,103.4683,103.468,103.4683,100
09/26/1968,103.5000,103.5000,103.500,103.5000,100
09/27/1968,103.5193,103.5193,103.519,103.5193,100
09/30/1968,103.5287,103.5287,103.529,103.5287,100
10/01/1968,103.5445,103.5445,103.545,103.5445,100
10/03/1968,103.5569,103.5569,103.557,103.5569,100
10/04/1968,103.5687,103.5687,103.569,103.5687,100
10/07/1968,103.5828,103.5828,103.583,103.5828,100
10/08/1968,103.5856,103.5856,103.586,103.5856,100
10/10/1968,103.5991,103.5991,103.599,103.5991,100
10/11/1968,103.6367,103.6367,103.637,103.6367,100
10/14/1968,103.6575,103.6575,103.658,103.6575,100
10/15/1968,103.6614,103.6614,103.661,103.6614,100
10/17/1968,103.6850,103.6850,103.685,103.6850,100
10/18/1968,103.7130,103.7130,103.713,103.7130,100
10/21/1968,103.7294,103.7294,103.729,103.7294,100
10/22/1968,103.7372,103.7372,103.737,103.7372,100
10/24/1968,103.7558,103.7558,103.756,103.7558,100
10/25/1968,103.7772,103.7772,103.777,103.7772,100
10/28/1968,103.7901,103.7901,103.790,103.7901,100
10/29/1968,103.7993,103.7993,103.799,103.7993,100
10/31/1968,103.8215,103.8215,103.821,103.8215,100
11/01/1968,103.8513,103.8513,103.851,103.8513,100
11/04/1968,103.8656,103.8656,103.866,103.8656,100
11/06/1968,103.8826,103.8826,103.883,103.8826,100
11/07/1968,103.9168,103.9168,103.917,103.9168,100
11/08/1968,103.9443,103.9443,103.944,103.9443,100
11/12/1968,103.9647,103.9647,103.965,103.9647,100
11/13/1968,103.9951,103.9951,103.995,103.9951,100
11/14/1968,104.0243,104.0243,104.024,104.0243,100
11/15/1968,104.0432,104.0432,104.043,104.0432,100
11/18/1968,104.0587,104.0587,104.059,104.0587,100
11/19/1968,104.0765,104.0765,104.076,104.0765,100
11/21/1968,104.1025,104.1025,104.103,104.1025,100
11/22/1968,104.1280,104.1280,104.128,104.1280,100
11/25/1968,104.1497,104.1497,104.150,104.1497,100
11/26/1968,104.1645,104.1645,104.165,104.1645,100
11/27/1968,104.1767,104.1767,104.177,104.1767,100
11/29/1968,104.1905,104.1905,104.190,104.1905,100
12/02/1968,104.1943,104.1943,104.194,104.1943,100
12/03/1968,104.1968,104.1968,104.197,104.1968,100
12/05/1968,104.2158,104.2158,104.216,104.2158,100
12/06/1968,104.2413,104.2413,104.241,104.2413,100
12/09/1968,104.2530,104.2530,104.253,104.2530,100
12/10/1968,104.2497,104.2497,104.250,104.2497,100
12/12/1968,104.2530,104.2530,104.253,104.2530,100
12/13/1968,104.2746,104.2746,104.275,104.2746,100
12/16/1968,104.2909,104.2909,104.291,104.2909,100
12/17/1968,104.3056,104.3056,104.306,104.3056,100
12/19/1968,104.3080,104.3080,104.308,104.3080,100
12/20/1968,104.3008,104.3008,104.301,104.3008,100
12/23/1968,104.2995,104.2995,104.300,104.2995,100
12/24/1968,104.3152,104.3152,104.315,104.3152,100
12/26/1968,104.3592,104.3592,104.359,104.3592,100
12/27/1968,104.4097,104.4097,104.410,104.4097,100
12/30/1968,104.4187,104.4187,104.419,104.4187,100
12/31/1968,104.4289,104.4289,104.429,104.4289,100
01/02/1969,104.4754,104.4754,104.475,104.4754,100
01/03/1969,104.5154,104.5154,104.515,104.5154,100
01/06/1969,104.5321,104.5321,104.532,104.5321,100
01/07/1969,104.5387,104.5387,104.539,104.5387,100
01/08/1969,104.5663,104.5663,104.566,104.5663,100
01/09/1969,104.6061,104.6061,104.606,104.6061,100
01/10/1969,104.6426,104.6426,104.643,104.6426,100
01/13/1969,104.6681,104.6681,104.668,104.6681,100
01/14/1969,104.6813,104.6813,104.681,104.6813,100
01/15/1969,104.7090,104.7090,104.709,104.7090,100
01/16/1969,104.7539,104.7539,104.754,104.7539,100
01/17/1969,104.7840,104.7840,104.784,104.7840,100
01/20/1969,104.8158,104.8158,104.816,104.8158,100
01/21/1969,104.8329,104.8329,104.833,104.8329,100
01/22/1969,104.8405,104.8405,104.841,104.8405,100
01/23/1969,104.8558,104.8558,104.856,104.8558,100
01/24/1969,104.8761,104.8761,104.876,104.8761,100
01/27/1969,104.9077,104.9077,104.908,104.9077,100
01/28/1969,104.9326,104.9326,104.933,104.9326,100
01/29/1969,104.9542,104.9542,104.954,104.9542,100
01/30/1969,104.9778,104.9778,104.978,104.9778,100
01/31/1969,104.9985,104.9985,104.999,104.9985,100
02/03/1969,105.0216,105.0216,105.022,105.0216,100
02/04/1969,105.0455,105.0455,105.045,105.0455,100
02/05/1969,105.0698,105.0698,105.070,105.0698,100
02/06/1969,105.0954,105.0954,105.095,105.0954,100
02/07/1969,105.1295,105.1295,105.129,105.1295,100
02/11/1969,105.1727,105.1727,105.173,105.1727,100
02/12/1969,105.2053,105.2053,105.205,105.2053,100
02/13/1969,105.2291,105.2291,105.229,105.2291,100
02/14/1969,105.2584,105.2584,105.258,105.2584,100
02/17/1969,105.2845,105.2845,105.284,105.2845,100
02/18/1969,105.2918,105.2918,105.292,105.2918,100
02/19/1969,105.3079,105.3079,105.308,105.3079,100
02/20/1969,105.3470,105.3470,105.347,105.3470,100
02/24/1969,105.3926,105.3926,105.393,105.3926,100
02/25/1969,105.4092,105.4092,105.409,105.4092,100
02/26/1969,105.4208,105.4208,105.421,105.4208,100
02/27/1969,105.4291,105.4291,105.429,105.4291,100
02/28/1969,105.4442,105.4442,105.444,105.4442,100
03/03/1969,105.4741,105.4741,105.474,105.4741,100
03/04/1969,105.5041,105.5041,105.504,105.5041,100
03/05/1969,105.5430,105.5430,105.543,105.5430,100
03/06/1969,105.5780,105.5780,105.578,105.5780,100
03/07/1969,105.6069,105.6069,105.607,105.6069,100
03/10/1969,105.6422,105.6422,105.642,105.6422,100
03/11/1969,105.6722,105.6722,105.672,105.6722,100
03/12/1969,105.6994,105.6994,105.699,105.6994,100
03/13/1969,105.7188,105.7188,105.719,105.7188,100
03/14/1969,105.7399,105.7399,105.740,105.7399,100
03/17/1969,105.7553,105.7553,105.755,105.7553,100
03/18/1969,105.7888,105.7888,105.789,105.7888,100
03/19/1969,105.8246,105.8246,105.825,105.8246,100
03/20/1969,105.8486,105.8486,105.849,105.8486,100
03/21/1969,105.8781,105.8781,105.878,105.8781,100
03/24/1969,105.9145,105.9145,105.915,105.9145,100
03/25/1969,105.9425,105.9425,105.942,105.9425,100
03/26/1969,105.9613,105.9613,105.961,105.9613,100
03/27/1969,105.9829,105.9829,105.983,105.9829,100
03/28/1969,105.9985,105.9985,105.998,105.9985,100
04/01/1969,106.0172,106.0172,106.017,106.0172,100
04/02/1969,106.0265,106.0265,106.027,106.0265,100
04/03/1969,106.0395,106.0395,106.039,106.0395,100
04/07/1969,106.0540,106.0540,106.054,106.0540,100
04/08/1969,106.0713,106.0713,106.071,106.0713,100
04/09/1969,106.1019,106.1019,106.102,106.1019,100
04/10/1969,106.1263,106.1263,106.126,106.1263,100
04/11/1969,106.1467,106.1467,106.147,106.1467,100
04/14/1969,106.1732,106.1732,106.173,106.1732,100
04/15/1969,106.1879,106.1879,106.188,106.1879,100
