Date,Open,High,Low,Close,Volume
07/01/1982,100.0000,100.0000,100.000,100.0000,100
07/02/1982,100.8059,100.8059,100.806,100.8059,100
07/06/1982,100.2579,100.2579,100.258,100.2579,100
07/07/1982,98.8717,98.8717,98.872,98.8717,100
07/08/1982,101.0638,101.0638,101.064,101.0638,100
07/09/1982,105.8994,105.8994,105.899,105.8994,100
07/12/1982,110.5738,110.5738,110.574,110.5738,100
07/13/1982,113.6364,113.6364,113.636,113.6364,100
07/14/1982,113.7008,113.7008,113.701,113.7008,100
07/15/1982,112.8949,112.8949,112.895,112.8949,100
07/16/1982,111.8633,111.8633,111.863,111.8633,100
07/19/1982,112.0245,112.0245,112.024,112.0245,100
07/20/1982,112.0890,112.0890,112.089,112.0890,100
07/21/1982,118.1496,118.1496,118.150,118.1496,100
07/22/1982,113.7975,113.7975,113.798,113.7975,100
07/23/1982,117.0858,117.0858,117.086,117.0858,100
07/26/1982,113.5397,113.5397,113.540,113.5397,100
07/27/1982,113.2173,113.2173,113.217,113.2173,100
07/28/1982,111.8633,111.8633,111.863,111.8633,100
07/29/1982,110.4126,110.4126,110.413,110.4126,100
07/30/1982,110.5416,110.5416,110.542,110.5416,100
08/02/1982,113.2495,113.2495,113.250,113.2495,100
08/03/1982,112.5725,112.5725,112.573,112.5725,100
08/04/1982,111.6054,111.6054,111.605,111.6054,100
08/05/1982,111.7021,111.7021,111.702,111.7021,100
08/06/1982,111.1219,111.1219,111.122,111.1219,100
08/09/1982,108.3172,108.3172,108.317,108.3172,100
08/10/1982,109.0264,109.0264,109.026,109.0264,100
08/11/1982,107.5113,107.5113,107.511,107.5113,100
08/12/1982,107.8981,107.8981,107.898,107.8981,100
08/13/1982,108.9620,108.9620,108.962,108.9620,100
08/16/1982,110.1547,110.1547,110.155,110.1547,100
08/17/1982,108.8652,108.8652,108.865,108.8652,100
08/18/1982,115.3127,115.3127,115.313,115.3127,100
08/19/1982,114.9581,114.9581,114.958,114.9581,100
08/20/1982,124.5970,124.5970,124.597,124.5970,100
08/23/1982,127.1760,127.1760,127.176,127.1760,100
08/24/1982,131.4313,131.4313,131.431,131.4313,100
08/25/1982,129.2714,129.2714,129.271,129.2714,100
08/26/1982,134.4294,134.4294,134.429,134.4294,100
08/27/1982,134.7518,134.7518,134.752,134.7518,100
08/30/1982,129.6583,129.6583,129.658,129.6583,100
08/31/1982,132.6563,132.6563,132.656,132.6563,100
09/01/1982,130.6254,130.6254,130.625,130.6254,100
09/02/1982,132.0761,132.0761,132.076,132.0761,100
09/03/1982,146.6796,146.6796,146.680,146.6796,100
09/07/1982,155.0612,155.0612,155.061,155.0612,100
09/08/1982,147.6467,147.6467,147.647,147.6467,100
09/09/1982,150.2257,150.2257,150.226,150.2257,100
09/10/1982,146.0348,146.0348,146.035,146.0348,100
09/13/1982,141.5216,141.5216,141.522,141.5216,100
09/14/1982,146.4217,146.4217,146.422,146.4217,100
09/15/1982,142.8756,142.8756,142.876,142.8756,100
09/16/1982,144.5841,144.5841,144.584,144.5841,100
09/17/1982,142.3275,142.3275,142.328,142.3275,100
09/20/1982,136.7505,136.7505,136.750,136.7505,100
