Date,Open,High,Low,Close,Volume
12/29/1978,100.0000,100.0000,100.000,100.0000,100
01/02/1979,100.7100,100.7100,100.710,100.7100,100
01/03/1979,102.5200,102.5200,102.520,102.5200,100
01/04/1979,104.0700,104.0700,104.070,104.0700,100
01/05/1979,105.4600,105.4600,105.460,105.4600,100
01/08/1979,105.2000,105.2000,105.200,105.2000,100
01/09/1979,106.1200,106.1200,106.120,106.1200,100
01/10/1979,105.8900,105.8900,105.890,105.8900,100
01/11/1979,106.3700,106.3700,106.370,106.3700,100
01/12/1979,107.5800,107.5800,107.580,107.5800,100
01/15/1979,108.2100,108.2100,108.210,108.2100,100
01/16/1979,107.3000,107.3000,107.300,107.3000,100
01/17/1979,107.0800,107.0800,107.080,107.0800,100
01/18/1979,108.0700,108.0700,108.070,108.0700,100
01/19/1979,108.4600,108.4600,108.460,108.4600,100
01/22/1979,108.3800,108.3800,108.380,108.3800,100
01/23/1979,109.1500,109.1500,109.150,109.1500,100
01/24/1979,108.9000,108.9000,108.900,108.9000,100
01/25/1979,109.6300,109.6300,109.630,109.6300,100
01/26/1979,110.3100,110.3100,110.310,110.3100,100
01/29/1979,110.2300,110.2300,110.230,110.2300,100
01/30/1979,110.0600,110.0600,110.060,110.0600,100
01/31/1979,109.2500,109.2500,109.250,109.2500,100
02/01/1979,109.1400,109.1400,109.140,109.1400,100
02/02/1979,109.2300,109.2300,109.230,109.2300,100
02/05/1979,107.7200,107.7200,107.720,107.7200,100
02/06/1979,107.6500,107.6500,107.650,107.6500,100
02/07/1979,106.3500,106.3500,106.350,106.3500,100
02/08/1979,107.0000,107.0000,107.000,107.0000,100
02/09/1979,107.5700,107.5700,107.570,107.5700,100
02/12/1979,107.6300,107.6300,107.630,107.6300,100
02/13/1979,108.6400,108.6400,108.640,108.6400,100
02/14/1979,108.6000,108.6000,108.600,108.6000,100
02/15/1979,108.8700,108.8700,108.870,108.8700,100
02/16/1979,109.3100,109.3100,109.310,109.3100,100
02/20/1979,109.7200,109.7200,109.720,109.7200,100
02/21/1979,109.6800,109.6800,109.680,109.6800,100
02/22/1979,109.3800,109.3800,109.380,109.3800,100
02/23/1979,108.9000,108.9000,108.900,108.9000,100
02/26/1979,108.7400,108.7400,108.740,108.7400,100
02/27/1979,106.3400,106.3400,106.340,106.3400,100
02/28/1979,106.1900,106.1900,106.190,106.1900,100
03/01/1979,106.9700,106.9700,106.970,106.9700,100
03/02/1979,107.4500,107.4500,107.450,107.4500,100
03/05/1979,108.3800,108.3800,108.380,108.3800,100
03/06/1979,108.2800,108.2800,108.280,108.2800,100
03/07/1979,109.2100,109.2100,109.210,109.2100,100
03/08/1979,110.3400,110.3400,110.340,110.3400,100
03/09/1979,110.5400,110.5400,110.540,110.5400,100
03/12/1979,110.9600,110.9600,110.960,110.9600,100
03/13/1979,111.5300,111.5300,111.530,111.5300,100
03/14/1979,111.6600,111.6600,111.660,111.6600,100
03/15/1979,112.1900,112.1900,112.190,112.1900,100
03/16/1979,113.1500,113.1500,113.150,113.1500,100
03/19/1979,113.6100,113.6100,113.610,113.6100,100
03/20/1979,113.2800,113.2800,113.280,113.2800,100
03/21/1979,113.9600,113.9600,113.960,113.9600,100
03/22/1979,114.5800,114.5800,114.580,114.5800,100
