Date,Open,High,Low,Close,Volume
03/10/1999,100.0000,100.0000,100.000,100.0000,100
03/11/1999,100.9471,100.9471,100.947,100.9471,100
03/12/1999,95.9964,95.9964,95.996,95.9964,100
03/15/1999,101.4785,101.4785,101.479,101.4785,100
03/16/1999,103.1701,103.1701,103.170,103.1701,100
03/17/1999,101.6473,101.6473,101.647,101.6473,100
03/18/1999,105.5574,105.5574,105.557,105.5574,100
03/19/1999,100.1267,100.1267,100.127,100.1267,100
03/22/1999,97.6511,97.6511,97.651,97.6511,100
03/23/1999,90.7437,90.7437,90.744,90.7437,100
03/24/1999,96.8727,96.8727,96.873,96.8727,100
03/25/1999,103.9198,103.9198,103.920,103.9198,100
03/26/1999,101.6515,101.6515,101.652,101.6515,100
03/29/1999,108.9851,108.9851,108.985,108.9851,100
03/30/1999,107.4259,107.4259,107.426,107.4259,100
03/31/1999,104.2395,104.2395,104.239,104.2395,100
04/01/1999,108.5522,108.5522,108.552,108.5522,100
04/05/1999,116.3708,116.3708,116.371,116.3708,100
04/06/1999,116.8582,116.8582,116.858,116.8582,100
04/07/1999,114.3267,114.3267,114.327,114.3267,100
04/08/1999,116.1083,116.1083,116.108,116.1083,100
04/09/1999,117.5109,117.5109,117.511,117.5109,100
04/12/1999,115.8950,115.8950,115.895,115.8950,100
04/13/1999,112.7226,112.7226,112.723,112.7226,100
04/14/1999,104.9576,104.9576,104.958,104.9576,100
04/15/1999,107.7814,107.7814,107.781,107.7814,100
04/16/1999,101.4555,101.4555,101.455,101.4555,100
04/19/1999,91.9060,91.9060,91.906,91.9060,100
04/20/1999,96.0518,96.0518,96.052,96.0518,100
04/21/1999,105.5023,105.5023,105.502,105.5023,100
04/22/1999,111.1751,111.1751,111.175,111.1751,100
04/23/1999,114.0669,114.0669,114.067,114.0669,100
04/26/1999,119.3151,119.3151,119.315,119.3151,100
04/27/1999,115.5876,115.5876,115.588,115.5876,100
04/28/1999,107.6417,107.6417,107.642,107.6417,100
04/29/1999,105.8569,105.8569,105.857,105.8569,100
04/30/1999,107.1869,107.1869,107.187,107.1869,100
05/03/1999,106.0300,106.0300,106.030,106.0300,100
05/04/1999,102.6474,102.6474,102.647,102.6474,100
05/05/1999,108.8353,108.8353,108.835,108.8353,100
05/06/1999,100.8920,100.8920,100.892,100.8920,100
05/07/1999,103.7576,103.7576,103.758,103.7576,100
05/10/1999,105.8054,105.8054,105.805,105.8054,100
05/11/1999,109.1087,109.1087,109.109,109.1087,100
05/12/1999,113.5908,113.5908,113.591,113.5908,100
05/13/1999,109.3305,109.3305,109.331,109.3305,100
05/14/1999,105.1532,105.1532,105.153,105.1532,100
05/17/1999,108.9337,108.9337,108.934,108.9337,100
05/18/1999,107.8961,107.8961,107.896,107.8961,100
05/19/1999,110.8506,110.8506,110.851,110.8506,100
05/20/1999,104.7539,104.7539,104.754,104.7539,100
05/21/1999,102.7569,102.7569,102.757,102.7569,100
05/24/1999,97.5004,97.5004,97.500,97.5004,100
05/25/1999,91.0828,91.0828,91.083,91.0828,100
