Date,Open,High,Low,Close,Volume
01/02/1968,100.0000,100.0000,100.000,100.0000,100
01/03/1968,100.0345,100.0345,100.034,100.0345,100
01/04/1968,100.2517,100.2517,100.252,100.2517,100
01/05/1968,100.4601,100.4601,100.460,100.4601,100
01/08/1968,100.4747,100.4747,100.475,100.4747,100
01/09/1968,100.4477,100.4477,100.448,100.4477,100
01/10/1968,100.5309,100.5309,100.531,100.5309,100
01/11/1968,100.6498,100.6498,100.650,100.6498,100
01/12/1968,100.6985,100.6985,100.698,100.6985,100
01/15/1968,100.6625,100.6625,100.663,100.6625,100
01/16/1968,100.6207,100.6207,100.621,100.6207,100
01/17/1968,100.6752,100.6752,100.675,100.6752,100
01/18/1968,100.6434,100.6434,100.643,100.6434,100
01/19/1968,100.5417,100.5417,100.542,100.5417,100
01/22/1968,100.5001,100.5001,100.500,100.5001,100
01/23/1968,100.5861,100.5861,100.586,100.5861,100
01/24/1968,100.6631,100.6631,100.663,100.6631,100
01/25/1968,100.7468,100.7468,100.747,100.7468,100
01/26/1968,100.7845,100.7845,100.784,100.7845,100
01/29/1968,100.7979,100.7979,100.798,100.7979,100
01/30/1968,100.8014,100.8014,100.801,100.8014,100
01/31/1968,100.8047,100.8047,100.805,100.8047,100
02/01/1968,100.7513,100.7513,100.751,100.7513,100
02/02/1968,100.7230,100.7230,100.723,100.7230,100
02/05/1968,100.7240,100.7240,100.724,100.7240,100
02/06/1968,100.6944,100.6944,100.694,100.6944,100
02/07/1968,100.7196,100.7196,100.720,100.7196,100
02/08/1968,100.7249,100.7249,100.725,100.7249,100
02/09/1968,100.7358,100.7358,100.736,100.7358,100
02/13/1968,100.8068,100.8068,100.807,100.8068,100
02/14/1968,100.8676,100.8676,100.868,100.8676,100
02/15/1968,100.9092,100.9092,100.909,100.9092,100
02/16/1968,100.9755,100.9755,100.976,100.9755,100
02/19/1968,100.9829,100.9829,100.983,100.9829,100
02/20/1968,100.9259,100.9259,100.926,100.9259,100
02/21/1968,100.9268,100.9268,100.927,100.9268,100
02/23/1968,100.9347,100.9347,100.935,100.9347,100
02/26/1968,100.8908,100.8908,100.891,100.8908,100
02/27/1968,100.8941,100.8941,100.894,100.8941,100
02/28/1968,100.9414,100.9414,100.941,100.9414,100
02/29/1968,100.9739,100.9739,100.974,100.9739,100
03/01/1968,100.9967,100.9967,100.997,100.9967,100
03/04/1968,101.0192,101.0192,101.019,101.0192,100
03/05/1968,101.0290,101.0290,101.029,101.0290,100
03/06/1968,101.0178,101.0178,101.018,101.0178,100
03/07/1968,100.9236,100.9236,100.924,100.9236,100
03/08/1968,100.7683,100.7683,100.768,100.7683,100
03/11/1968,100.7728,100.7728,100.773,100.7728,100
