Date,Open,High,Low,Close,Volume
01/30/1970,100.0000,100.0000,100.000,100.0000,100
02/02/1970,99.8989,99.8989,99.899,99.8989,100
02/03/1970,99.7993,99.7993,99.799,99.7993,100
02/04/1970,99.7011,99.7011,99.701,99.7011,100
02/05/1970,99.6029,99.6029,99.603,99.6029,100
02/06/1970,99.5044,99.5044,99.504,99.5044,100
02/09/1970,99.4075,99.4075,99.408,99.4075,100
02/10/1970,99.3117,99.3117,99.312,99.3117,100
02/11/1970,99.2157,99.2157,99.216,99.2157,100
02/12/1970,99.1198,99.1198,99.120,99.1198,100
02/13/1970,99.0241,99.0241,99.024,99.0241,100
02/16/1970,98.9308,98.9308,98.931,98.9308,100
02/17/1970,98.8383,98.8383,98.838,98.8383,100
02/18/1970,98.7464,98.7464,98.746,98.7464,100
02/19/1970,98.6554,98.6554,98.655,98.6554,100
02/20/1970,98.5649,98.5649,98.565,98.5649,100
02/24/1970,98.4741,98.4741,98.474,98.4741,100
02/25/1970,98.3840,98.3840,98.384,98.3840,100
02/26/1970,98.2948,98.2948,98.295,98.2948,100
02/27/1970,114.6463,114.6463,114.646,114.6463,100
03/02/1970,114.5447,114.5447,114.545,114.5447,100
03/03/1970,114.4427,114.4427,114.443,114.4427,100
03/04/1970,114.3409,114.3409,114.341,114.3409,100
03/05/1970,114.2400,114.2400,114.240,114.2400,100
03/06/1970,114.1402,114.1402,114.140,114.1402,100
03/09/1970,114.0417,114.0417,114.042,114.0417,100
03/10/1970,113.9434,113.9434,113.943,113.9434,100
03/11/1970,113.8452,113.8452,113.845,113.8452,100
03/12/1970,113.7461,113.7461,113.746,113.7461,100
03/13/1970,113.6463,113.6463,113.646,113.6463,100
03/16/1970,113.5456,113.5456,113.546,113.5456,100
03/17/1970,113.4456,113.4456,113.446,113.4456,100
03/18/1970,113.3447,113.3447,113.345,113.3447,100
03/19/1970,113.2443,113.2443,113.244,113.2443,100
03/20/1970,113.1463,113.1463,113.146,113.1463,100
03/23/1970,113.0485,113.0485,113.049,113.0485,100
03/24/1970,112.9520,112.9520,112.952,112.9520,100
03/25/1970,112.8564,112.8564,112.856,112.8564,100
03/26/1970,112.7615,112.7615,112.761,112.7615,100
03/30/1970,112.6655,112.6655,112.665,112.6655,100
03/31/1970,114.0431,114.0431,114.043,114.0431,100
04/01/1970,113.9448,113.9448,113.945,113.9448,100
04/02/1970,113.8477,113.8477,113.848,113.8477,100
04/03/1970,113.7508,113.7508,113.751,113.7508,100
04/06/1970,113.6538,113.6538,113.654,113.6538,100
04/07/1970,113.5566,113.5566,113.557,113.5566,100
04/08/1970,113.4596,113.4596,113.460,113.4596,100
04/09/1970,113.3629,113.3629,113.363,113.3629,100
04/10/1970,113.2665,113.2665,113.267,113.2665,100
04/13/1970,113.1709,113.1709,113.171,113.1709,100
04/14/1970,113.0751,113.0751,113.075,113.0751,100
04/15/1970,112.9789,112.9789,112.979,112.9789,100
04/16/1970,112.8820,112.8820,112.882,112.8820,100
04/17/1970,112.7842,112.7842,112.784,112.7842,100
