Date,Open,High,Low,Close,Volume
07/26/2002,100.0000,100.0000,100.000,100.0000,100
07/29/2002,96.0148,96.0148,96.015,96.0148,100
07/30/2002,96.3462,96.3462,96.346,96.3462,100
07/31/2002,99.9045,99.9045,99.905,99.9045,100
08/01/2002,101.5893,101.5893,101.589,101.5893,100
08/02/2002,104.6886,104.6886,104.689,104.6886,100
08/05/2002,106.0530,106.0530,106.053,106.0530,100
08/06/2002,103.3109,103.3109,103.311,103.3109,100
08/07/2002,104.0316,104.0316,104.032,104.0316,100
08/08/2002,104.0104,104.0104,104.010,104.0104,100
08/09/2002,108.3877,108.3877,108.388,108.3877,100
08/12/2002,110.3572,110.3572,110.357,110.3572,100
08/13/2002,114.4040,114.4040,114.404,114.4040,100
08/14/2002,115.6900,115.6900,115.690,115.6900,100
08/15/2002,112.6253,112.6253,112.625,112.6253,100
08/16/2002,108.8300,108.8300,108.830,108.8300,100
08/19/2002,109.8038,109.8038,109.804,109.8038,100
08/20/2002,113.4468,113.4468,113.447,113.4468,100
08/21/2002,111.6074,111.6074,111.607,111.6074,100
08/22/2002,108.6568,108.6568,108.657,108.6568,100
08/23/2002,111.8514,111.8514,111.851,111.8514,100
08/26/2002,112.1392,112.1392,112.139,112.1392,100
08/27/2002,110.0018,110.0018,110.002,110.0018,100
08/28/2002,111.6374,111.6374,111.637,111.6374,100
08/29/2002,114.3034,114.3034,114.303,114.3034,100
08/30/2002,116.3388,116.3388,116.339,116.3388,100
09/03/2002,121.6796,121.6796,121.680,121.6796,100
09/04/2002,121.5709,121.5709,121.571,121.5709,100
09/05/2002,123.5343,123.5343,123.534,123.5343,100
09/06/2002,119.1537,119.1537,119.154,119.1537,100
09/09/2002,118.5968,118.5968,118.597,118.5968,100
09/10/2002,120.2821,120.2821,120.282,120.2821,100
09/11/2002,118.3644,118.3644,118.364,118.3644,100
09/12/2002,121.1041,121.1041,121.104,121.1041,100
09/13/2002,124.4228,124.4228,124.423,124.4228,100
09/16/2002,125.0268,125.0268,125.027,125.0268,100
09/17/2002,125.7165,125.7165,125.716,125.7165,100
09/18/2002,125.7738,125.7738,125.774,125.7738,100
09/19/2002,128.2871,128.2871,128.287,128.2871,100
09/20/2002,126.4587,126.4587,126.459,126.4587,100
09/23/2002,129.8310,129.8310,129.831,129.8310,100
09/24/2002,132.3113,132.3113,132.311,132.3113,100
09/25/2002,127.4687,127.4687,127.469,127.4687,100
09/26/2002,126.5450,126.5450,126.545,126.5450,100
09/27/2002,129.3648,129.3648,129.365,129.3648,100
09/30/2002,130.8903,130.8903,130.890,130.8903,100
10/01/2002,125.9933,125.9933,125.993,125.9933,100
10/02/2002,128.1359,128.1359,128.136,128.1359,100
10/03/2002,127.1657,127.1657,127.166,127.1657,100
10/04/2002,128.3382,128.3382,128.338,128.3382,100
10/07/2002,128.9580,128.9580,128.958,128.9580,100
10/08/2002,129.0617,129.0617,129.062,129.0617,100
10/09/2002,131.0216,131.0216,131.022,131.0216,100
10/10/2002,127.9003,127.9003,127.900,127.9003,100
10/11/2002,123.3272,123.3272,123.327,123.3272,100
10/14/2002,122.7583,122.7583,122.758,122.7583,100
10/15/2002,114.0116,114.0116,114.012,114.0116,100
10/16/2002,114.1454,114.1454,114.145,114.1454,100
10/17/2002,109.9497,109.9497,109.950,109.9497,100
10/18/2002,110.7780,110.7780,110.778,110.7780,100
10/21/2002,107.5228,107.5228,107.523,107.5228,100
10/22/2002,106.5828,106.5828,106.583,106.5828,100
10/23/2002,106.6725,106.6725,106.673,106.6725,100
10/24/2002,109.4568,109.4568,109.457,109.4568,100
10/25/2002,110.6300,110.6300,110.630,110.6300,100
10/28/2002,110.1404,110.1404,110.140,110.1404,100
10/29/2002,114.4201,114.4201,114.420,114.4201,100
10/30/2002,114.2787,114.2787,114.279,114.2787,100
10/31/2002,115.8057,115.8057,115.806,115.8057,100
11/01/2002,114.3315,114.3315,114.332,114.3315,100
11/04/2002,112.7943,112.7943,112.794,112.7943,100
11/05/2002,111.4685,111.4685,111.468,111.4685,100
11/06/2002,112.7809,112.7809,112.781,112.7809,100
11/07/2002,121.1384,121.1384,121.138,121.1384,100
11/08/2002,124.0569,124.0569,124.057,124.0569,100
11/11/2002,126.0537,126.0537,126.054,126.0537,100
11/12/2002,123.8616,123.8616,123.862,123.8616,100
11/13/2002,124.6373,124.6373,124.637,124.6373,100
11/14/2002,116.8494,116.8494,116.849,116.8494,100
11/15/2002,118.2415,118.2415,118.241,118.2415,100
11/18/2002,119.8072,119.8072,119.807,119.8072,100
11/19/2002,121.0991,121.0991,121.099,121.0991,100
11/20/2002,117.5184,117.5184,117.518,117.5184,100
11/21/2002,114.0905,114.0905,114.091,114.0905,100
11/22/2002,113.7506,113.7506,113.751,113.7506,100
11/25/2002,113.0939,113.0939,113.094,113.0939,100
11/26/2002,117.3384,117.3384,117.338,117.3384,100
11/27/2002,109.3818,109.3818,109.382,109.3818,100
11/29/2002,111.4834,111.4834,111.483,111.4834,100
12/02/2002,111.7736,111.7736,111.774,111.7736,100
12/03/2002,112.2237,112.2237,112.224,112.2237,100
12/04/2002,113.9370,113.9370,113.937,113.9370,100
12/05/2002,114.7913,114.7913,114.791,114.7913,100
12/06/2002,115.3700,115.3700,115.370,115.3700,100
12/09/2002,117.2764,117.2764,117.276,117.2764,100
