Date,Open,High,Low,Close,Volume
03/10/1999,100.0000,100.0000,100.000,100.0000,100
03/11/1999,101.4085,101.4085,101.408,101.4085,100
03/12/1999,93.9360,93.9360,93.936,93.9360,100
03/15/1999,101.9710,101.9710,101.971,101.9710,100
03/16/1999,104.5082,104.5082,104.508,104.5082,100
03/17/1999,102.1816,102.1816,102.182,102.1816,100
03/18/1999,108.0652,108.0652,108.065,108.0652,100
03/19/1999,99.7124,99.7124,99.712,99.7124,100
03/22/1999,96.0022,96.0022,96.002,96.0022,100
03/23/1999,85.8043,85.8043,85.804,85.8043,100
03/24/1999,94.4868,94.4868,94.487,94.4868,100
03/25/1999,104.7856,104.7856,104.786,104.7856,100
03/26/1999,101.3420,101.3420,101.342,101.3420,100
03/29/1999,112.2964,112.2964,112.296,112.2964,100
03/30/1999,109.8728,109.8728,109.873,109.8728,100
03/31/1999,104.9710,104.9710,104.971,104.9710,100
04/01/1999,111.4726,111.4726,111.473,111.4726,100
04/05/1999,123.5025,123.5025,123.502,123.5025,100
04/06/1999,124.2636,124.2636,124.264,124.2636,100
04/07/1999,120.2108,120.2108,120.211,120.2108,100
04/08/1999,123.0061,123.0061,123.006,123.0061,100
04/09/1999,125.2204,125.2204,125.220,125.2204,100
04/12/1999,122.6226,122.6226,122.623,122.6226,100
04/13/1999,117.5732,117.5732,117.573,117.5732,100
04/14/1999,105.4103,105.4103,105.410,105.4103,100
04/15/1999,109.6517,109.6517,109.652,109.6517,100
04/16/1999,99.9850,99.9850,99.985,99.9850,100
04/19/1999,85.8563,85.8563,85.856,85.8563,100
04/20/1999,91.6553,91.6553,91.655,91.6553,100
04/21/1999,105.1711,105.1711,105.171,105.1711,100
04/22/1999,113.6409,113.6409,113.641,113.6409,100
04/23/1999,118.0611,118.0611,118.061,118.0611,100
04/26/1999,126.1946,126.1946,126.195,126.1946,100
04/27/1999,120.2657,120.2657,120.266,120.2657,100
04/28/1999,107.8497,107.8497,107.850,107.8497,100
04/29/1999,105.1541,105.1541,105.154,105.1541,100
04/30/1999,107.1233,107.1233,107.123,107.1233,100
05/03/1999,105.3757,105.3757,105.376,105.3757,100
05/04/1999,100.3202,100.3202,100.320,100.3202,100
05/05/1999,109.3791,109.3791,109.379,109.3791,100
05/06/1999,97.3912,97.3912,97.391,97.3912,100
05/07/1999,101.5283,101.5283,101.528,101.5283,100
05/10/1999,104.5216,104.5216,104.522,104.5216,100
05/11/1999,109.4035,109.4035,109.404,109.4035,100
