Date,Open,High,Low,Close,Volume
07/26/2002,100.0000,100.0000,100.000,100.0000,100
07/29/2002,97.3484,97.3484,97.348,97.3484,100
07/30/2002,97.5779,97.5779,97.578,97.5779,100
07/31/2002,99.9860,99.9860,99.986,99.9860,100
08/01/2002,101.1154,101.1154,101.115,101.1154,100
08/02/2002,103.1770,103.1770,103.177,103.1770,100
08/05/2002,104.0783,104.0783,104.078,104.0783,100
08/06/2002,102.2893,102.2893,102.289,102.2893,100
08/07/2002,102.7699,102.7699,102.770,102.7699,100
08/08/2002,102.7607,102.7607,102.761,102.7607,100
08/09/2002,105.6488,105.6488,105.649,105.6488,100
08/12/2002,106.9336,106.9336,106.934,106.9336,100
08/13/2002,109.5532,109.5532,109.553,109.5532,100
08/14/2002,110.3795,110.3795,110.380,110.3795,100
08/15/2002,108.4358,108.4358,108.436,108.4358,100
08/16/2002,106.0052,106.0052,106.005,106.0052,100
08/19/2002,106.6432,106.6432,106.643,106.6432,100
08/20/2002,109.0077,109.0077,109.008,109.0077,100
08/21/2002,107.8350,107.8350,107.835,107.8350,100
08/22/2002,105.9399,105.9399,105.940,105.9399,100
08/23/2002,108.0220,108.0220,108.022,108.0220,100
08/26/2002,108.2130,108.2130,108.213,108.2130,100
08/27/2002,106.8435,106.8435,106.843,106.8435,100
08/28/2002,107.9085,107.9085,107.908,107.9085,100
08/29/2002,109.6322,109.6322,109.632,109.6322,100
08/30/2002,110.9393,110.9393,110.939,110.9393,100
09/03/2002,114.3400,114.3400,114.340,114.3400,100
09/04/2002,114.2776,114.2776,114.278,114.2776,100
09/05/2002,115.5135,115.5135,115.513,115.5135,100
09/06/2002,112.7882,112.7882,112.788,112.7882,100
09/09/2002,112.4424,112.4424,112.442,112.4424,100
09/10/2002,113.5133,113.5133,113.513,113.5133,100
09/11/2002,112.3126,112.3126,112.313,112.3126,100
09/12/2002,114.0516,114.0516,114.052,114.0516,100
09/13/2002,116.1412,116.1412,116.141,116.1412,100
09/16/2002,116.5228,116.5228,116.523,116.5228,100
09/17/2002,116.9573,116.9573,116.957,116.9573,100
09/18/2002,116.9989,116.9989,116.999,116.9989,100
09/19/2002,118.5634,118.5634,118.563,118.5634,100
09/20/2002,117.4425,117.4425,117.443,117.4425,100
09/23/2002,119.5360,119.5360,119.536,119.5360,100
09/24/2002,121.0641,121.0641,121.064,121.0641,100
09/25/2002,118.1160,118.1160,118.116,118.1160,100
09/26/2002,117.5512,117.5512,117.551,117.5512,100
09/27/2002,119.3031,119.3031,119.303,119.3031,100
09/30/2002,120.2464,120.2464,120.246,120.2464,100
10/01/2002,117.2524,117.2524,117.252,117.2524,100
10/02/2002,118.5869,118.5869,118.587,118.5869,100
10/03/2002,117.9933,117.9933,117.993,117.9933,100
10/04/2002,118.7236,118.7236,118.724,118.7236,100
10/07/2002,119.1111,119.1111,119.111,119.1111,100
10/08/2002,119.1803,119.1803,119.180,119.1803,100
10/09/2002,120.3923,120.3923,120.392,120.3923,100
10/10/2002,118.4855,118.4855,118.485,118.4855,100
10/11/2002,115.6665,115.6665,115.666,115.6665,100
10/14/2002,115.3160,115.3160,115.316,115.3160,100
10/15/2002,109.8437,109.8437,109.844,109.8437,100
10/16/2002,109.9353,109.9353,109.935,109.9353,100
10/17/2002,107.2468,107.2468,107.247,107.2468,100
10/18/2002,107.7909,107.7909,107.791,107.7909,100
10/21/2002,105.6848,105.6848,105.685,105.6848,100
10/22/2002,105.0746,105.0746,105.075,105.0746,100
10/23/2002,105.1392,105.1392,105.139,105.1392,100
10/24/2002,106.9743,106.9743,106.974,106.9743,100
10/25/2002,107.7440,107.7440,107.744,107.7440,100
10/28/2002,107.4313,107.4313,107.431,107.4313,100
10/29/2002,110.2191,110.2191,110.219,110.2191,100
10/30/2002,110.1330,110.1330,110.133,110.1330,100
10/31/2002,111.1186,111.1186,111.119,111.1186,100
11/01/2002,110.1801,110.1801,110.180,110.1801,100
11/04/2002,109.1969,109.1969,109.197,109.1969,100
11/05/2002,108.3457,108.3457,108.346,108.3457,100
11/06/2002,109.2006,109.2006,109.201,109.2006,100
11/07/2002,114.5998,114.5998,114.600,114.5998,100
11/08/2002,116.4451,116.4451,116.445,116.4451,100
11/11/2002,117.6993,117.6993,117.699,117.6993,100
11/12/2002,116.3394,116.3394,116.339,116.3394,100
11/13/2002,116.8297,116.8297,116.830,116.8297,100
11/14/2002,111.9675,111.9675,111.968,111.9675,100
11/15/2002,112.8614,112.8614,112.861,112.8614,100
11/18/2002,113.8624,113.8624,113.862,113.8624,100
11/19/2002,114.6856,114.6856,114.686,114.6856,100
11/20/2002,112.4296,112.4296,112.430,112.4296,100
11/21/2002,110.2480,110.2480,110.248,110.2480,100
11/22/2002,110.0337,110.0337,110.034,110.0337,100
11/25/2002,109.6149,109.6149,109.615,109.6149,100
11/26/2002,112.3623,112.3623,112.362,112.3623,100
11/27/2002,107.2876,107.2876,107.288,107.2876,100
11/29/2002,108.6666,108.6666,108.667,108.6666,100
12/02/2002,108.8599,108.8599,108.860,108.8599,100
12/03/2002,109.1569,109.1569,109.157,109.1569,100
12/04/2002,110.2727,110.2727,110.273,110.2727,100
12/05/2002,110.8287,110.8287,110.829,110.8287,100
12/06/2002,111.2058,111.2058,111.206,111.2058,100
12/09/2002,112.4353,112.4353,112.435,112.4353,100
12/10/2002,113.0227,113.0227,113.023,113.0227,100
12/11/2002,114.5222,114.5222,114.522,114.5222,100
12/12/2002,114.3030,114.3030,114.303,114.3030,100
12/13/2002,112.0696,112.0696,112.070,112.0696,100
12/16/2002,110.3765,110.3765,110.376,110.3765,100
12/17/2002,110.3671,110.3671,110.367,110.3671,100
12/18/2002,112.0798,112.0798,112.080,112.0798,100
12/19/2002,114.0647,114.0647,114.065,114.0647,100
12/20/2002,114.2122,114.2122,114.212,114.2122,100
12/23/2002,114.2552,114.2552,114.255,114.2552,100
12/24/2002,115.5268,115.5268,115.527,115.5268,100
12/26/2002,115.9641,115.9641,115.964,115.9641,100
12/27/2002,118.5093,118.5093,118.509,118.5093,100
12/30/2002,119.0588,119.0588,119.059,119.0588,100
12/31/2002,118.4492,118.4492,118.449,118.4492,100
01/02/2003,112.3147,112.3147,112.315,112.3147,100
01/03/2003,112.8262,112.8262,112.826,112.8262,100
01/06/2003,112.2167,112.2167,112.217,112.2167,100
01/07/2003,113.0140,113.0140,113.014,113.0140,100
01/08/2003,114.1276,114.1276,114.128,114.1276,100
01/09/2003,109.7364,109.7364,109.736,109.7364,100
01/10/2003,110.2931,110.2931,110.293,110.2931,100
01/13/2003,110.6451,110.6451,110.645,110.6451,100
01/14/2003,111.4108,111.4108,111.411,111.4108,100
01/15/2003,112.4901,112.4901,112.490,112.4901,100
01/16/2003,112.7935,112.7935,112.793,112.7935,100
01/17/2003,113.9055,113.9055,113.905,113.9055,100
01/21/2003,115.2063,115.2063,115.206,115.2063,100
01/22/2003,116.3301,116.3301,116.330,116.3301,100
01/23/2003,115.1825,115.1825,115.182,115.1825,100
01/24/2003,116.5431,116.5431,116.543,116.5431,100
01/27/2003,115.6859,115.6859,115.686,115.6859,100
01/28/2003,115.6768,115.6768,115.677,115.6768,100
01/29/2003,114.4005,114.4005,114.401,114.4005,100
01/30/2003,116.0974,116.0974,116.097,116.0974,100
01/31/2003,116.7228,116.7228,116.723,116.7228,100
02/03/2003,117.0528,117.0528,117.053,117.0528,100
02/04/2003,118.0823,118.0823,118.082,118.0823,100
02/05/2003,116.0396,116.0396,116.040,116.0396,100
02/06/2003,117.9132,117.9132,117.913,117.9132,100
02/07/2003,118.4384,118.4384,118.438,118.4384,100
02/10/2003,116.7682,116.7682,116.768,116.7682,100
02/11/2003,116.7056,116.7056,116.706,116.7056,100
02/12/2003,117.5207,117.5207,117.521,117.5207,100
02/13/2003,118.7922,118.7922,118.792,118.7922,100
02/14/2003,116.7443,116.7443,116.744,116.7443,100
02/18/2003,117.0276,117.0276,117.028,117.0276,100
02/19/2003,118.6156,118.6156,118.616,118.6156,100
02/20/2003,119.4102,119.4102,119.410,119.4102,100
02/21/2003,118.0027,118.0027,118.003,118.0027,100
02/24/2003,119.1159,119.1159,119.116,119.1159,100
02/25/2003,120.2075,120.2075,120.207,120.2075,100
02/26/2003,121.8704,121.8704,121.870,121.8704,100
02/27/2003,122.2683,122.2683,122.268,122.2683,100
