Date,Open,High,Low,Close,Volume
07/01/1982,100.0000,100.0000,100.000,100.0000,100
07/02/1982,101.4386,101.4386,101.439,101.4386,100
07/06/1982,100.1585,100.1585,100.159,100.1585,100
07/07/1982,97.2139,97.2139,97.214,97.2139,100
07/08/1982,101.3553,101.3553,101.355,101.3553,100
07/09/1982,110.8855,110.8855,110.886,110.8855,100
07/12/1982,120.4912,120.4912,120.491,120.4912,100
07/13/1982,126.9690,126.9690,126.969,126.9690,100
07/14/1982,126.9009,126.9009,126.901,126.9009,100
07/15/1982,124.8893,124.8893,124.889,124.8893,100
07/16/1982,122.4018,122.4018,122.402,122.4018,100
07/19/1982,122.5612,122.5612,122.561,122.5612,100
07/20/1982,122.5103,122.5103,122.510,122.5103,100
07/21/1982,135.5727,135.5727,135.573,135.5727,100
07/22/1982,125.3771,125.3771,125.377,125.3771,100
07/23/1982,132.4333,132.4333,132.433,132.4333,100
07/26/1982,124.2123,124.2123,124.212,124.2123,100
07/27/1982,123.3143,123.3143,123.314,123.3143,100
07/28/1982,120.1733,120.1733,120.173,120.1733,100
07/29/1982,116.8676,116.8676,116.868,116.8676,100
07/30/1982,116.9587,116.9587,116.959,116.9587,100
08/02/1982,122.5096,122.5096,122.510,122.5096,100
08/03/1982,120.8648,120.8648,120.865,120.8648,100
08/04/1982,118.6077,118.6077,118.608,118.6077,100
08/05/1982,118.6352,118.6352,118.635,118.6352,100
08/06/1982,117.2230,117.2230,117.223,117.2230,100
08/09/1982,111.1247,111.1247,111.125,111.1247,100
08/10/1982,112.4118,112.4118,112.412,112.4118,100
08/11/1982,109.1164,109.1164,109.116,109.1164,100
08/12/1982,109.7358,109.7358,109.736,109.7358,100
08/13/1982,111.7380,111.7380,111.738,111.7380,100
08/16/1982,114.0235,114.0235,114.023,114.0235,100
08/17/1982,111.1951,111.1951,111.195,111.1951,100
08/18/1982,124.2184,124.2184,124.218,124.2184,100
08/19/1982,123.2911,123.2911,123.291,123.2911,100
08/20/1982,143.8110,143.8110,143.811,143.8110,100
08/23/1982,149.5888,149.5888,149.589,149.5888,100
08/24/1982,159.4084,159.4084,159.408,159.4084,100
08/25/1982,153.9644,153.9644,153.964,153.9644,100
08/26/1982,166.0518,166.0518,166.052,166.0518,100
08/27/1982,166.6332,166.6332,166.633,166.6332,100
08/30/1982,153.8078,153.8078,153.808,153.8078,100
08/31/1982,160.7093,160.7093,160.709,160.7093,100
09/01/1982,155.5695,155.5695,155.569,155.5695,100
09/02/1982,158.8114,158.8114,158.811,158.8114,100
09/03/1982,193.7141,193.7141,193.714,193.7141,100
09/07/1982,215.5947,215.5947,215.595,215.5947,100
09/08/1982,194.6870,194.6870,194.687,194.6870,100
09/09/1982,201.2253,201.2253,201.225,201.2253,100
09/10/1982,189.7280,189.7280,189.728,189.7280,100
09/13/1982,177.7397,177.7397,177.740,177.7397,100
09/14/1982,189.8071,189.8071,189.807,189.8071,100
09/15/1982,180.3593,180.3593,180.359,180.3593,100
09/16/1982,184.4242,184.4242,184.424,184.4242,100
09/17/1982,178.4147,178.4147,178.415,178.4147,100
09/20/1982,164.1915,164.1915,164.192,164.1915,100
09/21/1982,165.7512,165.7512,165.751,165.7512,100
09/22/1982,178.9021,178.9021,178.902,178.9021,100
09/23/1982,172.3007,172.3007,172.301,172.3007,100
09/24/1982,168.2831,168.2831,168.283,168.2831,100
09/27/1982,154.5545,154.5545,154.554,154.5545,100
09/28/1982,151.9619,151.9619,151.962,151.9619,100
09/29/1982,151.1748,151.1748,151.175,151.1748,100
09/30/1982,141.6111,141.6111,141.611,141.6111,100
10/01/1982,144.9998,144.9998,145.000,144.9998,100
10/04/1982,134.3607,134.3607,134.361,134.3607,100
10/05/1982,136.0584,136.0584,136.058,136.0584,100
10/06/1982,145.5066,145.5066,145.507,145.5066,100
10/07/1982,155.7664,155.7664,155.766,155.7664,100
10/08/1982,166.3773,166.3773,166.377,166.3773,100
10/12/1982,172.4904,172.4904,172.490,172.4904,100
10/13/1982,162.5319,162.5319,162.532,162.5319,100
10/14/1982,176.9912,176.9912,176.991,176.9912,100
10/15/1982,164.5505,164.5505,164.550,164.5505,100
10/18/1982,161.0962,161.0962,161.096,161.0962,100
10/19/1982,170.9300,170.9300,170.930,170.9300,100
10/20/1982,155.6454,155.6454,155.645,155.6454,100
10/21/1982,163.2200,163.2200,163.220,163.2200,100
10/22/1982,159.6432,159.6432,159.643,159.6432,100
10/25/1982,152.4523,152.4523,152.452,152.4523,100
10/26/1982,152.7132,152.7132,152.713,152.7132,100
10/27/1982,151.4465,151.4465,151.447,151.4465,100
10/28/1982,151.6359,151.6359,151.636,151.6359,100
10/29/1982,151.8273,151.8273,151.827,151.8273,100
11/01/1982,152.0186,152.0186,152.019,152.0186,100
11/03/1982,158.6107,158.6107,158.611,158.6107,100
11/04/1982,156.3559,156.3559,156.356,156.3559,100
11/05/1982,150.8814,150.8814,150.881,150.8814,100
11/08/1982,143.2689,143.2689,143.269,143.2689,100
11/09/1982,144.5134,144.5134,144.513,144.5134,100
11/10/1982,145.6222,145.6222,145.622,145.6222,100
11/12/1982,136.2465,136.2465,136.247,136.2465,100
11/15/1982,139.6511,139.6511,139.651,139.6511,100
11/16/1982,142.4687,142.4687,142.469,142.4687,100
11/17/1982,145.8021,145.8021,145.802,145.8021,100
11/18/1982,142.8082,142.8082,142.808,142.8082,100
11/19/1982,149.0093,149.0093,149.009,149.0093,100
11/22/1982,143.7763,143.7763,143.776,143.7763,100
11/23/1982,140.4644,140.4644,140.464,140.4644,100
11/24/1982,142.5219,142.5219,142.522,142.5219,100
11/26/1982,140.1327,140.1327,140.133,140.1327,100
11/29/1982,159.3045,159.3045,159.305,159.3045,100
11/30/1982,160.5889,160.5889,160.589,160.5889,100
12/01/1982,163.4974,163.4974,163.497,163.4974,100
12/02/1982,167.7657,167.7657,167.766,167.7657,100
12/03/1982,163.8154,163.8154,163.815,163.8154,100
12/06/1982,166.6054,166.6054,166.605,166.6054,100
12/07/1982,173.3808,173.3808,173.381,173.3808,100
12/08/1982,165.9409,165.9409,165.941,165.9409,100
12/09/1982,160.1609,160.1609,160.161,160.1609,100
12/10/1982,158.6641,158.6641,158.664,158.6641,100
12/13/1982,160.6706,160.6706,160.671,160.6706,100
12/14/1982,168.3294,168.3294,168.329,168.3294,100
12/15/1982,159.2339,159.2339,159.234,159.2339,100
12/16/1982,161.0280,161.0280,161.028,161.0280,100
12/17/1982,158.5122,158.5122,158.512,158.5122,100
12/20/1982,160.6596,160.6596,160.660,160.6596,100
12/21/1982,161.9434,161.9434,161.943,161.9434,100
12/22/1982,165.4308,165.4308,165.431,165.4308,100
