Date,Open,High,Low,Close,Volume
01/02/1980,100.0000,100.0000,100.000,100.0000,100
01/03/1980,100.4239,100.4239,100.424,100.4239,100
01/04/1980,100.2422,100.2422,100.242,100.2422,100
01/07/1980,100.3634,100.3634,100.363,100.3634,100
01/08/1980,100.6056,100.6056,100.606,100.6056,100
01/09/1980,100.7874,100.7874,100.787,100.7874,100
01/10/1980,101.1508,101.1508,101.151,101.1508,100
01/11/1980,101.4537,101.4537,101.454,101.4537,100
01/14/1980,102.4227,102.4227,102.423,102.4227,100
01/15/1980,103.3313,103.3313,103.331,103.3313,100
01/16/1980,104.0581,104.0581,104.058,104.0581,100
01/17/1980,104.1187,104.1187,104.119,104.1187,100
01/18/1980,103.9370,103.9370,103.937,103.9370,100
01/21/1980,103.9975,103.9975,103.998,103.9975,100
01/22/1980,102.7256,102.7256,102.726,102.7256,100
01/23/1980,102.7256,102.7256,102.726,102.7256,100
01/24/1980,103.5130,103.5130,103.513,103.5130,100
01/25/1980,103.2101,103.2101,103.210,103.2101,100
01/28/1980,103.2707,103.2707,103.271,103.2707,100
01/29/1980,104.4821,104.4821,104.482,104.4821,100
01/30/1980,104.7849,104.7849,104.785,104.7849,100
01/31/1980,104.3609,104.3609,104.361,104.3609,100
02/01/1980,104.3609,104.3609,104.361,104.3609,100
02/04/1980,104.3609,104.3609,104.361,104.3609,100
02/05/1980,104.2398,104.2398,104.240,104.2398,100
02/06/1980,104.9666,104.9666,104.967,104.9666,100
02/07/1980,105.8146,105.8146,105.815,105.8146,100
02/08/1980,106.3598,106.3598,106.360,106.3598,100
02/11/1980,107.2683,107.2683,107.268,107.2683,100
02/12/1980,106.7232,106.7232,106.723,106.7232,100
02/13/1980,106.9048,106.9048,106.905,106.9048,100
02/14/1980,107.2683,107.2683,107.268,107.2683,100
02/15/1980,106.8443,106.8443,106.844,106.8443,100
02/19/1980,105.6935,105.6935,105.693,105.6935,100
02/20/1980,105.6329,105.6329,105.633,105.6329,100
02/21/1980,106.3598,106.3598,106.360,106.3598,100
02/22/1980,105.3301,105.3301,105.330,105.3301,100
02/25/1980,103.8764,103.8764,103.876,103.8764,100
02/26/1980,103.5735,103.5735,103.574,103.5735,100
02/27/1980,104.3609,104.3609,104.361,104.3609,100
02/28/1980,104.9666,104.9666,104.967,104.9666,100
02/29/1980,104.4215,104.4215,104.422,104.4215,100
03/03/1980,104.4821,104.4821,104.482,104.4821,100
03/04/1980,103.6342,103.6342,103.634,103.6342,100
03/05/1980,103.0890,103.0890,103.089,103.0890,100
03/06/1980,102.0593,102.0593,102.059,102.0593,100
03/07/1980,100.5451,100.5451,100.545,100.5451,100
03/10/1980,98.0012,98.0012,98.001,98.0012,100
03/11/1980,97.5166,97.5166,97.517,97.5166,100
03/12/1980,97.5166,97.5166,97.517,97.5166,100
03/13/1980,96.1235,96.1235,96.124,96.1235,100
03/14/1980,94.5487,94.5487,94.549,94.5487,100
03/17/1980,91.9443,91.9443,91.944,91.9443,100
03/18/1980,91.2174,91.2174,91.217,91.2174,100
03/19/1980,92.9739,92.9739,92.974,92.9739,100
03/20/1980,94.0036,94.0036,94.004,94.0036,100
03/21/1980,93.3374,93.3374,93.337,93.3374,100
03/24/1980,92.8528,92.8528,92.853,92.8528,100
03/25/1980,91.9443,91.9443,91.944,91.9443,100
03/26/1980,91.2780,91.2780,91.278,91.2780,100
03/27/1980,89.6426,89.6426,89.643,89.6426,100
03/28/1980,90.3694,90.3694,90.369,90.3694,100
03/31/1980,90.5511,90.5511,90.551,90.5511,100
04/01/1980,90.3089,90.3089,90.309,90.3089,100
04/02/1980,90.9145,90.9145,90.915,90.9145,100
04/03/1980,91.0357,91.0357,91.036,91.0357,100
04/07/1980,90.6723,90.6723,90.672,90.6723,100
04/08/1980,91.7020,91.7020,91.702,91.7020,100
04/09/1980,93.4585,93.4585,93.458,93.4585,100
04/10/1980,94.2459,94.2459,94.246,94.2459,100
04/11/1980,94.2459,94.2459,94.246,94.2459,100
04/14/1980,94.4276,94.4276,94.428,94.4276,100
04/15/1980,93.2768,93.2768,93.277,93.2768,100
04/16/1980,93.9430,93.9430,93.943,93.9430,100
04/17/1980,94.3670,94.3670,94.367,94.3670,100
04/18/1980,94.7910,94.7910,94.791,94.7910,100
04/21/1980,94.7910,94.7910,94.791,94.7910,100
04/22/1980,95.0333,95.0333,95.033,95.0333,100
04/23/1980,96.6686,96.6686,96.669,96.6686,100
04/24/1980,97.0321,97.0321,97.032,97.0321,100
04/25/1980,97.4561,97.4561,97.456,97.4561,100
04/28/1980,98.3646,98.3646,98.365,98.3646,100
04/29/1980,98.5463,98.5463,98.546,98.5463,100
04/30/1980,98.6674,98.6674,98.667,98.6674,100
05/01/1980,98.5463,98.5463,98.546,98.5463,100
05/02/1980,98.5463,98.5463,98.546,98.5463,100
05/05/1980,99.3337,99.3337,99.334,99.3337,100
05/06/1980,99.9394,99.9394,99.939,99.9394,100
05/07/1980,100.3028,100.3028,100.303,100.3028,100
05/08/1980,99.5154,99.5154,99.515,99.5154,100
05/09/1980,100.2422,100.2422,100.242,100.2422,100
05/12/1980,101.2113,101.2113,101.211,101.2113,100
05/13/1980,101.8776,101.8776,101.878,101.8776,100
05/14/1980,102.6044,102.6044,102.604,102.6044,100
05/15/1980,103.2101,103.2101,103.210,103.2101,100
