Date,Open,High,Low,Close,Volume
01/02/1968,100.0000,100.0000,100.000,100.0000,100
01/03/1968,100.2977,100.2977,100.298,100.2977,100
01/04/1968,101.5266,101.5266,101.527,101.5266,100
01/05/1968,102.6060,102.6060,102.606,102.6060,100
01/08/1968,102.7187,102.7187,102.719,102.7187,100
01/09/1968,102.4187,102.4187,102.419,102.4187,100
01/10/1968,102.7519,102.7519,102.752,102.7519,100
01/11/1968,103.0786,103.0786,103.079,103.0786,100
01/12/1968,103.2564,103.2564,103.256,103.2564,100
01/15/1968,102.7084,102.7084,102.708,102.7084,100
01/16/1968,101.8791,101.8791,101.879,101.8791,100
01/17/1968,101.9519,101.9519,101.952,101.9519,100
01/18/1968,101.5368,101.5368,101.537,101.5368,100
01/19/1968,100.7573,100.7573,100.757,100.7573,100
01/22/1968,100.4814,100.4814,100.481,100.4814,100
01/23/1968,100.9518,100.9518,100.952,100.9518,100
01/24/1968,101.5083,101.5083,101.508,101.5083,100
01/25/1968,101.8427,101.8427,101.843,101.8427,100
01/26/1968,101.9796,101.9796,101.980,101.9796,100
01/29/1968,102.0785,102.0785,102.078,102.0785,100
01/30/1968,102.3415,102.3415,102.341,102.3415,100
01/31/1968,102.4773,102.4773,102.477,102.4773,100
02/01/1968,102.3852,102.3852,102.385,102.3852,100
02/02/1968,102.4263,102.4263,102.426,102.4263,100
02/05/1968,102.3188,102.3188,102.319,102.3188,100
02/06/1968,102.1127,102.1127,102.113,102.1127,100
02/07/1968,102.2668,102.2668,102.267,102.2668,100
02/08/1968,102.2351,102.2351,102.235,102.2351,100
02/09/1968,102.2215,102.2215,102.221,102.2215,100
02/13/1968,102.5044,102.5044,102.504,102.5044,100
02/14/1968,102.7488,102.7488,102.749,102.7488,100
02/15/1968,103.0156,103.0156,103.016,103.0156,100
02/16/1968,103.1534,103.1534,103.153,103.1534,100
02/19/1968,103.0608,103.0608,103.061,103.0608,100
02/20/1968,102.9109,102.9109,102.911,102.9109,100
02/21/1968,102.9622,102.9622,102.962,102.9622,100
02/23/1968,102.9560,102.9560,102.956,102.9560,100
02/26/1968,102.6252,102.6252,102.625,102.6252,100
02/27/1968,102.3659,102.3659,102.366,102.3659,100
02/28/1968,102.3433,102.3433,102.343,102.3433,100
02/29/1968,102.3830,102.3830,102.383,102.3830,100
03/01/1968,102.4170,102.4170,102.417,102.4170,100
03/04/1968,102.3525,102.3525,102.353,102.3525,100
03/05/1968,102.0339,102.0339,102.034,102.0339,100
03/06/1968,101.5959,101.5959,101.596,101.5959,100
03/07/1968,100.9886,100.9886,100.989,100.9886,100
03/08/1968,99.9093,99.9093,99.909,99.9093,100
03/11/1968,99.5241,99.5241,99.524,99.5241,100
03/12/1968,99.3213,99.3213,99.321,99.3213,100
03/13/1968,98.6144,98.6144,98.614,98.6144,100
03/14/1968,97.7173,97.7173,97.717,97.7173,100
03/15/1968,98.0933,98.0933,98.093,98.0933,100
03/18/1968,99.2847,99.2847,99.285,99.2847,100
03/19/1968,99.6486,99.6486,99.649,99.6486,100
03/20/1968,99.7643,99.7643,99.764,99.7643,100
03/21/1968,99.8039,99.8039,99.804,99.8039,100
03/22/1968,99.8380,99.8380,99.838,99.8380,100
03/25/1968,100.0041,100.0041,100.004,100.0041,100
03/26/1968,99.7151,99.7151,99.715,99.7151,100
03/27/1968,99.4860,99.4860,99.486,99.4860,100
03/28/1968,99.5211,99.5211,99.521,99.5211,100
03/29/1968,99.7322,99.7322,99.732,99.7322,100
04/01/1968,100.7910,100.7910,100.791,100.7910,100
04/02/1968,101.6082,101.6082,101.608,101.6082,100
04/03/1968,102.4490,102.4490,102.449,102.4490,100
04/04/1968,102.9287,102.9287,102.929,102.9287,100
04/05/1968,102.8765,102.8765,102.876,102.8765,100
04/08/1968,102.9445,102.9445,102.944,102.9445,100
04/10/1968,103.3795,103.3795,103.379,103.3795,100
04/11/1968,103.5344,103.5344,103.534,103.5344,100
04/15/1968,103.0703,103.0703,103.070,103.0703,100
04/16/1968,102.8181,102.8181,102.818,102.8181,100
04/17/1968,102.8479,102.8479,102.848,102.8479,100
04/18/1968,102.6857,102.6857,102.686,102.6857,100
04/19/1968,101.6461,101.6461,101.646,101.6461,100
04/22/1968,100.8793,100.8793,100.879,100.8793,100
04/23/1968,101.2069,101.2069,101.207,101.2069,100
04/24/1968,101.7123,101.7123,101.712,101.7123,100
04/25/1968,101.8723,101.8723,101.872,101.8723,100
04/26/1968,101.8934,101.8934,101.893,101.8934,100
04/29/1968,101.9150,101.9150,101.915,101.9150,100
04/30/1968,101.9371,101.9371,101.937,101.9371,100
05/01/1968,102.2402,102.2402,102.240,102.2402,100
05/02/1968,102.3567,102.3567,102.357,102.3567,100
05/03/1968,102.0197,102.0197,102.020,102.0197,100
05/06/1968,101.9438,101.9438,101.944,101.9438,100
05/07/1968,102.1345,102.1345,102.134,102.1345,100
05/08/1968,102.1289,102.1289,102.129,102.1289,100
05/09/1968,102.1797,102.1797,102.180,102.1797,100
05/10/1968,102.3619,102.3619,102.362,102.3619,100
05/13/1968,102.3503,102.3503,102.350,102.3503,100
05/14/1968,102.1158,102.1158,102.116,102.1158,100
05/15/1968,101.9211,101.9211,101.921,101.9211,100
05/16/1968,101.4282,101.4282,101.428,101.4282,100
05/17/1968,100.9720,100.9720,100.972,100.9720,100
05/20/1968,100.4499,100.4499,100.450,100.4499,100
05/21/1968,100.0220,100.0220,100.022,100.0220,100
05/22/1968,99.8813,99.8813,99.881,99.8813,100
05/23/1968,100.0653,100.0653,100.065,100.0653,100
05/24/1968,100.5129,100.5129,100.513,100.5129,100
05/27/1968,101.1870,101.1870,101.187,101.1870,100
05/28/1968,101.5096,101.5096,101.510,101.5096,100
05/29/1968,101.4096,101.4096,101.410,101.4096,100
05/31/1968,102.0919,102.0919,102.092,102.0919,100
06/03/1968,103.0772,103.0772,103.077,103.0772,100
06/04/1968,103.6552,103.6552,103.655,103.6552,100
06/05/1968,103.5236,103.5236,103.524,103.5236,100
06/06/1968,103.2055,103.2055,103.206,103.2055,100
06/07/1968,103.2395,103.2395,103.239,103.2395,100
06/10/1968,103.3173,103.3173,103.317,103.3173,100
06/11/1968,103.2342,103.2342,103.234,103.2342,100
06/13/1968,103.4719,103.4719,103.472,103.4719,100
06/14/1968,103.9738,103.9738,103.974,103.9738,100
06/17/1968,104.2700,104.2700,104.270,104.2700,100
06/18/1968,104.2341,104.2341,104.234,104.2341,100
06/20/1968,104.6534,104.6534,104.653,104.6534,100
06/21/1968,105.2845,105.2845,105.284,105.2845,100
06/24/1968,105.4699,105.4699,105.470,105.4699,100
06/25/1968,105.1588,105.1588,105.159,105.1588,100
06/27/1968,104.8624,104.8624,104.862,104.8624,100
06/28/1968,104.8194,104.8194,104.819,104.8194,100
07/01/1968,104.9445,104.9445,104.945,104.9445,100
07/02/1968,105.1334,105.1334,105.133,105.1334,100
07/03/1968,105.2183,105.2183,105.218,105.2183,100
07/08/1968,105.3316,105.3316,105.332,105.3316,100
07/09/1968,105.5132,105.5132,105.513,105.5132,100
07/11/1968,105.6915,105.6915,105.691,105.6915,100
07/12/1968,105.7688,105.7688,105.769,105.7688,100
07/15/1968,105.5812,105.5812,105.581,105.5812,100
07/16/1968,105.3660,105.3660,105.366,105.3660,100
07/18/1968,105.0350,105.0350,105.035,105.0350,100
07/19/1968,104.8719,104.8719,104.872,104.8719,100
07/22/1968,105.4053,105.4053,105.405,105.4053,100
07/23/1968,106.5644,106.5644,106.564,106.5644,100
07/25/1968,107.5088,107.5088,107.509,107.5088,100
07/26/1968,108.0517,108.0517,108.052,108.0517,100
07/29/1968,108.0133,108.0133,108.013,108.0133,100
07/30/1968,107.7402,107.7402,107.740,107.7402,100
08/01/1968,108.0762,108.0762,108.076,108.0762,100
08/02/1968,108.5658,108.5658,108.566,108.5658,100
08/05/1968,108.4886,108.4886,108.489,108.4886,100
08/06/1968,108.2393,108.2393,108.239,108.2393,100
08/08/1968,108.0813,108.0813,108.081,108.0813,100
08/09/1968,107.8307,107.8307,107.831,107.8307,100
08/12/1968,107.5196,107.5196,107.520,107.5196,100
08/13/1968,107.2198,107.2198,107.220,107.2198,100
08/15/1968,106.9280,106.9280,106.928,106.9280,100
08/16/1968,106.9425,106.9425,106.943,106.9425,100
08/19/1968,107.0603,107.0603,107.060,107.0603,100
08/20/1968,106.9957,106.9957,106.996,106.9957,100
08/22/1968,106.5599,106.5599,106.560,106.5599,100
08/23/1968,106.5277,106.5277,106.528,106.5277,100
08/26/1968,106.9135,106.9135,106.914,106.9135,100
08/27/1968,107.1797,107.1797,107.180,107.1797,100
08/29/1968,107.4663,107.4663,107.466,107.4663,100
08/30/1968,107.7165,107.7165,107.716,107.7165,100
09/03/1968,107.7897,107.7897,107.790,107.7897,100
09/04/1968,107.5924,107.5924,107.592,107.5924,100
09/05/1968,107.2670,107.2670,107.267,107.2670,100
09/06/1968,106.9585,106.9585,106.958,106.9585,100
09/09/1968,106.7614,106.7614,106.761,106.7614,100
09/10/1968,106.5385,106.5385,106.539,106.5385,100
09/12/1968,106.4478,106.4478,106.448,106.4478,100
09/13/1968,106.5940,106.5940,106.594,106.5940,100
09/16/1968,106.8990,106.8990,106.899,106.8990,100
09/17/1968,107.1609,107.1609,107.161,107.1609,100
09/19/1968,107.3438,107.3438,107.344,107.3438,100
09/20/1968,107.3225,107.3225,107.322,107.3225,100
09/23/1968,107.2656,107.2656,107.266,107.2656,100
09/24/1968,107.2858,107.2858,107.286,107.2858,100
09/26/1968,107.2063,107.2063,107.206,107.2063,100
09/27/1968,107.0608,107.0608,107.061,107.0608,100
09/30/1968,106.7220,106.7220,106.722,106.7220,100
10/01/1968,106.4553,106.4553,106.455,106.4553,100
10/03/1968,106.3355,106.3355,106.336,106.3355,100
10/04/1968,106.1154,106.1154,106.115,106.1154,100
10/07/1968,105.7312,105.7312,105.731,105.7312,100
10/08/1968,105.2893,105.2893,105.289,105.2893,100
10/10/1968,104.5697,104.5697,104.570,104.5697,100
10/11/1968,104.2462,104.2462,104.246,104.2462,100
10/14/1968,104.2303,104.2303,104.230,104.2303,100
10/15/1968,103.9415,103.9415,103.942,103.9415,100
10/17/1968,104.5682,104.5682,104.568,104.5682,100
10/18/1968,105.2392,105.2392,105.239,105.2392,100
10/21/1968,105.3086,105.3086,105.309,105.3086,100
10/22/1968,105.2170,105.2170,105.217,105.2170,100
10/24/1968,105.0668,105.0668,105.067,105.0668,100
10/25/1968,105.0231,105.0231,105.023,105.0231,100
