Date,Open,High,Low,Close,Volume
11/04/1996,100.0000,100.0000,100.000,100.0000,100
11/05/1996,100.0000,100.0000,100.000,100.0000,100
11/06/1996,100.0000,100.0000,100.000,100.0000,100
11/07/1996,99.7000,99.7000,99.700,99.7000,100
11/08/1996,99.8000,99.8000,99.800,99.8000,100
11/11/1996,99.8000,99.8000,99.800,99.8000,100
11/12/1996,100.1000,100.1000,100.100,100.1000,100
11/13/1996,100.5000,100.5000,100.500,100.5000,100
11/14/1996,100.7000,100.7000,100.700,100.7000,100
11/15/1996,100.6000,100.6000,100.600,100.6000,100
11/18/1996,100.4000,100.4000,100.400,100.4000,100
11/19/1996,100.5000,100.5000,100.500,100.5000,100
11/20/1996,101.0000,101.0000,101.000,101.0000,100
11/21/1996,101.2000,101.2000,101.200,101.2000,100
11/22/1996,101.2000,101.2000,101.200,101.2000,100
11/25/1996,100.8000,100.8000,100.800,100.8000,100
11/26/1996,100.5000,100.5000,100.500,100.5000,100
11/27/1996,100.3000,100.3000,100.300,100.3000,100
11/29/1996,99.7000,99.7000,99.700,99.7000,100
12/02/1996,99.9000,99.9000,99.900,99.9000,100
12/03/1996,99.5000,99.5000,99.500,99.5000,100
12/04/1996,99.3000,99.3000,99.300,99.3000,100
12/05/1996,99.6000,99.6000,99.600,99.6000,100
12/06/1996,98.8000,98.8000,98.800,98.8000,100
12/09/1996,98.6000,98.6000,98.600,98.6000,100
12/10/1996,99.6000,99.6000,99.600,99.6000,100
12/11/1996,99.6000,99.6000,99.600,99.6000,100
12/12/1996,99.6000,99.6000,99.600,99.6000,100
12/13/1996,98.8794,98.8794,98.879,98.8794,100
12/16/1996,98.8794,98.8794,98.879,98.8794,100
12/17/1996,99.2798,99.2798,99.280,99.2798,100
12/18/1996,98.7794,98.7794,98.779,98.7794,100
12/19/1996,98.0788,98.0788,98.079,98.0788,100
12/20/1996,98.2789,98.2789,98.279,98.2789,100
12/23/1996,98.6793,98.6793,98.679,98.6793,100
12/24/1996,98.3790,98.3790,98.379,98.3790,100
12/26/1996,98.0788,98.0788,98.079,98.0788,100
12/27/1996,98.5792,98.5792,98.579,98.5792,100
12/30/1996,98.6793,98.6793,98.679,98.6793,100
12/31/1996,99.1797,99.1797,99.180,99.1797,100
01/02/1997,98.8794,98.8794,98.879,98.8794,100
01/03/1997,98.7794,98.7794,98.779,98.7794,100
01/06/1997,99.1797,99.1797,99.180,99.1797,100
01/07/1997,99.5800,99.5800,99.580,99.5800,100
01/08/1997,99.4799,99.4799,99.480,99.4799,100
01/09/1997,99.3799,99.3799,99.380,99.3799,100
01/10/1997,98.7794,98.7794,98.779,98.7794,100
01/13/1997,98.7794,98.7794,98.779,98.7794,100
01/14/1997,98.2789,98.2789,98.279,98.2789,100
01/15/1997,98.4791,98.4791,98.479,98.4791,100
01/16/1997,98.6793,98.6793,98.679,98.6793,100
01/17/1997,98.0788,98.0788,98.079,98.0788,100
01/20/1997,97.4783,97.4783,97.478,97.4783,100
01/21/1997,97.0780,97.0780,97.078,97.0780,100
01/22/1997,96.7777,96.7777,96.778,96.7777,100
01/23/1997,96.4775,96.4775,96.478,96.4775,100
01/24/1997,96.7777,96.7777,96.778,96.7777,100
01/27/1997,96.0772,96.0772,96.077,96.0772,100
01/28/1997,94.9763,94.9763,94.976,94.9763,100
01/29/1997,94.9763,94.9763,94.976,94.9763,100
01/30/1997,94.9763,94.9763,94.976,94.9763,100
01/31/1997,95.2766,95.2766,95.277,95.2766,100
02/03/1997,95.1765,95.1765,95.176,95.1765,100
02/04/1997,95.7769,95.7769,95.777,95.7769,100
02/05/1997,96.0772,96.0772,96.077,96.0772,100
02/06/1997,95.7769,95.7769,95.777,95.7769,100
02/07/1997,95.4767,95.4767,95.477,95.4767,100
02/10/1997,96.6777,96.6777,96.678,96.6777,100
02/11/1997,96.4775,96.4775,96.478,96.4775,100
02/12/1997,96.2773,96.2773,96.277,96.2773,100
02/13/1997,95.8770,95.8770,95.877,95.8770,100
02/14/1997,95.7769,95.7769,95.777,95.7769,100
02/18/1997,95.6769,95.6769,95.677,95.6769,100
02/19/1997,95.1765,95.1765,95.176,95.1765,100
02/20/1997,95.8770,95.8770,95.877,95.8770,100
02/21/1997,96.2773,96.2773,96.277,96.2773,100
02/24/1997,97.1781,97.1781,97.178,97.1781,100
02/25/1997,97.2782,97.2782,97.278,97.2782,100
02/26/1997,97.2782,97.2782,97.278,97.2782,100
02/27/1997,96.9779,96.9779,96.978,96.9779,100
02/28/1997,96.7777,96.7777,96.778,96.7777,100
03/03/1997,96.2773,96.2773,96.277,96.2773,100
03/04/1997,96.1773,96.1773,96.177,96.1773,100
03/05/1997,96.2773,96.2773,96.277,96.2773,100
03/06/1997,96.2773,96.2773,96.277,96.2773,100
03/07/1997,96.0772,96.0772,96.077,96.0772,100
03/10/1997,96.6777,96.6777,96.678,96.6777,100
03/11/1997,96.5776,96.5776,96.578,96.5776,100
03/12/1997,96.3774,96.3774,96.377,96.3774,100
03/13/1997,95.9771,95.9771,95.977,95.9771,100
03/14/1997,95.4767,95.4767,95.477,95.4767,100
03/17/1997,95.0764,95.0764,95.076,95.0764,100
03/18/1997,95.3766,95.3766,95.377,95.3766,100
03/19/1997,95.3766,95.3766,95.377,95.3766,100
03/20/1997,94.3758,94.3758,94.376,94.3758,100
03/21/1997,95.2766,95.2766,95.277,95.2766,100
03/24/1997,95.3766,95.3766,95.377,95.3766,100
03/25/1997,95.0764,95.0764,95.076,95.0764,100
03/26/1997,95.4767,95.4767,95.477,95.4767,100
03/27/1997,95.9771,95.9771,95.977,95.9771,100
03/31/1997,96.3774,96.3774,96.377,96.3774,100
04/01/1997,95.0764,95.0764,95.076,95.0764,100
04/02/1997,95.1765,95.1765,95.176,95.1765,100
04/03/1997,94.2757,94.2757,94.276,94.2757,100
04/04/1997,93.8754,93.8754,93.875,93.8754,100
04/07/1997,93.0748,93.0748,93.075,93.0748,100
04/08/1997,92.8746,92.8746,92.875,92.8746,100
04/09/1997,92.8746,92.8746,92.875,92.8746,100
04/10/1997,92.5744,92.5744,92.574,92.5744,100
04/11/1997,92.2741,92.2741,92.274,92.2741,100
04/14/1997,91.5736,91.5736,91.574,91.5736,100
04/15/1997,91.9739,91.9739,91.974,91.9739,100
04/16/1997,92.1740,92.1740,92.174,92.1740,100
04/17/1997,92.8746,92.8746,92.875,92.8746,100
04/18/1997,93.4751,93.4751,93.475,93.4751,100
04/21/1997,93.9755,93.9755,93.975,93.9755,100
04/22/1997,94.1756,94.1756,94.176,94.1756,100
04/23/1997,94.7762,94.7762,94.776,94.7762,100
04/24/1997,94.6761,94.6761,94.676,94.6761,100
04/25/1997,93.5752,93.5752,93.575,93.5752,100
04/28/1997,93.1748,93.1748,93.175,93.1748,100
04/29/1997,93.1748,93.1748,93.175,93.1748,100
04/30/1997,93.5752,93.5752,93.575,93.5752,100
05/01/1997,94.2757,94.2757,94.276,94.2757,100
05/02/1997,94.4759,94.4759,94.476,94.4759,100
05/05/1997,94.7762,94.7762,94.776,94.7762,100
05/06/1997,95.9771,95.9771,95.977,95.9771,100
05/07/1997,96.7777,96.7777,96.778,96.7777,100
05/08/1997,96.9779,96.9779,96.978,96.9779,100
05/09/1997,97.7785,97.7785,97.779,97.7785,100
05/12/1997,98.6793,98.6793,98.679,98.6793,100
05/13/1997,98.9795,98.9795,98.980,98.9795,100
05/14/1997,99.3799,99.3799,99.380,99.3799,100
05/15/1997,100.1805,100.1805,100.180,100.1805,100
05/16/1997,100.7810,100.7810,100.781,100.7810,100
05/19/1997,100.2806,100.2806,100.281,100.2806,100
05/20/1997,101.1813,101.1813,101.181,101.1813,100
05/21/1997,100.8810,100.8810,100.881,100.8810,100
05/22/1997,100.0804,100.0804,100.080,100.0804,100
05/23/1997,100.3806,100.3806,100.381,100.3806,100
05/27/1997,100.3806,100.3806,100.381,100.3806,100
05/28/1997,100.4807,100.4807,100.481,100.4807,100
05/29/1997,100.2806,100.2806,100.281,100.2806,100
05/30/1997,99.9803,99.9803,99.980,99.9803,100
06/02/1997,99.9803,99.9803,99.980,99.9803,100
06/03/1997,100.3806,100.3806,100.381,100.3806,100
06/04/1997,100.5808,100.5808,100.581,100.5808,100
06/05/1997,101.0812,101.0812,101.081,101.0812,100
06/06/1997,101.2814,101.2814,101.281,101.2814,100
06/09/1997,102.7826,102.7826,102.783,102.7826,100
06/10/1997,102.1821,102.1821,102.182,102.1821,100
06/11/1997,102.5824,102.5824,102.582,102.5824,100
06/12/1997,102.3822,102.3822,102.382,102.3822,100
06/13/1997,101.8818,101.8818,101.882,101.8818,100
06/16/1997,102.6825,102.6825,102.682,102.6825,100
06/17/1997,102.6825,102.6825,102.682,102.6825,100
06/18/1997,102.3822,102.3822,102.382,102.3822,100
06/19/1997,102.2822,102.2822,102.282,102.2822,100
06/20/1997,102.3822,102.3822,102.382,102.3822,100
06/23/1997,102.3822,102.3822,102.382,102.3822,100
06/24/1997,102.4823,102.4823,102.482,102.4823,100
06/25/1997,103.4831,103.4831,103.483,103.4831,100
06/26/1997,103.5832,103.5832,103.583,103.5832,100
06/27/1997,103.2830,103.2830,103.283,103.2830,100
06/30/1997,102.8826,102.8826,102.883,102.8826,100
07/01/1997,102.5824,102.5824,102.582,102.5824,100
07/02/1997,102.5824,102.5824,102.582,102.5824,100
07/03/1997,103.3830,103.3830,103.383,103.3830,100
07/07/1997,103.3830,103.3830,103.383,103.3830,100
07/08/1997,102.9827,102.9827,102.983,102.9827,100
07/09/1997,103.1829,103.1829,103.183,103.1829,100
07/10/1997,103.0828,103.0828,103.083,103.0828,100
07/11/1997,102.6825,102.6825,102.682,102.6825,100
07/14/1997,102.3822,102.3822,102.382,102.3822,100
07/15/1997,101.6817,101.6817,101.682,101.6817,100
07/16/1997,101.8818,101.8818,101.882,101.8818,100
07/17/1997,101.3815,101.3815,101.381,101.3815,100
07/18/1997,101.7818,101.7818,101.782,101.7818,100
07/21/1997,101.4815,101.4815,101.482,101.4815,100
07/22/1997,101.1813,101.1813,101.181,101.1813,100
07/23/1997,100.5808,100.5808,100.581,100.5808,100
07/24/1997,100.0804,100.0804,100.080,100.0804,100
07/25/1997,99.3799,99.3799,99.380,99.3799,100
07/28/1997,98.8794,98.8794,98.879,98.8794,100
07/29/1997,98.7794,98.7794,98.779,98.7794,100
07/30/1997,98.7794,98.7794,98.779,98.7794,100
07/31/1997,99.4799,99.4799,99.480,99.4799,100
08/01/1997,98.8794,98.8794,98.879,98.8794,100
08/04/1997,97.9787,97.9787,97.979,97.9787,100
08/05/1997,96.9779,96.9779,96.978,96.9779,100
08/06/1997,97.1781,97.1781,97.178,97.1781,100
08/07/1997,97.4783,97.4783,97.478,97.4783,100
08/08/1997,98.0788,98.0788,98.079,98.0788,100
08/11/1997,97.5784,97.5784,97.578,97.5784,100
08/12/1997,97.3782,97.3782,97.378,97.3782,100
08/13/1997,97.6785,97.6785,97.678,97.6785,100
08/14/1997,96.8778,96.8778,96.878,96.8778,100
08/15/1997,97.7785,97.7785,97.779,97.7785,100
08/18/1997,96.5776,96.5776,96.578,96.5776,100
08/19/1997,96.7777,96.7777,96.778,96.7777,100
08/20/1997,96.6777,96.6777,96.678,96.6777,100
08/21/1997,97.0780,97.0780,97.078,97.0780,100
08/22/1997,97.2782,97.2782,97.278,97.2782,100
08/25/1997,97.1781,97.1781,97.178,97.1781,100
08/26/1997,97.0780,97.0780,97.078,97.0780,100
08/27/1997,96.4775,96.4775,96.478,96.4775,100
08/28/1997,96.0772,96.0772,96.077,96.0772,100
08/29/1997,94.7762,94.7762,94.776,94.7762,100
09/02/1997,93.6752,93.6752,93.675,93.6752,100
09/03/1997,94.6761,94.6761,94.676,94.6761,100
09/04/1997,94.7762,94.7762,94.776,94.7762,100
09/05/1997,95.5768,95.5768,95.577,95.5768,100
09/08/1997,95.3766,95.3766,95.377,95.3766,100
09/09/1997,96.0772,96.0772,96.077,96.0772,100
09/10/1997,96.0772,96.0772,96.077,96.0772,100
09/11/1997,95.4767,95.4767,95.477,95.4767,100
09/12/1997,95.5768,95.5768,95.577,95.5768,100
09/15/1997,95.7769,95.7769,95.777,95.7769,100
09/16/1997,94.8762,94.8762,94.876,94.8762,100
09/17/1997,94.9763,94.9763,94.976,94.9763,100
09/18/1997,94.8762,94.8762,94.876,94.8762,100
09/19/1997,94.9763,94.9763,94.976,94.9763,100
09/22/1997,94.5760,94.5760,94.576,94.5760,100
09/23/1997,94.7762,94.7762,94.776,94.7762,100
09/24/1997,95.8770,95.8770,95.877,95.8770,100
09/25/1997,96.0772,96.0772,96.077,96.0772,100
09/26/1997,95.5768,95.5768,95.577,95.5768,100
09/29/1997,95.7769,95.7769,95.777,95.7769,100
09/30/1997,95.6769,95.6769,95.677,95.6769,100
10/01/1997,95.2766,95.2766,95.277,95.2766,100
10/02/1997,95.7769,95.7769,95.777,95.7769,100
10/03/1997,95.3766,95.3766,95.377,95.3766,100
10/06/1997,95.6769,95.6769,95.677,95.6769,100
10/07/1997,95.7769,95.7769,95.777,95.7769,100
10/08/1997,95.8770,95.8770,95.877,95.8770,100
10/09/1997,95.5768,95.5768,95.577,95.5768,100
10/10/1997,95.4767,95.4767,95.477,95.4767,100
10/13/1997,95.1765,95.1765,95.176,95.1765,100
10/14/1997,94.9763,94.9763,94.976,94.9763,100
10/15/1997,95.0764,95.0764,95.076,95.0764,100
10/16/1997,95.9771,95.9771,95.977,95.9771,100
10/17/1997,95.2766,95.2766,95.277,95.2766,100
10/20/1997,95.1765,95.1765,95.176,95.1765,100
10/21/1997,95.0764,95.0764,95.076,95.0764,100
10/22/1997,95.2766,95.2766,95.277,95.2766,100
10/23/1997,94.3758,94.3758,94.376,94.3758,100
10/24/1997,94.1756,94.1756,94.176,94.1756,100
10/27/1997,93.7753,93.7753,93.775,93.7753,100
10/28/1997,90.6728,90.6728,90.673,90.6728,100
10/29/1997,92.3742,92.3742,92.374,92.3742,100
10/30/1997,91.8738,91.8738,91.874,91.8738,100
10/31/1997,92.2741,92.2741,92.274,92.2741,100
11/03/1997,92.4743,92.4743,92.474,92.4743,100
11/04/1997,92.5744,92.5744,92.574,92.5744,100
11/05/1997,92.4743,92.4743,92.474,92.4743,100
11/06/1997,92.3742,92.3742,92.374,92.3742,100
11/07/1997,91.4735,91.4735,91.473,91.4735,100
11/10/1997,90.8730,90.8730,90.873,90.8730,100
11/11/1997,90.8730,90.8730,90.873,90.8730,100
11/12/1997,89.4719,89.4719,89.472,89.4719,100
11/13/1997,89.1716,89.1716,89.172,89.1716,100
11/14/1997,88.6712,88.6712,88.671,88.6712,100
11/17/1997,89.5720,89.5720,89.572,89.5720,100
11/18/1997,89.9723,89.9723,89.972,89.9723,100
11/19/1997,88.9715,88.9715,88.971,88.9715,100
11/20/1997,89.0716,89.0716,89.072,89.0716,100
11/21/1997,89.2717,89.2717,89.272,89.2717,100
11/24/1997,88.9715,88.9715,88.971,88.9715,100
11/25/1997,87.2701,87.2701,87.270,87.2701,100
11/26/1997,87.1700,87.1700,87.170,87.1700,100
11/28/1997,87.5703,87.5703,87.570,87.5703,100
12/01/1997,87.1700,87.1700,87.170,87.1700,100
12/02/1997,87.7705,87.7705,87.770,87.7705,100
12/03/1997,88.0707,88.0707,88.071,88.0707,100
12/04/1997,87.8706,87.8706,87.871,87.8706,100
12/05/1997,88.0707,88.0707,88.071,88.0707,100
12/08/1997,86.6696,86.6696,86.670,86.6696,100
12/09/1997,86.5695,86.5695,86.570,86.5695,100
12/10/1997,87.2701,87.2701,87.270,87.2701,100
12/11/1997,86.4695,86.4695,86.469,86.4695,100
12/12/1997,81.2653,81.2653,81.265,81.2653,100
12/15/1997,80.6648,80.6648,80.665,80.6648,100
12/16/1997,80.4646,80.4646,80.465,80.4646,100
12/17/1997,82.1660,82.1660,82.166,82.1660,100
12/18/1997,81.7657,81.7657,81.766,81.7657,100
12/19/1997,80.8650,80.8650,80.865,80.8650,100
12/22/1997,80.0643,80.0643,80.064,80.0643,100
12/23/1997,80.2645,80.2645,80.264,80.2645,100
12/24/1997,79.8642,79.8642,79.864,79.8642,100
12/26/1997,79.8642,79.8642,79.864,79.8642,100
12/29/1997,79.8642,79.8642,79.864,79.8642,100
12/30/1997,79.9642,79.9642,79.964,79.9642,100
12/31/1997,80.1948,80.1948,80.195,80.1948,100
01/02/1998,80.1948,80.1948,80.195,80.1948,100
01/05/1998,80.2950,80.2950,80.295,80.2950,100
01/06/1998,80.2950,80.2950,80.295,80.2950,100
01/07/1998,80.0945,80.0945,80.095,80.0945,100
01/08/1998,79.9943,79.9943,79.994,79.9943,100
01/09/1998,79.6936,79.6936,79.694,79.6936,100
01/12/1998,78.3904,78.3904,78.390,78.3904,100
01/13/1998,78.6911,78.6911,78.691,78.6911,100
01/14/1998,79.7938,79.7938,79.794,79.7938,100
01/15/1998,80.0945,80.0945,80.095,80.0945,100
01/16/1998,80.7963,80.7963,80.796,80.7963,100
01/20/1998,80.7963,80.7963,80.796,80.7963,100
01/21/1998,82.5004,82.5004,82.500,82.5004,100
01/22/1998,83.1019,83.1019,83.102,83.1019,100
01/23/1998,84.5053,84.5053,84.505,84.5053,100
01/26/1998,85.5077,85.5077,85.508,85.5077,100
01/27/1998,85.9087,85.9087,85.909,85.9087,100
01/28/1998,86.4099,86.4099,86.410,86.4099,100
01/29/1998,86.5101,86.5101,86.510,86.5101,100
01/30/1998,86.4099,86.4099,86.410,86.4099,100
02/02/1998,86.7106,86.7106,86.711,86.7106,100
02/03/1998,86.7106,86.7106,86.711,86.7106,100
02/04/1998,87.4123,87.4123,87.412,87.4123,100
02/05/1998,88.0138,88.0138,88.014,88.0138,100
02/06/1998,87.1116,87.1116,87.112,87.1116,100
02/09/1998,88.2143,88.2143,88.214,88.2143,100
02/10/1998,88.4148,88.4148,88.415,88.4148,100
02/11/1998,88.6153,88.6153,88.615,88.6153,100
02/12/1998,89.2167,89.2167,89.217,89.2167,100
02/13/1998,88.3145,88.3145,88.315,88.3145,100
02/17/1998,87.9135,87.9135,87.914,87.9135,100
02/18/1998,88.3145,88.3145,88.315,88.3145,100
02/19/1998,88.0138,88.0138,88.014,88.0138,100
02/20/1998,88.2143,88.2143,88.214,88.2143,100
02/23/1998,89.0162,89.0162,89.016,89.0162,100
02/24/1998,89.1165,89.1165,89.116,89.1165,100
02/25/1998,89.4172,89.4172,89.417,89.4172,100
02/26/1998,90.2191,90.2191,90.219,90.2191,100
02/27/1998,91.2216,91.2216,91.222,91.2216,100
03/02/1998,91.8230,91.8230,91.823,91.8230,100
03/03/1998,92.0235,92.0235,92.024,92.0235,100
03/04/1998,91.6226,91.6226,91.623,91.6226,100
03/05/1998,91.2216,91.2216,91.222,91.2216,100
03/06/1998,91.5223,91.5223,91.522,91.5223,100
03/09/1998,92.0235,92.0235,92.024,92.0235,100
03/10/1998,92.2240,92.2240,92.224,92.2240,100
03/11/1998,92.4245,92.4245,92.425,92.4245,100
03/12/1998,92.8255,92.8255,92.825,92.8255,100
03/13/1998,94.4294,94.4294,94.429,94.4294,100
03/16/1998,94.7301,94.7301,94.730,94.7301,100
03/17/1998,95.4318,95.4318,95.432,95.4318,100
03/18/1998,94.9306,94.9306,94.931,94.9306,100
03/19/1998,94.8303,94.8303,94.830,94.8303,100
03/20/1998,95.2313,95.2313,95.231,95.2313,100
03/23/1998,95.8328,95.8328,95.833,95.8328,100
03/24/1998,96.2338,96.2338,96.234,96.2338,100
03/25/1998,97.0357,97.0357,97.036,97.0357,100
03/26/1998,97.4367,97.4367,97.437,97.4367,100
03/27/1998,97.6372,97.6372,97.637,97.6372,100
03/30/1998,96.7350,96.7350,96.735,96.7350,100
03/31/1998,96.4342,96.4342,96.434,96.4342,100
04/01/1998,96.6347,96.6347,96.635,96.6347,100
04/02/1998,96.1335,96.1335,96.134,96.1335,100
04/03/1998,96.4342,96.4342,96.434,96.4342,100
04/06/1998,96.6347,96.6347,96.635,96.6347,100
04/07/1998,96.8352,96.8352,96.835,96.8352,100
04/08/1998,97.4367,97.4367,97.437,97.4367,100
04/09/1998,98.6396,98.6396,98.640,98.6396,100
04/13/1998,98.6396,98.6396,98.640,98.6396,100
04/14/1998,99.7423,99.7423,99.742,99.7423,100
04/15/1998,100.7447,100.7447,100.745,100.7447,100
04/16/1998,100.4440,100.4440,100.444,100.4440,100
04/17/1998,100.7447,100.7447,100.745,100.7447,100
04/20/1998,101.3462,101.3462,101.346,101.3462,100
04/21/1998,101.5467,101.5467,101.547,101.5467,100
04/22/1998,101.6469,101.6469,101.647,101.6469,100
04/23/1998,101.3462,101.3462,101.346,101.3462,100
04/24/1998,101.2459,101.2459,101.246,101.2459,100
04/27/1998,99.9428,99.9428,99.943,99.9428,100
04/28/1998,99.5418,99.5418,99.542,99.5418,100
04/29/1998,100.1433,100.1433,100.143,100.1433,100
04/30/1998,101.3462,101.3462,101.346,101.3462,100
05/01/1998,103.0503,103.0503,103.050,103.0503,100
05/04/1998,103.1506,103.1506,103.151,103.1506,100
05/05/1998,103.3511,103.3511,103.351,103.3511,100
05/06/1998,103.3511,103.3511,103.351,103.3511,100
05/07/1998,103.2508,103.2508,103.251,103.2508,100
05/08/1998,103.0503,103.0503,103.050,103.0503,100
05/11/1998,103.4513,103.4513,103.451,103.4513,100
05/12/1998,103.9525,103.9525,103.953,103.9525,100
05/13/1998,104.3535,104.3535,104.353,104.3535,100
05/14/1998,105.0552,105.0552,105.055,105.0552,100
05/15/1998,104.8547,104.8547,104.855,104.8547,100
05/18/1998,104.1530,104.1530,104.153,104.1530,100
05/19/1998,104.2532,104.2532,104.253,104.2532,100
05/20/1998,104.2532,104.2532,104.253,104.2532,100
05/21/1998,106.3584,106.3584,106.358,106.3584,100
05/22/1998,106.6591,106.6591,106.659,106.6591,100
05/26/1998,106.8596,106.8596,106.860,106.8596,100
05/27/1998,106.0576,106.0576,106.058,106.0576,100
05/28/1998,105.6566,105.6566,105.657,105.6566,100
05/29/1998,106.4586,106.4586,106.459,106.4586,100
06/01/1998,106.3584,106.3584,106.358,106.3584,100
06/02/1998,106.3584,106.3584,106.358,106.3584,100
06/03/1998,106.7593,106.7593,106.759,106.7593,100
06/04/1998,107.0600,107.0600,107.060,107.0600,100
06/05/1998,106.5588,106.5588,106.559,106.5588,100
06/08/1998,107.5613,107.5613,107.561,107.5613,100
06/09/1998,107.8620,107.8620,107.862,107.8620,100
06/10/1998,106.8596,106.8596,106.860,106.8596,100
06/11/1998,106.4586,106.4586,106.459,106.4586,100
06/12/1998,105.0552,105.0552,105.055,105.0552,100
06/15/1998,104.9550,104.9550,104.955,104.9550,100
06/16/1998,106.0576,106.0576,106.058,106.0576,100
06/17/1998,107.5613,107.5613,107.561,107.5613,100
06/18/1998,109.1652,109.1652,109.165,109.1652,100
06/19/1998,108.3632,108.3632,108.363,108.3632,100
06/22/1998,107.2605,107.2605,107.261,107.2605,100
06/23/1998,106.1579,106.1579,106.158,106.1579,100
06/24/1998,105.8572,105.8572,105.857,105.8572,100
06/25/1998,106.7593,106.7593,106.759,106.7593,100
06/26/1998,106.0576,106.0576,106.058,106.0576,100
06/29/1998,105.9574,105.9574,105.957,105.9574,100
06/30/1998,106.0576,106.0576,106.058,106.0576,100
07/01/1998,106.5588,106.5588,106.559,106.5588,100
07/02/1998,106.7593,106.7593,106.759,106.7593,100
07/06/1998,108.3632,108.3632,108.363,108.3632,100
07/07/1998,108.4635,108.4635,108.463,108.4635,100
07/08/1998,108.0625,108.0625,108.063,108.0625,100
07/09/1998,107.4610,107.4610,107.461,107.4610,100
07/10/1998,107.2605,107.2605,107.261,107.2605,100
