Date,Open,High,Low,Close,Volume
09/11/1989,100.0000,100.0000,100.000,100.0000,100
09/12/1989,100.3894,100.3894,100.389,100.3894,100
09/13/1989,99.9845,99.9845,99.984,99.9845,100
09/14/1989,100.1944,100.1944,100.194,100.1944,100
09/15/1989,101.4470,101.4470,101.447,101.4470,100
09/18/1989,102.7924,102.7924,102.792,102.7924,100
09/19/1989,103.5245,103.5245,103.525,103.5245,100
09/20/1989,103.4174,103.4174,103.417,103.4174,100
09/21/1989,103.3939,103.3939,103.394,103.3939,100
09/22/1989,104.7137,104.7137,104.714,104.7137,100
09/25/1989,103.1284,103.1284,103.128,103.1284,100
09/26/1989,103.2158,103.2158,103.216,103.2158,100
09/27/1989,103.5191,103.5191,103.519,103.5191,100
09/28/1989,104.6387,104.6387,104.639,104.6387,100
09/29/1989,104.9798,104.9798,104.980,104.9798,100
10/02/1989,105.0810,105.0810,105.081,105.0810,100
10/03/1989,106.3676,106.3676,106.368,106.3676,100
10/04/1989,107.3758,107.3758,107.376,107.3758,100
10/05/1989,107.3628,107.3628,107.363,107.3628,100
10/06/1989,108.3875,108.3875,108.388,108.3875,100
10/09/1989,107.8049,107.8049,107.805,107.8049,100
10/10/1989,106.8820,106.8820,106.882,106.8820,100
10/11/1989,105.8922,105.8922,105.892,105.8922,100
10/12/1989,105.9955,105.9955,105.996,105.9955,100
10/13/1989,99.6056,99.6056,99.606,99.6056,100
10/16/1989,103.9478,103.9478,103.948,103.9478,100
10/17/1989,103.4376,103.4376,103.438,103.4376,100
10/18/1989,103.6509,103.6509,103.651,103.6509,100
10/19/1989,105.2547,105.2547,105.255,105.2547,100
10/20/1989,105.7187,105.7187,105.719,105.7187,100
10/23/1989,104.6229,104.6229,104.623,104.6229,100
10/24/1989,103.7839,103.7839,103.784,103.7839,100
10/25/1989,104.1448,104.1448,104.145,104.1448,100
10/26/1989,103.0011,103.0011,103.001,103.0011,100
10/27/1989,101.9613,101.9613,101.961,101.9613,100
10/30/1989,102.4182,102.4182,102.418,102.4182,100
10/31/1989,103.6143,103.6143,103.614,103.6143,100
11/01/1989,103.6917,103.6917,103.692,103.6917,100
11/02/1989,103.0342,103.0342,103.034,103.0342,100
11/03/1989,102.7216,102.7216,102.722,102.7216,100
11/06/1989,101.6538,101.6538,101.654,101.6538,100
11/07/1989,102.5020,102.5020,102.502,102.5020,100
11/08/1989,103.4487,103.4487,103.449,103.4487,100
11/09/1989,102.9306,102.9306,102.931,102.9306,100
11/10/1989,103.8662,103.8662,103.866,103.8662,100
11/13/1989,103.8786,103.8786,103.879,103.8786,100
11/14/1989,103.4266,103.4266,103.427,103.4266,100
11/15/1989,104.2595,104.2595,104.260,104.2595,100
11/16/1989,103.7495,103.7495,103.750,103.7495,100
11/17/1989,103.7812,103.7812,103.781,103.7812,100
11/20/1989,103.3595,103.3595,103.360,103.3595,100
11/21/1989,103.6536,103.6536,103.654,103.6536,100
11/22/1989,104.4761,104.4761,104.476,104.4761,100
11/24/1989,105.2431,105.2431,105.243,105.2431,100
11/27/1989,105.2641,105.2641,105.264,105.2641,100
11/28/1989,104.7121,104.7121,104.712,104.7121,100
11/29/1989,104.2054,104.2054,104.205,104.2054,100
11/30/1989,105.9391,105.9391,105.939,105.9391,100
12/01/1989,108.0289,108.0289,108.029,108.0289,100
12/04/1989,108.5393,108.5393,108.539,108.5393,100
12/05/1989,107.6232,107.6232,107.623,107.6232,100
12/06/1989,107.3211,107.3211,107.321,107.3211,100
12/07/1989,107.0486,107.0486,107.049,107.0486,100
