Date,Open,High,Low,Close,Volume
09/11/1989,100.0000,100.0000,100.000,100.0000,100
09/12/1989,100.1734,100.1734,100.173,100.1734,100
09/13/1989,99.1442,99.1442,99.144,99.1442,100
09/14/1989,98.2503,98.2503,98.250,98.2503,100
09/15/1989,99.0415,99.0415,99.042,99.0415,100
09/18/1989,99.5551,99.5551,99.555,99.5551,100
09/19/1989,99.0324,99.0324,99.032,99.0324,100
09/20/1989,99.2828,99.2828,99.283,99.2828,100
09/21/1989,99.4156,99.4156,99.416,99.4156,100
09/22/1989,100.3147,100.3147,100.315,100.3147,100
09/25/1989,99.4199,99.4199,99.420,99.4199,100
09/26/1989,99.6213,99.6213,99.621,99.6213,100
09/27/1989,100.1933,100.1933,100.193,100.1933,100
09/28/1989,101.7865,101.7865,101.786,101.7865,100
09/29/1989,102.8489,102.8489,102.849,102.8489,100
10/02/1989,103.6234,103.6234,103.623,103.6234,100
10/03/1989,105.3281,105.3281,105.328,105.3281,100
10/04/1989,105.8498,105.8498,105.850,105.8498,100
10/05/1989,105.5978,105.5978,105.598,105.5978,100
10/06/1989,105.8334,105.8334,105.833,105.8334,100
10/09/1989,106.0642,106.0642,106.064,106.0642,100
10/10/1989,105.7545,105.7545,105.754,105.7545,100
10/11/1989,104.9621,104.9621,104.962,104.9621,100
10/12/1989,104.4154,104.4154,104.415,104.4154,100
10/13/1989,97.8237,97.8237,97.824,97.8237,100
10/16/1989,99.9020,99.9020,99.902,99.9020,100
10/17/1989,99.0832,99.0832,99.083,99.0832,100
10/18/1989,99.5291,99.5291,99.529,99.5291,100
10/19/1989,101.2746,101.2746,101.275,101.2746,100
10/20/1989,101.7089,101.7089,101.709,101.7089,100
10/23/1989,100.7507,100.7507,100.751,100.7507,100
10/24/1989,99.8730,99.8730,99.873,99.8730,100
10/25/1989,100.1426,100.1426,100.143,100.1426,100
10/26/1989,99.2072,99.2072,99.207,99.2072,100
10/27/1989,97.3423,97.3423,97.342,97.3423,100
10/30/1989,96.9832,96.9832,96.983,96.9832,100
10/31/1989,98.4547,98.4547,98.455,98.4547,100
11/01/1989,98.8491,98.8491,98.849,98.8491,100
11/02/1989,98.2241,98.2241,98.224,98.2241,100
11/03/1989,98.0647,98.0647,98.065,98.0647,100
11/06/1989,96.3516,96.3516,96.352,96.3516,100
11/07/1989,96.9869,96.9869,96.987,96.9869,100
11/08/1989,98.6309,98.6309,98.631,98.6309,100
11/09/1989,98.4778,98.4778,98.478,98.4778,100
11/10/1989,98.5972,98.5972,98.597,98.5972,100
11/13/1989,98.4872,98.4872,98.487,98.4872,100
11/14/1989,97.7506,97.7506,97.751,97.7506,100
11/15/1989,98.3714,98.3714,98.371,98.3714,100
11/16/1989,98.9603,98.9603,98.960,98.9603,100
11/17/1989,98.9177,98.9177,98.918,98.9177,100
11/20/1989,98.3705,98.3705,98.371,98.3705,100
11/21/1989,98.2361,98.2361,98.236,98.2361,100
11/22/1989,98.4032,98.4032,98.403,98.4032,100
11/24/1989,98.9833,98.9833,98.983,98.9833,100
11/27/1989,99.3768,99.3768,99.377,99.3768,100
11/28/1989,99.2504,99.2504,99.250,99.2504,100
11/29/1989,98.2230,98.2230,98.223,98.2230,100
11/30/1989,98.1175,98.1175,98.117,98.1175,100
12/01/1989,99.1717,99.1717,99.172,99.1717,100
12/04/1989,98.8797,98.8797,98.880,98.8797,100
12/05/1989,97.7107,97.7107,97.711,97.7107,100
12/06/1989,96.7085,96.7085,96.709,96.7085,100
12/07/1989,96.0090,96.0090,96.009,96.0090,100
12/08/1989,95.9549,95.9549,95.955,95.9549,100
12/11/1989,95.7186,95.7186,95.719,95.7186,100
12/12/1989,95.6722,95.6722,95.672,95.6722,100
12/13/1989,95.7055,95.7055,95.705,95.7055,100
12/14/1989,95.0258,95.0258,95.026,95.0258,100
12/15/1989,93.6060,93.6060,93.606,93.6060,100
12/18/1989,89.3847,89.3847,89.385,89.3847,100
12/19/1989,88.6577,88.6577,88.658,88.6577,100
12/20/1989,90.4568,90.4568,90.457,90.4568,100
12/21/1989,91.6112,91.6112,91.611,91.6112,100
12/22/1989,92.2974,92.2974,92.297,92.2974,100
12/26/1989,92.4180,92.4180,92.418,92.4180,100
12/27/1989,93.1048,93.1048,93.105,93.1048,100
12/28/1989,93.5873,93.5873,93.587,93.5873,100
12/29/1989,94.6151,94.6151,94.615,94.6151,100
01/02/1990,96.1179,96.1179,96.118,96.1179,100
01/03/1990,96.2857,96.2857,96.286,96.2857,100
01/04/1990,95.6687,95.6687,95.669,95.6687,100
01/05/1990,94.7890,94.7890,94.789,94.7890,100
01/08/1990,94.8755,94.8755,94.875,94.8755,100
01/09/1990,93.5220,93.5220,93.522,93.5220,100
01/10/1990,92.6357,92.6357,92.636,92.6357,100
01/11/1990,93.0300,93.0300,93.030,93.0300,100
01/12/1990,90.8936,90.8936,90.894,90.8936,100
01/15/1990,89.7933,89.7933,89.793,89.7933,100
01/16/1990,90.4312,90.4312,90.431,90.4312,100
01/17/1990,89.5689,89.5689,89.569,89.5689,100
01/18/1990,89.5391,89.5391,89.539,89.5391,100
01/19/1990,89.3250,89.3250,89.325,89.3250,100
01/22/1990,86.9557,86.9557,86.956,86.9557,100
