Date,Open,High,Low,Close,Volume
09/11/1989,100.0000,100.0000,100.000,100.0000,100
09/12/1989,100.8803,100.8803,100.880,100.8803,100
09/13/1989,100.0362,100.0362,100.036,100.0362,100
09/14/1989,99.7290,99.7290,99.729,99.7290,100
09/15/1989,100.2212,100.2212,100.221,100.2212,100
09/18/1989,100.0506,100.0506,100.051,100.0506,100
09/19/1989,99.4189,99.4189,99.419,99.4189,100
09/20/1989,99.7691,99.7691,99.769,99.7691,100
09/21/1989,99.9496,99.9496,99.950,99.9496,100
09/22/1989,100.1763,100.1763,100.176,100.1763,100
09/25/1989,100.0230,100.0230,100.023,100.0230,100
09/26/1989,100.4159,100.4159,100.416,100.4159,100
09/27/1989,97.8741,97.8741,97.874,97.8741,100
09/28/1989,96.8970,96.8970,96.897,96.8970,100
09/29/1989,96.8478,96.8478,96.848,96.8478,100
10/02/1989,96.4830,96.4830,96.483,96.4830,100
10/03/1989,95.1533,95.1533,95.153,95.1533,100
10/04/1989,96.7435,96.7435,96.744,96.7435,100
10/05/1989,97.1521,97.1521,97.152,97.1521,100
10/06/1989,97.6598,97.6598,97.660,97.6598,100
10/09/1989,99.4213,99.4213,99.421,99.4213,100
10/10/1989,99.0975,99.0975,99.098,99.0975,100
10/11/1989,98.3304,98.3304,98.330,98.3304,100
10/12/1989,98.0992,98.0992,98.099,98.0992,100
10/13/1989,91.9642,91.9642,91.964,91.9642,100
10/16/1989,94.3927,94.3927,94.393,94.3927,100
10/17/1989,93.9372,93.9372,93.937,93.9372,100
10/18/1989,94.2636,94.2636,94.264,94.2636,100
10/19/1989,96.3913,96.3913,96.391,96.3913,100
10/20/1989,96.0645,96.0645,96.064,96.0645,100
10/23/1989,95.1046,95.1046,95.105,95.1046,100
10/24/1989,95.0495,95.0495,95.050,95.0495,100
10/25/1989,94.1785,94.1785,94.178,94.1785,100
10/26/1989,92.3529,92.3529,92.353,92.3529,100
10/27/1989,91.6429,91.6429,91.643,91.6429,100
10/30/1989,91.1532,91.1532,91.153,91.1532,100
10/31/1989,92.5931,92.5931,92.593,92.5931,100
11/01/1989,92.4959,92.4959,92.496,92.4959,100
11/02/1989,89.7202,89.7202,89.720,89.7202,100
11/03/1989,89.1477,89.1477,89.148,89.1477,100
11/06/1989,87.5544,87.5544,87.554,87.5544,100
11/07/1989,88.7383,88.7383,88.738,88.7383,100
11/08/1989,88.5837,88.5837,88.584,88.5837,100
11/09/1989,88.8104,88.8104,88.810,88.8104,100
11/10/1989,89.6251,89.6251,89.625,89.6251,100
11/13/1989,89.2477,89.2477,89.248,89.2477,100
11/14/1989,88.9302,88.9302,88.930,88.9302,100
11/15/1989,89.1947,89.1947,89.195,89.1947,100
11/16/1989,89.2142,89.2142,89.214,89.2142,100
11/17/1989,90.8580,90.8580,90.858,90.8580,100
11/20/1989,90.4030,90.4030,90.403,90.4030,100
11/21/1989,90.7510,90.7510,90.751,90.7510,100
11/22/1989,91.4663,91.4663,91.466,91.4663,100
11/24/1989,92.0285,92.0285,92.028,92.0285,100
11/27/1989,91.6360,91.6360,91.636,91.6360,100
11/28/1989,90.8481,90.8481,90.848,90.8481,100
11/29/1989,90.2117,90.2117,90.212,90.2117,100
11/30/1989,90.7216,90.7216,90.722,90.7216,100
12/01/1989,90.8613,90.8613,90.861,90.8613,100
12/04/1989,92.2732,92.2732,92.273,92.2732,100
12/05/1989,92.0630,92.0630,92.063,92.0630,100
12/06/1989,91.2214,91.2214,91.221,91.2214,100
12/07/1989,90.8186,90.8186,90.819,90.8186,100
12/08/1989,90.0313,90.0313,90.031,90.0313,100
12/11/1989,88.8249,88.8249,88.825,88.8249,100
12/12/1989,88.9577,88.9577,88.958,88.9577,100
12/13/1989,88.3505,88.3505,88.351,88.3505,100
12/14/1989,87.5301,87.5301,87.530,87.5301,100
12/15/1989,87.1422,87.1422,87.142,87.1422,100
12/18/1989,86.1208,86.1208,86.121,86.1208,100
12/19/1989,87.2237,87.2237,87.224,87.2237,100
12/20/1989,87.3626,87.3626,87.363,87.3626,100
12/21/1989,88.0116,88.0116,88.012,88.0116,100
12/22/1989,88.5074,88.5074,88.507,88.5074,100
12/26/1989,87.9800,87.9800,87.980,87.9800,100
12/27/1989,88.4642,88.4642,88.464,88.4642,100
12/28/1989,88.1061,88.1061,88.106,88.1061,100
12/29/1989,88.7804,88.7804,88.780,88.7804,100
01/02/1990,92.1285,92.1285,92.129,92.1285,100
01/03/1990,92.3274,92.3274,92.327,92.3274,100
01/04/1990,92.8068,92.8068,92.807,92.8068,100
01/05/1990,92.2942,92.2942,92.294,92.2942,100
01/08/1990,92.9825,92.9825,92.983,92.9825,100
01/09/1990,92.2002,92.2002,92.200,92.2002,100
01/10/1990,91.3463,91.3463,91.346,91.3463,100
01/11/1990,91.6619,91.6619,91.662,91.6619,100
01/12/1990,89.5627,89.5627,89.563,89.5627,100
01/15/1990,89.4541,89.4541,89.454,89.4541,100
01/16/1990,92.0110,92.0110,92.011,92.0110,100
01/17/1990,90.9148,90.9148,90.915,90.9148,100
01/18/1990,90.4266,90.4266,90.427,90.4266,100
01/19/1990,89.8367,89.8367,89.837,89.8367,100
01/22/1990,87.9655,87.9655,87.966,87.9655,100
01/23/1990,88.7970,88.7970,88.797,88.7970,100
01/24/1990,88.9899,88.9899,88.990,88.9899,100
01/25/1990,88.1039,88.1039,88.104,88.1039,100
01/26/1990,88.1767,88.1767,88.177,88.1767,100
01/29/1990,88.1914,88.1914,88.191,88.1914,100
01/30/1990,88.0711,88.0711,88.071,88.0711,100
01/31/1990,89.4705,89.4705,89.470,89.4705,100
02/01/1990,89.1428,89.1428,89.143,89.1428,100
02/02/1990,89.5666,89.5666,89.567,89.5666,100
02/05/1990,91.0345,91.0345,91.034,91.0345,100
02/06/1990,91.4541,91.4541,91.454,91.4541,100
02/07/1990,93.5552,93.5552,93.555,93.5552,100
02/08/1990,93.4202,93.4202,93.420,93.4202,100
02/09/1990,93.4281,93.4281,93.428,93.4281,100
02/12/1990,92.1098,92.1098,92.110,92.1098,100
02/13/1990,93.2117,93.2117,93.212,93.2117,100
02/14/1990,93.6830,93.6830,93.683,93.6830,100
02/15/1990,93.8388,93.8388,93.839,93.8388,100
02/16/1990,92.5268,92.5268,92.527,92.5268,100
02/20/1990,91.3318,91.3318,91.332,91.3318,100
02/21/1990,91.9817,91.9817,91.982,91.9817,100
02/22/1990,91.0545,91.0545,91.054,91.0545,100
02/23/1990,90.3755,90.3755,90.375,90.3755,100
02/26/1990,91.8325,91.8325,91.833,91.8325,100
02/27/1990,92.0917,92.0917,92.092,92.0917,100
02/28/1990,93.1752,93.1752,93.175,93.1752,100
03/01/1990,92.9561,92.9561,92.956,92.9561,100
03/02/1990,94.2700,94.2700,94.270,94.2700,100
03/05/1990,94.1891,94.1891,94.189,94.1891,100
03/06/1990,95.1122,95.1122,95.112,95.1122,100
03/07/1990,95.4163,95.4163,95.416,95.4163,100
03/08/1990,97.0612,97.0612,97.061,97.0612,100
03/09/1990,96.7519,96.7519,96.752,96.7519,100
03/12/1990,97.2495,97.2495,97.249,97.2495,100
03/13/1990,96.6436,96.6436,96.644,96.6436,100
03/14/1990,96.5805,96.5805,96.580,96.5805,100
03/15/1990,97.2848,97.2848,97.285,97.2848,100
03/16/1990,99.3244,99.3244,99.324,99.3244,100
03/19/1990,101.1030,101.1030,101.103,101.1030,100
03/20/1990,100.0657,100.0657,100.066,100.0657,100
03/21/1990,99.2579,99.2579,99.258,99.2579,100
03/22/1990,97.8657,97.8657,97.866,97.8657,100
03/23/1990,97.6141,97.6141,97.614,97.6141,100
03/26/1990,97.3724,97.3724,97.372,97.3724,100
03/27/1990,97.8557,97.8557,97.856,97.8557,100
03/28/1990,97.3207,97.3207,97.321,97.3207,100
03/29/1990,97.2609,97.2609,97.261,97.2609,100
03/30/1990,96.7417,96.7417,96.742,96.7417,100
04/02/1990,96.7167,96.7167,96.717,96.7167,100
04/03/1990,98.1074,98.1074,98.107,98.1074,100
04/04/1990,97.5700,97.5700,97.570,97.5700,100
04/05/1990,96.5763,96.5763,96.576,96.5763,100
04/06/1990,95.6783,95.6783,95.678,95.6783,100
04/09/1990,95.5609,95.5609,95.561,95.5609,100
04/10/1990,96.7849,96.7849,96.785,96.7849,100
04/11/1990,97.5020,97.5020,97.502,97.5020,100
04/12/1990,97.7259,97.7259,97.726,97.7259,100
04/16/1990,98.9912,98.9912,98.991,98.9912,100
04/17/1990,98.5835,98.5835,98.583,98.5835,100
04/18/1990,97.0422,97.0422,97.042,97.0422,100
04/19/1990,96.4689,96.4689,96.469,96.4689,100
04/20/1990,96.3113,96.3113,96.311,96.3113,100
04/23/1990,95.6850,95.6850,95.685,95.6850,100
04/24/1990,95.2986,95.2986,95.299,95.2986,100
04/25/1990,95.9619,95.9619,95.962,95.9619,100
04/26/1990,95.9133,95.9133,95.913,95.9133,100
04/27/1990,94.5756,94.5756,94.576,94.5756,100
04/30/1990,95.8675,95.8675,95.868,95.8675,100
05/01/1990,95.6327,95.6327,95.633,95.6327,100
05/02/1990,96.7287,96.7287,96.729,96.7287,100
05/03/1990,97.2977,97.2977,97.298,97.2977,100
05/04/1990,98.9378,98.9378,98.938,98.9378,100
05/07/1990,99.7404,99.7404,99.740,99.7404,100
05/08/1990,99.9819,99.9819,99.982,99.9819,100
05/09/1990,100.1825,100.1825,100.182,100.1825,100
05/10/1990,101.0625,101.0625,101.063,101.0625,100
05/11/1990,102.8467,102.8467,102.847,102.8467,100
05/14/1990,103.3984,103.3984,103.398,103.3984,100
05/15/1990,103.9705,103.9705,103.971,103.9705,100
05/16/1990,103.6214,103.6214,103.621,103.6214,100
05/17/1990,104.0140,104.0140,104.014,104.0140,100
05/18/1990,103.7906,103.7906,103.791,103.7906,100
05/21/1990,105.2159,105.2159,105.216,105.2159,100
05/22/1990,105.8706,105.8706,105.871,105.8706,100
05/23/1990,107.4005,107.4005,107.401,107.4005,100
05/24/1990,107.7675,107.7675,107.768,107.7675,100
05/25/1990,105.8301,105.8301,105.830,105.8301,100
05/29/1990,108.3816,108.3816,108.382,108.3816,100
05/30/1990,108.5341,108.5341,108.534,108.5341,100
05/31/1990,108.3154,108.3154,108.315,108.3154,100
06/01/1990,107.9024,107.9024,107.902,107.9024,100
06/04/1990,109.1782,109.1782,109.178,109.1782,100
06/05/1990,108.7693,108.7693,108.769,108.7693,100
06/06/1990,108.8215,108.8215,108.822,108.8215,100
06/07/1990,108.6820,108.6820,108.682,108.6820,100
06/08/1990,107.1307,107.1307,107.131,107.1307,100
06/11/1990,107.8975,107.8975,107.898,107.8975,100
06/12/1990,108.9368,108.9368,108.937,108.9368,100
06/13/1990,109.0931,109.0931,109.093,109.0931,100
06/14/1990,108.7674,108.7674,108.767,108.7674,100
06/15/1990,108.4602,108.4602,108.460,108.4602,100
06/18/1990,106.5988,106.5988,106.599,106.5988,100
06/19/1990,106.8290,106.8290,106.829,106.8290,100
06/20/1990,106.8082,106.8082,106.808,106.8082,100
06/21/1990,107.4313,107.4313,107.431,107.4313,100
06/22/1990,105.2557,105.2557,105.256,105.2557,100
06/25/1990,104.7770,104.7770,104.777,104.7770,100
06/26/1990,104.2704,104.2704,104.270,104.2704,100
06/27/1990,105.2234,105.2234,105.223,105.2234,100
06/28/1990,105.9303,105.9303,105.930,105.9303,100
06/29/1990,106.3923,106.3923,106.392,106.3923,100
07/02/1990,107.4231,107.4231,107.423,107.4231,100
07/03/1990,106.8784,106.8784,106.878,106.8784,100
07/05/1990,106.0641,106.0641,106.064,106.0641,100
07/06/1990,106.6501,106.6501,106.650,106.6501,100
07/09/1990,107.5801,107.5801,107.580,107.5801,100
07/10/1990,106.8941,106.8941,106.894,106.8941,100
07/11/1990,107.9986,107.9986,107.999,107.9986,100
07/12/1990,108.0261,108.0261,108.026,108.0261,100
07/13/1990,108.3196,108.3196,108.320,108.3196,100
07/16/1990,109.4787,109.4787,109.479,109.4787,100
07/17/1990,108.1820,108.1820,108.182,108.1820,100
07/18/1990,106.9872,106.9872,106.987,106.9872,100
07/19/1990,106.1048,106.1048,106.105,106.1048,100
07/20/1990,103.0897,103.0897,103.090,103.0897,100
07/23/1990,101.1911,101.1911,101.191,101.1911,100
07/24/1990,99.9363,99.9363,99.936,99.9363,100
07/25/1990,100.5043,100.5043,100.504,100.5043,100
07/26/1990,99.5401,99.5401,99.540,99.5401,100
07/27/1990,98.2754,98.2754,98.275,98.2754,100
07/30/1990,98.6325,98.6325,98.633,98.6325,100
07/31/1990,98.5361,98.5361,98.536,98.5361,100
08/01/1990,97.8887,97.8887,97.889,97.8887,100
08/02/1990,95.9920,95.9920,95.992,95.9920,100
08/03/1990,93.7284,93.7284,93.728,93.7284,100
08/06/1990,90.4678,90.4678,90.468,90.4678,100
08/07/1990,90.5098,90.5098,90.510,90.5098,100
08/08/1990,91.1581,91.1581,91.158,91.1581,100
08/09/1990,91.0754,91.0754,91.075,91.0754,100
08/10/1990,90.1045,90.1045,90.104,90.1045,100
08/13/1990,91.4158,91.4158,91.416,91.4158,100
08/14/1990,91.2658,91.2658,91.266,91.2658,100
08/15/1990,91.3026,91.3026,91.303,91.3026,100
08/16/1990,89.4470,89.4470,89.447,89.4470,100
08/17/1990,87.1814,87.1814,87.181,87.1814,100
08/20/1990,86.8240,86.8240,86.824,86.8240,100
08/21/1990,85.0990,85.0990,85.099,85.0990,100
08/22/1990,84.1266,84.1266,84.127,84.1266,100
08/23/1990,82.6726,82.6726,82.673,82.6726,100
08/24/1990,85.6099,85.6099,85.610,85.6099,100
08/27/1990,88.7596,88.7596,88.760,88.7596,100
08/28/1990,88.4138,88.4138,88.414,88.4138,100
08/29/1990,88.3044,88.3044,88.304,88.3044,100
08/30/1990,86.1773,86.1773,86.177,86.1773,100
08/31/1990,86.6800,86.6800,86.680,86.6800,100
09/04/1990,87.1510,87.1510,87.151,87.1510,100
09/05/1990,86.3359,86.3359,86.336,86.3359,100
09/06/1990,85.0661,85.0661,85.066,85.0661,100
09/07/1990,86.3194,86.3194,86.319,86.3194,100
09/10/1990,86.2566,86.2566,86.257,86.2566,100
09/11/1990,86.1993,86.1993,86.199,86.1993,100
09/12/1990,86.3721,86.3721,86.372,86.3721,100
09/13/1990,84.5228,84.5228,84.523,84.5228,100
09/14/1990,83.9026,83.9026,83.903,83.9026,100
09/17/1990,84.0106,84.0106,84.011,84.0106,100
09/18/1990,84.8282,84.8282,84.828,84.8282,100
09/19/1990,85.2548,85.2548,85.255,85.2548,100
09/20/1990,83.7922,83.7922,83.792,83.7922,100
09/21/1990,83.1829,83.1829,83.183,83.1829,100
09/24/1990,81.3191,81.3191,81.319,81.3191,100
09/25/1990,82.8478,82.8478,82.848,82.8478,100
09/26/1990,81.6305,81.6305,81.631,81.6305,100
09/27/1990,80.5061,80.5061,80.506,80.5061,100
09/28/1990,83.0556,83.0556,83.056,83.0556,100
10/01/1990,84.6512,84.6512,84.651,84.6512,100
10/02/1990,84.0481,84.0481,84.048,84.0481,100
10/03/1990,82.5514,82.5514,82.551,82.5514,100
10/04/1990,81.7342,81.7342,81.734,81.7342,100
10/05/1990,81.9982,81.9982,81.998,81.9982,100
10/08/1990,82.7056,82.7056,82.706,82.7056,100
10/09/1990,79.0429,79.0429,79.043,79.0429,100
10/10/1990,77.6597,77.6597,77.660,77.6597,100
10/11/1990,76.2638,76.2638,76.264,76.2638,100
10/12/1990,76.2484,76.2484,76.248,76.2484,100
10/15/1990,76.0359,76.0359,76.036,76.0359,100
10/16/1990,75.6923,75.6923,75.692,75.6923,100
10/17/1990,76.4817,76.4817,76.482,76.4817,100
10/18/1990,79.9879,79.9879,79.988,79.9879,100
10/19/1990,81.5867,81.5867,81.587,81.5867,100
10/22/1990,81.8712,81.8712,81.871,81.8712,100
10/23/1990,81.6286,81.6286,81.629,81.6286,100
10/24/1990,82.6126,82.6126,82.613,82.6126,100
10/25/1990,81.8181,81.8181,81.818,81.8181,100
10/26/1990,80.2218,80.2218,80.222,80.2218,100
10/29/1990,79.2961,79.2961,79.296,79.2961,100
10/30/1990,79.8773,79.8773,79.877,79.8773,100
10/31/1990,79.6180,79.6180,79.618,79.6180,100
11/01/1990,80.8814,80.8814,80.881,80.8814,100
11/02/1990,82.1600,82.1600,82.160,82.1600,100
11/05/1990,83.2366,83.2366,83.237,83.2366,100
11/06/1990,82.7013,82.7013,82.701,82.7013,100
11/07/1990,81.1377,81.1377,81.138,81.1377,100
11/08/1990,82.2512,82.2512,82.251,82.2512,100
11/09/1990,84.1186,84.1186,84.119,84.1186,100
11/12/1990,86.5456,86.5456,86.546,86.5456,100
11/13/1990,86.0016,86.0016,86.002,86.0016,100
11/14/1990,87.1950,87.1950,87.195,87.1950,100
11/15/1990,85.9144,85.9144,85.914,85.9144,100
11/16/1990,86.6909,86.6909,86.691,86.6909,100
11/19/1990,87.4910,87.4910,87.491,87.4910,100
11/20/1990,86.1879,86.1879,86.188,86.1879,100
11/21/1990,86.6025,86.6025,86.603,86.6025,100
11/23/1990,85.8653,85.8653,85.865,85.8653,100
11/26/1990,86.4860,86.4860,86.486,86.4860,100
11/27/1990,87.2783,87.2783,87.278,87.2783,100
11/28/1990,87.0479,87.0479,87.048,87.0479,100
11/29/1990,86.9708,86.9708,86.971,86.9708,100
11/30/1990,87.7336,87.7336,87.734,87.7336,100
12/03/1990,90.0238,90.0238,90.024,90.0238,100
12/04/1990,91.1604,91.1604,91.160,91.1604,100
12/05/1990,92.5404,92.5404,92.540,92.5404,100
12/06/1990,91.2913,91.2913,91.291,91.2913,100
12/07/1990,91.4673,91.4673,91.467,91.4673,100
12/10/1990,91.7706,91.7706,91.771,91.7706,100
12/11/1990,90.3370,90.3370,90.337,90.3370,100
12/12/1990,91.8948,91.8948,91.895,91.8948,100
12/13/1990,90.8574,90.8574,90.857,90.8574,100
12/14/1990,89.5057,89.5057,89.506,89.5057,100
12/17/1990,89.5968,89.5968,89.597,89.5968,100
12/18/1990,91.0333,91.0333,91.033,91.0333,100
12/19/1990,91.1610,91.1610,91.161,91.1610,100
12/20/1990,91.8511,91.8511,91.851,91.8511,100
12/21/1990,92.5964,92.5964,92.596,92.5964,100
12/24/1990,92.1505,92.1505,92.151,92.1505,100
12/26/1990,92.0327,92.0327,92.033,92.0327,100
12/27/1990,91.4697,91.4697,91.470,91.4697,100
12/28/1990,91.4894,91.4894,91.489,91.4894,100
12/31/1990,91.4682,91.4682,91.468,91.4682,100
01/02/1991,91.2060,91.2060,91.206,91.2060,100
01/03/1991,90.8333,90.8333,90.833,90.8333,100
01/04/1991,90.6221,90.6221,90.622,90.6221,100
01/07/1991,89.3225,89.3225,89.323,89.3225,100
01/08/1991,88.5403,88.5403,88.540,88.5403,100
01/09/1991,87.4437,87.4437,87.444,87.4437,100
01/10/1991,88.5011,88.5011,88.501,88.5011,100
01/11/1991,88.3402,88.3402,88.340,88.3402,100
01/14/1991,87.1604,87.1604,87.160,87.1604,100
01/15/1991,88.0082,88.0082,88.008,88.0082,100
01/16/1991,90.5998,90.5998,90.600,90.5998,100
01/17/1991,94.4321,94.4321,94.432,94.4321,100
01/18/1991,96.2707,96.2707,96.271,96.2707,100
01/21/1991,97.2706,97.2706,97.271,97.2706,100
01/22/1991,95.9899,95.9899,95.990,95.9899,100
01/23/1991,96.5646,96.5646,96.565,96.5646,100
01/24/1991,98.1379,98.1379,98.138,98.1379,100
01/25/1991,98.6856,98.6856,98.686,98.6856,100
01/28/1991,99.9574,99.9574,99.957,99.9574,100
01/29/1991,100.6343,100.6343,100.634,100.6343,100
01/30/1991,102.8772,102.8772,102.877,102.8772,100
01/31/1991,103.3519,103.3519,103.352,103.3519,100
02/01/1991,103.2134,103.2134,103.213,103.2134,100
02/04/1991,104.6483,104.6483,104.648,104.6483,100
02/05/1991,105.8340,105.8340,105.834,105.8340,100
02/06/1991,107.3607,107.3607,107.361,107.3607,100
02/07/1991,106.2753,106.2753,106.275,106.2753,100
02/08/1991,107.3253,107.3253,107.325,107.3253,100
02/11/1991,109.8946,109.8946,109.895,109.8946,100
02/12/1991,109.4370,109.4370,109.437,109.4370,100
02/13/1991,111.0545,111.0545,111.055,111.0545,100
02/14/1991,109.9419,109.9419,109.942,109.9419,100
02/15/1991,111.7627,111.7627,111.763,111.7627,100
02/19/1991,114.1944,114.1944,114.194,114.1944,100
02/20/1991,113.4989,113.4989,113.499,113.4989,100
02/21/1991,112.2934,112.2934,112.293,112.2934,100
02/22/1991,111.5376,111.5376,111.538,111.5376,100
02/25/1991,111.7843,111.7843,111.784,111.7843,100
02/26/1991,109.3330,109.3330,109.333,109.3330,100
02/27/1991,109.9220,109.9220,109.922,109.9220,100
02/28/1991,108.7612,108.7612,108.761,108.7612,100
03/01/1991,110.1731,110.1731,110.173,110.1731,100
03/04/1991,110.2065,110.2065,110.206,110.2065,100
03/05/1991,114.0270,114.0270,114.027,114.0270,100
03/06/1991,114.2228,114.2228,114.223,114.2228,100
03/07/1991,114.8297,114.8297,114.830,114.8297,100
03/08/1991,114.1677,114.1677,114.168,114.1677,100
03/11/1991,111.5683,111.5683,111.568,111.5683,100
03/12/1991,109.7575,109.7575,109.757,109.7575,100
03/13/1991,112.2036,112.2036,112.204,112.2036,100
03/14/1991,111.0571,111.0571,111.057,111.0571,100
03/15/1991,110.0327,110.0327,110.033,110.0327,100
03/18/1991,110.5249,110.5249,110.525,110.5249,100
03/19/1991,104.0704,104.0704,104.070,104.0704,100
03/20/1991,103.3047,103.3047,103.305,103.3047,100
03/21/1991,101.6733,101.6733,101.673,101.6733,100
03/22/1991,101.6201,101.6201,101.620,101.6201,100
03/25/1991,102.8358,102.8358,102.836,102.8358,100
03/26/1991,104.7660,104.7660,104.766,104.7660,100
03/27/1991,104.8971,104.8971,104.897,104.8971,100
03/28/1991,104.9442,104.9442,104.944,104.9442,100
04/01/1991,103.4638,103.4638,103.464,103.4638,100
04/02/1991,105.2031,105.2031,105.203,105.2031,100
04/03/1991,105.5635,105.5635,105.564,105.5635,100
04/04/1991,106.2780,106.2780,106.278,106.2780,100
04/05/1991,104.7496,104.7496,104.750,104.7496,100
04/08/1991,105.4911,105.4911,105.491,105.4911,100
04/09/1991,103.7312,103.7312,103.731,103.7312,100
04/10/1991,104.6427,104.6427,104.643,104.6427,100
04/11/1991,105.9343,105.9343,105.934,105.9343,100
04/12/1991,106.1554,106.1554,106.155,106.1554,100
04/15/1991,104.5049,104.5049,104.505,104.5049,100
04/16/1991,106.4657,106.4657,106.466,106.4657,100
04/17/1991,107.1853,107.1853,107.185,107.1853,100
04/18/1991,106.9865,106.9865,106.987,106.9865,100
04/19/1991,106.1054,106.1054,106.105,106.1054,100
04/22/1991,105.6575,105.6575,105.657,105.6575,100
04/23/1991,106.2846,106.2846,106.285,106.2846,100
