Date,Open,High,Low,Close,Volume
09/11/1989,100.0000,100.0000,100.000,100.0000,100
09/12/1989,100.1914,100.1914,100.191,100.1914,100
09/13/1989,99.6371,99.6371,99.637,99.6371,100
09/14/1989,99.4398,99.4398,99.440,99.4398,100
09/15/1989,100.1824,100.1824,100.182,100.1824,100
09/18/1989,100.3626,100.3626,100.363,100.3626,100
09/19/1989,100.2837,100.2837,100.284,100.2837,100
09/20/1989,100.6778,100.6778,100.678,100.6778,100
09/21/1989,100.3487,100.3487,100.349,100.3487,100
09/22/1989,100.5681,100.5681,100.568,100.5681,100
09/25/1989,99.9842,99.9842,99.984,99.9842,100
09/26/1989,99.9143,99.9143,99.914,99.9143,100
09/27/1989,99.7466,99.7466,99.747,99.7466,100
09/28/1989,100.2125,100.2125,100.213,100.2125,100
09/29/1989,100.1915,100.1915,100.191,100.1915,100
10/02/1989,100.3717,100.3717,100.372,100.3717,100
10/03/1989,100.8065,100.8065,100.806,100.8065,100
10/04/1989,100.7406,100.7406,100.741,100.7406,100
10/05/1989,100.7632,100.7632,100.763,100.7632,100
10/06/1989,100.7739,100.7739,100.774,100.7739,100
10/09/1989,101.1221,101.1221,101.122,101.1221,100
10/10/1989,101.2352,101.2352,101.235,101.2352,100
10/11/1989,101.0242,101.0242,101.024,101.0242,100
10/12/1989,101.0137,101.0137,101.014,101.0137,100
10/13/1989,97.8222,97.8222,97.822,97.8222,100
10/16/1989,99.3639,99.3639,99.364,99.3639,100
10/17/1989,99.3936,99.3936,99.394,99.3936,100
10/18/1989,99.1939,99.1939,99.194,99.1939,100
10/19/1989,100.0942,100.0942,100.094,100.0942,100
10/20/1989,100.4006,100.4006,100.401,100.4006,100
10/23/1989,100.2539,100.2539,100.254,100.2539,100
10/24/1989,99.9534,99.9534,99.953,99.9534,100
10/25/1989,100.3140,100.3140,100.314,100.3140,100
10/26/1989,99.9007,99.9007,99.901,99.9007,100
10/27/1989,100.0753,100.0753,100.075,100.0753,100
10/30/1989,100.3042,100.3042,100.304,100.3042,100
10/31/1989,101.6589,101.6589,101.659,101.6589,100
11/01/1989,102.4677,102.4677,102.468,102.4677,100
11/02/1989,102.3824,102.3824,102.382,102.3824,100
11/03/1989,102.3690,102.3690,102.369,102.3690,100
11/06/1989,101.3189,101.3189,101.319,101.3189,100
11/07/1989,102.1126,102.1126,102.113,102.1126,100
11/08/1989,102.7000,102.7000,102.700,102.7000,100
11/09/1989,102.0316,102.0316,102.032,102.0316,100
11/10/1989,102.5494,102.5494,102.549,102.5494,100
11/13/1989,102.4341,102.4341,102.434,102.4341,100
11/14/1989,102.5273,102.5273,102.527,102.5273,100
11/15/1989,103.1634,103.1634,103.163,103.1634,100
11/16/1989,103.3693,103.3693,103.369,103.3693,100
11/17/1989,102.6254,102.6254,102.625,102.6254,100
11/20/1989,101.9670,101.9670,101.967,101.9670,100
11/21/1989,102.1644,102.1644,102.164,102.1644,100
11/22/1989,102.6941,102.6941,102.694,102.6941,100
11/24/1989,102.8156,102.8156,102.816,102.8156,100
11/27/1989,103.0999,103.0999,103.100,103.0999,100
11/28/1989,103.1643,103.1643,103.164,103.1643,100
11/29/1989,103.3738,103.3738,103.374,103.3738,100
11/30/1989,104.1979,104.1979,104.198,104.1979,100
12/01/1989,105.2587,105.2587,105.259,105.2587,100
12/04/1989,105.3780,105.3780,105.378,105.3780,100
12/05/1989,105.3382,105.3382,105.338,105.3382,100
12/06/1989,105.5279,105.5279,105.528,105.5279,100
12/07/1989,105.2977,105.2977,105.298,105.2977,100
12/08/1989,105.9905,105.9905,105.990,105.9905,100
12/11/1989,106.0329,106.0329,106.033,106.0329,100
12/12/1989,107.2062,107.2062,107.206,107.2062,100
12/13/1989,108.0841,108.0841,108.084,108.0841,100
12/14/1989,108.2295,108.2295,108.229,108.2295,100
12/15/1989,108.6571,108.6571,108.657,108.6571,100
12/18/1989,107.9776,107.9776,107.978,107.9776,100
12/19/1989,107.9661,107.9661,107.966,107.9661,100
12/20/1989,108.1194,108.1194,108.119,108.1194,100
12/21/1989,108.2297,108.2297,108.230,108.2297,100
12/22/1989,108.5891,108.5891,108.589,108.5891,100
12/26/1989,108.2833,108.2833,108.283,108.2833,100
12/27/1989,108.3974,108.3974,108.397,108.3974,100
12/28/1989,108.4281,108.4281,108.428,108.4281,100
12/29/1989,108.6227,108.6227,108.623,108.6227,100
01/02/1990,109.4986,109.4986,109.499,109.4986,100
01/03/1990,108.5298,108.5298,108.530,108.5298,100
01/04/1990,106.9249,106.9249,106.925,106.9249,100
01/05/1990,105.4472,105.4472,105.447,105.4472,100
01/08/1990,105.2903,105.2903,105.290,105.2903,100
01/09/1990,104.3161,104.3161,104.316,104.3161,100
01/10/1990,104.8411,104.8411,104.841,104.8411,100
01/11/1990,105.1483,105.1483,105.148,105.1483,100
01/12/1990,102.9513,102.9513,102.951,102.9513,100
01/15/1990,102.5750,102.5750,102.575,102.5750,100
01/16/1990,103.3746,103.3746,103.375,103.3746,100
01/17/1990,102.9701,102.9701,102.970,102.9701,100
01/18/1990,103.4669,103.4669,103.467,103.4669,100
01/19/1990,103.5793,103.5793,103.579,103.5793,100
01/22/1990,102.2438,102.2438,102.244,102.2438,100
01/23/1990,102.6809,102.6809,102.681,102.6809,100
01/24/1990,102.1010,102.1010,102.101,102.1010,100
01/25/1990,100.9866,100.9866,100.987,100.9866,100
01/26/1990,101.7007,101.7007,101.701,101.7007,100
01/29/1990,101.5095,101.5095,101.510,101.5095,100
01/30/1990,101.4405,101.4405,101.440,101.4405,100
01/31/1990,103.3815,103.3815,103.382,103.3815,100
02/01/1990,103.2553,103.2553,103.255,103.2553,100
02/02/1990,103.6404,103.6404,103.640,103.6404,100
02/05/1990,103.5634,103.5634,103.563,103.5634,100
02/06/1990,103.2173,103.2173,103.217,103.2173,100
02/07/1990,103.9284,103.9284,103.928,103.9284,100
02/08/1990,103.7197,103.7197,103.720,103.7197,100
02/09/1990,104.3031,104.3031,104.303,104.3031,100
02/12/1990,103.4590,103.4590,103.459,103.4590,100
02/13/1990,103.9570,103.9570,103.957,103.9570,100
02/14/1990,104.2460,104.2460,104.246,104.2460,100
02/15/1990,104.4125,104.4125,104.413,104.4125,100
02/16/1990,103.7965,103.7965,103.796,103.7965,100
02/20/1990,102.6378,102.6378,102.638,102.6378,100
02/21/1990,102.3899,102.3899,102.390,102.3899,100
02/22/1990,101.6553,101.6553,101.655,101.6553,100
02/23/1990,101.6187,101.6187,101.619,101.6187,100
02/26/1990,102.4554,102.4554,102.455,102.4554,100
02/27/1990,102.5343,102.5343,102.534,102.5343,100
02/28/1990,103.1169,103.1169,103.117,103.1169,100
03/01/1990,102.9463,102.9463,102.946,102.9463,100
03/02/1990,103.3521,103.3521,103.352,103.3521,100
03/05/1990,102.6419,102.6419,102.642,102.6419,100
03/06/1990,103.6393,103.6393,103.639,103.6393,100
03/07/1990,102.7902,102.7902,102.790,102.7902,100
03/08/1990,103.2858,103.2858,103.286,103.2858,100
03/09/1990,102.5666,102.5666,102.567,102.5666,100
03/12/1990,102.6501,102.6501,102.650,102.6501,100
03/13/1990,101.8612,101.8612,101.861,101.8612,100
03/14/1990,102.0381,102.0381,102.038,102.0381,100
03/15/1990,102.2493,102.2493,102.249,102.2493,100
03/16/1990,102.5866,102.5866,102.587,102.5866,100
03/19/1990,102.3237,102.3237,102.324,102.3237,100
03/20/1990,102.0159,102.0159,102.016,102.0159,100
03/21/1990,101.8601,101.8601,101.860,101.8601,100
03/22/1990,100.7709,100.7709,100.771,100.7709,100
03/23/1990,100.8705,100.8705,100.871,100.8705,100
03/26/1990,100.9484,100.9484,100.948,100.9484,100
03/27/1990,101.7900,101.7900,101.790,101.7900,100
03/28/1990,101.8681,101.8681,101.868,101.8681,100
03/29/1990,101.6953,101.6953,101.695,101.6953,100
03/30/1990,101.9055,101.9055,101.906,101.9055,100
04/02/1990,101.5068,101.5068,101.507,101.5068,100
04/03/1990,102.3489,102.3489,102.349,102.3489,100
04/04/1990,101.8499,101.8499,101.850,101.8499,100
04/05/1990,101.3802,101.3802,101.380,101.3802,100
04/06/1990,101.3096,101.3096,101.310,101.3096,100
04/09/1990,101.3208,101.3208,101.321,101.3208,100
04/10/1990,100.8489,100.8489,100.849,100.8489,100
04/11/1990,100.8906,100.8906,100.891,100.8906,100
04/12/1990,101.0235,101.0235,101.024,101.0235,100
04/16/1990,101.1568,101.1568,101.157,101.1568,100
04/17/1990,101.0042,101.0042,101.004,101.0042,100
04/18/1990,100.2528,100.2528,100.253,100.2528,100
04/19/1990,99.7924,99.7924,99.792,99.7924,100
04/20/1990,98.5035,98.5035,98.504,98.5035,100
04/23/1990,97.5583,97.5583,97.558,97.5583,100
04/24/1990,97.6089,97.6089,97.609,97.6089,100
04/25/1990,97.8060,97.8060,97.806,97.8060,100
04/26/1990,97.5995,97.5995,97.600,97.5995,100
04/27/1990,96.4720,96.4720,96.472,96.4720,100
04/30/1990,96.4415,96.4415,96.442,96.4415,100
05/01/1990,97.1047,97.1047,97.105,97.1047,100
05/02/1990,97.3119,97.3119,97.312,97.3119,100
05/03/1990,97.8125,97.8125,97.812,97.8125,100
05/04/1990,99.0348,99.0348,99.035,99.0348,100
05/07/1990,100.1459,100.1459,100.146,100.1459,100
05/08/1990,100.8124,100.8124,100.812,100.8124,100
