Date,Open,High,Low,Close,Volume
09/11/1989,100.0000,100.0000,100.000,100.0000,100
09/12/1989,99.9349,99.9349,99.935,99.9349,100
09/13/1989,99.2049,99.2049,99.205,99.2049,100
09/14/1989,98.3294,98.3294,98.329,98.3294,100
09/15/1989,99.0338,99.0338,99.034,99.0338,100
09/18/1989,99.7311,99.7311,99.731,99.7311,100
09/19/1989,99.7565,99.7565,99.756,99.7565,100
09/20/1989,100.0364,100.0364,100.036,100.0364,100
09/21/1989,99.6095,99.6095,99.609,99.6095,100
09/22/1989,99.9573,99.9573,99.957,99.9573,100
09/25/1989,99.4060,99.4060,99.406,99.4060,100
09/26/1989,99.2281,99.2281,99.228,99.2281,100
09/27/1989,100.8153,100.8153,100.815,100.8153,100
09/28/1989,102.9659,102.9659,102.966,102.9659,100
09/29/1989,103.0046,103.0046,103.005,103.0046,100
10/02/1989,103.1000,103.1000,103.100,103.1000,100
10/03/1989,104.8379,104.8379,104.838,104.8379,100
10/04/1989,105.7700,105.7700,105.770,105.7700,100
10/05/1989,105.8838,105.8838,105.884,105.8838,100
10/06/1989,106.5372,106.5372,106.537,106.5372,100
10/09/1989,106.9043,106.9043,106.904,106.9043,100
10/10/1989,106.9801,106.9801,106.980,106.9801,100
10/11/1989,106.4559,106.4559,106.456,106.4559,100
10/12/1989,105.4396,105.4396,105.440,105.4396,100
10/13/1989,98.6166,98.6166,98.617,98.6166,100
10/16/1989,102.0917,102.0917,102.092,102.0917,100
10/17/1989,102.2223,102.2223,102.222,102.2223,100
10/18/1989,102.5229,102.5229,102.523,102.5229,100
10/19/1989,104.6284,104.6284,104.628,104.6284,100
10/20/1989,104.3419,104.3419,104.342,104.3419,100
10/23/1989,104.1515,104.1515,104.152,104.1515,100
10/24/1989,104.1368,104.1368,104.137,104.1368,100
10/25/1989,104.0693,104.0693,104.069,104.0693,100
10/26/1989,102.9680,102.9680,102.968,102.9680,100
10/27/1989,101.4309,101.4309,101.431,101.4309,100
10/30/1989,101.6891,101.6891,101.689,101.6891,100
10/31/1989,103.7067,103.7067,103.707,103.7067,100
11/01/1989,104.6125,104.6125,104.613,104.6125,100
