Date,Open,High,Low,Close,AdjClose,TotalVolume
1/3/2005,1.78,1.8,1.65,1.7,,1637955
1/4/2005,1.7,1.71,1.61,1.67,,2482076
1/5/2005,1.68,1.68,1.58,1.6,,1820097
1/6/2005,1.6,1.62,1.57,1.58,,1181874
1/7/2005,1.59,1.65,1.57,1.59,,1075288
1/10/2005,1.59,1.68,1.59,1.61,,1422978
1/11/2005,1.63,1.63,1.57,1.57,,1120251
1/12/2005,1.6,1.61,1.5,1.54,,1777926
1/13/2005,1.56,1.58,1.53,1.55,,1370345
1/14/2005,1.59,1.63,1.54,1.62,,2073726
1/18/2005,1.63,1.64,1.56,1.61,,1487725
1/19/2005,1.62,1.62,1.56,1.58,,1764580
1/20/2005,1.59,1.6,1.56,1.58,,1094362
1/21/2005,1.57,1.61,1.57,1.58,,634369
1/24/2005,1.57,1.62,1.55,1.59,,3381667
1/25/2005,1.81,1.87,1.61,1.62,,9561857
1/26/2005,1.59,1.64,1.54,1.58,,2653001
1/27/2005,1.57,1.63,1.56,1.6,,993578
1/28/2005,1.6,1.67,1.59,1.63,,1337470
1/31/2005,1.62,1.65,1.61,1.64,,915989
2/1/2005,1.63,1.66,1.63,1.64,,679751
2/2/2005,1.63,1.65,1.6,1.6,,710879
2/3/2005,1.62,1.71,1.62,1.7,,2675988
2/4/2005,1.71,1.74,1.67,1.72,,1024339
2/7/2005,1.7,1.73,1.65,1.65,,1080034
2/8/2005,1.64,1.68,1.63,1.64,,934301
2/9/2005,1.65,1.66,1.59,1.64,,780306
2/10/2005,1.63,1.66,1.61,1.62,,910212
2/11/2005,1.62,1.63,1.58,1.59,,1184638
2/14/2005,1.61,1.62,1.59,1.59,,638981
2/15/2005,1.61,1.64,1.58,1.61,,1130104
2/16/2005,1.6,1.61,1.55,1.56,,805644
2/17/2005,1.58,1.58,1.49,1.5,,1297411
2/18/2005,1.5,1.54,1.49,1.52,,1347930
2/22/2005,1.51,1.54,1.45,1.46,,927644
2/23/2005,1.47,1.48,1.44,1.46,,636722
2/24/2005,1.45,1.5,1.43,1.49,,762763
2/25/2005,1.53,1.58,1.52,1.57,,4209899
2/28/2005,1.58,1.59,1.5,1.53,,943951
3/1/2005,1.53,1.56,1.52,1.54,,635983
3/2/2005,1.54,1.58,1.51,1.53,,2065628
3/3/2005,1.53,1.56,1.5,1.51,,1050554
3/4/2005,1.51,1.54,1.5,1.53,,785610
3/7/2005,1.53,1.55,1.5,1.51,,605473
3/8/2005,1.51,1.52,1.44,1.45,,1096815
3/9/2005,1.44,1.46,1.39,1.43,,1388755
3/10/2005,1.42,1.44,1.41,1.41,,736173
3/11/2005,1.43,1.43,1.34,1.35,,1364262
3/14/2005,1.35,1.39,1.34,1.36,,884311
3/15/2005,1.35,1.37,1.3,1.31,,1505356
3/16/2005,1.3,1.33,1.3,1.31,,1037274
3/17/2005,1.32,1.32,1.31,1.31,,650647
3/18/2005,1.32,1.32,1.31,1.31,,1005703
3/21/2005,1.32,1.36,1.31,1.33,,884847
3/22/2005,1.34,1.34,1.31,1.31,,615881
3/23/2005,1.3,1.32,1.29,1.31,,837461
3/24/2005,1.3,1.32,1.27,1.29,,968912
3/28/2005,1.38,1.42,1.36,1.4,,1789978
3/29/2005,1.4,1.48,1.39,1.44,,1452085
3/30/2005,1.45,1.47,1.41,1.46,,809235
3/31/2005,1.47,1.55,1.46,1.55,,1954508
4/1/2005,1.56,1.57,1.54,1.55,,1457221
4/4/2005,1.57,1.57,1.52,1.57,,890839
4/5/2005,1.5,1.56,1.5,1.55,,659026
4/6/2005,1.56,1.6,1.54,1.59,,1294065
4/7/2005,1.58,1.62,1.56,1.61,,1068401
4/8/2005,1.63,1.74,1.63,1.72,,3472097
4/11/2005,1.72,1.72,1.64,1.7,,1073183
4/12/2005,1.67,1.7,1.66,1.67,,592839
4/13/2005,1.68,1.76,1.67,1.73,,1365486
4/14/2005,1.75,1.75,1.68,1.71,,876735
4/15/2005,1.8,1.86,1.65,1.67,,2108798
4/18/2005,1.68,1.7,1.55,1.62,,950426
4/19/2005,1.63,1.67,1.58,1.66,,661321
4/20/2005,1.66,1.66,1.59,1.64,,793016
4/21/2005,1.68,1.75,1.64,1.74,,2527514
4/22/2005,1.62,1.63,1.58,1.6,,2427522
4/25/2005,1.61,1.64,1.59,1.64,,1207793
4/26/2005,1.64,1.65,1.61,1.61,,602978
4/27/2005,1.61,1.67,1.61,1.64,,617356
4/28/2005,1.62,1.65,1.61,1.64,,457123
4/29/2005,1.65,1.68,1.64,1.65,,643703
5/2/2005,1.65,1.66,1.62,1.65,,431655
5/3/2005,1.64,1.67,1.64,1.65,,461216
5/4/2005,1.66,1.7,1.63,1.66,,815041
5/5/2005,1.65,1.71,1.62,1.63,,958184
5/6/2005,1.64,1.66,1.63,1.65,,412631
5/9/2005,1.64,1.68,1.64,1.66,,323089
5/10/2005,1.65,1.67,1.65,1.65,,605167
5/11/2005,1.65,1.86,1.65,1.85,,3779158
5/12/2005,1.86,2.06,1.78,1.98,,6412446
5/13/2005,1.96,2.09,1.94,2.04,,3280933
5/16/2005,2.07,2.15,2.04,2.12,,3002043
5/17/2005,2.1,2.1,1.95,2.07,,2341830
5/18/2005,2.07,2.24,2.04,2.21,,2336297
5/19/2005,2.7,2.75,2.26,2.3,,21411428
5/20/2005,2.29,2.32,2.21,2.28,,3059633
5/23/2005,2.26,2.29,2.2,2.22,,1903014
5/24/2005,2.2,2.21,2.05,2.06,,3040904
5/25/2005,2.05,2.12,2.02,2.08,,1721916
5/26/2005,2.09,2.09,2.04,2.09,,883598
5/27/2005,2.1,2.13,2.07,2.08,,725362
5/31/2005,2.08,2.09,2,2.04,,771690
6/1/2005,2.03,2.1,2.03,2.07,,607617
6/2/2005,2.06,2.15,2.05,2.13,,1240076
6/3/2005,2.15,2.16,2.08,2.1,,997892
6/6/2005,2.08,2.19,2.06,2.17,,933020
6/7/2005,2.19,2.24,2.13,2.14,,1094073
6/8/2005,2.15,2.16,2.11,2.12,,528801
6/9/2005,2.15,2.24,2.09,2.24,,1148920
6/10/2005,2.24,2.44,2.21,2.42,,2809984
6/13/2005,2.39,2.48,2.31,2.38,,1918486
6/14/2005,2.36,2.44,2.34,2.43,,700553
6/15/2005,2.43,2.45,2.39,2.45,,734914
6/16/2005,2.46,2.55,2.44,2.52,,2178745
6/17/2005,2.52,2.54,2.44,2.46,,1013142
6/20/2005,2.43,2.46,2.4,2.46,,608008
6/21/2005,2.44,2.48,2.36,2.38,,530160
6/22/2005,2.33,2.41,2.31,2.36,,978549
6/23/2005,2.35,2.38,2.28,2.29,,711585
6/24/2005,2.29,2.3,2.11,2.25,,3133808
6/27/2005,2.26,2.35,2.24,2.28,,2013952
6/28/2005,2.33,2.37,2.28,2.3,,885557
6/29/2005,2.3,2.37,2.29,2.33,,577656
6/30/2005,2.33,2.38,2.32,2.34,,669158
7/1/2005,2.34,2.38,2.34,2.36,,291917
7/5/2005,2.34,2.36,2.3,2.35,,540642
7/6/2005,2.34,2.43,2.32,2.39,,784705
7/7/2005,2.34,2.47,2.32,2.42,,900925
7/8/2005,2.43,2.43,2.38,2.39,,676134
7/11/2005,2.4,2.5,2.4,2.46,,1117995
7/12/2005,2.46,2.46,2.39,2.41,,568809
7/13/2005,2.42,2.42,2.34,2.36,,475926
7/14/2005,2.37,2.39,2.32,2.36,,795257
7/15/2005,2.35,2.37,2.29,2.34,,707496
7/18/2005,2.3,2.36,2.29,2.33,,661156
7/19/2005,2.33,2.36,2.31,2.34,,558184
7/20/2005,2.32,2.43,2.31,2.41,,632838
7/21/2005,2.41,2.43,2.36,2.38,,559805
7/22/2005,2.39,2.42,2.32,2.34,,629174
7/25/2005,2.34,2.51,2.34,2.42,,5467711
7/26/2005,2.86,2.97,2.71,2.72,,11832102
7/27/2005,2.71,2.8,2.67,2.79,,1942756
7/28/2005,2.8,2.8,2.68,2.7,,1604955
7/29/2005,2.72,2.75,2.65,2.65,,989926
8/1/2005,2.67,2.76,2.61,2.76,,3211884
8/2/2005,2.77,2.85,2.73,2.8,,2516853
8/3/2005,2.8,3.02,2.8,2.98,,3341728
8/4/2005,2.98,3.05,2.93,2.95,,1976906
8/5/2005,2.95,3.01,2.93,3,,1148926
8/8/2005,3.02,3.13,3,3.11,,2268045
8/9/2005,3.17,3.22,3.04,3.05,,4654308
8/10/2005,3.03,3.11,2.95,2.98,,1459728
8/11/2005,2.99,3.03,2.92,3,,897471
8/12/2005,2.96,3.22,2.96,3.16,,2109285
8/15/2005,3.12,3.21,3.12,3.14,,1134320
8/16/2005,3.15,3.25,3.13,3.18,,1600352
8/17/2005,3.19,3.22,3.12,3.13,,715319
8/18/2005,3.11,3.11,2.99,3.06,,1093388
8/19/2005,3.06,3.07,3,3.05,,764241
8/22/2005,3.07,3.11,3.02,3.06,,595080
8/23/2005,3.05,3.07,2.95,3.01,,541827
8/24/2005,2.99,3.1,2.98,3.01,,757314
8/25/2005,3.01,3.06,3,3.01,,284622
8/26/2005,2.99,3.06,2.99,3.03,,543002
8/29/2005,3.01,3.14,3,3.13,,764197
8/30/2005,3.13,3.13,3.03,3.06,,623505
8/31/2005,3.07,3.09,3.01,3.08,,758387
9/1/2005,3.08,3.11,3.06,3.06,,701765
9/2/2005,3.13,3.13,3.04,3.08,,641308
9/6/2005,3.08,3.27,3.06,3.25,,1136756
9/7/2005,3.25,3.28,3.2,3.23,,1162295
9/8/2005,3.24,3.48,3.22,3.44,,3110047
9/9/2005,3.47,3.58,3.44,3.57,,1940970
9/12/2005,3.6,3.64,3.5,3.6,,1289483
9/13/2005,3.62,3.63,3.47,3.48,,1299990
9/14/2005,3.49,3.49,3.37,3.38,,1313133
9/15/2005,3.38,3.42,3.31,3.35,,1017260
9/16/2005,3.36,3.47,3.35,3.46,,944159
9/19/2005,3.48,3.48,3.29,3.32,,1242801
9/20/2005,3.33,3.42,3.28,3.31,,855665
9/21/2005,3.31,3.35,3.22,3.24,,795927
9/22/2005,3.23,3.39,3.21,3.37,,647781
9/23/2005,3.38,3.49,3.3,3.45,,863315
9/26/2005,3.45,3.45,3.35,3.42,,1009895
9/27/2005,3.57,3.58,3.47,3.47,,1595357
9/28/2005,3.52,3.52,3.44,3.46,,636890
9/29/2005,3.52,3.56,3.48,3.49,,1400458
9/30/2005,3.51,3.81,3.49,3.71,,3569001
10/3/2005,3.71,3.82,3.71,3.81,,1307905
10/4/2005,3.87,3.99,3.84,3.86,,2122537
10/5/2005,3.82,3.82,3.7,3.71,,1534534
10/6/2005,3.69,3.75,3.62,3.67,,903664
10/7/2005,3.73,3.97,3.71,3.89,,1973656
