Date,Open,High,Low,Close,Adj Close,TotalVolume
6/29/2010,19,25,17.54,23.89,,18783276
6/30/2010,25.79,30.42,23.3,23.83,,17194394
7/1/2010,25,25.92,20.27,21.96,,8229863
7/2/2010,23,23.1,18.71,19.2,,5141807
7/6/2010,20,20,15.83,16.11,,6879296
7/7/2010,16.4,16.63,14.98,15.8,,6924914
7/8/2010,16.14,17.52,15.57,17.46,,7719539
7/9/2010,17.58,17.9,16.55,17.4,,4058606
7/12/2010,17.95,18.07,17,17.05,,2203570
7/13/2010,17.39,18.64,16.9,18.14,,2680060
7/14/2010,17.94,20.15,17.76,19.84,,4196110
7/15/2010,19.94,21.5,19,19.89,,3745297
7/16/2010,20.7,21.3,20.05,20.64,,2621210
7/19/2010,21.37,22.25,20.92,21.91,,2486489
7/20/2010,21.85,21.85,20.05,20.3,,1825231
7/21/2010,20.66,20.9,19.5,20.22,,1253442
7/22/2010,20.5,21.25,20.37,21,,962345
7/23/2010,21.19,21.56,21.06,21.29,,654049
7/26/2010,21.5,21.5,20.3,20.95,,922453
7/27/2010,20.91,21.18,20.26,20.55,,619675
7/28/2010,20.55,20.9,20.51,20.72,,467183
7/29/2010,20.77,20.88,20,20.35,,615910
7/30/2010,20.2,20.44,19.55,19.94,,426830
8/2/2010,20.5,20.97,20.33,20.92,,719145
8/3/2010,21,21.95,20.82,21.95,,1231023
8/4/2010,21.95,22.18,20.85,21.26,,920756
8/5/2010,21.54,21.55,20.05,20.45,,796380
8/6/2010,20.1,20.16,19.52,19.59,,742138
8/9/2010,19.9,19.98,19.45,19.6,,812656
8/10/2010,19.65,19.65,18.82,19.03,,1281286
8/11/2010,18.69,18.88,17.85,17.9,,797650
8/12/2010,17.8,17.9,17.39,17.6,,691281
8/13/2010,18.18,18.45,17.66,18.32,,634513
8/16/2010,18.45,18.8,18.26,18.78,,486211
8/17/2010,18.96,19.4,18.78,19.15,,447881
8/18/2010,19.59,19.59,18.6,18.77,,601332
8/19/2010,18.54,19.25,18.33,18.79,,579082
8/20/2010,18.65,19.11,18.51,19.1,,297499
8/23/2010,19.09,20.39,19,20.13,,1088029
8/24/2010,19.25,19.71,18.95,19.2,,673074
8/25/2010,19.16,19.98,18.56,19.9,,503289
8/26/2010,19.89,20.27,19.6,19.75,,433736
8/27/2010,19.75,19.86,19.5,19.7,,379642
8/30/2010,19.7,20.19,19.61,19.87,,732731
8/31/2010,19.66,19.79,19.33,19.48,,201012
9/1/2010,19.62,20.69,19.6,20.45,,495685
9/2/2010,20.37,21.24,20.31,21.06,,487060
9/3/2010,20.87,21.3,20.66,21.05,,434756
9/7/2010,20.61,21,20.5,20.54,,243335
9/8/2010,20.66,20.95,20.6,20.9,,288382
9/9/2010,21,21.05,20.69,20.71,,376197
9/10/2010,20.75,20.93,19.76,20.17,,386571
9/13/2010,20.89,20.9,20.5,20.72,,360703
9/14/2010,20.54,21.6,20.53,21.12,,654629
9/15/2010,20.98,22,20.79,21.98,,684758
9/16/2010,22.15,23.16,20.84,20.94,,2685880
9/17/2010,21.02,21.32,19.8,20.23,,1198458
9/20/2010,20.67,21.35,20.16,21.06,,947475
9/21/2010,20.89,21.55,20.67,20.77,,796000
9/22/2010,20.87,20.95,19.8,19.87,,962816
9/23/2010,19.89,20.14,19.5,19.56,,668076
9/24/2010,19.95,20.19,19.65,20.1,,578987
9/27/2010,20.4,20.81,20.05,20.53,,418597
9/28/2010,21.04,21.49,20.76,21.4,,1214465
9/29/2010,21.19,22.03,21.13,21.98,,1969457
9/30/2010,22,22.15,20.19,20.41,,2196625
10/1/2010,20.69,20.75,20.31,20.6,,599071
10/4/2010,20.43,21.17,20.3,20.99,,643599
10/5/2010,21.15,21.28,21.01,21.12,,331936
10/6/2010,21.06,21.26,20.32,20.46,,313552
10/7/2010,20.57,20.64,20.34,20.43,,141020
10/8/2010,20.43,20.79,20.39,20.43,,268110
10/11/2010,20.44,20.7,20.07,20.24,,171194
10/12/2010,20.2,20.28,20.03,20.24,,243912
10/13/2010,20.64,20.85,20.36,20.54,,320541
10/14/2010,21,21.03,20.4,20.75,,294620
10/15/2010,20.89,20.9,20.25,20.54,,284840
10/18/2010,20.52,20.64,20.22,20.23,,162729
10/19/2010,20.2,20.41,20,20.05,,245127
10/20/2010,20.16,20.69,20.04,20.65,,312444
10/21/2010,20.61,20.95,20.45,20.75,,417999
10/22/2010,20.68,20.93,20.55,20.72,,161021
10/25/2010,20.94,20.98,20.73,20.85,,118614
10/26/2010,20.8,21.87,20.51,21.36,,660841
10/27/2010,21.25,21.38,20.65,21,,356500
10/28/2010,21.39,21.5,20.96,21.19,,224190
