Date,Open,High,Low,Close,Adj Close,Volume
2018-08-08,369.089996,382.640015,367.119995,370.339996,370.339996,24571200
2018-08-09,365.549988,367.010010,345.730011,352.450012,352.450012,17103700
2018-08-10,354.000000,360.000000,346.000000,355.489990,355.489990,11552000
2018-08-13,361.130005,363.190002,349.019989,356.410004,356.410004,10450200
2018-08-14,358.450012,359.200012,347.100006,347.640015,347.640015,6986400
2018-08-15,341.910004,344.489990,332.140015,338.690002,338.690002,9101300
2018-08-16,339.910004,342.279999,333.820007,335.450012,335.450012,6064000
2018-08-17,323.500000,326.769989,303.529999,305.500000,305.500000,18958600
2018-08-20,291.700012,308.500000,288.200012,308.440002,308.440002,17402300
2018-08-21,310.609985,324.790009,309.000000,321.899994,321.899994,13172200
2018-08-22,320.869995,323.880005,314.670013,321.640015,321.640015,5946000
2018-08-23,319.140015,327.320007,318.100006,320.100006,320.100006,5147300
2018-08-24,320.700012,323.850006,319.399994,322.820007,322.820007,3602600
2018-08-27,318.000000,322.440002,308.809998,319.269989,319.269989,13079300
2018-08-28,318.410004,318.880005,311.190002,311.859985,311.859985,7649100
2018-08-29,310.269989,311.850006,303.690002,305.010010,305.010010,7447400
2018-08-30,302.260010,304.600006,297.720001,303.149994,303.149994,7216700
2018-08-31,302.000000,305.309998,298.600006,301.660004,301.660004,5375100
2018-09-04,296.940002,298.190002,288.000000,288.950012,288.950012,8350500
2018-09-05,285.049988,286.779999,277.179993,280.739990,280.739990,7720800
2018-09-06,284.799988,291.170013,278.880005,280.950012,280.950012,7480800
2018-09-07,260.100006,268.350006,252.250000,263.239990,263.239990,22459800
