Date,Open,High,Low,Close,AdjClose,TotalVolume
1/5/2006,1273.46,1276.91,1270.3,1273.48,,2433340000
1/6/2006,1273.48,1286.09,1273.48,1285.45,,2446560000
1/9/2006,1285.45,1290.78,1284.82,1290.15,,2301490000
1/10/2006,1290.15,1290.15,1283.76,1289.69,,2373080000
1/11/2006,1289.72,1294.9,1288.12,1294.18,,2406130000
1/12/2006,1294.18,1294.18,1285.04,1286.06,,2318350000
1/13/2006,1286.06,1288.96,1282.78,1287.61,,2206510000
1/17/2006,1287.61,1287.61,1278.61,1282.93,,2179970000
1/18/2006,1282.93,1282.93,1272.08,1277.93,,2233200000
1/19/2006,1277.93,1287.79,1277.93,1285.04,,2444020000
1/20/2006,1285.04,1285.04,1260.92,1261.49,,2845810000
1/23/2006,1261.49,1268.19,1261.49,1263.82,,2256070000
1/24/2006,1263.82,1271.47,1263.82,1266.86,,2608720000
1/25/2006,1266.86,1271.87,1259.42,1264.68,,2617060000
1/26/2006,1264.68,1276.44,1264.68,1273.83,,2856780000
1/27/2006,1273.83,1286.38,1273.83,1283.72,,2623620000
1/30/2006,1283.72,1287.94,1283.51,1285.19,,2282730000
1/31/2006,1285.2,1285.2,1276.85,1280.08,,2708310000
2/1/2006,1280.08,1283.33,1277.57,1282.46,,2589410000
2/2/2006,1282.46,1282.46,1267.72,1270.84,,2565300000
2/3/2006,1270.84,1270.87,1261.02,1264.03,,2282210000
2/6/2006,1264.03,1267.04,1261.62,1265.02,,2132360000
2/7/2006,1265.02,1265.78,1253.61,1254.78,,2366370000
2/8/2006,1254.78,1266.47,1254.78,1265.65,,2456860000
2/9/2006,1265.65,1274.56,1262.8,1263.78,,2441920000
2/10/2006,1263.82,1269.89,1254.98,1266.99,,2290050000
2/13/2006,1266.99,1266.99,1258.34,1262.86,,1850080000
2/14/2006,1262.86,1278.21,1260.8,1275.53,,2437940000
2/15/2006,1275.53,1281,1271.06,1280,,2317590000
2/16/2006,1280,1289.39,1280,1289.38,,2251490000
2/17/2006,1289.38,1289.47,1284.07,1287.24,,2128260000
2/21/2006,1287.24,1291.92,1281.33,1283.03,,2104320000
2/22/2006,1283.03,1294.17,1283.03,1292.67,,2222380000
2/23/2006,1292.67,1293.84,1285.14,1287.79,,2144210000
2/24/2006,1287.79,1292.11,1285.62,1289.43,,1933010000
2/27/2006,1289.43,1297.57,1289.43,1294.12,,1975320000
2/28/2006,1294.12,1294.12,1278.66,1280.66,,2370860000
3/1/2006,1280.66,1291.8,1280.66,1291.24,,2308320000
3/2/2006,1291.24,1291.24,1283.21,1289.14,,2494590000
3/3/2006,1289.14,1297.33,1284.2,1287.23,,2152950000
3/6/2006,1287.23,1288.23,1275.67,1278.26,,2280190000
3/7/2006,1278.26,1278.26,1271.11,1275.88,,2268050000
3/8/2006,1275.88,1280.33,1268.42,1278.47,,2442870000
3/9/2006,1278.47,1282.74,1272.23,1272.23,,2140110000
3/10/2006,1272.23,1284.37,1271.11,1281.42,,2123450000
3/13/2006,1281.58,1287.37,1281.58,1284.13,,2070330000
3/14/2006,1284.13,1298.14,1282.67,1297.48,,2165270000
3/15/2006,1297.48,1304.4,1294.97,1303.02,,2293000000
3/16/2006,1303.02,1310.45,1303.02,1305.33,,2292180000
3/17/2006,1305.33,1309.79,1305.32,1307.25,,2549620000
3/20/2006,1307.25,1310,1303.59,1305.08,,1976830000
3/21/2006,1305.08,1310.88,1295.82,1297.23,,2147370000
3/22/2006,1297.23,1305.97,1295.81,1305.04,,2039810000
3/23/2006,1305.04,1305.04,1298.11,1301.67,,1980940000
3/24/2006,1301.67,1306.53,1298.89,1302.95,,2326070000
3/27/2006,1302.95,1303.74,1299.09,1301.61,,2029700000
3/28/2006,1301.61,1306.24,1291.84,1293.23,,2148580000
3/29/2006,1293.23,1305.6,1293.23,1302.89,,2143540000
3/30/2006,1302.89,1310.15,1296.72,1300.25,,2294560000
3/31/2006,1300.25,1303,1294.87,1294.87,,2236710000
4/3/2006,1302.88,1309.19,1296.65,1297.81,,2494080000
4/4/2006,1297.81,1307.55,1294.71,1305.93,,2147660000
4/5/2006,1305.93,1312.81,1304.82,1311.56,,2420020000
4/6/2006,1311.56,1311.99,1302.44,1309.04,,2281680000
4/7/2006,1309.04,1314.07,1294.18,1295.5,,2082470000
4/10/2006,1295.51,1300.74,1293.17,1296.62,,1898320000
4/11/2006,1296.6,1300.71,1282.96,1286.57,,2232880000
4/12/2006,1286.57,1290.93,1286.45,1288.12,,1938100000
4/13/2006,1288.12,1292.09,1283.37,1289.12,,1891940000
4/17/2006,1289.12,1292.45,1280.74,1285.33,,1794650000
4/18/2006,1285.33,1309.02,1285.33,1307.28,,2595440000
4/19/2006,1307.65,1310.39,1302.79,1309.93,,2447310000
4/20/2006,1309.93,1318.16,1306.38,1311.46,,2512920000
4/21/2006,1311.46,1317.67,1306.59,1311.28,,2392630000
4/24/2006,1311.28,1311.28,1303.79,1308.11,,2117330000
4/25/2006,1308.11,1310.79,1299.17,1301.74,,2366380000
4/26/2006,1301.74,1310.97,1301.74,1305.41,,2502690000
4/27/2006,1305.41,1315,1295.57,1309.72,,2772010000
4/28/2006,1309.72,1316.04,1306.16,1310.61,,2419920000
