Index,QuoteDate,QuoteTime,TOSsymbol,Expiration,Strike,P/C,Mark,Extrinsic,SPX,VIX,ImpVol,Delta,Gamma,Theta,Vega,Rho,OpenInterest,Root
180102.SPX180102C1600,1/2/2018,3:45:00 PM,.SPXW180102C1600,1/2/2018,1600,C,1092.849976,-1.029999971,2693.879883,,0.05,0.9992,0.000006,0,0.000735,0.164156,0,SPXW
180102.SPX180102P1600,1/2/2018,3:45:00 PM,.SPXW180102P1600,1/2/2018,1600,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0002,0.000002,0,0.000241,-0.000068,0,SPXW
180102.SPX180102C1700,1/2/2018,3:45:00 PM,.SPXW180102C1700,1/2/2018,1700,C,992.5999756,-1.279999971,2693.879883,,0.05,0.9991,0.000007,0,0.000806,0.174407,0,SPXW
180102.SPX180102P1700,1/2/2018,3:45:00 PM,.SPXW180102P1700,1/2/2018,1700,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0003,0.000003,0,0.000263,-0.000074,10,SPXW
180102.SPX180102C1750,1/2/2018,3:45:00 PM,.SPXW180102C1750,1/2/2018,1750,C,942.5,-1.379999995,2693.879883,,0.05,0.9991,0.000008,0,0.000843,0.179532,0,SPXW
180102.SPX180102P1750,1/2/2018,3:45:00 PM,.SPXW180102P1750,1/2/2018,1750,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0003,0.000003,0,0.000296,-0.000084,0,SPXW
180102.SPX180102C1800,1/2/2018,3:45:00 PM,.SPXW180102C1800,1/2/2018,1800,C,892.4500122,-1.429999948,2693.879883,,0.05,0.999,0.000009,0,0.000912,0.184647,0,SPXW
180102.SPX180102P1800,1/2/2018,3:45:00 PM,.SPXW180102P1800,1/2/2018,1800,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0003,0.000003,0,0.000296,-0.000084,6125,SPXW
180102.SPX180102C1850,1/2/2018,3:45:00 PM,.SPXW180102C1850,1/2/2018,1850,C,842.5499878,-1.330000043,2693.879883,,0.05,0.999,0.000011,0,0.000959,0.189768,0,SPXW
180102.SPX180102P1850,1/2/2018,3:45:00 PM,.SPXW180102P1850,1/2/2018,1850,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0003,0.000004,0,0.000316,-0.00009,46,SPXW
180102.SPX180102C1900,1/2/2018,3:45:00 PM,.SPXW180102C1900,1/2/2018,1900,C,792.0499878,-1.830000043,2693.879883,,0.05,0.9989,0.000012,0,0.001003,0.194891,7,SPXW
180102.SPX180102P1900,1/2/2018,3:45:00 PM,.SPXW180102P1900,1/2/2018,1900,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0003,0.000005,0,0.000345,-0.000098,34,SPXW
180102.SPX180102C1950,1/2/2018,3:45:00 PM,.SPXW180102C1950,1/2/2018,1950,C,742.5,-1.379999995,2693.879883,,0.05,0.9988,0.000014,0,0.001079,0.200003,0,SPXW
180102.SPX180102P1950,1/2/2018,3:45:00 PM,.SPXW180102P1950,1/2/2018,1950,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0003,0.000005,0,0.000342,-0.000097,5,SPXW
180102.SPX180102C2000,1/2/2018,3:45:00 PM,.SPXW180102C2000,1/2/2018,2000,C,693.5999756,-0.280000001,2693.879883,,0.05,0.9982,0.000021,0,0.001583,0.204962,0,SPXW
180102.SPX180102P2000,1/2/2018,3:45:00 PM,.SPXW180102P2000,1/2/2018,2000,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0004,0.000006,0,0.00039,-0.000112,1703,SPXW
180102.SPX180102C2050,1/2/2018,3:45:00 PM,.SPXW180102C2050,1/2/2018,2050,C,643.5999756,-0.280000001,2693.879883,,0.05,0.9992,0.000011,0,0.000721,0.210399,0,SPXW
180102.SPX180102P2050,1/2/2018,3:45:00 PM,.SPXW180102P2050,1/2/2018,2050,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0004,0.000007,0,0.00042,-0.000121,3663,SPXW
180102.SPX180102C2100,1/2/2018,3:45:00 PM,.SPXW180102C2100,1/2/2018,2100,C,593.5999756,-0.280000001,2693.879883,,0.05,0.9979,0.000028,0,0.001813,0.215156,0,SPXW
180102.SPX180102P2100,1/2/2018,3:45:00 PM,.SPXW180102P2100,1/2/2018,2100,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0005,0.000008,0,0.000467,-0.000135,7174,SPXW
180102.SPX180102C2125,1/2/2018,3:45:00 PM,.SPXW180102C2125,1/2/2018,2125,C,568.5999756,-0.280000001,2693.879883,,0.05,0.9991,0.000014,0,0.000814,0.218074,0,SPXW
180102.SPX180102P2125,1/2/2018,3:45:00 PM,.SPXW180102P2125,1/2/2018,2125,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0005,0.000009,0,0.000457,-0.000132,72,SPXW
180102.SPX180102C2150,1/2/2018,3:45:00 PM,.SPXW180102C2150,1/2/2018,2150,C,543.5999756,-0.280000001,2693.879883,,0.05,0.9977,0.000033,0,0.001961,0.22024,0,SPXW
180102.SPX180102P2150,1/2/2018,3:45:00 PM,.SPXW180102P2150,1/2/2018,2150,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0005,0.00001,0,0.000502,-0.000146,25,SPXW
180102.SPX180102C2175,1/2/2018,3:45:00 PM,.SPXW180102C2175,1/2/2018,2175,C,518.5999756,-0.280000001,2693.879883,,0.05,0.999,0.000017,0,0.000889,0.223187,0,SPXW
180102.SPX180102P2175,1/2/2018,3:45:00 PM,.SPXW180102P2175,1/2/2018,2175,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0005,0.000011,0,0.000513,-0.000149,14,SPXW
180102.SPX180102C2200,1/2/2018,3:45:00 PM,.SPXW180102C2200,1/2/2018,2200,C,493.6000061,-0.280000001,2693.879883,,0.05,0.9975,0.000039,0,0.002108,0.225324,0,SPXW
180102.SPX180102P2200,1/2/2018,3:45:00 PM,.SPXW180102P2200,1/2/2018,2200,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000012,0,0.000545,-0.00016,139,SPXW
180102.SPX180102C2225,1/2/2018,3:45:00 PM,.SPXW180102C2225,1/2/2018,2225,C,468.6000061,-0.280000001,2693.879883,,0.05,0.9989,0.000021,0,0.000984,0.228293,0,SPXW
180102.SPX180102P2225,1/2/2018,3:45:00 PM,.SPXW180102P2225,1/2/2018,2225,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000013,0,0.000563,-0.000165,26,SPXW
180102.SPX180102C2250,1/2/2018,3:45:00 PM,.SPXW180102C2250,1/2/2018,2250,C,443.6000061,-0.280000001,2693.879883,,0.05,0.9972,0.000049,0,0.002336,0.230378,0,SPXW
180102.SPX180102P2250,1/2/2018,3:45:00 PM,.SPXW180102P2250,1/2/2018,2250,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000014,0,0.000569,-0.000167,596,SPXW
180102.SPX180102C2260,1/2/2018,3:45:00 PM,.SPXW180102C2260,1/2/2018,2260,C,433.6000061,-0.280000001,2693.879883,,0.05,0.9989,0.000024,0,0.001009,0.23188,0,SPXW
180102.SPX180102P2260,1/2/2018,3:45:00 PM,.SPXW180102P2260,1/2/2018,2260,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000015,0,0.000583,-0.000171,0,SPXW
180102.SPX180102C2270,1/2/2018,3:45:00 PM,.SPXW180102C2270,1/2/2018,2270,C,423.6000061,-0.280000001,2693.879883,,0.05,0.9971,0.000053,0,0.002454,0.232389,0,SPXW
180102.SPX180102P2270,1/2/2018,3:45:00 PM,.SPXW180102P2270,1/2/2018,2270,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000015,0,0.000596,-0.000175,76,SPXW
180102.SPX180102C2275,1/2/2018,3:45:00 PM,.SPXW180102C2275,1/2/2018,2275,C,418.6000061,-0.280000001,2693.879883,,0.05,0.9988,0.000026,0,0.001061,0.233404,0,SPXW
