Date,Open,High,Low,Close,Adj Close,TotalVolume
1/5/2006,127.346,127.691,127.03,127.348,,
1/6/2006,127.348,128.609,127.348,128.545,,
1/9/2006,128.545,129.078,128.482,129.015,,
1/10/2006,129.015,129.015,128.376,128.969,,
1/11/2006,128.972,129.49,128.812,129.418,,
1/12/2006,129.418,129.418,128.504,128.606,,
1/13/2006,128.606,128.896,128.278,128.761,,
1/17/2006,128.761,128.761,127.861,128.293,,
1/18/2006,128.293,128.293,127.208,127.793,,
1/19/2006,127.793,128.779,127.793,128.504,,
1/20/2006,128.504,128.504,126.092,126.149,,
1/23/2006,126.149,126.819,126.149,126.382,,
1/24/2006,126.382,127.147,126.382,126.686,,
1/25/2006,126.686,127.187,125.942,126.468,,
1/26/2006,126.468,127.644,126.468,127.383,,
1/27/2006,127.383,128.638,127.383,128.372,,
1/30/2006,128.372,128.794,128.351,128.519,,
1/31/2006,128.52,128.52,127.685,128.008,,
2/1/2006,128.008,128.333,127.757,128.246,,
2/2/2006,128.246,128.246,126.772,127.084,,
2/3/2006,127.084,127.087,126.102,126.403,,
2/6/2006,126.403,126.704,126.162,126.502,,
2/7/2006,126.502,126.578,125.361,125.478,,
2/8/2006,125.478,126.647,125.478,126.565,,
2/9/2006,126.565,127.456,126.28,126.378,,
2/10/2006,126.382,126.989,125.498,126.699,,
2/13/2006,126.699,126.699,125.834,126.286,,
2/14/2006,126.286,127.821,126.08,127.553,,
2/15/2006,127.553,128.1,127.106,128,,
2/16/2006,128,128.939,128,128.938,,
2/17/2006,128.938,128.947,128.407,128.724,,
2/21/2006,128.724,129.192,128.133,128.303,,
2/22/2006,128.303,129.417,128.303,129.267,,
2/23/2006,129.267,129.384,128.514,128.779,,
2/24/2006,128.779,129.211,128.562,128.943,,
2/27/2006,128.943,129.757,128.943,129.412,,
2/28/2006,129.412,129.412,127.866,128.066,,
3/1/2006,128.066,129.18,128.066,129.124,,
3/2/2006,129.124,129.124,128.321,128.914,,
3/3/2006,128.914,129.733,128.42,128.723,,
3/6/2006,128.723,128.823,127.567,127.826,,
3/7/2006,127.826,127.826,127.111,127.588,,
3/8/2006,127.588,128.033,126.842,127.847,,
3/9/2006,127.847,128.274,127.223,127.223,,
3/10/2006,127.223,128.437,127.111,128.142,,
3/13/2006,128.158,128.737,128.158,128.413,,
3/14/2006,128.413,129.814,128.267,129.748,,
3/15/2006,129.748,130.44,129.497,130.302,,
3/16/2006,130.302,131.045,130.302,130.533,,
3/17/2006,130.533,130.979,130.532,130.725,,
3/20/2006,130.725,131,130.359,130.508,,
3/21/2006,130.508,131.088,129.582,129.723,,
3/22/2006,129.723,130.597,129.581,130.504,,
3/23/2006,130.504,130.504,129.811,130.167,,
3/24/2006,130.167,130.653,129.889,130.295,,
3/27/2006,130.295,130.374,129.909,130.161,,
3/28/2006,130.161,130.624,129.184,129.323,,
3/29/2006,129.323,130.56,129.323,130.289,,
3/30/2006,130.289,131.015,129.672,130.025,,
3/31/2006,130.025,130.3,129.487,129.487,,
4/3/2006,130.288,130.919,129.665,129.781,,
4/4/2006,129.781,130.755,129.471,130.593,,
4/5/2006,130.593,131.281,130.482,131.156,,
4/6/2006,131.156,131.199,130.244,130.904,,
4/7/2006,130.904,131.407,129.418,129.55,,
4/10/2006,129.551,130.074,129.317,129.662,,
4/11/2006,129.66,130.071,128.296,128.657,,
4/12/2006,128.657,129.093,128.645,128.812,,
4/13/2006,128.812,129.209,128.337,128.912,,
4/17/2006,128.912,129.245,128.074,128.533,,
4/18/2006,128.533,130.902,128.533,130.728,,
4/19/2006,130.765,131.039,130.279,130.993,,
4/20/2006,130.993,131.816,130.638,131.146,,
4/21/2006,131.146,131.767,130.659,131.128,,
4/24/2006,131.128,131.128,130.379,130.811,,
4/25/2006,130.811,131.079,129.917,130.174,,
4/26/2006,130.174,131.097,130.174,130.541,,
4/27/2006,130.541,131.5,129.557,130.972,,
4/28/2006,130.972,131.604,130.616,131.061,,
5/1/2006,131.061,131.721,130.346,130.519,,
5/2/2006,130.519,131.366,130.519,131.321,,
5/3/2006,131.321,131.347,130.392,130.812,,
