Date,Open,High,Low,Close,Volume
01/02/1970,9.89125E+002,1.00000E+003,9.85294E+002,1.00000E+003,0.00000E+000
01/05/1970,1.00000E+003,1.00261E+003,9.94563E+002,1.00261E+003,0.00000E+000
01/06/1970,1.00260E+003,9.93154E+002,9.87024E+002,9.93154E+002,0.00000E+000
01/07/1970,9.93203E+002,9.90868E+002,9.83935E+002,9.90868E+002,0.00000E+000
01/08/1970,9.90855E+002,9.91189E+002,9.84800E+002,9.91189E+002,0.00000E+000
01/09/1970,9.91226E+002,9.86295E+002,9.81710E+002,9.86295E+002,0.00000E+000
01/12/1970,9.86283E+002,9.76915E+002,9.71700E+002,9.76915E+002,0.00000E+000
01/13/1970,9.76891E+002,9.73814E+002,9.67004E+002,9.73814E+002,0.00000E+000
01/14/1970,9.73801E+002,9.72763E+002,9.64409E+002,9.72763E+002,0.00000E+000
01/15/1970,9.72813E+002,9.70143E+002,9.61443E+002,9.70143E+002,0.00000E+000
01/16/1970,9.70094E+002,9.67128E+002,9.61814E+002,9.67128E+002,0.00000E+000
01/19/1970,9.67128E+002,9.59058E+002,9.54276E+002,9.59058E+002,0.00000E+000
01/20/1970,9.59095E+002,9.61258E+002,9.52422E+002,9.61258E+002,0.00000E+000
01/21/1970,9.61320E+002,9.66720E+002,9.56500E+002,9.66720E+002,0.00000E+000
01/22/1970,9.66757E+002,9.71453E+002,9.60702E+002,9.71453E+002,0.00000E+000
01/23/1970,9.71453E+002,9.58403E+002,9.56995E+002,9.58403E+002,0.00000E+000
01/26/1970,9.58354E+002,9.50173E+002,9.42289E+002,9.50173E+002,0.00000E+000
01/27/1970,9.50198E+002,9.44130E+002,9.36604E+002,9.44130E+002,0.00000E+000
01/28/1970,9.44142E+002,9.37766E+002,9.33885E+002,9.37766E+002,0.00000E+000
01/29/1970,9.37716E+002,9.24802E+002,9.19056E+002,9.24802E+002,0.00000E+000
01/30/1970,9.24864E+002,9.19501E+002,9.13371E+002,9.19501E+002,0.00000E+000
02/02/1970,9.19550E+002,9.22442E+002,9.13742E+002,9.22442E+002,0.00000E+000
02/03/1970,9.22393E+002,9.36060E+002,9.13000E+002,9.36060E+002,0.00000E+000
02/04/1970,9.36110E+002,9.32390E+002,9.24493E+002,9.32390E+002,0.00000E+000
02/05/1970,9.32402E+002,9.27163E+002,9.18562E+002,9.27163E+002,0.00000E+000
02/06/1970,9.27212E+002,9.30264E+002,9.20662E+002,9.30264E+002,0.00000E+000
02/09/1970,9.30302E+002,9.33861E+002,9.27336E+002,9.33861E+002,0.00000E+000
02/10/1970,9.33885E+002,9.22677E+002,9.18438E+002,9.22677E+002,0.00000E+000
02/11/1970,9.22640E+002,9.35900E+002,9.14483E+002,9.35900E+002,0.00000E+000
02/12/1970,9.35863E+002,9.33774E+002,9.25482E+002,9.33774E+002,0.00000E+000
02/13/1970,9.33762E+002,9.30919E+002,9.21898E+002,9.30919E+002,0.00000E+000
02/16/1970,9.30919E+002,9.31414E+002,9.24370E+002,9.31414E+002,0.00000E+000
02/17/1970,9.31414E+002,9.23665E+002,9.15843E+002,9.23665E+002,0.00000E+000
02/18/1970,9.23628E+002,9.35245E+002,9.21280E+002,9.35245E+002,0.00000E+000
02/19/1970,9.35245E+002,9.36629E+002,9.28819E+002,9.36629E+002,0.00000E+000
02/20/1970,9.36604E+002,9.36060E+002,9.25976E+002,9.36060E+002,0.00000E+000
