Date,Open,High,Low,Close,Volume
01/02/1970,9.89125E+002,1.00544E+003,9.85294E+002,1.00000E+003,0.00000E+000
01/05/1970,1.00008E+003,1.01244E+003,9.94641E+002,1.00269E+003,0.00000E+000
01/06/1970,1.00275E+003,1.00621E+003,9.87179E+002,9.93310E+002,0.00000E+000
01/07/1970,9.93437E+002,9.99371E+002,9.84167E+002,9.91101E+002,0.00000E+000
01/08/1970,9.91167E+002,1.00044E+003,9.85109E+002,9.91500E+002,0.00000E+000
01/09/1970,9.91615E+002,9.96066E+002,9.82096E+002,9.86683E+002,0.00000E+000
01/12/1970,9.86748E+002,9.88108E+002,9.72159E+002,9.77376E+002,0.00000E+000
01/13/1970,9.77428E+002,9.85218E+002,9.67537E+002,9.74349E+002,0.00000E+000
01/14/1970,9.74414E+002,9.85172E+002,9.65016E+002,9.73375E+002,0.00000E+000
01/15/1970,9.73501E+002,9.78571E+002,9.62124E+002,9.70830E+002,0.00000E+000
01/16/1970,9.70857E+002,9.79514E+002,9.62570E+002,9.67888E+002,0.00000E+000
01/19/1970,9.67964E+002,9.70314E+002,9.55101E+002,9.59888E+002,0.00000E+000
01/20/1970,9.60000E+002,9.68659E+002,9.53321E+002,9.62165E+002,0.00000E+000
01/21/1970,9.62302E+002,9.75539E+002,9.57478E+002,9.67708E+002,0.00000E+000
01/22/1970,9.67821E+002,9.81306E+002,9.61759E+002,9.72523E+002,0.00000E+000
01/23/1970,9.72599E+002,9.76682E+002,9.58123E+002,9.59534E+002,0.00000E+000
01/26/1970,9.59560E+002,9.62034E+002,9.43474E+002,9.51368E+002,0.00000E+000
01/27/1970,9.51468E+002,9.56541E+002,9.37856E+002,9.45392E+002,0.00000E+000
01/28/1970,9.45479E+002,9.52780E+002,9.35207E+002,9.39093E+002,0.00000E+000
01/29/1970,9.39117E+002,9.41469E+002,9.20429E+002,9.26184E+002,0.00000E+000
01/30/1970,9.26319E+002,9.35973E+002,9.14808E+002,9.20947E+002,0.00000E+000
02/02/1970,9.21069E+002,9.36418E+002,9.15251E+002,9.23965E+002,0.00000E+000
02/03/1970,9.23989E+002,9.46395E+002,9.14580E+002,9.37680E+002,0.00000E+000
02/04/1970,9.37803E+002,9.48326E+002,9.26166E+002,9.34077E+002,0.00000E+000
02/05/1970,9.34162E+002,9.36886E+002,9.20296E+002,9.28913E+002,0.00000E+000
02/06/1970,9.29035E+002,9.39436E+002,9.22473E+002,9.32094E+002,0.00000E+000
02/09/1970,9.32204E+002,9.47188E+002,9.29232E+002,9.35771E+002,0.00000E+000
02/10/1970,9.35869E+002,9.39336E+002,9.20389E+002,9.24636E+002,0.00000E+000
02/11/1970,9.24672E+002,9.42135E+002,9.16498E+002,9.37961E+002,0.00000E+000
02/12/1970,9.37998E+002,9.44191E+002,9.27593E+002,9.35904E+002,0.00000E+000
02/13/1970,9.35966E+002,9.39806E+002,9.24074E+002,9.33117E+002,0.00000E+000
02/16/1970,9.33190E+002,9.42853E+002,9.26624E+002,9.33685E+002,0.00000E+000
02/17/1970,9.33759E+002,9.37971E+002,9.18149E+002,9.25991E+002,0.00000E+000
02/18/1970,9.26027E+002,9.44859E+002,9.23672E+002,9.37673E+002,0.00000E+000
02/19/1970,9.37747E+002,9.50262E+002,9.31303E+002,9.39135E+002,0.00000E+000
02/20/1970,9.39184E+002,9.47362E+002,9.28527E+002,9.38638E+002,0.00000E+000
02/24/1970,9.38762E+002,9.43967E+002,9.28104E+002,9.34945E+002,0.00000E+000
02/25/1970,9.34993E+002,9.57674E+002,9.28920E+002,9.52196E+002,0.00000E+000
02/26/1970,9.52296E+002,9.55023E+002,9.36430E+002,9.47524E+002,0.00000E+000
02/27/1970,9.47660E+002,9.72080E+002,9.45305E+002,9.63886E+002,0.00000E+000
