Date,Open,High,Low,Close,Volume
01/31/1985,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/01/1985,9.97040E+002,9.97040E+002,9.97040E+002,9.97040E+002,0.00000E+000
02/04/1985,1.00976E+003,1.00976E+003,1.00976E+003,1.00976E+003,0.00000E+000
02/05/1985,1.01408E+003,1.01408E+003,1.01408E+003,1.01408E+003,0.00000E+000
02/06/1985,1.01728E+003,1.01728E+003,1.01728E+003,1.01728E+003,0.00000E+000
02/07/1985,1.02848E+003,1.02848E+003,1.02848E+003,1.02848E+003,0.00000E+000
02/08/1985,1.02920E+003,1.02920E+003,1.02920E+003,1.02920E+003,0.00000E+000
02/11/1985,1.02240E+003,1.02240E+003,1.02240E+003,1.02240E+003,0.00000E+000
02/12/1985,1.01576E+003,1.01576E+003,1.01576E+003,1.01576E+003,0.00000E+000
02/13/1985,1.02304E+003,1.02304E+003,1.02304E+003,1.02304E+003,0.00000E+000
02/14/1985,1.01608E+003,1.01608E+003,1.01608E+003,1.01608E+003,0.00000E+000
02/15/1985,1.00816E+003,1.00816E+003,1.00816E+003,1.00816E+003,0.00000E+000
02/19/1985,1.00072E+003,1.00072E+003,1.00072E+003,1.00072E+003,0.00000E+000
02/20/1985,1.00384E+003,1.00384E+003,1.00384E+003,1.00384E+003,0.00000E+000
02/21/1985,1.00200E+003,1.00200E+003,1.00200E+003,1.00200E+003,0.00000E+000
02/22/1985,9.99600E+002,9.99600E+002,9.99600E+002,9.99600E+002,0.00000E+000
02/25/1985,9.88720E+002,9.88720E+002,9.88720E+002,9.88720E+002,0.00000E+000
02/26/1985,9.97520E+002,9.97520E+002,9.97520E+002,9.97520E+002,0.00000E+000
02/27/1985,9.88480E+002,9.88480E+002,9.88480E+002,9.88480E+002,0.00000E+000
02/28/1985,9.88160E+002,9.88160E+002,9.88160E+002,9.88160E+002,0.00000E+000
03/01/1985,9.98720E+002,9.98720E+002,9.98720E+002,9.98720E+002,0.00000E+000
03/04/1985,1.00088E+003,1.00088E+003,1.00088E+003,1.00088E+003,0.00000E+000
03/05/1985,9.96800E+002,9.96800E+002,9.96800E+002,9.96800E+002,0.00000E+000
03/06/1985,9.80000E+002,9.80000E+002,9.80000E+002,9.80000E+002,0.00000E+000
03/07/1985,9.64880E+002,9.64880E+002,9.64880E+002,9.64880E+002,0.00000E+000
03/08/1985,9.58320E+002,9.58320E+002,9.58320E+002,9.58320E+002,0.00000E+000
03/11/1985,9.53760E+002,9.53760E+002,9.53760E+002,9.53760E+002,0.00000E+000
03/12/1985,9.57760E+002,9.57760E+002,9.57760E+002,9.57760E+002,0.00000E+000
03/13/1985,9.33840E+002,9.33840E+002,9.33840E+002,9.33840E+002,0.00000E+000
03/14/1985,9.27840E+002,9.27840E+002,9.27840E+002,9.27840E+002,0.00000E+000
03/15/1985,9.32880E+002,9.32880E+002,9.32880E+002,9.32880E+002,0.00000E+000
03/18/1985,9.32880E+002,9.32880E+002,9.32880E+002,9.32880E+002,0.00000E+000
03/19/1985,9.42720E+002,9.42720E+002,9.42720E+002,9.42720E+002,0.00000E+000
03/20/1985,9.41040E+002,9.41040E+002,9.41040E+002,9.41040E+002,0.00000E+000
03/21/1985,9.41360E+002,9.41360E+002,9.41360E+002,9.41360E+002,0.00000E+000
03/22/1985,9.38480E+002,9.38480E+002,9.38480E+002,9.38480E+002,0.00000E+000
03/25/1985,9.20160E+002,9.20160E+002,9.20160E+002,9.20160E+002,0.00000E+000
03/26/1985,9.22000E+002,9.22000E+002,9.22000E+002,9.22000E+002,0.00000E+000
03/27/1985,9.31040E+002,9.31040E+002,9.31040E+002,9.31040E+002,0.00000E+000
03/28/1985,9.31120E+002,9.31120E+002,9.31120E+002,9.31120E+002,0.00000E+000
03/29/1985,9.38880E+002,9.38880E+002,9.38880E+002,9.38880E+002,0.00000E+000
04/01/1985,9.49760E+002,9.49760E+002,9.49760E+002,9.49760E+002,0.00000E+000
04/02/1985,9.43680E+002,9.43680E+002,9.43680E+002,9.43680E+002,0.00000E+000
04/03/1985,9.29520E+002,9.29520E+002,9.29520E+002,9.29520E+002,0.00000E+000
04/04/1985,9.27760E+002,9.27760E+002,9.27760E+002,9.27760E+002,0.00000E+000
04/08/1985,9.21120E+002,9.21120E+002,9.21120E+002,9.21120E+002,0.00000E+000
