Date,Open,High,Low,Close,Volume
01/30/1970,1007.8806,1000.0000,992.9429,1000.0000,0.0000
02/02/1970,1000.0000,1008.5863,996.9420,1008.5863,0.0000
02/03/1970,1008.5863,1020.5834,995.5305,1020.5834,0.0000
02/04/1970,1020.5834,1014.3496,1006.7043,1014.3496,0.0000
02/05/1970,1014.3496,1010.3506,999.1767,1010.3506,0.0000
02/06/1970,1010.3506,1015.4082,1002.4701,1015.4082,0.0000
02/09/1970,1015.4082,1023.4063,1013.4087,1023.4063,0.0000
02/10/1970,1023.4063,1012.7029,1006.5867,1012.7029,0.0000
02/11/1970,1012.7029,1022.5830,1003.2934,1022.5830,0.0000
02/12/1970,1022.5830,1020.1130,1010.7034,1020.1130,0.0000
02/13/1970,1020.1130,1017.8782,1008.1158,1017.8782,0.0000
02/16/1970,1017.8782,1017.0549,1009.1744,1017.0549,0.0000
02/17/1970,1017.0549,1015.8787,1006.4691,1015.8787,0.0000
02/18/1970,1015.8787,1028.4640,1013.7615,1028.4640,0.0000
02/19/1970,1028.4640,1032.2278,1022.5830,1032.2278,0.0000
02/20/1970,1032.2278,1035.4035,1021.7597,1035.4035,0.0000
02/24/1970,1035.4035,1034.9330,1026.5820,1034.9330,0.0000
02/25/1970,1034.9330,1050.9292,1024.5825,1050.9292,0.0000
02/26/1970,1050.9292,1045.6364,1030.6987,1045.6364,0.0000
02/27/1970,1048.6681,1055.7458,1043.0060,1055.7458,0.0000
03/02/1970,1055.7458,1058.2229,1048.9040,1058.2229,0.0000
03/03/1970,1058.2229,1064.3569,1049.3759,1064.3569,0.0000
03/04/1970,1064.3569,1062.1156,1053.6225,1062.1156,0.0000
03/05/1970,1062.1156,1061.6438,1054.3302,1061.6438,0.0000
03/06/1970,1061.6438,1055.0380,1047.9603,1055.0380,0.0000
03/09/1970,1054.9200,1044.0677,1037.3440,1044.0677,0.0000
03/10/1970,1044.0677,1046.8987,1036.7541,1046.8987,0.0000
03/11/1970,1046.8987,1046.1910,1039.3493,1046.1910,0.0000
03/12/1970,1046.1910,1041.9444,1034.2770,1041.9444,0.0000
03/13/1970,1041.9444,1036.4003,1029.6765,1036.4003,0.0000
03/16/1970,1036.4003,1025.1940,1019.0601,1025.1940,0.0000
03/17/1970,1025.1940,1029.6765,1018.7062,1029.6765,0.0000
03/18/1970,1029.6765,1032.6255,1025.4299,1032.6255,0.0000
03/19/1970,1032.6255,1031.2100,1024.8401,1031.2100,0.0000
03/20/1970,1031.2100,1026.9634,1019.5319,1026.9634,0.0000
03/23/1970,1026.9634,1026.1377,1016.7009,1026.1377,0.0000
03/24/1970,1026.1377,1037.8158,1025.0761,1037.8158,0.0000
03/25/1970,1039.3493,1058.9306,1039.3493,1058.9306,0.0000
03/26/1970,1058.9306,1060.7001,1051.9710,1060.7001,0.0000
03/30/1970,1060.7001,1057.2792,1048.7861,1057.2792,0.0000
03/31/1970,1060.3542,1060.3542,1051.1265,1060.3542,0.0000
04/01/1970,1060.3542,1065.5595,1056.4502,1065.5595,0.0000
04/02/1970,1065.5595,1062.2471,1056.2136,1062.2471,0.0000
04/03/1970,1062.2471,1057.5149,1050.6533,1057.5149,0.0000
04/06/1970,1057.5149,1050.0618,1042.8453,1050.0618,0.0000
04/07/1970,1050.0618,1047.2225,1040.3609,1047.2225,0.0000
04/08/1970,1047.2225,1046.8676,1039.0596,1046.8676,0.0000
04/09/1970,1046.8676,1047.3408,1040.5975,1047.3408,0.0000
04/10/1970,1047.3408,1043.9100,1038.9413,1043.9100,0.0000
04/13/1970,1043.9100,1036.8118,1031.0150,1036.8118,0.0000
