Date,Open,High,Low,Close,Volume
01/02/1968,100.0000,100.0000,100.000,100.0000,100
01/03/1968,100.0000,100.0000,100.000,100.0000,100
01/04/1968,100.0000,100.0000,100.000,100.0000,100
01/05/1968,100.0000,100.0000,100.000,100.0000,100
01/08/1968,100.0000,100.0000,100.000,100.0000,100
01/09/1968,100.0000,100.0000,100.000,100.0000,100
01/10/1968,100.0000,100.0000,100.000,100.0000,100
01/11/1968,100.0000,100.0000,100.000,100.0000,100
01/12/1968,100.0000,100.0000,100.000,100.0000,100
01/15/1968,100.0000,100.0000,100.000,100.0000,100
01/16/1968,100.0000,100.0000,100.000,100.0000,100
01/17/1968,100.0000,100.0000,100.000,100.0000,100
01/18/1968,100.0000,100.0000,100.000,100.0000,100
01/19/1968,100.0000,100.0000,100.000,100.0000,100
01/22/1968,100.0000,100.0000,100.000,100.0000,100
01/23/1968,100.0000,100.0000,100.000,100.0000,100
01/24/1968,100.0000,100.0000,100.000,100.0000,100
01/25/1968,100.0000,100.0000,100.000,100.0000,100
01/26/1968,100.0000,100.0000,100.000,100.0000,100
01/29/1968,100.0000,100.0000,100.000,100.0000,100
01/30/1968,100.0000,100.0000,100.000,100.0000,100
01/31/1968,100.0000,100.0000,100.000,100.0000,100
02/01/1968,100.0000,100.0000,100.000,100.0000,100
02/02/1968,100.0277,100.0277,100.028,100.0277,100
02/05/1968,100.0124,100.0124,100.012,100.0124,100
02/06/1968,99.9747,99.9747,99.975,99.9747,100
02/07/1968,100.0174,100.0174,100.017,100.0174,100
02/08/1968,100.0309,100.0309,100.031,100.0309,100
02/09/1968,100.0470,100.0470,100.047,100.0470,100
02/13/1968,100.1466,100.1466,100.147,100.1466,100
02/14/1968,100.2304,100.2304,100.230,100.2304,100
02/15/1968,100.3054,100.3054,100.305,100.3054,100
02/16/1968,100.3776,100.3776,100.378,100.3776,100
02/19/1968,100.3628,100.3628,100.363,100.3628,100
02/20/1968,100.3101,100.3101,100.310,100.3101,100
02/21/1968,100.3185,100.3185,100.318,100.3185,100
02/23/1968,100.3157,100.3157,100.316,100.3157,100
02/26/1968,100.2563,100.2563,100.256,100.2563,100
02/27/1968,100.2404,100.2404,100.240,100.2404,100
02/28/1968,100.2801,100.2801,100.280,100.2801,100
02/29/1968,100.3223,100.3223,100.322,100.3223,100
03/01/1968,100.2886,100.2886,100.289,100.2886,100
03/04/1968,100.2548,100.2548,100.255,100.2548,100
03/05/1968,100.2288,100.2288,100.229,100.2288,100
03/06/1968,100.1792,100.1792,100.179,100.1792,100
03/07/1968,100.0480,100.0480,100.048,100.0480,100
03/08/1968,99.8194,99.8194,99.819,99.8194,100
03/11/1968,99.7667,99.7667,99.767,99.7667,100
03/12/1968,99.7451,99.7451,99.745,99.7451,100
03/13/1968,99.5803,99.5803,99.580,99.5803,100
03/14/1968,99.3537,99.3537,99.354,99.3537,100
03/15/1968,99.4899,99.4899,99.490,99.4899,100
03/18/1968,99.8281,99.8281,99.828,99.8281,100
03/19/1968,99.9201,99.9201,99.920,99.9201,100
03/20/1968,99.9937,99.9937,99.994,99.9937,100
03/21/1968,100.0099,100.0099,100.010,100.0099,100
03/22/1968,100.0309,100.0309,100.031,100.0309,100
03/25/1968,100.0878,100.0878,100.088,100.0878,100
03/26/1968,100.0421,100.0421,100.042,100.0421,100
03/27/1968,100.0217,100.0217,100.022,100.0217,100
03/28/1968,100.0382,100.0382,100.038,100.0382,100
03/29/1968,100.0993,100.0993,100.099,100.0993,100
04/01/1968,100.1920,100.1920,100.192,100.1920,100
04/02/1968,100.3000,100.3000,100.300,100.3000,100
04/03/1968,100.5970,100.5970,100.597,100.5970,100
04/04/1968,100.7375,100.7375,100.738,100.7375,100
04/05/1968,100.7116,100.7116,100.712,100.7116,100
04/08/1968,100.7156,100.7156,100.716,100.7156,100
04/10/1968,100.7692,100.7692,100.769,100.7692,100
04/11/1968,100.7707,100.7707,100.771,100.7707,100
04/15/1968,100.6245,100.6245,100.625,100.6245,100
04/16/1968,100.5286,100.5286,100.529,100.5286,100
04/17/1968,100.5389,100.5389,100.539,100.5389,100
04/18/1968,100.4916,100.4916,100.492,100.4916,100
04/19/1968,100.2009,100.2009,100.201,100.2009,100
04/22/1968,99.9905,99.9905,99.991,99.9905,100
04/23/1968,100.0962,100.0962,100.096,100.0962,100
04/24/1968,100.2272,100.2272,100.227,100.2272,100
04/25/1968,100.2575,100.2575,100.257,100.2575,100
04/26/1968,100.2771,100.2771,100.277,100.2771,100
04/29/1968,100.2756,100.2756,100.276,100.2756,100
04/30/1968,100.2614,100.2614,100.261,100.2614,100
05/01/1968,100.2267,100.2267,100.227,100.2267,100
05/02/1968,100.1896,100.1896,100.190,100.1896,100
05/03/1968,100.1046,100.1046,100.105,100.1046,100
05/06/1968,100.1050,100.1050,100.105,100.1050,100
05/07/1968,100.1568,100.1568,100.157,100.1568,100
05/08/1968,100.1447,100.1447,100.145,100.1447,100
05/09/1968,100.1710,100.1710,100.171,100.1710,100
05/10/1968,100.2211,100.2211,100.221,100.2211,100
05/13/1968,100.2371,100.2371,100.237,100.2371,100
05/14/1968,100.1979,100.1979,100.198,100.1979,100
05/15/1968,100.1379,100.1379,100.138,100.1379,100
05/16/1968,100.0153,100.0153,100.015,100.0153,100
05/17/1968,99.9198,99.9198,99.920,99.9198,100
05/20/1968,99.8197,99.8197,99.820,99.8197,100
05/21/1968,99.6842,99.6842,99.684,99.6842,100
05/22/1968,99.6581,99.6581,99.658,99.6581,100
05/23/1968,99.8039,99.8039,99.804,99.8039,100
05/24/1968,99.9749,99.9749,99.975,99.9749,100
05/27/1968,100.1692,100.1692,100.169,100.1692,100
05/28/1968,100.2448,100.2448,100.245,100.2448,100
05/29/1968,100.2141,100.2141,100.214,100.2141,100
05/31/1968,100.4289,100.4289,100.429,100.4289,100
06/03/1968,100.6837,100.6837,100.684,100.6837,100
06/04/1968,100.7875,100.7875,100.788,100.7875,100
06/05/1968,100.7513,100.7513,100.751,100.7513,100
06/06/1968,100.6779,100.6779,100.678,100.6779,100
06/07/1968,100.6849,100.6849,100.685,100.6849,100
06/10/1968,100.7391,100.7391,100.739,100.7391,100
06/11/1968,100.7714,100.7714,100.771,100.7714,100
06/13/1968,100.8736,100.8736,100.874,100.8736,100
06/14/1968,101.0268,101.0268,101.027,101.0268,100
06/17/1968,101.1207,101.1207,101.121,101.1207,100
06/18/1968,101.1462,101.1462,101.146,101.1462,100
06/20/1968,101.3342,101.3342,101.334,101.3342,100
06/21/1968,101.5076,101.5076,101.508,101.5076,100
06/24/1968,101.4990,101.4990,101.499,101.4990,100
06/25/1968,101.3853,101.3853,101.385,101.3853,100
06/27/1968,101.3235,101.3235,101.323,101.3235,100
06/28/1968,101.3637,101.3637,101.364,101.3637,100
07/01/1968,101.5653,101.5653,101.565,101.5653,100
07/02/1968,101.7753,101.7753,101.775,101.7753,100
07/03/1968,101.8676,101.8676,101.868,101.8676,100
07/08/1968,101.9883,101.9883,101.988,101.9883,100
07/09/1968,102.1040,102.1040,102.104,102.1040,100
07/11/1968,102.1060,102.1060,102.106,102.1060,100
07/12/1968,102.0859,102.0859,102.086,102.0859,100
07/15/1968,102.0307,102.0307,102.031,102.0307,100
07/16/1968,101.9906,101.9906,101.991,101.9906,100
07/18/1968,102.0626,102.0626,102.063,102.0626,100
07/19/1968,102.1738,102.1738,102.174,102.1738,100
07/22/1968,102.3729,102.3729,102.373,102.3729,100
07/23/1968,102.6196,102.6196,102.620,102.6196,100
07/25/1968,102.7364,102.7364,102.736,102.7364,100
07/26/1968,102.7362,102.7362,102.736,102.7362,100
07/29/1968,102.6800,102.6800,102.680,102.6800,100
07/30/1968,102.6411,102.6411,102.641,102.6411,100
08/01/1968,103.0425,103.0425,103.042,103.0425,100
08/02/1968,103.3946,103.3946,103.395,103.3946,100
08/05/1968,103.3691,103.3691,103.369,103.3691,100
08/06/1968,103.2822,103.2822,103.282,103.2822,100
08/08/1968,103.3083,103.3083,103.308,103.3083,100
08/09/1968,103.3070,103.3070,103.307,103.3070,100
08/12/1968,103.2239,103.2239,103.224,103.2239,100
08/13/1968,103.1780,103.1780,103.178,103.1780,100
08/15/1968,103.1759,103.1759,103.176,103.1759,100
08/16/1968,103.2481,103.2481,103.248,103.2481,100
08/19/1968,103.2896,103.2896,103.290,103.2896,100
08/20/1968,103.2901,103.2901,103.290,103.2901,100
08/22/1968,103.1928,103.1928,103.193,103.1928,100
08/23/1968,103.2006,103.2006,103.201,103.2006,100
08/26/1968,103.3039,103.3039,103.304,103.3039,100
08/27/1968,103.3557,103.3557,103.356,103.3557,100
08/29/1968,103.4370,103.4370,103.437,103.4370,100
08/30/1968,103.5221,103.5221,103.522,103.5221,100
09/03/1968,103.6404,103.6404,103.640,103.6404,100
09/04/1968,103.6820,103.6820,103.682,103.6820,100
09/05/1968,103.6131,103.6131,103.613,103.6131,100
09/06/1968,103.5416,103.5416,103.542,103.5416,100
09/09/1968,103.4998,103.4998,103.500,103.4998,100
09/10/1968,103.4494,103.4494,103.449,103.4494,100
09/12/1968,103.4681,103.4681,103.468,103.4681,100
09/13/1968,103.5534,103.5534,103.553,103.5534,100
09/16/1968,103.6454,103.6454,103.645,103.6454,100
09/17/1968,103.7013,103.7013,103.701,103.7013,100
09/19/1968,103.7805,103.7805,103.781,103.7805,100
09/20/1968,103.7957,103.7957,103.796,103.7957,100
09/23/1968,103.7791,103.7791,103.779,103.7791,100
09/24/1968,103.8164,103.8164,103.816,103.8164,100
09/26/1968,103.8185,103.8185,103.818,103.8185,100
09/27/1968,103.8016,103.8016,103.802,103.8016,100
09/30/1968,103.7508,103.7508,103.751,103.7508,100
10/01/1968,103.6108,103.6108,103.611,103.6108,100
10/03/1968,103.5417,103.5417,103.542,103.5417,100
10/04/1968,103.5268,103.5268,103.527,103.5268,100
10/07/1968,103.4511,103.4511,103.451,103.4511,100
10/08/1968,103.3776,103.3776,103.378,103.3776,100
10/10/1968,103.3091,103.3091,103.309,103.3091,100
10/11/1968,103.3070,103.3070,103.307,103.3070,100
