Date,Open,High,Low,Close,Volume
02/12/2008,9.99601E+002,1.00000E+003,9.99601E+002,1.00000E+003,0.00000E+000
02/13/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/14/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/15/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/19/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/20/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/21/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/22/2008,9.98602E+002,9.98602E+002,9.98203E+002,9.98203E+002,0.00000E+000
02/25/2008,9.98203E+002,9.98203E+002,9.98203E+002,9.98203E+002,0.00000E+000
02/26/2008,9.98203E+002,9.98203E+002,9.98203E+002,9.98203E+002,0.00000E+000
02/27/2008,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
02/28/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
02/29/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/03/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/04/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/05/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/06/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/07/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/10/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/11/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/12/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/13/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/14/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/17/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/18/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/19/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/20/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/24/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/25/2008,1.00040E+003,1.00040E+003,1.00040E+003,1.00040E+003,0.00000E+000
03/26/2008,1.00210E+003,1.00210E+003,1.00210E+003,1.00210E+003,0.00000E+000
03/27/2008,1.00210E+003,1.00250E+003,1.00210E+003,1.00230E+003,0.00000E+000
03/28/2008,1.00190E+003,1.00190E+003,1.00190E+003,1.00190E+003,0.00000E+000
03/31/2008,1.00230E+003,1.00230E+003,1.00230E+003,1.00230E+003,0.00000E+000
04/01/2008,1.00230E+003,1.00230E+003,1.00230E+003,1.00230E+003,0.00000E+000
04/02/2008,1.00250E+003,1.00270E+003,1.00170E+003,1.00250E+003,0.00000E+000
04/03/2008,1.00250E+003,1.00270E+003,1.00250E+003,1.00270E+003,0.00000E+000
04/04/2008,1.00270E+003,1.00270E+003,1.00270E+003,1.00270E+003,0.00000E+000
04/07/2008,1.00290E+003,1.00290E+003,1.00210E+003,1.00290E+003,0.00000E+000
04/08/2008,1.00310E+003,1.00310E+003,1.00310E+003,1.00310E+003,0.00000E+000
04/09/2008,1.00310E+003,1.00310E+003,1.00310E+003,1.00310E+003,0.00000E+000
04/10/2008,1.00310E+003,1.00310E+003,1.00310E+003,1.00310E+003,0.00000E+000
04/11/2008,1.00290E+003,1.00310E+003,9.94293E+002,1.00230E+003,0.00000E+000
04/14/2008,1.00250E+003,1.00250E+003,1.00250E+003,1.00250E+003,0.00000E+000
04/15/2008,1.00350E+003,1.00350E+003,1.00270E+003,1.00270E+003,0.00000E+000
04/16/2008,1.00330E+003,1.00330E+003,1.00250E+003,1.00250E+003,0.00000E+000
04/17/2008,1.00210E+003,1.00210E+003,1.00210E+003,1.00210E+003,0.00000E+000
04/18/2008,1.00210E+003,1.00210E+003,1.00210E+003,1.00210E+003,0.00000E+000
04/21/2008,1.00230E+003,1.00230E+003,9.94293E+002,1.00110E+003,0.00000E+000
04/22/2008,1.00230E+003,1.00230E+003,1.00110E+003,1.00230E+003,0.00000E+000
04/23/2008,1.00290E+003,1.00290E+003,1.00290E+003,1.00290E+003,0.00000E+000
04/24/2008,1.00421E+003,1.00421E+003,1.00421E+003,1.00421E+003,0.00000E+000
04/25/2008,1.00260E+003,1.00300E+003,9.98590E+002,9.98590E+002,0.00000E+000
