Date,Open,High,Low,Close,Volume
07/02/1982,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
07/06/1982,994.5634,994.5634,994.5634,994.5634,0.0000
07/07/1982,980.8123,980.8123,980.8123,980.8123,0.0000
07/08/1982,1002.5583,1002.5583,1002.5583,1002.5583,0.0000
07/09/1982,1050.5276,1050.5276,1050.5276,1050.5276,0.0000
07/12/1982,1096.8979,1096.8979,1096.8979,1096.8979,0.0000
07/13/1982,1127.2785,1127.2785,1127.2785,1127.2785,0.0000
07/14/1982,1127.9181,1127.9181,1127.9181,1127.9181,0.0000
07/15/1982,1119.9232,1119.9232,1119.9232,1119.9232,0.0000
07/16/1982,1109.6898,1109.6898,1109.6898,1109.6898,0.0000
07/19/1982,1111.2887,1111.2887,1111.2887,1111.2887,0.0000
07/20/1982,1111.9284,1111.9284,1111.9284,1111.9284,0.0000
07/21/1982,1172.0498,1172.0498,1172.0498,1172.0498,0.0000
07/22/1982,1128.8775,1128.8775,1128.8775,1128.8775,0.0000
07/23/1982,1161.4966,1161.4966,1161.4966,1161.4966,0.0000
07/26/1982,1126.3192,1126.3192,1126.3192,1126.3192,0.0000
07/27/1982,1123.1212,1123.1212,1123.1212,1123.1212,0.0000
07/28/1982,1109.6898,1109.6898,1109.6898,1109.6898,0.0000
07/29/1982,1095.2990,1095.2990,1095.2990,1095.2990,0.0000
07/30/1982,1096.5781,1096.5781,1096.5781,1096.5781,0.0000
08/02/1982,1123.4409,1123.4409,1123.4409,1123.4409,0.0000
08/03/1982,1116.7253,1116.7253,1116.7253,1116.7253,0.0000
08/04/1982,1107.1314,1107.1314,1107.1314,1107.1314,0.0000
08/05/1982,1108.0908,1108.0908,1108.0908,1108.0908,0.0000
08/06/1982,1102.3345,1102.3345,1102.3345,1102.3345,0.0000
08/09/1982,1074.5123,1074.5123,1074.5123,1074.5123,0.0000
08/10/1982,1081.5478,1081.5478,1081.5478,1081.5478,0.0000
08/11/1982,1066.5174,1066.5174,1066.5174,1066.5174,0.0000
08/12/1982,1070.3550,1070.3550,1070.3550,1070.3550,0.0000
08/13/1982,1080.9082,1080.9082,1080.9082,1080.9082,0.0000
08/16/1982,1092.7406,1092.7406,1092.7406,1092.7406,0.0000
08/17/1982,1079.9488,1079.9488,1079.9488,1079.9488,0.0000
08/18/1982,1143.9079,1143.9079,1143.9079,1143.9079,0.0000
08/19/1982,1140.3901,1140.3901,1140.3901,1140.3901,0.0000
08/20/1982,1236.0089,1236.0089,1236.0089,1236.0089,0.0000
08/23/1982,1261.5925,1261.5925,1261.5925,1261.5925,0.0000
08/24/1982,1303.8056,1303.8056,1303.8056,1303.8056,0.0000
08/25/1982,1282.3792,1282.3792,1282.3792,1282.3792,0.0000
08/26/1982,1333.5465,1333.5465,1333.5465,1333.5465,0.0000
08/27/1982,1336.7444,1336.7444,1336.7444,1336.7444,0.0000
08/30/1982,1286.2168,1286.2168,1286.2168,1286.2168,0.0000
08/31/1982,1315.9577,1315.9577,1315.9577,1315.9577,0.0000
09/01/1982,1295.8107,1295.8107,1295.8107,1295.8107,0.0000
09/02/1982,1310.2015,1310.2015,1310.2015,1310.2015,0.0000
09/03/1982,1455.0687,1455.0687,1455.0687,1455.0687,0.0000
09/07/1982,1538.2155,1538.2155,1538.2155,1538.2155,0.0000
09/08/1982,1464.6626,1464.6626,1464.6626,1464.6626,0.0000
09/09/1982,1490.2462,1490.2462,1490.2462,1490.2462,0.0000
09/10/1982,1448.6728,1448.6728,1448.6728,1448.6728,0.0000
09/13/1982,1403.9014,1403.9014,1403.9014,1403.9014,0.0000
09/14/1982,1452.5104,1452.5104,1452.5104,1452.5104,0.0000
09/15/1982,1417.3329,1417.3329,1417.3329,1417.3329,0.0000
09/16/1982,1434.2820,1434.2820,1434.2820,1434.2820,0.0000
09/17/1982,1411.8963,1411.8963,1411.8963,1411.8963,0.0000
09/20/1982,1356.5718,1356.5718,1356.5718,1356.5718,0.0000
09/21/1982,1363.9270,1363.9270,1363.9270,1363.9270,0.0000
09/22/1982,1418.9319,1418.9319,1418.9319,1418.9319,0.0000
09/23/1982,1393.6680,1393.6680,1393.6680,1393.6680,0.0000
09/24/1982,1378.3178,1378.3178,1378.3178,1378.3178,0.0000
09/27/1982,1322.9933,1322.9933,1322.9933,1322.9933,0.0000
09/28/1982,1312.7598,1312.7598,1312.7598,1312.7598,0.0000
09/29/1982,1310.2015,1310.2015,1310.2015,1310.2015,0.0000
09/30/1982,1269.5874,1269.5874,1269.5874,1269.5874,0.0000
10/01/1982,1285.5772,1285.5772,1285.5772,1285.5772,0.0000
10/04/1982,1239.2069,1239.2069,1239.2069,1239.2069,0.0000
10/05/1982,1247.8414,1247.8414,1247.8414,1247.8414,0.0000
10/06/1982,1291.9731,1291.9731,1291.9731,1291.9731,0.0000
10/07/1982,1338.3434,1338.3434,1338.3434,1338.3434,0.0000
10/08/1982,1384.7137,1384.7137,1384.7137,1384.7137,0.0000
10/11/1982,1384.7137,1384.7137,1384.7137,1384.7137,0.0000
10/12/1982,1410.9370,1410.9370,1410.9370,1410.9370,0.0000
10/13/1982,1370.9626,1370.9626,1370.9626,1370.9626,0.0000
10/14/1982,1432.6830,1432.6830,1432.6830,1432.6830,0.0000
10/15/1982,1383.1148,1383.1148,1383.1148,1383.1148,0.0000
10/18/1982,1369.3636,1369.3636,1369.3636,1369.3636,0.0000
10/19/1982,1411.8963,1411.8963,1411.8963,1411.8963,0.0000
10/20/1982,1349.5362,1349.5362,1349.5362,1349.5362,0.0000
10/21/1982,1383.1148,1383.1148,1383.1148,1383.1148,0.0000
10/22/1982,1368.7240,1368.7240,1368.7240,1368.7240,0.0000
10/25/1982,1338.6632,1338.6632,1338.6632,1338.6632,0.0000
10/26/1982,1340.5820,1340.5820,1340.5820,1340.5820,0.0000
10/27/1982,1335.7851,1335.7851,1335.7851,1335.7851,0.0000
10/28/1982,1337.3841,1337.3841,1337.3841,1337.3841,0.0000
10/29/1982,1337.3841,1337.3841,1337.3841,1337.3841,0.0000
11/01/1982,1337.3841,1337.3841,1337.3841,1337.3841,0.0000
11/02/1982,1337.3841,1337.3841,1337.3841,1337.3841,0.0000
11/03/1982,1367.1250,1367.1250,1367.1250,1367.1250,0.0000
11/04/1982,1358.1708,1358.1708,1358.1708,1358.1708,0.0000
11/05/1982,1335.1455,1335.1455,1335.1455,1335.1455,0.0000
11/08/1982,1302.2066,1302.2066,1302.2066,1302.2066,0.0000
11/09/1982,1308.6025,1308.6025,1308.6025,1308.6025,0.0000
11/10/1982,1314.3588,1314.3588,1314.3588,1314.3588,0.0000
11/11/1982,1314.3588,1314.3588,1314.3588,1314.3588,0.0000
11/12/1982,1272.7854,1272.7854,1272.7854,1272.7854,0.0000
11/15/1982,1289.4148,1289.4148,1289.4148,1289.4148,0.0000
11/16/1982,1303.1659,1303.1659,1303.1659,1303.1659,0.0000
11/17/1982,1319.1557,1319.1557,1319.1557,1319.1557,0.0000
11/18/1982,1306.3639,1306.3639,1306.3639,1306.3639,0.0000
11/19/1982,1335.4653,1335.4653,1335.4653,1335.4653,0.0000
11/22/1982,1312.7598,1312.7598,1312.7598,1312.7598,0.0000
11/23/1982,1298.3690,1298.3690,1298.3690,1298.3690,0.0000
11/24/1982,1308.6025,1308.6025,1308.6025,1308.6025,0.0000
11/26/1982,1298.3690,1298.3690,1298.3690,1298.3690,0.0000
11/29/1982,1387.9117,1387.9117,1387.9117,1387.9117,0.0000
11/30/1982,1394.3076,1394.3076,1394.3076,1394.3076,0.0000
12/01/1982,1407.7390,1407.7390,1407.7390,1407.7390,0.0000
12/02/1982,1426.9268,1426.9268,1426.9268,1426.9268,0.0000
12/03/1982,1410.9370,1410.9370,1410.9370,1410.9370,0.0000
12/06/1982,1423.7288,1423.7288,1423.7288,1423.7288,0.0000
12/07/1982,1453.4697,1453.4697,1453.4697,1453.4697,0.0000
12/08/1982,1423.0892,1423.0892,1423.0892,1423.0892,0.0000
12/09/1982,1399.1045,1399.1045,1399.1045,1399.1045,0.0000
12/10/1982,1393.3482,1393.3482,1393.3482,1393.3482,0.0000
12/13/1982,1402.9421,1402.9421,1402.9421,1402.9421,0.0000
12/14/1982,1437.1601,1437.1601,1437.1601,1437.1601,0.0000
12/15/1982,1399.1045,1399.1045,1399.1045,1399.1045,0.0000
