Date,Open,High,Low,Close,Volume
01/02/1990,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
01/03/1990,1.00492E+003,1.00492E+003,1.00492E+003,1.00492E+003,0.00000E+000
01/04/1990,1.00137E+003,1.00137E+003,1.00137E+003,1.00137E+003,0.00000E+000
01/05/1990,9.98717E+002,9.98717E+002,9.98717E+002,9.98717E+002,0.00000E+000
01/08/1990,9.98699E+002,9.98699E+002,9.98699E+002,9.98699E+002,0.00000E+000
01/09/1990,9.97470E+002,9.97470E+002,9.97470E+002,9.97470E+002,0.00000E+000
01/10/1990,9.89754E+002,9.89754E+002,9.89754E+002,9.89754E+002,0.00000E+000
01/11/1990,9.90164E+002,9.90164E+002,9.90164E+002,9.90164E+002,0.00000E+000
01/12/1990,9.68514E+002,9.68514E+002,9.68514E+002,9.68514E+002,0.00000E+000
01/15/1990,9.60032E+002,9.60032E+002,9.60032E+002,9.60032E+002,0.00000E+000
01/16/1990,9.62402E+002,9.62402E+002,9.62402E+002,9.62402E+002,0.00000E+000
01/17/1990,9.63061E+002,9.63061E+002,9.63061E+002,9.63061E+002,0.00000E+000
01/18/1990,9.58678E+002,9.58678E+002,9.58678E+002,9.58678E+002,0.00000E+000
01/19/1990,9.63525E+002,9.63525E+002,9.63525E+002,9.63525E+002,0.00000E+000
01/22/1990,9.49056E+002,9.49056E+002,9.49056E+002,9.49056E+002,0.00000E+000
01/23/1990,9.45011E+002,9.45011E+002,9.45011E+002,9.45011E+002,0.00000E+000
01/24/1990,9.31807E+002,9.31807E+002,9.31807E+002,9.31807E+002,0.00000E+000
01/25/1990,9.30453E+002,9.30453E+002,9.30453E+002,9.30453E+002,0.00000E+000
01/26/1990,9.22630E+002,9.22630E+002,9.22630E+002,9.22630E+002,0.00000E+000
01/29/1990,9.12776E+002,9.12776E+002,9.12776E+002,9.12776E+002,0.00000E+000
01/30/1990,8.99252E+002,8.99252E+002,8.99252E+002,8.99252E+002,0.00000E+000
01/31/1990,9.03332E+002,9.03332E+002,9.03332E+002,9.03332E+002,0.00000E+000
02/01/1990,9.09587E+002,9.09587E+002,9.09587E+002,9.09587E+002,0.00000E+000
02/02/1990,9.19138E+002,9.19138E+002,9.19138E+002,9.19138E+002,0.00000E+000
02/05/1990,9.24465E+002,9.24465E+002,9.24465E+002,9.24465E+002,0.00000E+000
02/06/1990,9.24822E+002,9.24822E+002,9.24822E+002,9.24822E+002,0.00000E+000
02/07/1990,9.32716E+002,9.32716E+002,9.32716E+002,9.32716E+002,0.00000E+000
02/08/1990,9.34961E+002,9.34961E+002,9.34961E+002,9.34961E+002,0.00000E+000
02/09/1990,9.37865E+002,9.37865E+002,9.37865E+002,9.37865E+002,0.00000E+000
02/12/1990,9.34373E+002,9.34373E+002,9.34373E+002,9.34373E+002,0.00000E+000
02/13/1990,9.32680E+002,9.32680E+002,9.32680E+002,9.32680E+002,0.00000E+000
02/14/1990,9.33357E+002,9.33357E+002,9.33357E+002,9.33357E+002,0.00000E+000
02/15/1990,9.39077E+002,9.39077E+002,9.39077E+002,9.39077E+002,0.00000E+000
02/16/1990,9.39629E+002,9.39629E+002,9.39629E+002,9.39629E+002,0.00000E+000
02/20/1990,9.31361E+002,9.31361E+002,9.31361E+002,9.31361E+002,0.00000E+000
02/21/1990,9.26497E+002,9.26497E+002,9.26497E+002,9.26497E+002,0.00000E+000
02/22/1990,9.30969E+002,9.30969E+002,9.30969E+002,9.30969E+002,0.00000E+000
