Date,Open,High,Low,Close,Volume
03/04/1999,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
03/05/1999,1037.9701,1037.9701,1037.9701,1037.9701,0.0000
03/08/1999,1105.4561,1105.4561,1105.4561,1105.4561,0.0000
03/09/1999,1099.3543,1099.3543,1099.3543,1099.3543,0.0000
03/10/1999,1110.0038,1110.0038,1110.0038,1110.0038,0.0000
03/11/1999,1115.5556,1115.5556,1115.5556,1115.5556,0.0000
03/12/1999,1077.4162,1077.4162,1077.4162,1077.4162,0.0000
03/15/1999,1132.3634,1132.3634,1132.3634,1132.3634,0.0000
03/16/1999,1146.4685,1146.4685,1146.4685,1146.4685,0.0000
03/17/1999,1136.6474,1136.6474,1136.6474,1136.6474,0.0000
03/18/1999,1178.6221,1178.6221,1178.6221,1178.6221,0.0000
03/19/1999,1123.4557,1123.4557,1123.4557,1123.4557,0.0000
03/22/1999,1094.2402,1094.2402,1094.2402,1094.2402,0.0000
03/23/1999,1023.0402,1023.0402,1023.0402,1023.0402,0.0000
03/24/1999,1077.5232,1077.5232,1077.5232,1077.5232,0.0000
03/25/1999,1152.0800,1152.0800,1152.0800,1152.0800,0.0000
03/26/1999,1134.1741,1134.1741,1134.1741,1134.1741,0.0000
03/29/1999,1218.9217,1218.9217,1218.9217,1218.9217,0.0000
03/30/1999,1197.2083,1197.2083,1197.2083,1197.2083,0.0000
03/31/1999,1175.3069,1175.3069,1175.3069,1175.3069,0.0000
04/01/1999,1219.4897,1219.4897,1219.4897,1219.4897,0.0000
04/05/1999,1302.8590,1302.8590,1302.8590,1302.8590,0.0000
04/06/1999,1301.7415,1301.7415,1301.7415,1301.7415,0.0000
04/07/1999,1270.4306,1270.4306,1270.4306,1270.4306,0.0000
04/08/1999,1307.8751,1307.8751,1307.8751,1307.8751,0.0000
04/09/1999,1316.7761,1316.7761,1316.7761,1316.7761,0.0000
04/12/1999,1300.9601,1300.9601,1300.9601,1300.9601,0.0000
04/13/1999,1249.1605,1249.1605,1249.1605,1249.1605,0.0000
04/14/1999,1166.8158,1166.8158,1166.8158,1166.8158,0.0000
04/15/1999,1202.3352,1202.3352,1202.3352,1202.3352,0.0000
04/16/1999,1146.6293,1146.6293,1146.6293,1146.6293,0.0000
04/19/1999,1015.8176,1015.8176,1015.8176,1015.8176,0.0000
04/20/1999,1080.3950,1080.3950,1080.3950,1080.3950,0.0000
04/21/1999,1160.6637,1160.6637,1160.6637,1160.6637,0.0000
04/22/1999,1246.0901,1246.0901,1246.0901,1246.0901,0.0000
04/23/1999,1276.7527,1276.7527,1276.7527,1276.7527,0.0000
04/26/1999,1334.5802,1334.5802,1334.5802,1334.5802,0.0000
04/27/1999,1271.0909,1271.0909,1271.0909,1271.0909,0.0000
04/28/1999,1205.7322,1205.7322,1205.7322,1205.7322,0.0000
04/29/1999,1170.6706,1170.6706,1170.6706,1170.6706,0.0000
04/30/1999,1189.3912,1189.3912,1189.3912,1189.3912,0.0000
05/03/1999,1190.9673,1190.9673,1190.9673,1190.9673,0.0000
05/04/1999,1145.8070,1145.8070,1145.8070,1145.8070,0.0000
05/05/1999,1209.3176,1209.3176,1209.3176,1209.3176,0.0000
05/06/1999,1122.6424,1122.6424,1122.6424,1122.6424,0.0000
05/07/1999,1164.6953,1164.6953,1164.6953,1164.6953,0.0000
05/10/1999,1183.2658,1183.2658,1183.2658,1183.2658,0.0000
05/11/1999,1228.6622,1228.6622,1228.6622,1228.6622,0.0000
05/12/1999,1275.7226,1275.7226,1275.7226,1275.7226,0.0000
05/13/1999,1231.1226,1231.1226,1231.1226,1231.1226,0.0000
05/14/1999,1170.0383,1170.0383,1170.0383,1170.0383,0.0000
05/17/1999,1225.5640,1225.5640,1225.5640,1225.5640,0.0000
05/18/1999,1206.8742,1206.8742,1206.8742,1206.8742,0.0000
05/19/1999,1236.8173,1236.8173,1236.8173,1236.8173,0.0000
05/20/1999,1184.3460,1184.3460,1184.3460,1184.3460,0.0000
05/21/1999,1155.8671,1155.8671,1155.8671,1155.8671,0.0000
05/24/1999,1096.8768,1096.8768,1096.8768,1096.8768,0.0000
05/25/1999,1031.2085,1031.2085,1031.2085,1031.2085,0.0000
05/26/1999,1086.7945,1086.7945,1086.7945,1086.7945,0.0000
05/27/1999,1083.5359,1083.5359,1083.5359,1083.5359,0.0000
05/28/1999,1125.2448,1125.2448,1125.2448,1125.2448,0.0000
06/01/1999,1056.2781,1056.2781,1056.2781,1056.2781,0.0000
06/02/1999,1106.9444,1106.9444,1106.9444,1106.9444,0.0000
06/03/1999,1059.6948,1059.6948,1059.6948,1059.6948,0.0000
06/04/1999,1141.9949,1141.9949,1141.9949,1141.9949,0.0000
06/07/1999,1188.6955,1188.6955,1188.6955,1188.6955,0.0000
06/08/1999,1115.7344,1115.7344,1115.7344,1115.7344,0.0000
06/09/1999,1167.6802,1167.6802,1167.6802,1167.6802,0.0000
06/10/1999,1126.3045,1126.3045,1126.3045,1126.3045,0.0000
06/11/1999,1088.0071,1088.0071,1088.0071,1088.0071,0.0000
06/14/1999,1052.6344,1052.6344,1052.6344,1052.6344,0.0000
06/15/1999,1082.8215,1082.8215,1082.8215,1082.8215,0.0000
06/16/1999,1197.6782,1197.6782,1197.6782,1197.6782,0.0000
06/17/1999,1223.3001,1223.3001,1223.3001,1223.3001,0.0000
06/18/1999,1239.4529,1239.4529,1239.4529,1239.4529,0.0000
06/21/1999,1310.3114,1310.3114,1310.3114,1310.3114,0.0000
06/22/1999,1242.2438,1242.2438,1242.2438,1242.2438,0.0000
06/23/1999,1275.1444,1275.1444,1275.1444,1275.1444,0.0000
06/24/1999,1212.9396,1212.9396,1212.9396,1212.9396,0.0000
06/25/1999,1213.7374,1213.7374,1213.7374,1213.7374,0.0000
06/28/1999,1278.1657,1278.1657,1278.1657,1278.1657,0.0000
06/29/1999,1319.1382,1319.1382,1319.1382,1319.1382,0.0000
06/30/1999,1338.2736,1338.2736,1338.2736,1338.2736,0.0000
07/01/1999,1367.8496,1367.8496,1367.8496,1367.8496,0.0000
07/02/1999,1397.7580,1397.7580,1397.7580,1397.7580,0.0000
07/06/1999,1377.1302,1377.1302,1377.1302,1377.1302,0.0000
07/07/1999,1388.7335,1388.7335,1388.7335,1388.7335,0.0000
07/08/1999,1428.7600,1428.7600,1428.7600,1428.7600,0.0000
07/09/1999,1450.7453,1450.7453,1450.7453,1450.7453,0.0000
07/12/1999,1439.8791,1439.8791,1439.8791,1439.8791,0.0000
07/13/1999,1426.8897,1426.8897,1426.8897,1426.8897,0.0000
07/14/1999,1478.8306,1478.8306,1478.8306,1478.8306,0.0000
07/15/1999,1493.5898,1493.5898,1493.5898,1493.5898,0.0000
07/16/1999,1530.5265,1530.5265,1530.5265,1530.5265,0.0000
07/19/1999,1486.9133,1486.9133,1486.9133,1486.9133,0.0000
07/20/1999,1369.8282,1369.8282,1369.8282,1369.8282,0.0000
07/21/1999,1409.9443,1409.9443,1409.9443,1409.9443,0.0000
07/22/1999,1312.2790,1312.2790,1312.2790,1312.2790,0.0000
07/23/1999,1335.1792,1335.1792,1335.1792,1335.1792,0.0000
07/26/1999,1255.5263,1255.5263,1255.5263,1255.5263,0.0000
07/27/1999,1339.9377,1339.9377,1339.9377,1339.9377,0.0000
07/28/1999,1368.8052,1368.8052,1368.8052,1368.8052,0.0000
07/29/1999,1285.6880,1285.6880,1285.6880,1285.6880,0.0000
07/30/1999,1294.4353,1294.4353,1294.4353,1294.4353,0.0000
08/02/1999,1287.2719,1287.2719,1287.2719,1287.2719,0.0000
08/03/1999,1257.9473,1257.9473,1257.9473,1257.9473,0.0000
08/04/1999,1218.7080,1218.7080,1218.7080,1218.7080,0.0000
08/05/1999,1249.3664,1249.3664,1249.3664,1249.3664,0.0000
08/06/1999,1226.7077,1226.7077,1226.7077,1226.7077,0.0000
08/09/1999,1199.3081,1199.3081,1199.3081,1199.3081,0.0000
08/10/1999,1172.9994,1172.9994,1172.9994,1172.9994,0.0000
08/11/1999,1257.3995,1257.3995,1257.3995,1257.3995,0.0000
08/12/1999,1226.4235,1226.4235,1226.4235,1226.4235,0.0000
08/13/1999,1328.9324,1328.9324,1328.9324,1328.9324,0.0000
08/16/1999,1335.6793,1335.6793,1335.6793,1335.6793,0.0000
08/17/1999,1363.5280,1363.5280,1363.5280,1363.5280,0.0000
08/18/1999,1340.0618,1340.0618,1340.0618,1340.0618,0.0000
08/19/1999,1295.2258,1295.2258,1295.2258,1295.2258,0.0000
08/20/1999,1336.2545,1336.2545,1336.2545,1336.2545,0.0000
08/23/1999,1417.7820,1417.7820,1417.7820,1417.7820,0.0000
08/24/1999,1440.1024,1440.1024,1440.1024,1440.1024,0.0000
08/25/1999,1507.0673,1507.0673,1507.0673,1507.0673,0.0000
08/26/1999,1453.4284,1453.4284,1453.4284,1453.4284,0.0000
08/27/1999,1435.4868,1435.4868,1435.4868,1435.4868,0.0000
08/30/1999,1392.6559,1392.6559,1392.6559,1392.6559,0.0000
08/31/1999,1427.7259,1427.7259,1427.7259,1427.7259,0.0000
09/01/1999,1437.1382,1437.1382,1437.1382,1437.1382,0.0000
09/02/1999,1422.1722,1422.1722,1422.1722,1422.1722,0.0000
09/03/1999,1557.5856,1557.5856,1557.5856,1557.5856,0.0000
09/07/1999,1538.9145,1538.9145,1538.9145,1538.9145,0.0000
09/08/1999,1492.7939,1492.7939,1492.7939,1492.7939,0.0000
