Date,Open,High,Low,Close,Volume
03/10/1999,1001.2240,1000.0000,984.7002,1000.0000,0.0000
03/11/1999,1007.3439,1004.8960,985.3122,1004.8960,0.0000
03/12/1999,1001.2240,980.4162,972.4602,980.4162,0.0000
03/15/1999,987.7602,1008.5679,977.3562,1008.5679,0.0000
03/16/1999,1012.8520,1017.1359,1001.8360,1017.1359,0.0000
03/17/1999,1017.1359,1009.7919,1006.7320,1009.7919,0.0000
03/18/1999,1008.5679,1029.3758,1008.5679,1029.3758,0.0000
03/19/1999,1042.8397,1003.0600,1002.4480,1003.0600,0.0000
03/22/1999,1007.3439,990.8201,988.9842,990.8201,0.0000
03/23/1999,985.3122,955.9364,954.1004,955.9364,0.0000
03/24/1999,964.5043,988.3721,949.8164,988.3721,0.0000
03/25/1999,1003.6720,1024.4798,997.5520,1024.4798,0.0000
03/26/1999,1015.9119,1013.4639,1009.1800,1013.4639,0.0000
03/29/1999,1025.7038,1050.1836,1019.5839,1050.1836,0.0000
03/30/1999,1048.9597,1042.8397,1038.5558,1042.8397,0.0000
03/31/1999,1059.9756,1027.5398,1024.4798,1027.5398,0.0000
04/01/1999,1057.5276,1048.9597,1031.8238,1048.9597,0.0000
04/05/1999,1066.0955,1086.9034,1059.3635,1086.9034,0.0000
04/06/1999,1085.6794,1089.3514,1076.4994,1089.3514,0.0000
04/07/1999,1099.1432,1077.7234,1054.4676,1077.7234,0.0000
04/08/1999,1075.8875,1086.2913,1053.8556,1086.2913,0.0000
04/09/1999,1084.4554,1093.0233,1081.3954,1093.0233,0.0000
04/12/1999,1067.3195,1085.6794,1066.0955,1085.6794,0.0000
04/13/1999,1092.4113,1070.9915,1062.4236,1070.9915,0.0000
04/14/1999,1084.4554,1034.2718,1028.1518,1034.2718,0.0000
04/15/1999,1037.9437,1048.3476,1001.2240,1048.3476,0.0000
04/16/1999,1045.8996,1017.7479,1012.2399,1017.7479,0.0000
04/19/1999,1024.4798,970.0123,959.6084,970.0123,0.0000
04/20/1999,965.7283,992.0441,956.5484,992.0441,0.0000
04/21/1999,1001.2240,1041.0038,987.7602,1041.0038,0.0000
04/22/1999,1050.7956,1069.1555,1044.0637,1069.1555,0.0000
04/23/1999,1063.6475,1083.2314,1052.6316,1083.2314,0.0000
04/26/1999,1090.5754,1108.3232,1086.9034,1108.3232,0.0000
04/27/1999,1116.2791,1091.1873,1077.1115,1091.1873,0.0000
04/28/1999,1082.0074,1053.8556,1048.9597,1053.8556,0.0000
04/29/1999,1048.9597,1045.2877,1023.2558,1045.2877,0.0000
04/30/1999,1059.9756,1052.0196,1014.6879,1052.0196,0.0000
05/03/1999,1048.9597,1046.5117,1029.3758,1046.5117,0.0000
05/04/1999,1048.3476,1029.9878,1023.8679,1029.9878,0.0000
05/05/1999,1030.5998,1061.1996,999.3880,1061.1996,0.0000
05/06/1999,1051.4076,1022.6439,1012.8520,1022.6439,0.0000
05/07/1999,1031.8238,1037.3318,1009.7919,1037.3318,0.0000
05/10/1999,1044.0637,1047.7357,1031.8238,1047.7357,0.0000
05/11/1999,1056.3036,1064.2595,1050.1836,1064.2595,0.0000
05/12/1999,1069.1555,1086.2913,1037.9437,1086.2913,0.0000
05/13/1999,1094.8593,1066.0955,1061.1996,1066.0955,0.0000
05/14/1999,1045.2877,1045.8996,1037.9437,1045.8996,0.0000
05/17/1999,1036.7197,1064.8715,1026.9278,1064.8715,0.0000
05/18/1999,1063.6475,1059.9756,1047.7357,1059.9756,0.0000
05/19/1999,1064.2595,1074.6635,1047.7357,1074.6635,0.0000
05/20/1999,1077.1115,1045.2877,1043.4517,1045.2877,0.0000
05/21/1999,1048.3476,1035.4957,1029.9878,1035.4957,0.0000
05/24/1999,1037.3318,1009.1800,1002.4480,1009.1800,0.0000
05/25/1999,1007.9560,976.1322,971.8483,976.1322,0.0000
05/26/1999,988.9842,1003.6720,958.3844,1003.6720,0.0000
05/27/1999,999.3880,1002.4480,986.5362,1002.4480,0.0000
05/28/1999,1008.5679,1018.9719,995.7161,1018.9719,0.0000
06/01/1999,1017.1359,996.3280,990.8201,996.3280,0.0000
06/02/1999,995.7161,1013.4639,970.6243,1013.4639,0.0000
06/03/1999,1020.8079,998.7760,992.6561,998.7760,0.0000
06/04/1999,1006.1200,1029.3758,1006.1200,1029.3758,0.0000
06/07/1999,1036.7197,1050.7956,1034.2718,1050.7956,0.0000
06/08/1999,1053.2436,1024.4798,1019.5839,1024.4798,0.0000
06/09/1999,1028.1518,1041.6157,1027.5398,1041.6157,0.0000
06/10/1999,1030.5998,1029.3758,1017.1359,1029.3758,0.0000
06/11/1999,1036.7197,1014.0759,1004.8960,1014.0759,0.0000
06/14/1999,1017.7479,995.1040,992.6561,995.1040,0.0000
06/15/1999,997.5520,1009.7919,994.4921,1009.7919,0.0000
06/16/1999,1034.8838,1061.8115,1033.6598,1061.8115,0.0000
06/17/1999,1047.7357,1073.4395,1047.7357,1073.4395,0.0000
06/18/1999,1063.6475,1078.3354,1061.8115,1078.3354,0.0000
06/21/1999,1085.6794,1110.7712,1083.8434,1110.7712,0.0000
06/22/1999,1104.0392,1077.1115,1077.1115,1077.1115,0.0000
06/23/1999,1077.1115,1094.2473,1070.3795,1094.2473,0.0000
06/24/1999,1093.6353,1072.2155,1067.3195,1072.2155,0.0000
06/25/1999,1079.5594,1070.9915,1061.1996,1070.9915,0.0000
06/28/1999,1080.1714,1096.6953,1070.9915,1096.6953,0.0000
06/29/1999,1095.4713,1111.3831,1089.9633,1111.3831,0.0000
06/30/1999,1112.6071,1128.5190,1099.1432,1128.5190,0.0000
07/01/1999,1132.1910,1135.8629,1112.6071,1135.8629,0.0000
07/02/1999,1135.8629,1150.5508,1135.8629,1150.5508,0.0000
07/06/1999,1156.6708,1143.2069,1137.0869,1143.2069,0.0000
07/07/1999,1142.5949,1145.0429,1134.6390,1145.0429,0.0000
07/08/1999,1145.0429,1160.3428,1139.5349,1160.3428,0.0000
