Date,Open,High,Low,Close,Volume
06/02/1976,1003.7194,1000.0000,995.2754,1000.0000,0.0000
06/03/1976,999.3862,1000.2837,990.6110,1000.2837,0.0000
06/04/1976,999.6729,1009.4569,998.2751,1009.4569,0.0000
06/07/1976,1008.8463,1014.1373,1006.4043,1014.1373,0.0000
06/08/1976,1013.5225,1011.7755,1002.4244,1011.7755,0.0000
06/09/1976,1011.1597,1011.7738,1004.0980,1011.7738,0.0000
06/10/1976,1011.1612,1002.7639,998.4627,1002.7639,0.0000
06/11/1976,1002.1530,988.4635,985.4437,988.4635,0.0000
06/14/1976,987.0772,977.7781,972.2964,977.7781,0.0000
06/15/1976,977.1854,981.8820,972.9680,981.8820,0.0000
06/16/1976,981.2975,975.9780,969.7881,975.9780,0.0000
06/17/1976,975.3924,960.0937,955.2172,960.0937,0.0000
06/18/1976,959.5124,958.1232,948.4920,958.1232,0.0000
06/21/1976,957.5518,952.7530,948.6001,952.7530,0.0000
06/22/1976,952.1834,959.5795,947.2526,959.5795,0.0000
06/23/1976,959.0143,961.0534,955.0288,961.0534,0.0000
06/24/1976,960.4848,955.4615,950.0660,955.4615,0.0000
06/25/1976,954.8925,955.5365,947.9923,955.5365,0.0000
06/28/1976,954.9713,957.6414,949.1708,957.6414,0.0000
06/29/1976,957.0763,953.0974,948.7483,953.0974,0.0000
06/30/1976,949.4217,945.5572,938.2882,945.5572,0.0000
07/01/1976,944.9934,951.2463,938.6499,951.2463,0.0000
07/02/1976,950.6869,945.9146,942.0601,945.9146,0.0000
07/06/1976,945.3517,950.5275,940.2668,950.5275,0.0000
07/07/1976,949.9680,947.3072,943.6373,947.3072,0.0000
07/08/1976,946.7455,945.3777,938.3567,945.3777,0.0000
07/09/1976,944.8182,935.7317,931.8245,935.7317,0.0000
07/12/1976,935.1742,926.9787,923.4155,926.9787,0.0000
07/13/1976,926.4291,928.4412,918.7307,928.4412,0.0000
07/14/1976,927.8996,925.4409,919.6454,925.4409,0.0000
07/15/1976,924.9013,931.4485,922.2824,931.4485,0.0000
07/16/1976,930.9128,935.5142,930.2934,935.5142,0.0000
07/19/1976,934.9772,938.4605,929.2608,938.4605,0.0000
07/20/1976,937.9218,943.0481,935.4037,943.0481,0.0000
07/21/1976,942.5074,941.5987,934.8743,941.5987,0.0000
07/22/1976,941.0545,940.0574,935.6159,940.0574,0.0000
07/23/1976,939.5130,938.3379,932.4619,938.3379,0.0000
07/26/1976,937.7934,937.7033,932.1158,937.7033,0.0000
07/27/1976,937.1590,942.4720,933.1968,942.4720,0.0000
07/28/1976,941.9278,945.8419,941.0176,945.8419,0.0000
07/29/1976,945.2957,946.3966,940.3423,946.3966,0.0000
07/30/1976,942.7415,938.0395,933.9830,938.0395,0.0000
08/02/1976,937.4933,939.7591,932.5992,939.7591,0.0000
08/03/1976,939.2190,930.5723,927.3866,930.5723,0.0000
08/04/1976,930.0323,927.4424,920.7444,927.4424,0.0000
08/05/1976,926.9088,932.0569,923.9798,932.0569,0.0000
08/06/1976,931.5260,932.0642,927.9380,932.0642,0.0000
08/09/1976,931.5314,934.2240,929.4671,934.2240,0.0000
08/10/1976,933.6919,925.3915,922.6850,925.3915,0.0000
08/11/1976,924.8591,927.9595,917.5071,927.9595,0.0000
08/12/1976,927.4330,926.0070,922.2638,926.0070,0.0000
08/13/1976,925.4800,925.2136,920.4184,925.2136,0.0000
08/16/1976,924.6887,923.0922,918.1250,923.0922,0.0000
08/17/1976,922.5690,919.3003,915.3249,919.3003,0.0000
08/18/1976,918.7799,920.8840,913.4320,920.8840,0.0000
08/19/1976,920.3671,930.6658,918.7827,930.6658,0.0000
08/20/1976,930.8688,939.3255,930.8688,939.3255,0.0000
08/23/1976,938.8039,942.5639,937.7034,942.5639,0.0000
08/24/1976,942.0373,948.4124,935.6621,948.4124,0.0000
08/25/1976,947.8839,940.7703,937.2134,940.7703,0.0000
08/26/1976,940.2386,946.7815,935.0781,946.7815,0.0000
08/27/1976,946.2550,944.7607,940.8382,944.7607,0.0000
08/30/1976,944.2318,938.7421,934.6480,938.7421,0.0000
08/31/1976,935.1130,927.3663,923.0319,927.3663,0.0000
09/01/1976,926.8426,916.4854,914.3238,916.4854,0.0000
