Date,Open,High,Low,Close,Volume
12/30/1994,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
01/03/1995,985.7174,985.7174,985.7174,985.7174,0.0000
01/04/1995,986.4609,986.4609,986.4609,986.4609,0.0000
01/05/1995,986.5670,986.5670,986.5670,986.5670,0.0000
01/06/1995,988.2776,988.2776,988.2776,988.2776,0.0000
01/09/1995,990.2843,990.2843,990.2843,990.2843,0.0000
01/10/1995,993.2803,993.2803,993.2803,993.2803,0.0000
01/11/1995,988.8604,988.8604,988.8604,988.8604,0.0000
01/12/1995,990.1352,990.1352,990.1352,990.1352,0.0000
01/13/1995,997.2645,997.2645,997.2645,997.2645,0.0000
01/16/1995,1006.0823,1006.0823,1006.0823,1006.0823,0.0000
01/17/1995,1011.2876,1011.2876,1011.2876,1011.2876,0.0000
01/18/1995,1009.0573,1009.0573,1009.0573,1009.0573,0.0000
01/19/1995,1001.9385,1001.9385,1001.9385,1001.9385,0.0000
01/20/1995,997.4766,997.4766,997.4766,997.4766,0.0000
01/23/1995,991.4637,991.4637,991.4637,991.4637,0.0000
01/24/1995,996.8927,996.8927,996.8927,996.8927,0.0000
01/25/1995,995.2136,995.2136,995.2136,995.2136,0.0000
01/26/1995,992.7060,992.7060,992.7060,992.7060,0.0000
01/27/1995,994.7568,994.7568,994.7568,994.7568,0.0000
01/30/1995,984.9383,984.9383,984.9383,984.9383,0.0000
01/31/1995,985.8844,985.8844,985.8844,985.8844,0.0000
02/01/1995,989.8696,989.8696,989.8696,989.8696,0.0000
02/02/1995,995.1947,995.1947,995.1947,995.1947,0.0000
02/03/1995,1005.8555,1005.8555,1005.8555,1005.8555,0.0000
02/06/1995,1013.0624,1013.0624,1013.0624,1013.0624,0.0000
02/07/1995,1014.9232,1014.9232,1014.9232,1014.9232,0.0000
02/08/1995,1018.7813,1018.7813,1018.7813,1018.7813,0.0000
02/09/1995,1021.1840,1021.1840,1021.1840,1021.1840,0.0000
02/10/1995,1025.4369,1025.4369,1025.4369,1025.4369,0.0000
02/13/1995,1026.9470,1026.9470,1026.9470,1026.9470,0.0000
02/14/1995,1025.4054,1025.4054,1025.4054,1025.4054,0.0000
02/15/1995,1034.5834,1034.5834,1034.5834,1034.5834,0.0000
02/16/1995,1028.2123,1028.2123,1028.2123,1028.2123,0.0000
02/17/1995,1022.3958,1022.3958,1022.3958,1022.3958,0.0000
02/21/1995,1018.6406,1018.6406,1018.6406,1018.6406,0.0000
02/22/1995,1018.3854,1018.3854,1018.3854,1018.3854,0.0000
02/23/1995,1022.8851,1022.8851,1022.8851,1022.8851,0.0000
02/24/1995,1023.7472,1023.7472,1023.7472,1023.7472,0.0000
02/27/1995,1016.3640,1016.3640,1016.3640,1016.3640,0.0000
02/28/1995,1026.5133,1026.5133,1026.5133,1026.5133,0.0000
03/01/1995,1025.2689,1025.2689,1025.2689,1025.2689,0.0000
03/02/1995,1028.3751,1028.3751,1028.3751,1028.3751,0.0000
03/03/1995,1031.6736,1031.6736,1031.6736,1031.6736,0.0000
03/06/1995,1027.1518,1027.1518,1027.1518,1027.1518,0.0000
03/07/1995,1020.1181,1020.1181,1020.1181,1020.1181,0.0000
03/08/1995,1021.3100,1021.3100,1021.3100,1021.3100,0.0000
03/09/1995,1021.0117,1021.0117,1021.0117,1021.0117,0.0000
03/10/1995,1026.3663,1026.3663,1026.3663,1026.3663,0.0000
03/13/1995,1027.3029,1027.3029,1027.3029,1027.3029,0.0000
03/14/1995,1032.0190,1032.0190,1032.0190,1032.0190,0.0000
03/15/1995,1031.3911,1031.3911,1031.3911,1031.3911,0.0000
03/16/1995,1036.3203,1036.3203,1036.3203,1036.3203,0.0000
03/17/1995,1032.2847,1032.2847,1032.2847,1032.2847,0.0000
03/20/1995,1036.8947,1036.8947,1036.8947,1036.8947,0.0000
03/21/1995,1033.1899,1033.1899,1033.1899,1033.1899,0.0000
03/22/1995,1029.9954,1029.9954,1029.9954,1029.9954,0.0000
03/23/1995,1032.9768,1032.9768,1032.9768,1032.9768,0.0000
03/24/1995,1038.3008,1038.3008,1038.3008,1038.3008,0.0000
03/27/1995,1043.9221,1043.9221,1043.9221,1043.9221,0.0000
03/28/1995,1046.3185,1046.3185,1046.3185,1046.3185,0.0000
03/29/1995,1044.2098,1044.2098,1044.2098,1044.2098,0.0000
03/30/1995,1044.4009,1044.4009,1044.4009,1044.4009,0.0000
03/31/1995,1047.2771,1047.2771,1047.2771,1047.2771,0.0000
04/03/1995,1050.1524,1050.1524,1050.1524,1050.1524,0.0000
04/04/1995,1047.4788,1047.4788,1047.4788,1047.4788,0.0000
04/05/1995,1049.9497,1049.9497,1049.9497,1049.9497,0.0000
