Date,Open,High,Low,Close,Volume
10/02/2000,1.02079E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
10/03/2000,9.90725E+002,9.90725E+002,9.90725E+002,9.90725E+002,0.00000E+000
10/04/2000,9.72977E+002,9.72977E+002,9.72977E+002,9.72977E+002,0.00000E+000
10/05/2000,9.73137E+002,9.73137E+002,9.73137E+002,9.73137E+002,0.00000E+000
10/06/2000,9.26766E+002,9.24208E+002,9.24208E+002,9.24208E+002,0.00000E+000
10/09/2000,9.24208E+002,9.24208E+002,9.24208E+002,9.24208E+002,0.00000E+000
10/10/2000,9.24208E+002,9.24208E+002,9.24208E+002,9.24208E+002,0.00000E+000
10/11/2000,8.93828E+002,8.89830E+002,8.89830E+002,8.89830E+002,0.00000E+000
10/12/2000,8.89830E+002,8.89830E+002,8.89830E+002,8.89830E+002,0.00000E+000
10/13/2000,8.79437E+002,8.79437E+002,8.79437E+002,8.79437E+002,0.00000E+000
10/16/2000,9.26127E+002,9.26127E+002,9.26127E+002,9.26127E+002,0.00000E+000
10/17/2000,8.89031E+002,8.89031E+002,8.89031E+002,8.89031E+002,0.00000E+000
10/18/2000,8.89031E+002,8.89031E+002,8.89031E+002,8.89031E+002,0.00000E+000
10/19/2000,8.89031E+002,8.89031E+002,8.89031E+002,8.89031E+002,0.00000E+000
10/20/2000,8.89031E+002,8.89031E+002,8.89031E+002,8.89031E+002,0.00000E+000
10/23/2000,8.89031E+002,8.89031E+002,8.89031E+002,8.89031E+002,0.00000E+000
10/24/2000,8.89031E+002,8.89031E+002,8.89031E+002,8.89031E+002,0.00000E+000
10/25/2000,9.29484E+002,9.29484E+002,9.29484E+002,9.29484E+002,0.00000E+000
10/26/2000,8.98945E+002,8.99264E+002,8.98945E+002,8.99264E+002,0.00000E+000
10/27/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
10/30/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
10/31/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
11/01/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
11/02/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
11/03/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
11/06/2000,8.99264E+002,8.99264E+002,8.99264E+002,8.99264E+002,0.00000E+000
11/07/2000,9.84009E+002,9.84009E+002,9.84009E+002,9.84009E+002,0.00000E+000
11/08/2000,9.75055E+002,9.76015E+002,9.75055E+002,9.76015E+002,0.00000E+000
11/09/2000,9.30604E+002,9.30604E+002,9.28366E+002,9.30604E+002,0.00000E+000
11/10/2000,9.30604E+002,9.30604E+002,9.30604E+002,9.30604E+002,0.00000E+000
11/13/2000,8.78158E+002,8.78158E+002,8.78158E+002,8.78158E+002,0.00000E+000
11/14/2000,9.06620E+002,9.06939E+002,9.06620E+002,9.06939E+002,0.00000E+000
11/15/2000,9.10777E+002,9.10777E+002,9.10777E+002,9.10777E+002,0.00000E+000
11/16/2000,9.10777E+002,9.10777E+002,9.10777E+002,9.10777E+002,0.00000E+000
11/17/2000,9.10777E+002,9.10777E+002,9.10777E+002,9.10777E+002,0.00000E+000
11/20/2000,8.64566E+002,8.55132E+002,8.55132E+002,8.55132E+002,0.00000E+000
11/21/2000,8.55132E+002,8.55132E+002,8.55132E+002,8.55132E+002,0.00000E+000
11/22/2000,8.55132E+002,8.55132E+002,8.55132E+002,8.55132E+002,0.00000E+000
11/24/2000,8.55132E+002,8.55132E+002,8.55132E+002,8.55132E+002,0.00000E+000
11/27/2000,8.55132E+002,8.55132E+002,8.55132E+002,8.55132E+002,0.00000E+000
11/28/2000,8.33866E+002,8.18676E+002,8.18676E+002,8.18676E+002,0.00000E+000
11/29/2000,8.19955E+002,8.19955E+002,8.19955E+002,8.19955E+002,0.00000E+000
11/30/2000,7.81260E+002,7.84457E+002,7.70067E+002,7.84457E+002,0.00000E+000
12/01/2000,8.01566E+002,7.95650E+002,7.95650E+002,7.95650E+002,0.00000E+000
12/04/2000,7.95650E+002,7.95650E+002,7.95650E+002,7.95650E+002,0.00000E+000
12/05/2000,8.25391E+002,8.25391E+002,8.25391E+002,8.25391E+002,0.00000E+000
12/06/2000,8.25391E+002,8.25391E+002,8.25391E+002,8.25391E+002,0.00000E+000
12/07/2000,8.15157E+002,8.15157E+002,8.15157E+002,8.15157E+002,0.00000E+000
12/08/2000,8.47778E+002,8.47778E+002,8.47778E+002,8.47778E+002,0.00000E+000
12/11/2000,8.58970E+002,8.83274E+002,8.58970E+002,8.83274E+002,0.00000E+000
12/12/2000,8.66965E+002,8.66965E+002,8.66965E+002,8.66965E+002,0.00000E+000
12/13/2000,8.66965E+002,8.66965E+002,8.66965E+002,8.66965E+002,0.00000E+000
12/14/2000,8.32747E+002,8.18356E+002,8.18356E+002,8.18356E+002,0.00000E+000
12/15/2000,7.95011E+002,8.08442E+002,7.95011E+002,8.08442E+002,0.00000E+000
12/18/2000,8.18676E+002,8.07803E+002,8.00767E+002,8.07803E+002,0.00000E+000
12/19/2000,8.18196E+002,7.93092E+002,7.93092E+002,7.93092E+002,0.00000E+000
12/20/2000,7.57915E+002,7.60473E+002,7.57915E+002,7.60473E+002,0.00000E+000
12/21/2000,7.31052E+002,7.45123E+002,7.27854E+002,7.45123E+002,0.00000E+000
12/22/2000,7.61752E+002,7.84777E+002,7.61752E+002,7.84777E+002,0.00000E+000
12/26/2000,7.84777E+002,7.84777E+002,7.84777E+002,7.84777E+002,0.00000E+000
12/27/2000,7.94371E+002,8.05565E+002,7.94371E+002,8.05565E+002,0.00000E+000
12/28/2000,8.34986E+002,8.34986E+002,8.34986E+002,8.34986E+002,0.00000E+000
12/29/2000,8.53213E+002,8.22513E+002,8.22513E+002,8.22513E+002,0.00000E+000
01/02/2001,7.86056E+002,7.84138E+002,7.84138E+002,7.84138E+002,0.00000E+000
01/03/2001,7.55996E+002,8.06523E+002,7.55996E+002,8.06523E+002,0.00000E+000
01/04/2001,8.04924E+002,7.96290E+002,7.96290E+002,7.96290E+002,0.00000E+000
01/05/2001,7.80940E+002,7.80940E+002,7.80940E+002,7.80940E+002,0.00000E+000
01/08/2001,7.61752E+002,7.56635E+002,7.56635E+002,7.56635E+002,0.00000E+000
01/09/2001,7.66229E+002,7.56956E+002,7.56956E+002,7.56956E+002,0.00000E+000
01/10/2001,7.64950E+002,7.74544E+002,7.64950E+002,7.74544E+002,0.00000E+000
01/11/2001,8.02686E+002,8.10041E+002,8.02686E+002,8.10041E+002,0.00000E+000
01/12/2001,8.20594E+002,8.33066E+002,8.20594E+002,8.33066E+002,0.00000E+000
01/16/2001,8.36584E+002,8.33386E+002,8.33386E+002,8.33386E+002,0.00000E+000
01/17/2001,8.62168E+002,8.43940E+002,8.43940E+002,8.43940E+002,0.00000E+000
01/18/2001,8.46178E+002,8.51934E+002,8.46178E+002,8.51934E+002,0.00000E+000
01/19/2001,8.62168E+002,8.46178E+002,8.45538E+002,8.46178E+002,0.00000E+000
01/22/2001,8.46178E+002,8.46178E+002,8.46178E+002,8.46178E+002,0.00000E+000
01/23/2001,8.50655E+002,8.62807E+002,8.50655E+002,8.62807E+002,0.00000E+000
01/24/2001,8.81355E+002,8.81355E+002,8.81355E+002,8.81355E+002,0.00000E+000
01/25/2001,8.69203E+002,8.68244E+002,8.65366E+002,8.68244E+002,0.00000E+000
01/26/2001,8.53213E+002,8.62807E+002,8.53213E+002,8.62807E+002,0.00000E+000
01/29/2001,8.67285E+002,8.86216E+002,8.67285E+002,8.86216E+002,0.00000E+000
01/30/2001,8.88775E+002,8.88775E+002,8.88775E+002,8.88775E+002,0.00000E+000
01/31/2001,8.94915E+002,8.85193E+002,8.85193E+002,8.85193E+002,0.00000E+000
02/01/2001,8.81611E+002,8.74960E+002,8.74960E+002,8.74960E+002,0.00000E+000
02/02/2001,8.74960E+002,8.74960E+002,8.74960E+002,8.74960E+002,0.00000E+000
02/05/2001,8.51423E+002,8.51423E+002,8.51423E+002,8.51423E+002,0.00000E+000
02/06/2001,8.51423E+002,8.51423E+002,8.51423E+002,8.51423E+002,0.00000E+000
02/07/2001,8.50911E+002,8.47841E+002,8.47841E+002,8.47841E+002,0.00000E+000
02/08/2001,8.47841E+002,8.47841E+002,8.47841E+002,8.47841E+002,0.00000E+000
02/09/2001,8.32747E+002,8.30956E+002,8.29932E+002,8.30956E+002,0.00000E+000
02/12/2001,8.30956E+002,8.30956E+002,8.30956E+002,8.30956E+002,0.00000E+000
02/13/2001,8.30956E+002,8.30956E+002,8.30956E+002,8.30956E+002,0.00000E+000
02/14/2001,8.30956E+002,8.30956E+002,8.30956E+002,8.30956E+002,0.00000E+000
02/15/2001,8.53265E+002,8.45794E+002,8.45794E+002,8.45794E+002,0.00000E+000
02/16/2001,8.45794E+002,8.45794E+002,8.45794E+002,8.45794E+002,0.00000E+000
02/20/2001,8.24304E+002,8.14071E+002,8.14071E+002,8.14071E+002,0.00000E+000
02/21/2001,8.14071E+002,8.14071E+002,8.14071E+002,8.14071E+002,0.00000E+000
02/22/2001,8.14071E+002,8.14071E+002,8.14071E+002,8.14071E+002,0.00000E+000
02/23/2001,8.14071E+002,8.14071E+002,8.14071E+002,8.14071E+002,0.00000E+000
02/26/2001,7.87975E+002,7.95548E+002,7.80096E+002,7.95548E+002,0.00000E+000
02/27/2001,7.95548E+002,7.95548E+002,7.95548E+002,7.95548E+002,0.00000E+000
02/28/2001,7.72113E+002,7.72113E+002,7.72113E+002,7.72113E+002,0.00000E+000
03/01/2001,7.54205E+002,7.55228E+002,7.54205E+002,7.55228E+002,0.00000E+000
03/02/2001,7.67508E+002,7.67508E+002,7.67508E+002,7.67508E+002,0.00000E+000
03/05/2001,7.67508E+002,7.67508E+002,7.67508E+002,7.67508E+002,0.00000E+000
03/06/2001,7.77230E+002,7.71602E+002,7.71602E+002,7.71602E+002,0.00000E+000
03/07/2001,7.74672E+002,7.74672E+002,7.74672E+002,7.74672E+002,0.00000E+000
03/08/2001,7.63671E+002,7.58810E+002,7.57275E+002,7.58810E+002,0.00000E+000
03/09/2001,7.36808E+002,7.40594E+002,7.36808E+002,7.40594E+002,0.00000E+000
03/12/2001,7.14295E+002,7.12043E+002,7.10713E+002,7.12043E+002,0.00000E+000
03/13/2001,6.94646E+002,6.94646E+002,6.94646E+002,6.94646E+002,0.00000E+000
03/14/2001,6.97409E+002,6.97409E+002,6.97409E+002,6.97409E+002,0.00000E+000
03/15/2001,6.97409E+002,6.97409E+002,6.97409E+002,6.97409E+002,0.00000E+000
03/16/2001,6.82059E+002,6.82059E+002,6.82059E+002,6.82059E+002,0.00000E+000
03/19/2001,6.60569E+002,6.76942E+002,6.60569E+002,6.76942E+002,0.00000E+000
03/20/2001,6.88199E+002,6.73361E+002,6.73361E+002,6.73361E+002,0.00000E+000
03/21/2001,6.65174E+002,6.61592E+002,6.61592E+002,6.61592E+002,0.00000E+000
03/22/2001,6.40614E+002,6.40614E+002,6.18612E+002,6.40614E+002,0.00000E+000
03/23/2001,6.73156E+002,6.73156E+002,6.73156E+002,6.73156E+002,0.00000E+000
03/26/2001,6.73156E+002,6.73156E+002,6.73156E+002,6.73156E+002,0.00000E+000
03/27/2001,6.85641E+002,6.90758E+002,6.82059E+002,6.90758E+002,0.00000E+000
03/28/2001,6.84617E+002,6.72849E+002,6.72849E+002,6.72849E+002,0.00000E+000
03/29/2001,6.72849E+002,6.72849E+002,6.72849E+002,6.72849E+002,0.00000E+000
03/30/2001,6.65686E+002,6.65686E+002,6.65686E+002,6.65686E+002,0.00000E+000
04/02/2001,6.65686E+002,6.65686E+002,6.65686E+002,6.65686E+002,0.00000E+000
04/03/2001,6.24240E+002,6.24240E+002,6.24240E+002,6.24240E+002,0.00000E+000
04/04/2001,6.24240E+002,6.24240E+002,6.24240E+002,6.24240E+002,0.00000E+000
04/05/2001,6.37544E+002,6.44707E+002,6.37544E+002,6.44707E+002,0.00000E+000
04/06/2001,6.36392E+002,6.36009E+002,6.32427E+002,6.36009E+002,0.00000E+000
04/09/2001,6.36009E+002,6.36009E+002,6.36009E+002,6.36009E+002,0.00000E+000
04/10/2001,6.57499E+002,6.75714E+002,6.57499E+002,6.75714E+002,0.00000E+000
04/11/2001,6.90758E+002,6.80012E+002,6.76942E+002,6.80012E+002,0.00000E+000
04/12/2001,6.93316E+002,6.93316E+002,6.93316E+002,6.93316E+002,0.00000E+000
