Date,Open,High,Low,Close,Volume
06/02/1976,9.89005E+002,1.00000E+003,9.71474E+002,1.00000E+003,0.00000E+000
06/03/1976,9.99770E+002,9.97076E+002,9.83609E+002,9.97076E+002,0.00000E+000
06/04/1976,9.96844E+002,9.67575E+002,9.56823E+002,9.67575E+002,0.00000E+000
06/07/1976,9.67343E+002,9.52123E+002,9.32806E+002,9.52123E+002,0.00000E+000
06/08/1976,9.51899E+002,9.56821E+002,9.42924E+002,9.56821E+002,0.00000E+000
06/09/1976,9.56601E+002,9.54858E+002,9.40045E+002,9.54858E+002,0.00000E+000
06/10/1976,9.54638E+002,9.78421E+002,9.49127E+002,9.78421E+002,0.00000E+000
06/11/1976,9.78202E+002,1.01829E+003,9.72896E+002,1.01829E+003,0.00000E+000
06/14/1976,1.02049E+003,1.04924E+003,1.02049E+003,1.04924E+003,0.00000E+000
06/15/1976,1.04900E+003,1.03388E+003,1.01474E+003,1.03388E+003,0.00000E+000
06/16/1976,1.03364E+003,1.05045E+003,1.01836E+003,1.05045E+003,0.00000E+000
06/17/1976,1.05021E+003,1.09963E+003,1.04898E+003,1.09963E+003,0.00000E+000
06/18/1976,1.09939E+003,1.10417E+003,1.08188E+003,1.10417E+003,0.00000E+000
06/21/1976,1.10392E+003,1.12051E+003,1.08540E+003,1.12051E+003,0.00000E+000
06/22/1976,1.12026E+003,1.09416E+003,1.08417E+003,1.09416E+003,0.00000E+000
06/23/1976,1.09390E+003,1.08693E+003,1.05997E+003,1.08693E+003,0.00000E+000
06/24/1976,1.08668E+003,1.10373E+003,1.07563E+003,1.10373E+003,0.00000E+000
06/25/1976,1.10348E+003,1.10125E+003,1.08371E+003,1.10125E+003,0.00000E+000
06/28/1976,1.10100E+003,1.09177E+003,1.07712E+003,1.09177E+003,0.00000E+000
06/29/1976,1.09152E+003,1.10513E+003,1.07632E+003,1.10513E+003,0.00000E+000
06/30/1976,1.11570E+003,1.12915E+003,1.10482E+003,1.12915E+003,0.00000E+000
07/01/1976,1.12890E+003,1.10649E+003,1.09188E+003,1.10649E+003,0.00000E+000
07/02/1976,1.10624E+003,1.12290E+003,1.09150E+003,1.12290E+003,0.00000E+000
07/06/1976,1.12265E+003,1.10421E+003,1.09288E+003,1.10421E+003,0.00000E+000
07/07/1976,1.10395E+003,1.11323E+003,1.08028E+003,1.11323E+003,0.00000E+000
07/08/1976,1.11298E+003,1.11780E+003,1.10044E+003,1.11780E+003,0.00000E+000
07/09/1976,1.11755E+003,1.14980E+003,1.11175E+003,1.14980E+003,0.00000E+000
07/12/1976,1.14954E+003,1.17977E+003,1.14166E+003,1.17977E+003,0.00000E+000
07/13/1976,1.17951E+003,1.17182E+003,1.15445E+003,1.17182E+003,0.00000E+000
07/14/1976,1.17156E+003,1.18087E+003,1.15094E+003,1.18087E+003,0.00000E+000
07/15/1976,1.18061E+003,1.15554E+003,1.14083E+003,1.15554E+003,0.00000E+000
07/16/1976,1.15528E+003,1.13815E+003,1.11146E+003,1.13815E+003,0.00000E+000
07/19/1976,1.13789E+003,1.12517E+003,1.11050E+003,1.12517E+003,0.00000E+000
07/20/1976,1.12492E+003,1.10648E+003,1.08480E+003,1.10648E+003,0.00000E+000
07/21/1976,1.10623E+003,1.10943E+003,1.08991E+003,1.10943E+003,0.00000E+000
07/22/1976,1.10918E+003,1.11271E+003,1.08771E+003,1.11271E+003,0.00000E+000
07/23/1976,1.11246E+003,1.11664E+003,1.09833E+003,1.11664E+003,0.00000E+000
07/26/1976,1.11639E+003,1.11671E+003,1.09708E+003,1.11671E+003,0.00000E+000
07/27/1976,1.11646E+003,1.09748E+003,1.08621E+003,1.09748E+003,0.00000E+000
07/28/1976,1.09723E+003,1.08355E+003,1.06001E+003,1.08355E+003,0.00000E+000
07/29/1976,1.08331E+003,1.07952E+003,1.06155E+003,1.07952E+003,0.00000E+000
07/30/1976,1.08992E+003,1.10602E+003,1.07540E+003,1.10602E+003,0.00000E+000
08/02/1976,1.10578E+003,1.09776E+003,1.08012E+003,1.09776E+003,0.00000E+000
08/03/1976,1.09752E+003,1.12783E+003,1.08475E+003,1.12783E+003,0.00000E+000
08/04/1976,1.12759E+003,1.13701E+003,1.11394E+003,1.13701E+003,0.00000E+000
08/05/1976,1.13676E+003,1.11782E+003,1.10574E+003,1.11782E+003,0.00000E+000
08/06/1976,1.11757E+003,1.11563E+003,1.09336E+003,1.11563E+003,0.00000E+000
08/09/1976,1.11539E+003,1.10571E+003,1.09024E+003,1.10571E+003,0.00000E+000
08/10/1976,1.10547E+003,1.13495E+003,1.09650E+003,1.13495E+003,0.00000E+000
08/11/1976,1.13471E+003,1.12330E+003,1.11254E+003,1.12330E+003,0.00000E+000
08/12/1976,1.12305E+003,1.12823E+003,1.10103E+003,1.12823E+003,0.00000E+000
08/13/1976,1.12799E+003,1.12896E+003,1.10818E+003,1.12896E+003,0.00000E+000
08/16/1976,1.12871E+003,1.13456E+003,1.11215E+003,1.13456E+003,0.00000E+000
08/17/1976,1.13432E+003,1.14637E+003,1.11965E+003,1.14637E+003,0.00000E+000
08/18/1976,1.14613E+003,1.13825E+003,1.12382E+003,1.13825E+003,0.00000E+000
08/19/1976,1.13800E+003,1.09980E+003,1.08740E+003,1.09980E+003,0.00000E+000
08/20/1976,1.09700E+003,1.06701E+003,1.05393E+003,1.06701E+003,0.00000E+000
08/23/1976,1.06678E+003,1.05396E+003,1.02520E+003,1.05396E+003,0.00000E+000
08/24/1976,1.05373E+003,1.03234E+003,1.02335E+003,1.03234E+003,0.00000E+000
08/25/1976,1.03211E+003,1.05535E+003,1.00643E+003,1.05535E+003,0.00000E+000
08/26/1976,1.05512E+003,1.03310E+003,1.02348E+003,1.03310E+003,0.00000E+000
08/27/1976,1.03287E+003,1.03776E+003,1.00932E+003,1.03776E+003,0.00000E+000
08/30/1976,1.03754E+003,1.05564E+003,1.02957E+003,1.05564E+003,0.00000E+000
08/31/1976,1.06588E+003,1.09203E+003,1.06184E+003,1.09203E+003,0.00000E+000
09/01/1976,1.09180E+003,1.12840E+003,1.08193E+003,1.12840E+003,0.00000E+000
