Date,Open,High,Low,Close,Volume
01/02/1990,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
01/03/1990,997.4363,997.4363,997.4363,997.4363,0.0000
01/04/1990,989.2790,989.2790,989.2790,989.2790,0.0000
01/05/1990,979.6457,979.6457,979.6457,979.6457,0.0000
01/08/1990,984.1517,984.1517,984.1517,984.1517,0.0000
01/09/1990,972.5502,972.5502,972.5502,972.5502,0.0000
01/10/1990,966.1539,966.1539,966.1539,966.1539,0.0000
01/11/1990,969.5463,969.5463,969.5463,969.5463,0.0000
01/12/1990,945.7738,945.7738,945.7738,945.7738,0.0000
01/15/1990,937.6165,937.6165,937.6165,937.6165,0.0000
01/16/1990,948.1044,948.1044,948.1044,948.1044,0.0000
01/17/1990,938.8337,938.8337,938.8337,938.8337,0.0000
01/18/1990,941.0089,941.0089,941.0089,941.0089,0.0000
01/19/1990,943.7280,943.7280,943.7280,943.7280,0.0000
01/22/1990,919.4117,919.4117,919.4117,919.4117,0.0000
01/23/1990,922.8299,922.8299,922.8299,922.8299,0.0000
01/24/1990,902.3203,902.3203,902.3203,902.3203,0.0000
01/25/1990,907.6808,907.6808,907.6808,907.6808,0.0000
01/26/1990,907.0074,907.0074,907.0074,907.0074,0.0000
01/29/1990,905.5055,905.5055,905.5055,905.5055,0.0000
01/30/1990,899.5753,899.5753,899.5753,899.5753,0.0000
01/31/1990,916.5631,916.5631,916.5631,916.5631,0.0000
02/01/1990,915.8898,915.8898,915.8898,915.8898,0.0000
02/02/1990,921.9494,921.9494,921.9494,921.9494,0.0000
02/05/1990,925.2123,925.2123,925.2123,925.2123,0.0000
02/06/1990,919.4375,919.4375,919.4375,919.4375,0.0000
02/07/1990,931.0389,931.0389,931.0389,931.0389,0.0000
02/08/1990,928.8896,928.8896,928.8896,928.8896,0.0000
02/09/1990,931.1684,931.1684,931.1684,931.1684,0.0000
02/12/1990,921.6128,921.6128,921.6128,921.6128,0.0000
02/13/1990,924.5132,924.5132,924.5132,924.5132,0.0000
02/14/1990,927.3358,927.3358,927.3358,927.3358,0.0000
02/15/1990,935.4413,935.4413,935.4413,935.4413,0.0000
02/16/1990,929.6405,929.6405,929.6405,929.6405,0.0000
02/20/1990,916.4854,916.4854,916.4854,916.4854,0.0000
02/21/1990,915.6049,915.6049,915.6049,915.6049,0.0000
02/22/1990,910.1927,910.1927,910.1927,910.1927,0.0000
02/23/1990,906.1011,906.1011,906.1011,906.1011,0.0000
02/26/1990,918.9973,918.9973,918.9973,918.9973,0.0000
02/27/1990,923.6068,923.6068,923.6068,923.6068,0.0000
02/28/1990,928.3716,928.3716,928.3716,928.3716,0.0000
03/01/1990,930.8576,930.8576,930.8576,930.8576,0.0000
03/02/1990,938.7041,938.7041,938.7041,938.7041,0.0000
03/05/1990,934.0170,934.0170,934.0170,934.0170,0.0000
03/06/1990,945.8255,945.8255,945.8255,945.8255,0.0000
03/07/1990,943.1065,943.1065,943.1065,943.1065,0.0000
03/08/1990,952.4291,952.4291,952.4291,952.4291,0.0000
03/09/1990,946.2917,946.2917,946.2917,946.2917,0.0000
03/12/1990,948.4151,948.4151,948.4151,948.4151,0.0000
03/13/1990,940.9830,940.9830,940.9830,940.9830,0.0000
03/14/1990,943.4431,943.4431,943.4431,943.4431,0.0000
03/15/1990,946.8355,946.8355,946.8355,946.8355,0.0000
03/16/1990,957.6083,957.6083,957.6083,957.6083,0.0000
03/19/1990,962.1918,962.1918,962.1918,962.1918,0.0000
03/20/1990,956.7536,956.7536,956.7536,956.7536,0.0000
03/21/1990,951.6521,951.6521,951.6521,951.6521,0.0000
03/22/1990,940.3097,940.3097,940.3097,940.3097,0.0000
03/23/1990,944.6084,944.6084,944.6084,944.6084,0.0000
03/26/1990,946.3435,946.3435,946.3435,946.3435,0.0000
03/27/1990,957.2198,957.2198,957.2198,957.2198,0.0000
03/28/1990,958.6441,958.6441,958.6441,958.6441,0.0000
03/29/1990,955.2517,955.2517,955.2517,955.2517,0.0000
03/30/1990,952.9729,952.9729,952.9729,952.9729,0.0000
04/02/1990,949.6582,949.6582,949.6582,949.6582,0.0000
04/03/1990,963.6679,963.6679,963.6679,963.6679,0.0000
04/04/1990,956.9349,956.9349,956.9349,956.9349,0.0000
04/05/1990,955.9509,955.9509,955.9509,955.9509,0.0000
04/06/1990,954.2159,954.2159,954.2159,954.2159,0.0000
04/09/1990,957.8672,957.8672,957.8672,957.8672,0.0000
04/10/1990,959.8353,959.8353,959.8353,959.8353,0.0000
04/11/1990,959.4209,959.4209,959.4209,959.4209,0.0000
04/12/1990,966.2834,966.2834,966.2834,966.2834,0.0000
04/16/1990,967.5005,967.5005,967.5005,967.5005,0.0000
04/17/1990,967.3451,967.3451,967.3451,967.3451,0.0000
04/18/1990,956.2875,956.2875,956.2875,956.2875,0.0000
04/19/1990,948.9072,948.9072,948.9072,948.9072,0.0000
04/20/1990,940.5946,940.5946,940.5946,940.5946,0.0000
04/23/1990,929.2780,929.2780,929.2780,929.2780,0.0000
04/24/1990,927.4135,927.4135,927.4135,927.4135,0.0000
04/25/1990,932.2043,932.2043,932.2043,932.2043,0.0000
04/26/1990,934.8457,934.8457,934.8457,934.8457,0.0000
04/27/1990,924.1765,924.1765,924.1765,924.1765,0.0000
04/30/1990,929.1744,929.1744,929.1744,929.1744,0.0000
05/01/1990,933.4991,933.4991,933.4991,933.4991,0.0000
05/02/1990,939.8177,939.8177,939.8177,939.8177,0.0000
05/03/1990,943.1582,943.1582,943.1582,943.1582,0.0000
05/04/1990,951.5744,951.5744,951.5744,951.5744,0.0000
05/07/1990,957.8931,957.8931,957.8931,957.8931,0.0000
05/08/1990,962.3990,962.3990,962.3990,962.3990,0.0000
05/09/1990,964.9886,964.9886,964.9886,964.9886,0.0000
05/10/1990,967.8371,967.8371,967.8371,967.8371,0.0000
05/11/1990,991.0918,991.0918,991.0918,991.0918,0.0000
05/14/1990,999.3008,999.3008,999.3008,999.3008,0.0000
05/15/1990,998.0319,998.0319,998.0319,998.0319,0.0000
05/16/1990,997.4622,997.4622,997.4622,997.4622,0.0000
05/17/1990,998.8346,998.8346,998.8346,998.8346,0.0000
05/18/1990,999.3267,999.3267,999.3267,999.3267,0.0000
05/21/1990,1009.0118,1009.0118,1009.0118,1009.0118,0.0000
05/22/1990,1010.7986,1010.7986,1010.7986,1010.7986,0.0000
05/23/1990,1013.2587,1013.2587,1013.2587,1013.2587,0.0000
05/24/1990,1010.9022,1010.9022,1010.9022,1010.9022,0.0000
05/25/1990,1000.5438,1000.5438,1000.5438,1000.5438,0.0000
05/29/1990,1017.9200,1017.9200,1017.9200,1017.9200,0.0000
05/30/1990,1018.5415,1018.5415,1018.5415,1018.5415,0.0000
05/31/1990,1019.7845,1019.7845,1019.7845,1019.7845,0.0000
06/01/1990,1025.3263,1025.3263,1025.3263,1025.3263,0.0000
06/04/1990,1037.4974,1037.4974,1037.4974,1037.4974,0.0000
06/05/1990,1035.4775,1035.4775,1035.4775,1035.4775,0.0000
06/06/1990,1030.7903,1030.7903,1030.7903,1030.7903,0.0000
06/07/1990,1025.7147,1025.7147,1025.7147,1025.7147,0.0000
06/08/1990,1013.1810,1013.1810,1013.1810,1013.1810,0.0000
06/11/1990,1021.8821,1021.8821,1021.8821,1021.8821,0.0000
06/12/1990,1034.9855,1034.9855,1034.9855,1034.9855,0.0000
06/13/1990,1031.2047,1031.2047,1031.2047,1031.2047,0.0000
06/14/1990,1025.5853,1025.5853,1025.5853,1025.5853,0.0000
06/15/1990,1025.6370,1025.6370,1025.6370,1025.6370,0.0000
06/18/1990,1008.6493,1008.6493,1008.6493,1008.6493,0.0000
06/19/1990,1013.2328,1013.2328,1013.2328,1013.2328,0.0000
06/20/1990,1015.0197,1015.0197,1015.0197,1015.0197,0.0000
06/21/1990,1018.9040,1018.9040,1018.9040,1018.9040,0.0000
06/22/1990,1004.6612,1004.6612,1004.6612,1004.6612,0.0000
06/25/1990,996.4263,996.4263,996.4263,996.4263,0.0000
06/26/1990,995.7530,995.7530,995.7530,995.7530,0.0000
06/27/1990,1004.4800,1004.4800,1004.4800,1004.4800,0.0000
06/28/1990,1011.6014,1011.6014,1011.6014,1011.6014,0.0000
06/29/1990,1012.8962,1012.8962,1012.8962,1012.8962,0.0000
07/02/1990,1017.2208,1017.2208,1017.2208,1017.2208,0.0000
07/03/1990,1019.3961,1019.3961,1019.3961,1019.3961,0.0000
07/05/1990,1006.8883,1006.8883,1006.8883,1006.8883,0.0000
07/06/1990,1014.6571,1014.6571,1014.6571,1014.6571,0.0000
07/09/1990,1017.8423,1017.8423,1017.8423,1017.8423,0.0000
07/10/1990,1009.2967,1009.2967,1009.2967,1009.2967,0.0000
07/11/1990,1022.7108,1022.7108,1022.7108,1022.7108,0.0000
07/12/1990,1034.6229,1034.6229,1034.6229,1034.6229,0.0000
07/13/1990,1039.9316,1039.9316,1039.9316,1039.9316,0.0000
07/16/1990,1044.8000,1044.8000,1044.8000,1044.8000,0.0000
07/17/1990,1040.7603,1040.7603,1040.7603,1040.7603,0.0000
07/18/1990,1031.4636,1031.4636,1031.4636,1031.4636,0.0000
07/19/1990,1034.5970,1034.5970,1034.5970,1034.5970,0.0000
07/20/1990,1024.0833,1024.0833,1024.0833,1024.0833,0.0000
07/23/1990,1006.3445,1006.3445,1006.3445,1006.3445,0.0000
07/24/1990,1007.7170,1007.7170,1007.7170,1007.7170,0.0000
07/25/1990,1011.4719,1011.4719,1011.4719,1011.4719,0.0000
07/26/1990,1008.2090,1008.2090,1008.2090,1008.2090,0.0000
07/27/1990,1001.3725,1001.3725,1001.3725,1001.3725,0.0000
07/30/1990,1007.6134,1007.6134,1007.6134,1007.6134,0.0000
07/31/1990,1009.6592,1009.6592,1009.6592,1009.6592,0.0000
08/01/1990,1007.9242,1007.9242,1007.9242,1007.9242,0.0000
08/02/1990,996.6335,996.6335,996.6335,996.6335,0.0000
08/03/1990,978.0143,978.0143,978.0143,978.0143,0.0000
08/06/1990,949.0885,949.0885,949.0885,949.0885,0.0000
08/07/1990,950.6681,950.6681,950.6681,950.6681,0.0000
08/08/1990,960.6899,960.6899,960.6899,960.6899,0.0000
08/09/1990,965.4288,965.4288,965.4288,965.4288,0.0000
08/10/1990,953.1541,953.1541,953.1541,953.1541,0.0000
08/13/1990,962.8910,962.8910,962.8910,962.8910,0.0000
08/14/1990,964.6001,964.6001,964.6001,964.6001,0.0000
08/15/1990,966.5682,966.5682,966.5682,966.5682,0.0000
08/16/1990,944.9451,944.9451,944.9451,944.9451,0.0000
08/17/1990,931.9971,931.9971,931.9971,931.9971,0.0000
08/20/1990,934.1206,934.1206,934.1206,934.1206,0.0000
08/21/1990,915.3200,915.3200,915.3200,915.3200,0.0000
08/22/1990,900.2486,900.2486,900.2486,900.2486,0.0000
08/23/1990,873.2650,873.2650,873.2650,873.2650,0.0000
08/24/1990,885.9281,885.9281,885.9281,885.9281,0.0000
08/27/1990,914.5173,914.5173,914.5173,914.5173,0.0000
08/28/1990,914.5691,914.5691,914.5691,914.5691,0.0000
08/29/1990,922.7522,922.7522,922.7522,922.7522,0.0000
08/30/1990,907.1628,907.1628,907.1628,907.1628,0.0000
08/31/1990,918.4017,918.4017,918.4017,918.4017,0.0000
09/04/1990,920.1367,920.1367,920.1367,920.1367,0.0000
09/05/1990,923.8398,923.8398,923.8398,923.8398,0.0000
09/06/1990,912.7046,912.7046,912.7046,912.7046,0.0000
09/07/1990,921.0949,921.0949,921.0949,921.0949,0.0000
09/10/1990,916.4854,916.4854,916.4854,916.4854,0.0000
09/11/1990,914.9575,914.9575,914.9575,914.9575,0.0000
09/12/1990,919.2304,919.2304,919.2304,919.2304,0.0000
09/13/1990,908.1469,908.1469,908.1469,908.1469,0.0000
09/14/1990,902.9936,902.9936,902.9936,902.9936,0.0000
09/17/1990,905.7386,905.7386,905.7386,905.7386,0.0000
09/18/1990,908.6130,908.6130,908.6130,908.6130,0.0000
09/19/1990,902.9159,902.9159,902.9159,902.9159,0.0000
09/20/1990,888.4918,888.4918,888.4918,888.4918,0.0000
09/21/1990,888.0516,888.0516,888.0516,888.0516,0.0000
09/24/1990,869.2511,869.2511,869.2511,869.2511,0.0000
09/25/1990,879.8166,879.8166,879.8166,879.8166,0.0000
09/26/1990,870.7013,870.7013,870.7013,870.7013,0.0000
09/27/1990,859.2035,859.2035,859.2035,859.2035,0.0000
09/28/1990,873.7052,873.7052,873.7052,873.7052,0.0000
10/01/1990,899.3681,899.3681,899.3681,899.3681,0.0000
10/02/1990,900.1450,900.1450,900.1450,900.1450,0.0000
10/03/1990,889.8384,889.8384,889.8384,889.8384,0.0000
10/04/1990,893.5415,893.5415,893.5415,893.5415,0.0000
10/05/1990,890.1751,890.1751,890.1751,890.1751,0.0000
10/08/1990,895.8204,895.8204,895.8204,895.8204,0.0000
10/09/1990,871.9442,871.9442,871.9442,871.9442,0.0000
10/10/1990,858.5042,858.5042,858.5042,858.5042,0.0000
10/11/1990,844.4168,844.4168,844.4168,844.4168,0.0000
10/12/1990,857.4684,857.4684,857.4684,857.4684,0.0000
10/15/1990,866.8169,866.8169,866.8169,866.8169,0.0000
10/16/1990,854.5163,854.5163,854.5163,854.5163,0.0000
10/17/1990,854.1019,854.1019,854.1019,854.1019,0.0000
10/18/1990,874.0677,874.0677,874.0677,874.0677,0.0000
10/19/1990,893.3603,893.3603,893.3603,893.3603,0.0000
10/22/1990,899.9897,899.9897,899.9897,899.9897,0.0000
10/23/1990,893.1272,893.1272,893.1272,893.1272,0.0000
10/24/1990,893.8523,893.8523,893.8523,893.8523,0.0000
10/25/1990,886.9640,886.9640,886.9640,886.9640,0.0000
10/26/1990,871.5817,871.5817,871.5817,871.5817,0.0000
10/29/1990,863.6576,863.6576,863.6576,863.6576,0.0000
10/30/1990,870.1316,870.1316,870.1316,870.1316,0.0000
10/31/1990,869.9762,869.9762,869.9762,869.9762,0.0000
11/01/1990,878.7808,878.7808,878.7808,878.7808,0.0000
11/02/1990,892.7129,892.7129,892.7129,892.7129,0.0000
11/05/1990,901.6988,901.6988,901.6988,901.6988,0.0000
11/06/1990,893.3861,893.3861,893.3861,893.3861,0.0000
11/07/1990,877.3824,877.3824,877.3824,877.3824,0.0000
11/08/1990,882.4322,882.4322,882.4322,882.4322,0.0000
11/09/1990,900.4040,900.4040,900.4040,900.4040,0.0000
11/12/1990,916.8997,916.8997,916.8997,916.8997,0.0000
11/13/1990,911.8241,911.8241,911.8241,911.8241,0.0000
