Date,Open,High,Low,Close,Volume
06/02/1976,992.6433,1000.0000,980.9126,1000.0000,0.0000
06/03/1976,999.8220,998.0261,989.0476,998.0261,0.0000
06/04/1976,997.8469,978.3146,971.1394,978.3146,0.0000
06/07/1976,978.1358,967.8758,954.8538,967.8758,0.0000
06/08/1976,967.7009,971.0369,961.6179,971.0369,0.0000
06/09/1976,970.8643,969.6850,959.6620,969.6850,0.0000
06/10/1976,969.5122,985.6151,965.7812,985.6151,0.0000
06/11/1976,985.4430,1012.3655,981.8797,1012.3655,0.0000
06/14/1976,1013.7959,1032.8522,1013.7959,1032.8522,0.0000
06/15/1976,1032.6736,1022.7470,1010.1867,1022.7470,0.0000
06/16/1976,1022.5652,1033.6516,1012.4867,1033.6516,0.0000
06/17/1976,1033.4720,1065.8914,1032.6615,1065.8914,0.0000
06/18/1976,1065.7101,1068.7958,1054.3956,1068.7958,0.0000
06/21/1976,1068.6089,1079.3196,1056.6622,1079.3196,0.0000
06/22/1976,1079.1324,1062.3681,1055.9521,1062.3681,0.0000
06/23/1976,1062.1793,1057.6625,1040.2110,1057.6625,0.0000
06/24/1976,1057.4769,1068.5382,1050.3076,1068.5382,0.0000
06/25/1976,1068.3536,1066.9125,1055.5897,1066.9125,0.0000
06/28/1976,1066.7261,1060.7610,1051.2991,1060.7610,0.0000
06/29/1976,1060.5749,1069.3934,1050.7310,1069.3934,0.0000
06/30/1976,1076.1887,1084.8644,1069.1654,1084.8644,0.0000
07/01/1976,1084.6779,1070.3237,1060.9623,1070.3237,0.0000
07/02/1976,1070.1344,1080.8782,1060.6304,1080.8782,0.0000
07/06/1976,1080.6915,1068.8579,1061.5918,1068.8579,0.0000
07/07/1976,1068.6694,1074.6558,1053.3939,1074.6558,0.0000
07/08/1976,1074.4695,1077.5740,1066.3978,1077.5740,0.0000
07/09/1976,1077.3868,1098.1098,1073.6567,1098.1098,0.0000
07/12/1976,1097.9223,1117.1657,1092.9022,1117.1657,0.0000
07/13/1976,1116.9753,1112.1234,1101.1541,1112.1234,0.0000
07/14/1976,1111.9306,1117.8233,1098.8826,1117.8233,0.0000
07/15/1976,1117.6321,1101.8091,1092.5264,1101.8091,0.0000
07/16/1976,1101.6177,1090.7273,1073.7632,1090.7273,0.0000
07/19/1976,1090.5392,1082.4133,1073.0371,1082.4133,0.0000
07/20/1976,1082.2273,1070.3974,1056.4922,1070.3974,0.0000
07/21/1976,1070.2128,1072.2764,1059.6881,1072.2764,0.0000
07/22/1976,1072.0936,1074.3654,1058.2562,1074.3654,0.0000
07/23/1976,1074.1820,1076.8692,1065.0866,1076.8692,0.0000
07/26/1976,1076.6851,1076.8921,1064.2690,1076.8921,0.0000
07/27/1976,1076.7074,1064.4992,1057.2568,1064.4992,0.0000
07/28/1976,1064.3143,1055.4690,1040.2468,1055.4690,0.0000
07/29/1976,1055.2866,1052.8288,1041.1546,1052.8288,0.0000
07/30/1976,1059.5658,1070.0315,1050.1262,1070.0315,0.0000
08/02/1976,1069.8516,1064.6803,1053.3032,1064.6803,0.0000
08/03/1976,1064.4979,1084.0980,1056.2451,1084.0980,0.0000
08/04/1976,1083.9168,1089.9536,1075.1739,1089.9536,0.0000
08/05/1976,1089.7694,1077.6643,1069.9422,1077.6643,0.0000
08/06/1976,1077.4794,1076.2344,1061.9164,1076.2344,0.0000
08/09/1976,1076.0518,1069.8312,1059.8784,1069.8312,0.0000
08/10/1976,1069.6491,1088.6670,1063.8611,1088.6670,0.0000
08/11/1976,1088.4862,1081.1885,1074.3080,1081.1885,0.0000
08/12/1976,1081.0047,1084.3291,1066.8767,1084.3291,0.0000
08/13/1976,1084.1469,1084.7710,1071.4558,1084.7710,0.0000
08/16/1976,1084.5886,1088.3339,1073.9767,1088.3339,0.0000
08/17/1976,1088.1518,1095.8626,1078.7739,1095.8626,0.0000
08/18/1976,1095.6803,1090.6618,1081.4616,1090.6618,0.0000
08/19/1976,1090.4787,1066.0744,1058.1482,1066.0744,0.0000
08/20/1976,1064.2429,1044.8612,1036.4074,1044.8612,0.0000
