Date,Open,High,Low,Close,Volume
01/02/1970,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
01/05/1970,999.7596,999.7596,999.7596,999.7596,0.0000
01/06/1970,996.8308,996.8308,996.8308,996.8308,0.0000
01/07/1970,992.3090,992.3090,992.3090,992.3090,0.0000
01/08/1970,989.6629,989.6629,989.6629,989.6629,0.0000
01/09/1970,991.3891,991.3891,991.3891,991.3891,0.0000
01/12/1970,995.3354,995.3354,995.3354,995.3354,0.0000
01/13/1970,998.3047,998.3047,998.3047,998.3047,0.0000
01/14/1970,997.3505,997.3505,997.3505,997.3505,0.0000
01/15/1970,995.2245,995.2245,995.2245,995.2245,0.0000
01/16/1970,994.8873,994.8873,994.8873,994.8873,0.0000
01/19/1970,996.2452,996.2452,996.2452,996.2452,0.0000
01/20/1970,996.6657,996.6657,996.6657,996.6657,0.0000
01/21/1970,996.6852,996.6852,996.6852,996.6852,0.0000
01/22/1970,996.1863,996.1863,996.1863,996.1863,0.0000
01/23/1970,994.7747,994.7747,994.7747,994.7747,0.0000
01/26/1970,993.1811,993.1811,993.1811,993.1811,0.0000
01/27/1970,992.9469,992.9469,992.9469,992.9469,0.0000
01/28/1970,993.0057,993.0057,993.0057,993.0057,0.0000
01/29/1970,992.8520,992.8520,992.8520,992.8520,0.0000
01/30/1970,991.8865,991.8865,991.8865,991.8865,0.0000
02/02/1970,992.3265,992.3265,992.3265,992.3265,0.0000
02/03/1970,994.2038,994.2038,994.2038,994.2038,0.0000
02/04/1970,998.5812,998.5812,998.5812,998.5812,0.0000
02/05/1970,1005.2833,1005.2833,1005.2833,1005.2833,0.0000
02/06/1970,1015.2313,1015.2313,1015.2313,1015.2313,0.0000
02/09/1970,1029.3925,1029.3925,1029.3925,1029.3925,0.0000
02/10/1970,1042.4272,1042.4272,1042.4272,1042.4272,0.0000
02/11/1970,1053.2095,1053.2095,1053.2095,1053.2095,0.0000
02/12/1970,1061.8727,1061.8727,1061.8727,1061.8727,0.0000
02/13/1970,1074.8020,1074.8020,1074.8020,1074.8020,0.0000
02/16/1970,1087.5296,1087.5296,1087.5296,1087.5296,0.0000
02/17/1970,1097.9924,1097.9924,1097.9924,1097.9924,0.0000
02/18/1970,1106.3644,1106.3644,1106.3644,1106.3644,0.0000
02/19/1970,1113.4052,1113.4052,1113.4052,1113.4052,0.0000
02/20/1970,1117.3026,1117.3026,1117.3026,1117.3026,0.0000
02/24/1970,1120.3467,1120.3467,1120.3467,1120.3467,0.0000
02/25/1970,1124.1325,1124.1325,1124.1325,1124.1325,0.0000
02/26/1970,1129.3031,1129.3031,1129.3031,1129.3031,0.0000
02/27/1970,1134.6029,1134.6029,1134.6029,1134.6029,0.0000
03/02/1970,1137.5658,1137.5658,1137.5658,1137.5658,0.0000
03/03/1970,1139.2199,1139.2199,1139.2199,1139.2199,0.0000
03/04/1970,1140.1736,1140.1736,1140.1736,1140.1736,0.0000
03/05/1970,1138.8840,1138.8840,1138.8840,1138.8840,0.0000
03/06/1970,1137.2841,1137.2841,1137.2841,1137.2841,0.0000
03/09/1970,1134.3804,1134.3804,1134.3804,1134.3804,0.0000
03/10/1970,1128.4819,1128.4819,1128.4819,1128.4819,0.0000
03/11/1970,1118.7585,1118.7585,1118.7585,1118.7585,0.0000
03/12/1970,1106.2818,1106.2818,1106.2818,1106.2818,0.0000
03/13/1970,1091.4453,1091.4453,1091.4453,1091.4453,0.0000
03/16/1970,1076.1029,1076.1029,1076.1029,1076.1029,0.0000
03/17/1970,1060.2563,1060.2563,1060.2563,1060.2563,0.0000
03/18/1970,1048.3000,1048.3000,1048.3000,1048.3000,0.0000
03/19/1970,1047.9555,1047.9555,1047.9555,1047.9555,0.0000
03/20/1970,1051.9653,1051.9653,1051.9653,1051.9653,0.0000
03/23/1970,1057.9850,1057.9850,1057.9850,1057.9850,0.0000
03/24/1970,1066.0552,1066.0552,1066.0552,1066.0552,0.0000
03/25/1970,1077.3145,1077.3145,1077.3145,1077.3145,0.0000
03/26/1970,1089.8032,1089.8032,1089.8032,1089.8032,0.0000
03/30/1970,1098.4736,1098.4736,1098.4736,1098.4736,0.0000
03/31/1970,1104.0767,1104.0767,1104.0767,1104.0767,0.0000
04/01/1970,1110.0190,1110.0190,1110.0190,1110.0190,0.0000
04/02/1970,1115.5378,1115.5378,1115.5378,1115.5378,0.0000
04/03/1970,1119.4119,1119.4119,1119.4119,1119.4119,0.0000
04/06/1970,1120.3415,1120.3415,1120.3415,1120.3415,0.0000
04/07/1970,1119.4588,1119.4588,1119.4588,1119.4588,0.0000
04/08/1970,1117.4776,1117.4776,1117.4776,1117.4776,0.0000
04/09/1970,1114.8418,1114.8418,1114.8418,1114.8418,0.0000
04/10/1970,1113.1981,1113.1981,1113.1981,1113.1981,0.0000
04/13/1970,1111.7869,1111.7869,1111.7869,1111.7869,0.0000
04/14/1970,1109.7907,1109.7907,1109.7907,1109.7907,0.0000
04/15/1970,1106.0066,1106.0066,1106.0066,1106.0066,0.0000
04/16/1970,1099.2165,1099.2165,1099.2165,1099.2165,0.0000
04/17/1970,1088.8242,1088.8242,1088.8242,1088.8242,0.0000
04/20/1970,1076.8322,1076.8322,1076.8322,1076.8322,0.0000
04/21/1970,1065.1946,1065.1946,1065.1946,1065.1946,0.0000
04/22/1970,1051.2674,1051.2674,1051.2674,1051.2674,0.0000
04/23/1970,1037.2401,1037.2401,1037.2401,1037.2401,0.0000
04/24/1970,1023.6537,1023.6537,1023.6537,1023.6537,0.0000
04/27/1970,1011.1116,1011.1116,1011.1116,1011.1116,0.0000
04/28/1970,1000.9607,1000.9607,1000.9607,1000.9607,0.0000
04/29/1970,994.2768,994.2768,994.2768,994.2768,0.0000
04/30/1970,989.5281,989.5281,989.5281,989.5281,0.0000
05/01/1970,985.4413,985.4413,985.4413,985.4413,0.0000
05/04/1970,977.4833,977.4833,977.4833,977.4833,0.0000
05/05/1970,968.8353,968.8353,968.8353,968.8353,0.0000
05/06/1970,963.6344,963.6344,963.6344,963.6344,0.0000
05/07/1970,961.3487,961.3487,961.3487,961.3487,0.0000
05/08/1970,962.1830,962.1830,962.1830,962.1830,0.0000
05/11/1970,963.2341,963.2341,963.2341,963.2341,0.0000
05/12/1970,963.5677,963.5677,963.5677,963.5677,0.0000
05/13/1970,963.6088,963.6088,963.6088,963.6088,0.0000
05/14/1970,963.1987,963.1987,963.1987,963.1987,0.0000
05/15/1970,963.8390,963.8390,963.8390,963.8390,0.0000
05/18/1970,965.3204,965.3204,965.3204,965.3204,0.0000
05/19/1970,967.0777,967.0777,967.0777,967.0777,0.0000
05/20/1970,967.2994,967.2994,967.2994,967.2994,0.0000
05/21/1970,963.8233,963.8233,963.8233,963.8233,0.0000
05/22/1970,955.7676,955.7676,955.7676,955.7676,0.0000
05/25/1970,938.8836,938.8836,938.8836,938.8836,0.0000
05/26/1970,912.7766,912.7766,912.7766,912.7766,0.0000
05/27/1970,892.6276,892.6276,892.6276,892.6276,0.0000
05/28/1970,879.5117,879.5117,879.5117,879.5117,0.0000
06/01/1970,875.0094,875.0094,875.0094,875.0094,0.0000
06/02/1970,877.4973,877.4973,877.4973,877.4973,0.0000
06/03/1970,882.8894,882.8894,882.8894,882.8894,0.0000
06/04/1970,888.3932,888.3932,888.3932,888.3932,0.0000
06/05/1970,891.0104,891.0104,891.0104,891.0104,0.0000
06/08/1970,890.7257,890.7257,890.7257,890.7257,0.0000
06/09/1970,890.2743,890.2743,890.2743,890.2743,0.0000
06/10/1970,889.5183,889.5183,889.5183,889.5183,0.0000
06/11/1970,887.4030,887.4030,887.4030,887.4030,0.0000
06/12/1970,882.9410,882.9410,882.9410,882.9410,0.0000
06/15/1970,877.6856,877.6856,877.6856,877.6856,0.0000
06/16/1970,877.7989,877.7989,877.7989,877.7989,0.0000
06/17/1970,879.3226,879.3226,879.3226,879.3226,0.0000
06/18/1970,881.7073,881.7073,881.7073,881.7073,0.0000
06/19/1970,883.9383,883.9383,883.9383,883.9383,0.0000
06/22/1970,886.9384,886.9384,886.9384,886.9384,0.0000
06/23/1970,893.4407,893.4407,893.4407,893.4407,0.0000
06/24/1970,902.2845,902.2845,902.2845,902.2845,0.0000
06/25/1970,910.2771,910.2771,910.2771,910.2771,0.0000
06/26/1970,916.3808,916.3808,916.3808,916.3808,0.0000
06/29/1970,922.0971,922.0971,922.0971,922.0971,0.0000
06/30/1970,931.7594,931.7594,931.7594,931.7594,0.0000
07/01/1970,944.1046,944.1046,944.1046,944.1046,0.0000
07/02/1970,959.8192,959.8192,959.8192,959.8192,0.0000
07/06/1970,978.9925,978.9925,978.9925,978.9925,0.0000
07/07/1970,999.5022,999.5022,999.5022,999.5022,0.0000
07/08/1970,1016.2539,1016.2539,1016.2539,1016.2539,0.0000
07/09/1970,1028.3462,1028.3462,1028.3462,1028.3462,0.0000
07/10/1970,1034.5883,1034.5883,1034.5883,1034.5883,0.0000
07/13/1970,1037.5505,1037.5505,1037.5505,1037.5505,0.0000
07/14/1970,1039.6087,1039.6087,1039.6087,1039.6087,0.0000
07/15/1970,1041.5188,1041.5188,1041.5188,1041.5188,0.0000
07/16/1970,1044.0537,1044.0537,1044.0537,1044.0537,0.0000
07/17/1970,1047.0757,1047.0757,1047.0757,1047.0757,0.0000
07/20/1970,1049.6315,1049.6315,1049.6315,1049.6315,0.0000
07/21/1970,1051.3429,1051.3429,1051.3429,1051.3429,0.0000
07/22/1970,1052.9770,1052.9770,1052.9770,1052.9770,0.0000
07/23/1970,1059.9667,1059.9667,1059.9667,1059.9667,0.0000
07/24/1970,1067.8432,1067.8432,1067.8432,1067.8432,0.0000
07/27/1970,1074.9141,1074.9141,1074.9141,1074.9141,0.0000
07/28/1970,1077.4495,1077.4495,1077.4495,1077.4495,0.0000
07/29/1970,1078.1681,1078.1681,1078.1681,1078.1681,0.0000
07/30/1970,1078.0652,1078.0652,1078.0652,1078.0652,0.0000
07/31/1970,1077.6772,1077.6772,1077.6772,1077.6772,0.0000
08/03/1970,1076.8398,1076.8398,1076.8398,1076.8398,0.0000
08/04/1970,1075.5315,1075.5315,1075.5315,1075.5315,0.0000
08/05/1970,1072.4981,1072.4981,1072.4981,1072.4981,0.0000
08/06/1970,1068.6848,1068.6848,1068.6848,1068.6848,0.0000
08/07/1970,1064.1718,1064.1718,1064.1718,1064.1718,0.0000
08/10/1970,1058.2280,1058.2280,1058.2280,1058.2280,0.0000
08/11/1970,1050.7169,1050.7169,1050.7169,1050.7169,0.0000
08/12/1970,1042.2030,1042.2030,1042.2030,1042.2030,0.0000
08/13/1970,1033.8951,1033.8951,1033.8951,1033.8951,0.0000
08/14/1970,1022.6045,1022.6045,1022.6045,1022.6045,0.0000
08/17/1970,1009.0077,1009.0077,1009.0077,1009.0077,0.0000
08/18/1970,997.3042,997.3042,997.3042,997.3042,0.0000
08/19/1970,988.6321,988.6321,988.6321,988.6321,0.0000
08/20/1970,982.3332,982.3332,982.3332,982.3332,0.0000
08/21/1970,980.1617,980.1617,980.1617,980.1617,0.0000
08/24/1970,985.8927,985.8927,985.8927,985.8927,0.0000
08/25/1970,995.4106,995.4106,995.4106,995.4106,0.0000
08/26/1970,1005.7205,1005.7205,1005.7205,1005.7205,0.0000
08/27/1970,1014.9708,1014.9708,1014.9708,1014.9708,0.0000
08/28/1970,1022.8149,1022.8149,1022.8149,1022.8149,0.0000
08/31/1970,1029.6480,1029.6480,1029.6480,1029.6480,0.0000
09/01/1970,1036.1717,1036.1717,1036.1717,1036.1717,0.0000
09/02/1970,1042.3311,1042.3311,1042.3311,1042.3311,0.0000
09/03/1970,1047.7265,1047.7265,1047.7265,1047.7265,0.0000
09/04/1970,1052.2577,1052.2577,1052.2577,1052.2577,0.0000
09/08/1970,1055.9724,1055.9724,1055.9724,1055.9724,0.0000
09/09/1970,1057.7138,1057.7138,1057.7138,1057.7138,0.0000
09/10/1970,1058.4477,1058.4477,1058.4477,1058.4477,0.0000
09/11/1970,1059.9892,1059.9892,1059.9892,1059.9892,0.0000
09/14/1970,1062.2136,1062.2136,1062.2136,1062.2136,0.0000
09/15/1970,1065.4177,1065.4177,1065.4177,1065.4177,0.0000
09/16/1970,1070.9149,1070.9149,1070.9149,1070.9149,0.0000
09/17/1970,1080.3658,1080.3658,1080.3658,1080.3658,0.0000
09/18/1970,1091.5583,1091.5583,1091.5583,1091.5583,0.0000
09/21/1970,1102.8789,1102.8789,1102.8789,1102.8789,0.0000
09/22/1970,1113.5763,1113.5763,1113.5763,1113.5763,0.0000
09/23/1970,1123.3722,1123.3722,1123.3722,1123.3722,0.0000
09/24/1970,1130.8648,1130.8648,1130.8648,1130.8648,0.0000
09/25/1970,1136.5692,1136.5692,1136.5692,1136.5692,0.0000
09/28/1970,1139.0634,1139.0634,1139.0634,1139.0634,0.0000
09/29/1970,1140.8390,1140.8390,1140.8390,1140.8390,0.0000
09/30/1970,1141.7040,1141.7040,1141.7040,1141.7040,0.0000
10/01/1970,1141.6737,1141.6737,1141.6737,1141.6737,0.0000
10/02/1970,1142.7128,1142.7128,1142.7128,1142.7128,0.0000
10/05/1970,1144.1843,1144.1843,1144.1843,1144.1843,0.0000
10/06/1970,1146.2226,1146.2226,1146.2226,1146.2226,0.0000
10/07/1970,1148.3605,1148.3605,1148.3605,1148.3605,0.0000
10/08/1970,1149.9104,1149.9104,1149.9104,1149.9104,0.0000
10/09/1970,1150.1608,1150.1608,1150.1608,1150.1608,0.0000
10/12/1970,1149.8764,1149.8764,1149.8764,1149.8764,0.0000
10/13/1970,1149.4575,1149.4575,1149.4575,1149.4575,0.0000
10/14/1970,1146.7600,1146.7600,1146.7600,1146.7600,0.0000
10/15/1970,1143.8978,1143.8978,1143.8978,1143.8978,0.0000
10/16/1970,1140.4287,1140.4287,1140.4287,1140.4287,0.0000
10/19/1970,1135.7696,1135.7696,1135.7696,1135.7696,0.0000
10/20/1970,1130.7298,1130.7298,1130.7298,1130.7298,0.0000
10/21/1970,1124.3410,1124.3410,1124.3410,1124.3410,0.0000
10/22/1970,1116.8068,1116.8068,1116.8068,1116.8068,0.0000
10/23/1970,1109.7127,1109.7127,1109.7127,1109.7127,0.0000
10/26/1970,1102.8029,1102.8029,1102.8029,1102.8029,0.0000
10/27/1970,1096.8360,1096.8360,1096.8360,1096.8360,0.0000
10/28/1970,1093.3497,1093.3497,1093.3497,1093.3497,0.0000
10/29/1970,1095.3614,1095.3614,1095.3614,1095.3614,0.0000
10/30/1970,1098.7892,1098.7892,1098.7892,1098.7892,0.0000
11/02/1970,1106.9704,1106.9704,1106.9704,1106.9704,0.0000
11/03/1970,1116.5060,1116.5060,1116.5060,1116.5060,0.0000
