Date,Open,High,Low,Close,Volume
03/04/1999,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
03/05/1999,1.05699E+003,1.05699E+003,1.05699E+003,1.05699E+003,0.00000E+000
03/08/1999,1.16011E+003,1.16011E+003,1.16011E+003,1.16011E+003,0.00000E+000
03/09/1999,1.15055E+003,1.15055E+003,1.15055E+003,1.15055E+003,0.00000E+000
03/10/1999,1.16731E+003,1.16731E+003,1.16731E+003,1.16731E+003,0.00000E+000
03/11/1999,1.17611E+003,1.17611E+003,1.17611E+003,1.17611E+003,0.00000E+000
03/12/1999,1.11584E+003,1.11584E+003,1.11584E+003,1.11584E+003,0.00000E+000
03/15/1999,1.20123E+003,1.20123E+003,1.20123E+003,1.20123E+003,0.00000E+000
03/16/1999,1.22372E+003,1.22372E+003,1.22372E+003,1.22372E+003,0.00000E+000
03/17/1999,1.20804E+003,1.20804E+003,1.20804E+003,1.20804E+003,0.00000E+000
03/18/1999,1.27500E+003,1.27500E+003,1.27500E+003,1.27500E+003,0.00000E+000
03/19/1999,1.18553E+003,1.18553E+003,1.18553E+003,1.18553E+003,0.00000E+000
03/22/1999,1.13933E+003,1.13933E+003,1.13933E+003,1.13933E+003,0.00000E+000
03/23/1999,1.02817E+003,1.02817E+003,1.02817E+003,1.02817E+003,0.00000E+000
03/24/1999,1.11033E+003,1.11033E+003,1.11033E+003,1.11033E+003,0.00000E+000
03/25/1999,1.22561E+003,1.22561E+003,1.22561E+003,1.22561E+003,0.00000E+000
03/26/1999,1.19709E+003,1.19709E+003,1.19709E+003,1.19709E+003,0.00000E+000
03/29/1999,1.33130E+003,1.33130E+003,1.33130E+003,1.33130E+003,0.00000E+000
03/30/1999,1.29578E+003,1.29578E+003,1.29578E+003,1.29578E+003,0.00000E+000
03/31/1999,1.26027E+003,1.26027E+003,1.26027E+003,1.26027E+003,0.00000E+000
04/01/1999,1.33137E+003,1.33137E+003,1.33137E+003,1.33137E+003,0.00000E+000
04/05/1999,1.46794E+003,1.46794E+003,1.46794E+003,1.46794E+003,0.00000E+000
04/06/1999,1.46611E+003,1.46611E+003,1.46611E+003,1.46611E+003,0.00000E+000
04/07/1999,1.41327E+003,1.41327E+003,1.41327E+003,1.41327E+003,0.00000E+000
04/08/1999,1.47580E+003,1.47580E+003,1.47580E+003,1.47580E+003,0.00000E+000
04/09/1999,1.49092E+003,1.49092E+003,1.49092E+003,1.49092E+003,0.00000E+000
04/12/1999,1.46411E+003,1.46411E+003,1.46411E+003,1.46411E+003,0.00000E+000
04/13/1999,1.37672E+003,1.37672E+003,1.37672E+003,1.37672E+003,0.00000E+000
04/14/1999,1.24064E+003,1.24064E+003,1.24064E+003,1.24064E+003,0.00000E+000
04/15/1999,1.29732E+003,1.29732E+003,1.29732E+003,1.29732E+003,0.00000E+000
04/16/1999,1.20721E+003,1.20721E+003,1.20721E+003,1.20721E+003,0.00000E+000
04/19/1999,1.00068E+003,1.00068E+003,1.00068E+003,1.00068E+003,0.00000E+000
04/20/1999,1.09612E+003,1.09612E+003,1.09612E+003,1.09612E+003,0.00000E+000
04/21/1999,1.21831E+003,1.21831E+003,1.21831E+003,1.21831E+003,0.00000E+000
04/22/1999,1.35286E+003,1.35286E+003,1.35286E+003,1.35286E+003,0.00000E+000
04/23/1999,1.40285E+003,1.40285E+003,1.40285E+003,1.40285E+003,0.00000E+000
04/26/1999,1.49820E+003,1.49820E+003,1.49820E+003,1.49820E+003,0.00000E+000
04/27/1999,1.39135E+003,1.39135E+003,1.39135E+003,1.39135E+003,0.00000E+000
04/28/1999,1.28409E+003,1.28409E+003,1.28409E+003,1.28409E+003,0.00000E+000
04/29/1999,1.22812E+003,1.22812E+003,1.22812E+003,1.22812E+003,0.00000E+000
04/30/1999,1.25762E+003,1.25762E+003,1.25762E+003,1.25762E+003,0.00000E+000
05/03/1999,1.26017E+003,1.26017E+003,1.26017E+003,1.26017E+003,0.00000E+000
05/04/1999,1.18854E+003,1.18854E+003,1.18854E+003,1.18854E+003,0.00000E+000
05/05/1999,1.28739E+003,1.28739E+003,1.28739E+003,1.28739E+003,0.00000E+000
05/06/1999,1.14904E+003,1.14904E+003,1.14904E+003,1.14904E+003,0.00000E+000
05/07/1999,1.21363E+003,1.21363E+003,1.21363E+003,1.21363E+003,0.00000E+000
05/10/1999,1.24270E+003,1.24270E+003,1.24270E+003,1.24270E+003,0.00000E+000
05/11/1999,1.31426E+003,1.31426E+003,1.31426E+003,1.31426E+003,0.00000E+000
05/12/1999,1.38982E+003,1.38982E+003,1.38982E+003,1.38982E+003,0.00000E+000
05/13/1999,1.31699E+003,1.31699E+003,1.31699E+003,1.31699E+003,0.00000E+000
05/14/1999,1.21902E+003,1.21902E+003,1.21902E+003,1.21902E+003,0.00000E+000
05/17/1999,1.30583E+003,1.30583E+003,1.30583E+003,1.30583E+003,0.00000E+000
05/18/1999,1.27601E+003,1.27601E+003,1.27601E+003,1.27601E+003,0.00000E+000
05/19/1999,1.32354E+003,1.32354E+003,1.32354E+003,1.32354E+003,0.00000E+000
05/20/1999,1.23937E+003,1.23937E+003,1.23937E+003,1.23937E+003,0.00000E+000
05/21/1999,1.19471E+003,1.19471E+003,1.19471E+003,1.19471E+003,0.00000E+000
05/24/1999,1.10329E+003,1.10329E+003,1.10329E+003,1.10329E+003,0.00000E+000
05/25/1999,1.00426E+003,1.00426E+003,1.00426E+003,1.00426E+003,0.00000E+000
05/26/1999,1.08548E+003,1.08548E+003,1.08548E+003,1.08548E+003,0.00000E+000
