Date,Open,High,Low,Close,Volume
06/02/1976,9.91352E+002,1.01060E+003,9.77600E+002,1.00000E+003,0.00000E+000
06/03/1976,9.99916E+002,1.02205E+003,9.84855E+002,9.93461E+002,0.00000E+000
06/04/1976,9.93466E+002,9.94078E+002,9.55215E+002,9.63171E+002,0.00000E+000
06/07/1976,9.63170E+002,9.68265E+002,9.26603E+002,9.45756E+002,0.00000E+000
06/08/1976,9.45788E+002,9.76581E+002,9.41050E+002,9.51325E+002,0.00000E+000
06/09/1976,9.51422E+002,9.67771E+002,9.36559E+002,9.45745E+002,0.00000E+000
06/10/1976,9.45780E+002,9.75093E+002,9.39858E+002,9.64404E+002,0.00000E+000
06/11/1976,9.64447E+002,1.01274E+003,9.63247E+002,1.00764E+003,0.00000E+000
06/14/1976,1.01075E+003,1.05830E+003,1.01075E+003,1.04607E+003,0.00000E+000
06/15/1976,1.04597E+003,1.05546E+003,1.01494E+003,1.02925E+003,0.00000E+000
06/16/1976,1.02920E+003,1.05988E+003,1.01041E+003,1.03771E+003,0.00000E+000
06/17/1976,1.03766E+003,1.09843E+003,1.03704E+003,1.08360E+003,0.00000E+000
06/18/1976,1.08366E+003,1.11509E+003,1.06357E+003,1.07938E+003,0.00000E+000
06/21/1976,1.07946E+003,1.10886E+003,1.06524E+003,1.09739E+003,0.00000E+000
06/22/1976,1.09757E+003,1.11195E+003,1.05902E+003,1.06532E+003,0.00000E+000
06/23/1976,1.06523E+003,1.07965E+003,1.03192E+003,1.06190E+003,0.00000E+000
06/24/1976,1.06204E+003,1.10199E+003,1.05533E+003,1.08496E+003,0.00000E+000
06/25/1976,1.08507E+003,1.09999E+003,1.05849E+003,1.07223E+003,0.00000E+000
06/28/1976,1.07212E+003,1.09303E+003,1.05185E+003,1.06433E+003,0.00000E+000
06/29/1976,1.06441E+003,1.08713E+003,1.04872E+003,1.07481E+003,0.00000E+000
06/30/1976,1.07499E+003,1.11075E+003,1.05984E+003,1.08169E+003,0.00000E+000
07/01/1976,1.08177E+003,1.10183E+003,1.04132E+003,1.05601E+003,0.00000E+000
07/02/1976,1.05589E+003,1.08487E+003,1.04379E+003,1.07194E+003,0.00000E+000
07/06/1976,1.07183E+003,1.08501E+003,1.03774E+003,1.04613E+003,0.00000E+000
07/07/1976,1.04611E+003,1.05434E+003,1.01700E+003,1.04408E+003,0.00000E+000
07/08/1976,1.04422E+003,1.06855E+003,1.03159E+003,1.04669E+003,0.00000E+000
07/09/1976,1.04677E+003,1.09582E+003,1.03917E+003,1.08193E+003,0.00000E+000
07/12/1976,1.08192E+003,1.12268E+003,1.06833E+003,1.10816E+003,0.00000E+000
07/13/1976,1.10815E+003,1.13017E+003,1.07659E+003,1.09125E+003,0.00000E+000
07/14/1976,1.09139E+003,1.11124E+003,1.06504E+003,1.08833E+003,0.00000E+000
07/15/1976,1.08848E+003,1.09368E+003,1.04951E+003,1.06334E+003,0.00000E+000
07/16/1976,1.06284E+003,1.06284E+003,1.02479E+003,1.04976E+003,0.00000E+000
07/19/1976,1.04975E+003,1.06845E+003,1.02724E+003,1.04223E+003,0.00000E+000
07/20/1976,1.04216E+003,1.05352E+003,1.01786E+003,1.03424E+003,0.00000E+000
07/21/1976,1.03429E+003,1.06097E+003,1.02142E+003,1.03786E+003,0.00000E+000
07/22/1976,1.03776E+003,1.05852E+003,1.01762E+003,1.04304E+003,0.00000E+000
07/23/1976,1.04312E+003,1.06396E+003,1.02513E+003,1.04252E+003,0.00000E+000
07/26/1976,1.04251E+003,1.06239E+003,1.02673E+003,1.04444E+003,0.00000E+000
07/27/1976,1.04442E+003,1.05548E+003,1.01409E+003,1.02113E+003,0.00000E+000
07/28/1976,1.02105E+003,1.02354E+003,9.91797E+002,1.01243E+003,0.00000E+000
07/29/1976,1.01235E+003,1.02597E+003,9.90382E+002,1.00613E+003,0.00000E+000
07/30/1976,1.00618E+003,1.03299E+003,9.92004E+002,1.02264E+003,0.00000E+000
08/02/1976,1.02253E+003,1.03624E+003,1.00010E+003,1.01524E+003,0.00000E+000
08/03/1976,1.01538E+003,1.04856E+003,1.00422E+003,1.04028E+003,0.00000E+000
08/04/1976,1.04021E+003,1.06668E+003,1.02792E+003,1.04645E+003,0.00000E+000
08/05/1976,1.04653E+003,1.05760E+003,1.01806E+003,1.02875E+003,0.00000E+000
08/06/1976,1.02883E+003,1.03884E+003,1.00381E+003,1.02664E+003,0.00000E+000
08/09/1976,1.02666E+003,1.03135E+003,1.00511E+003,1.01873E+003,0.00000E+000
08/10/1976,1.01887E+003,1.05678E+003,1.01141E+003,1.04973E+003,0.00000E+000
08/11/1976,1.04966E+003,1.07058E+003,1.02145E+003,1.02871E+003,0.00000E+000
08/12/1976,1.02875E+003,1.04533E+003,1.00499E+003,1.02975E+003,0.00000E+000
08/13/1976,1.02971E+003,1.05256E+003,1.01720E+003,1.03938E+003,0.00000E+000
08/16/1976,1.03944E+003,1.06242E+003,1.02936E+003,1.04753E+003,0.00000E+000
08/17/1976,1.04765E+003,1.07803E+003,1.04005E+003,1.06835E+003,0.00000E+000
08/18/1976,1.06825E+003,1.08556E+003,1.04676E+003,1.05449E+003,0.00000E+000
08/19/1976,1.05448E+003,1.05702E+003,1.00457E+003,1.01913E+003,0.00000E+000
08/20/1976,1.01517E+003,1.01517E+003,9.79127E+002,9.88666E+002,0.00000E+000
08/23/1976,9.88773E+002,9.93644E+002,9.52543E+002,9.80827E+002,0.00000E+000
08/24/1976,9.80878E+002,9.97837E+002,9.48474E+002,9.54924E+002,0.00000E+000
08/25/1976,9.54851E+002,9.87275E+002,9.35516E+002,9.78440E+002,0.00000E+000
08/26/1976,9.78377E+002,9.93795E+002,9.40588E+002,9.47057E+002,0.00000E+000
08/27/1976,9.46954E+002,9.67955E+002,9.28320E+002,9.57395E+002,0.00000E+000
08/30/1976,9.57331E+002,9.84144E+002,9.49882E+002,9.72286E+002,0.00000E+000
08/31/1976,9.72253E+002,1.00566E+003,9.65931E+002,9.86821E+002,0.00000E+000
09/01/1976,9.86726E+002,1.03020E+003,9.79126E+002,1.02396E+003,0.00000E+000
09/02/1976,1.02415E+003,1.04627E+003,1.00577E+003,1.02038E+003,0.00000E+000
09/03/1976,1.02044E+003,1.04033E+003,1.00303E+003,1.03383E+003,0.00000E+000
09/07/1976,1.03383E+003,1.06393E+003,1.02129E+003,1.05731E+003,0.00000E+000
09/08/1976,1.05738E+003,1.07265E+003,1.02969E+003,1.04573E+003,0.00000E+000
09/09/1976,1.04563E+003,1.04721E+003,1.01467E+003,1.02658E+003,0.00000E+000
09/10/1976,1.02669E+003,1.04230E+003,1.00860E+003,1.03125E+003,0.00000E+000
09/13/1976,1.03140E+003,1.04893E+003,1.00605E+003,1.01541E+003,0.00000E+000
09/14/1976,1.01546E+003,1.01763E+003,9.85417E+002,1.00103E+003,0.00000E+000
09/15/1976,1.00093E+003,1.01750E+003,9.78225E+002,1.00311E+003,0.00000E+000
09/16/1976,1.00310E+003,1.03414E+003,9.89278E+002,1.02968E+003,0.00000E+000
09/17/1976,1.02987E+003,1.06895E+003,1.02549E+003,1.05207E+003,0.00000E+000
09/20/1976,1.05210E+003,1.07620E+003,1.03815E+003,1.05023E+003,0.00000E+000
09/21/1976,1.05023E+003,1.11992E+003,1.04738E+003,1.11450E+003,0.00000E+000
09/22/1976,1.11458E+003,1.15246E+003,1.09745E+003,1.11211E+003,0.00000E+000
09/23/1976,1.11230E+003,1.13105E+003,1.08335E+003,1.10145E+003,0.00000E+000
09/24/1976,1.10148E+003,1.11226E+003,1.07206E+003,1.09661E+003,0.00000E+000
09/27/1976,1.09660E+003,1.12007E+003,1.08064E+003,1.10909E+003,0.00000E+000
09/28/1976,1.10902E+003,1.11329E+003,1.04006E+003,1.04936E+003,0.00000E+000
09/29/1976,1.04928E+003,1.06953E+003,1.01954E+003,1.03754E+003,0.00000E+000
09/30/1976,1.03760E+003,1.05205E+003,1.01437E+003,1.03443E+003,0.00000E+000
10/01/1976,1.03449E+003,1.05141E+003,9.84982E+002,1.00219E+003,0.00000E+000
10/04/1976,1.00224E+003,1.01236E+003,9.77389E+002,9.96349E+002,0.00000E+000
10/05/1976,9.96438E+002,1.00255E+003,9.43570E+002,9.62090E+002,0.00000E+000
10/06/1976,9.62231E+002,9.66709E+002,9.11783E+002,9.41007E+002,0.00000E+000
10/07/1976,9.41062E+002,9.66945E+002,9.17532E+002,9.56915E+002,0.00000E+000
10/08/1976,9.56979E+002,9.69471E+002,9.11176E+002,9.19147E+002,0.00000E+000
10/11/1976,9.09095E+002,9.09095E+002,8.66829E+002,8.85704E+002,0.00000E+000
