Date,Open,High,Low,Close,Volume
07/02/1982,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
07/06/1982,983.2618,983.2618,983.2618,983.2618,0.0000
07/07/1982,942.0506,942.0506,942.0506,942.0506,0.0000
07/08/1982,1004.2445,1004.2445,1004.2445,1004.2445,0.0000
07/09/1982,1147.9164,1147.9164,1147.9164,1147.9164,0.0000
07/12/1982,1299.4209,1299.4209,1299.4209,1299.4209,0.0000
07/13/1982,1406.8440,1406.8440,1406.8440,1406.8440,0.0000
07/14/1982,1408.6711,1408.6711,1408.6711,1408.6711,0.0000
07/15/1982,1378.1193,1378.1193,1378.1193,1378.1193,0.0000
07/16/1982,1339.7489,1339.7489,1339.7489,1339.7489,0.0000
07/19/1982,1344.9442,1344.9442,1344.9442,1344.9442,0.0000
07/20/1982,1346.6916,1346.6916,1346.6916,1346.6916,0.0000
07/21/1982,1564.4715,1564.4715,1564.4715,1564.4715,0.0000
07/22/1982,1391.0845,1391.0845,1391.0845,1391.0845,0.0000
07/23/1982,1510.9611,1510.9611,1510.9611,1510.9611,0.0000
07/26/1982,1373.1531,1373.1531,1373.1531,1373.1531,0.0000
07/27/1982,1360.8417,1360.8417,1360.8417,1360.8417,0.0000
07/28/1982,1311.4779,1311.4779,1311.4779,1311.4779,0.0000
07/29/1982,1259.9222,1259.9222,1259.9222,1259.9222,0.0000
07/30/1982,1263.8008,1263.8008,1263.8008,1263.8008,0.0000
08/02/1982,1356.1279,1356.1279,1356.1279,1356.1279,0.0000
08/03/1982,1331.3037,1331.3037,1331.3037,1331.3037,0.0000
08/04/1982,1296.4570,1296.4570,1296.4570,1296.4570,0.0000
08/05/1982,1299.2896,1299.2896,1299.2896,1299.2896,0.0000
08/06/1982,1278.5291,1278.5291,1278.5291,1278.5291,0.0000
08/09/1982,1181.2407,1181.2407,1181.2407,1181.2407,0.0000
08/10/1982,1203.9221,1203.9221,1203.9221,1203.9221,0.0000
08/11/1982,1153.2760,1153.2760,1153.2760,1153.2760,0.0000
08/12/1982,1165.2383,1165.2383,1165.2383,1165.2383,0.0000
08/13/1982,1199.2291,1199.2291,1199.2291,1199.2291,0.0000
08/16/1982,1238.1309,1238.1309,1238.1309,1238.1309,0.0000
08/17/1982,1194.1883,1194.1883,1194.1883,1194.1883,0.0000
08/18/1982,1405.7852,1405.7852,1405.7852,1405.7852,0.0000
08/19/1982,1392.3525,1392.3525,1392.3525,1392.3525,0.0000
08/20/1982,1741.9077,1741.9077,1741.9077,1741.9077,0.0000
08/23/1982,1849.5085,1849.5085,1849.5085,1849.5085,0.0000
08/24/1982,2034.4425,2034.4425,2034.4425,2034.4425,0.0000
08/25/1982,1933.4894,1933.4894,1933.4894,1933.4894,0.0000
08/26/1982,2164.0915,2164.0915,2164.0915,2164.0915,0.0000
08/27/1982,2178.9484,2178.9484,2178.9484,2178.9484,0.0000
08/30/1982,1931.1630,1931.1630,1931.1630,1931.1630,0.0000
08/31/1982,2064.2760,2064.2760,2064.2760,2064.2760,0.0000
09/01/1982,1968.7926,1968.7926,1968.7926,1968.7926,0.0000
09/02/1982,2033.6060,2033.6060,2033.6060,2033.6060,0.0000
09/03/1982,2707.2035,2707.2035,2707.2035,2707.2035,0.0000
