Date,Open,High,Low,Close,Volume
01/02/1990,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
01/03/1990,998.9778,998.9778,998.9778,998.9778,0.0000
01/04/1990,991.7543,991.7543,991.7543,991.7543,0.0000
01/05/1990,982.3501,982.3501,982.3501,982.3501,0.0000
01/08/1990,986.0981,986.0981,986.0981,986.0981,0.0000
01/09/1990,975.5866,975.5866,975.5866,975.5866,0.0000
01/10/1990,968.4482,968.4482,968.4482,968.4482,0.0000
01/11/1990,971.2933,971.2933,971.2933,971.2933,0.0000
01/12/1990,948.6516,948.6516,948.6516,948.6516,0.0000
01/15/1990,939.7244,939.7244,939.7244,939.7244,0.0000
01/16/1990,949.4864,949.4864,949.4864,949.4864,0.0000
01/17/1990,941.5473,941.5473,941.5473,941.5473,0.0000
01/18/1990,942.7399,942.7399,942.7399,942.7399,0.0000
01/19/1990,945.8746,945.8746,945.8746,945.8746,0.0000
01/22/1990,923.2670,923.2670,923.2670,923.2670,0.0000
01/23/1990,923.5566,923.5566,923.5566,923.5566,0.0000
01/24/1990,920.8308,920.8308,920.8308,920.8308,0.0000
01/25/1990,910.3021,910.3021,910.3021,910.3021,0.0000
01/26/1990,908.0192,908.0192,908.0192,908.0192,0.0000
01/29/1990,905.9918,905.9918,905.9918,905.9918,0.0000
01/30/1990,898.5468,898.5468,898.5468,898.5468,0.0000
01/31/1990,914.7998,914.7998,914.7998,914.7998,0.0000
02/01/1990,915.2257,915.2257,915.2257,915.2257,0.0000
02/02/1990,922.0233,922.0233,922.0233,922.0233,0.0000
02/05/1990,925.5670,925.5670,925.5670,925.5670,0.0000
02/06/1990,920.0982,920.0982,920.0982,920.0982,0.0000
02/07/1990,930.4734,930.4734,930.4734,930.4734,0.0000
02/08/1990,929.5365,929.5365,929.5365,929.5365,0.0000
02/09/1990,931.8534,931.8534,931.8534,931.8534,0.0000
02/12/1990,923.1477,923.1477,923.1477,923.1477,0.0000
02/13/1990,925.0218,925.0218,925.0218,925.0218,0.0000
02/14/1990,927.4239,927.4239,927.4239,927.4239,0.0000
02/15/1990,935.3800,935.3800,935.3800,935.3800,0.0000
02/16/1990,930.4905,930.4905,930.4905,930.4905,0.0000
02/20/1990,917.7301,917.7301,917.7301,917.7301,0.0000
02/21/1990,916.4353,916.4353,916.4353,916.4353,0.0000
02/22/1990,912.3805,912.3805,912.3805,912.3805,0.0000
02/23/1990,907.7807,907.7807,907.7807,907.7807,0.0000
02/26/1990,918.5819,918.5819,918.5819,918.5819,0.0000
02/27/1990,924.0337,924.0337,924.0337,924.0337,0.0000
02/28/1990,929.1957,929.1957,929.1957,929.1957,0.0000
03/01/1990,932.0920,932.0920,932.0920,932.0920,0.0000
03/02/1990,940.1673,940.1673,940.1673,940.1673,0.0000
03/05/1990,936.8452,936.8452,936.8452,936.8452,0.0000
03/06/1990,947.2546,947.2546,947.2546,947.2546,0.0000
03/07/1990,944.9717,944.9717,944.9717,944.9717,0.0000
03/08/1990,953.4560,953.4560,953.4560,953.4560,0.0000
03/09/1990,948.2938,948.2938,948.2938,948.2938,0.0000
03/12/1990,950.1678,950.1678,950.1678,950.1678,0.0000
03/13/1990,943.4043,943.4043,943.4043,943.4043,0.0000
03/14/1990,945.5851,945.5851,945.5851,945.5851,0.0000
03/15/1990,948.1745,948.1745,948.1745,948.1745,0.0000
03/16/1990,957.4425,957.4425,957.4425,957.4425,0.0000
03/19/1990,961.8721,961.8721,961.8721,961.8721,0.0000
03/20/1990,956.3521,956.3521,956.3521,956.3521,0.0000
03/21/1990,952.3656,952.3656,952.3656,952.3656,0.0000
03/22/1990,940.7295,940.7295,940.7295,940.7295,0.0000
03/23/1990,945.2443,945.2443,945.2443,945.2443,0.0000
03/26/1990,947.2546,947.2546,947.2546,947.2546,0.0000
03/27/1990,955.8410,955.8410,955.8410,955.8410,0.0000
03/28/1990,957.2722,957.2722,957.2722,957.2722,0.0000
03/29/1990,954.0352,954.0352,954.0352,954.0352,0.0000
03/30/1990,952.2974,952.2974,952.2974,952.2974,0.0000
04/02/1990,949.1798,949.1798,949.1798,949.1798,0.0000
04/03/1990,962.1787,962.1787,962.1787,962.1787,0.0000
04/04/1990,956.0625,956.0625,956.0625,956.0625,0.0000
04/05/1990,954.8699,954.8699,954.8699,954.8699,0.0000
04/06/1990,952.5019,952.5019,952.5019,952.5019,0.0000
04/09/1990,955.6537,955.6537,955.6537,955.6537,0.0000
04/10/1990,957.5447,957.5447,957.5447,957.5447,0.0000
04/11/1990,957.8003,957.8003,957.8003,957.8003,0.0000
04/12/1990,965.0919,965.0919,965.0919,965.0919,0.0000
04/16/1990,966.3867,966.3867,966.3867,966.3867,0.0000
04/17/1990,966.0971,966.0971,966.0971,966.0971,0.0000
04/18/1990,955.5344,955.5344,955.5344,955.5344,0.0000
04/19/1990,948.2257,948.2257,948.2257,948.2257,0.0000
04/20/1990,939.8267,939.8267,939.8267,939.8267,0.0000
04/23/1990,929.1276,929.1276,929.1276,929.1276,0.0000
04/24/1990,926.9470,926.9470,926.9470,926.9470,0.0000
04/25/1990,931.5809,931.5809,931.5809,931.5809,0.0000
04/26/1990,933.3697,933.3697,933.3697,933.3697,0.0000
04/27/1990,922.8922,922.8922,922.8922,922.8922,0.0000
04/30/1990,927.5432,927.5432,927.5432,927.5432,0.0000
05/01/1990,931.9557,931.9557,931.9557,931.9557,0.0000
05/02/1990,937.5949,937.5949,937.5949,937.5949,0.0000
05/03/1990,940.7295,940.7295,940.7295,940.7295,0.0000
05/04/1990,948.5153,948.5153,948.5153,948.5153,0.0000
05/07/1990,954.2737,954.2737,954.2737,954.2737,0.0000
05/08/1990,958.5158,958.5158,958.5158,958.5158,0.0000
05/09/1990,960.0662,960.0662,960.0662,960.0662,0.0000
05/10/1990,964.0186,964.0186,964.0186,964.0186,0.0000
05/11/1990,984.9738,984.9738,984.9738,984.9738,0.0000
05/14/1990,993.4239,993.4239,993.4239,993.4239,0.0000
05/15/1990,992.9640,992.9640,992.9640,992.9640,0.0000
05/16/1990,992.0610,992.0610,992.0610,992.0610,0.0000
05/17/1990,993.9010,993.9010,993.9010,993.9010,0.0000
05/18/1990,994.5824,994.5824,994.5824,994.5824,0.0000
05/21/1990,1004.4296,1004.4296,1004.4296,1004.4296,0.0000
05/22/1990,1006.0651,1006.0651,1006.0651,1006.0651,0.0000
05/23/1990,1008.5695,1008.5695,1008.5695,1008.5695,0.0000
05/24/1990,1007.7858,1007.7858,1007.7858,1007.7858,0.0000
05/25/1990,997.9557,997.9557,997.9557,997.9557,0.0000
05/29/1990,1012.6923,1012.6923,1012.6923,1012.6923,0.0000
05/30/1990,1012.7094,1012.7094,1012.7094,1012.7094,0.0000
05/31/1990,1014.3449,1014.3449,1014.3449,1014.3449,0.0000
06/01/1990,1020.0522,1020.0522,1020.0522,1020.0522,0.0000
06/04/1990,1032.5401,1032.5401,1032.5401,1032.5401,0.0000
06/05/1990,1031.1942,1031.1942,1031.1942,1031.1942,0.0000
06/06/1990,1027.4461,1027.4461,1027.4461,1027.4461,0.0000
06/07/1990,1022.6759,1022.6759,1022.6759,1022.6759,0.0000
06/08/1990,1011.0909,1011.0909,1011.0909,1011.0909,0.0000
06/11/1990,1018.8766,1018.8766,1018.8766,1018.8766,0.0000
06/12/1990,1031.0067,1031.0067,1031.0067,1031.0067,0.0000
06/13/1990,1028.0765,1028.0765,1028.0765,1028.0765,0.0000
06/14/1990,1022.4203,1022.4203,1022.4203,1022.4203,0.0000
06/15/1990,1021.5855,1021.5855,1021.5855,1021.5855,0.0000
06/18/1990,1006.4058,1006.4058,1006.4058,1006.4058,0.0000
06/19/1990,1010.1709,1010.1709,1010.1709,1010.1709,0.0000
06/20/1990,1011.1931,1011.1931,1011.1931,1011.1931,0.0000
06/21/1990,1014.5153,1014.5153,1014.5153,1014.5153,0.0000
06/22/1990,1002.8792,1002.8792,1002.8792,1002.8792,0.0000
06/25/1990,994.1564,994.1564,994.1564,994.1564,0.0000
06/26/1990,993.0831,993.0831,993.0831,993.0831,0.0000
06/27/1990,1000.3919,1000.3919,1000.3919,1000.3919,0.0000
06/28/1990,1007.2406,1007.2406,1007.2406,1007.2406,0.0000
06/29/1990,1008.8080,1008.8080,1008.8080,1008.8080,0.0000
07/02/1990,1012.9309,1012.9309,1012.9309,1012.9309,0.0000
07/03/1990,1014.6175,1014.6175,1014.6175,1014.6175,0.0000
07/05/1990,1003.7481,1003.7481,1003.7481,1003.7481,0.0000
07/06/1990,1010.8354,1010.8354,1010.8354,1010.8354,0.0000
07/09/1990,1013.3568,1013.3568,1013.3568,1013.3568,0.0000
07/10/1990,1006.0991,1006.0991,1006.0991,1006.0991,0.0000
07/11/1990,1017.5649,1017.5649,1017.5649,1017.5649,0.0000
07/12/1990,1028.9112,1028.9112,1028.9112,1028.9112,0.0000
07/13/1990,1033.3919,1033.3919,1033.3919,1033.3919,0.0000
07/16/1990,1037.8725,1037.8725,1037.8725,1037.8725,0.0000
07/17/1990,1034.1586,1034.1586,1034.1586,1034.1586,0.0000
07/18/1990,1024.6521,1024.6521,1024.6521,1024.6521,0.0000
07/19/1990,1026.7817,1026.7817,1026.7817,1026.7817,0.0000
07/20/1990,1017.2412,1017.2412,1017.2412,1017.2412,0.0000
07/23/1990,999.0460,999.0460,999.0460,999.0460,0.0000
07/24/1990,999.7104,999.7104,999.7104,999.7104,0.0000
07/25/1990,1003.2711,1003.2711,1003.2711,1003.2711,0.0000
07/26/1990,1000.6986,1000.6986,1000.6986,1000.6986,0.0000
07/27/1990,994.0372,994.0372,994.0372,994.0372,0.0000
07/30/1990,998.2963,998.2963,998.2963,998.2963,0.0000
07/31/1990,999.7956,999.7956,999.7956,999.7956,0.0000
08/01/1990,998.2112,998.2112,998.2112,998.2112,0.0000
08/02/1990,986.2345,986.2345,986.2345,986.2345,0.0000
08/03/1990,969.0956,969.0956,969.0956,969.0956,0.0000
08/06/1990,937.6800,937.6800,937.6800,937.6800,0.0000
08/07/1990,939.6562,939.6562,939.6562,939.6562,0.0000
08/08/1990,950.2190,950.2190,950.2190,950.2190,0.0000
08/09/1990,956.0284,956.0284,956.0284,956.0284,0.0000
08/10/1990,944.4095,944.4095,944.4095,944.4095,0.0000
08/13/1990,952.4508,952.4508,952.4508,952.4508,0.0000
08/14/1990,954.2908,954.2908,954.2908,954.2908,0.0000
08/15/1990,957.0677,957.0677,957.0677,957.0677,0.0000
08/16/1990,935.9423,935.9423,935.9423,935.9423,0.0000
08/17/1990,922.0744,922.0744,922.0744,922.0744,0.0000
08/20/1990,922.4833,922.4833,922.4833,922.4833,0.0000
08/21/1990,904.2200,904.2200,904.2200,904.2200,0.0000
08/22/1990,889.5515,889.5515,889.5515,889.5515,0.0000
08/23/1990,861.9862,861.9862,861.9862,861.9862,0.0000
08/24/1990,875.0362,875.0362,875.0362,875.0362,0.0000
08/27/1990,903.5897,903.5897,903.5897,903.5897,0.0000
08/28/1990,904.2030,904.2030,904.2030,904.2030,0.0000
08/29/1990,911.6821,911.6821,911.6821,911.6821,0.0000
08/30/1990,898.5638,898.5638,898.5638,898.5638,0.0000
08/31/1990,908.0362,908.0362,908.0362,908.0362,0.0000
09/04/1990,909.5696,909.5696,909.5696,909.5696,0.0000
09/05/1990,913.2835,913.2835,913.2835,913.2835,0.0000
09/06/1990,903.3001,903.3001,903.3001,903.3001,0.0000
09/07/1990,911.2903,911.2903,911.2903,911.2903,0.0000
09/10/1990,907.9340,907.9340,907.9340,907.9340,0.0000
09/11/1990,906.6563,906.6563,906.6563,906.6563,0.0000
09/12/1990,909.8591,909.8591,909.8591,909.8591,0.0000
09/13/1990,899.4838,899.4838,899.4838,899.4838,0.0000
09/14/1990,893.9980,893.9980,893.9980,893.9980,0.0000
09/17/1990,896.2810,896.2810,896.2810,896.2810,0.0000
09/18/1990,897.8994,897.8994,897.8994,897.8994,0.0000
09/19/1990,892.7544,892.7544,892.7544,892.7544,0.0000
09/20/1990,878.6309,878.6309,878.6309,878.6309,0.0000
09/21/1990,877.4895,877.4895,877.4895,877.4895,0.0000
09/24/1990,858.6640,858.6640,858.6640,858.6640,0.0000
09/25/1990,868.6986,868.6986,868.6986,868.6986,0.0000
09/26/1990,859.8055,859.8055,859.8055,859.8055,0.0000
09/27/1990,847.6413,847.6413,847.6413,847.6413,0.0000
09/28/1990,861.6284,861.6284,861.6284,861.6284,0.0000
10/01/1990,887.2856,887.2856,887.2856,887.2856,0.0000
10/02/1990,888.8529,888.8529,888.8529,888.8529,0.0000
10/03/1990,878.6992,878.6992,878.6992,878.6992,0.0000
10/04/1990,881.2717,881.2717,881.2717,881.2717,0.0000
10/05/1990,877.8132,877.8132,877.8132,877.8132,0.0000
10/08/1990,883.2990,883.2990,883.2990,883.2990,0.0000
10/09/1990,860.4358,860.4358,860.4358,860.4358,0.0000
10/10/1990,846.9599,846.9599,846.9599,846.9599,0.0000
10/11/1990,833.1261,833.1261,833.1261,833.1261,0.0000
10/12/1990,845.1539,845.1539,845.1539,845.1539,0.0000
10/15/1990,854.3197,854.3197,854.3197,854.3197,0.0000
10/16/1990,842.2407,842.2407,842.2407,842.2407,0.0000
10/17/1990,842.3259,842.3259,842.3259,842.3259,0.0000
10/18/1990,861.6284,861.6284,861.6284,861.6284,0.0000
10/19/1990,878.1540,878.1540,878.1540,878.1540,0.0000
10/22/1990,885.6500,885.6500,885.6500,885.6500,0.0000
10/23/1990,880.2836,880.2836,880.2836,880.2836,0.0000
10/24/1990,880.5221,880.5221,880.5221,880.5221,0.0000
10/25/1990,874.3547,874.3547,874.3547,874.3547,0.0000
10/26/1990,859.4988,859.4988,859.4988,859.4988,0.0000
10/29/1990,851.5086,851.5086,851.5086,851.5086,0.0000
10/30/1990,856.9944,856.9944,856.9944,856.9944,0.0000
10/31/1990,857.3692,857.3692,857.3692,857.3692,0.0000
11/01/1990,865.2402,865.2402,865.2402,865.2402,0.0000
11/02/1990,879.1761,879.1761,879.1761,879.1761,0.0000
11/05/1990,887.8818,887.8818,887.8818,887.8818,0.0000
11/06/1990,881.2547,881.2547,881.2547,881.2547,0.0000
11/07/1990,866.6883,866.6883,866.6883,866.6883,0.0000
11/08/1990,871.2712,871.2712,871.2712,871.2712,0.0000
11/09/1990,888.1204,888.1204,888.1204,888.1204,0.0000
11/12/1990,905.6681,905.6681,905.6681,905.6681,0.0000
11/13/1990,902.0734,902.0734,902.0734,902.0734,0.0000
11/14/1990,909.8081,909.8081,909.8081,909.8081,0.0000
11/15/1990,901.5111,901.5111,901.5111,901.5111,0.0000
11/16/1990,901.2045,901.2045,901.2045,901.2045,0.0000
11/19/1990,906.8948,906.8948,906.8948,906.8948,0.0000
11/20/1990,896.7750,896.7750,896.7750,896.7750,0.0000
11/21/1990,897.8654,897.8654,897.8654,897.8654,0.0000
11/23/1990,895.4632,895.4632,895.4632,895.4632,0.0000
11/26/1990,898.7683,898.7683,898.7683,898.7683,0.0000
11/27/1990,904.5778,904.5778,904.5778,904.5778,0.0000
11/28/1990,904.7652,904.7652,904.7652,904.7652,0.0000
11/29/1990,900.9490,900.9490,900.9490,900.9490,0.0000
11/30/1990,915.8901,915.8901,915.8901,915.8901,0.0000
12/03/1990,922.8922,922.8922,922.8922,922.8922,0.0000
12/04/1990,930.1839,930.1839,930.1839,930.1839,0.0000
12/05/1990,941.1384,941.1384,941.1384,941.1384,0.0000
12/06/1990,938.8214,938.8214,938.8214,938.8214,0.0000
12/07/1990,935.0904,935.0904,935.0904,935.0904,0.0000
12/10/1990,937.9696,937.9696,937.9696,937.9696,0.0000
12/11/1990,932.5349,932.5349,932.5349,932.5349,0.0000
12/12/1990,941.6665,941.6665,941.6665,941.6665,0.0000
12/13/1990,940.5422,940.5422,940.5422,940.5422,0.0000
12/14/1990,933.0289,933.0289,933.0289,933.0289,0.0000
12/17/1990,930.2521,930.2521,930.2521,930.2521,0.0000
12/18/1990,941.9732,941.9732,941.9732,941.9732,0.0000
12/19/1990,942.4503,942.4503,942.4503,942.4503,0.0000
12/20/1990,943.4043,943.4043,943.4043,943.4043,0.0000
12/21/1990,946.9309,946.9309,946.9309,946.9309,0.0000
12/24/1990,943.2169,943.2169,943.2169,943.2169,0.0000
12/26/1990,945.9086,945.9086,945.9086,945.9086,0.0000
12/27/1990,939.9118,939.9118,939.9118,939.9118,0.0000
