Date,Open,High,Low,Close,Volume
06/27/2008,1039.3940,1000.0000,995.1515,1000.0000,0.0000
06/30/2008,1044.8485,1000.8081,997.1717,1000.8081,0.0000
07/01/2008,992.5253,991.9192,964.4445,991.9192,0.0000
07/02/2008,1000.8081,977.3737,977.3737,977.3737,0.0000
07/03/2008,985.2526,980.0000,970.9092,980.0000,0.0000
07/07/2008,985.4546,977.9798,965.6566,977.9798,0.0000
07/08/2008,972.1212,979.7980,952.9293,979.7980,0.0000
07/09/2008,997.7778,968.4848,967.6768,968.4848,0.0000
07/10/2008,975.9596,966.8687,961.6162,966.8687,0.0000
07/11/2008,974.7475,962.6263,953.3333,962.6263,0.0000
07/14/2008,985.8586,959.3940,955.1515,959.3940,0.0000
07/15/2008,950.9091,944.6464,936.1616,944.6464,0.0000
07/16/2008,946.4646,964.0404,941.2122,964.0404,0.0000
07/17/2008,975.9596,976.3637,966.4647,976.3637,0.0000
07/18/2008,979.3939,975.3535,962.8283,975.3535,0.0000
07/21/2008,987.6768,978.3838,975.3535,978.3838,0.0000
07/22/2008,975.7576,983.8384,969.2929,983.8384,0.0000
07/23/2008,997.7778,991.5152,988.6868,991.5152,0.0000
07/24/2008,989.4950,969.6969,969.2929,969.6969,0.0000
07/25/2008,969.6969,973.9394,968.0808,973.9394,0.0000
07/28/2008,979.7980,958.3839,939.3940,958.3839,0.0000
07/29/2008,960.4041,967.6768,958.3839,967.6768,0.0000
07/30/2008,978.7879,983.8384,975.7576,983.8384,0.0000
07/31/2008,986.6667,973.9394,973.7374,973.9394,0.0000
08/01/2008,973.5353,968.2829,964.6465,968.2829,0.0000
08/04/2008,981.2121,954.1414,954.1414,954.1414,0.0000
08/05/2008,983.6364,977.5758,956.9697,977.5758,0.0000
08/06/2008,980.8081,984.0404,974.3434,984.0404,0.0000
08/07/2008,981.8182,961.6162,961.6162,961.6162,0.0000
08/08/2008,962.6263,974.3434,950.9091,974.3434,0.0000
08/11/2008,978.7879,980.2020,969.2929,980.2020,0.0000
08/12/2008,981.0101,966.6666,963.2324,966.6666,0.0000
08/13/2008,963.6364,955.9596,947.4748,955.9596,0.0000
08/14/2008,943.8384,960.2020,943.8384,960.2020,0.0000
08/15/2008,961.6162,959.3940,932.1212,959.3940,0.0000
08/18/2008,968.6869,943.4344,943.2323,943.4344,0.0000
08/19/2008,944.0405,935.3535,933.7374,935.3535,0.0000
08/20/2008,945.4545,943.8384,936.5657,943.8384,0.0000
08/21/2008,933.3333,951.1112,933.3333,951.1112,0.0000
08/22/2008,958.5859,956.1616,952.7273,956.1616,0.0000
08/25/2008,933.3333,938.5859,933.3333,938.5859,0.0000
08/26/2008,934.1414,943.4344,933.1313,943.4344,0.0000
08/27/2008,942.6263,944.6464,939.7980,944.6464,0.0000
08/28/2008,963.0302,964.6465,957.1717,964.6465,0.0000
08/29/2008,972.3233,955.9596,955.3535,955.9596,0.0000
09/02/2008,955.9596,929.2929,929.2929,929.2929,0.0000
09/03/2008,937.3738,932.5252,932.5252,932.5252,0.0000
09/04/2008,938.3839,898.1819,898.1819,898.1819,0.0000
09/05/2008,909.0909,892.3232,882.4243,892.3232,0.0000
09/08/2008,943.4344,917.5757,908.0808,917.5757,0.0000
09/09/2008,925.0506,894.7475,891.7172,894.7475,0.0000
09/10/2008,908.0808,902.0203,892.9293,902.0203,0.0000
09/11/2008,884.6464,901.4141,881.2121,901.4141,0.0000
09/12/2008,908.0808,911.5152,896.7677,911.5152,0.0000
09/15/2008,896.9697,874.1414,870.9091,874.1414,0.0000
09/16/2008,863.6364,888.6869,848.4849,888.6869,0.0000
09/17/2008,876.5657,840.6061,840.0000,840.6061,0.0000
09/18/2008,828.4848,884.8485,724.2424,884.8485,0.0000
09/19/2008,937.5758,937.5758,909.6970,937.5758,0.0000
09/22/2008,937.3738,903.6363,897.7777,903.6363,0.0000
09/23/2008,916.5657,909.4949,888.8889,909.4949,0.0000
09/24/2008,949.4949,880.8080,875.7576,880.8080,0.0000
09/25/2008,906.0606,905.8586,886.2626,905.8586,0.0000
09/26/2008,883.8384,914.5455,883.8384,914.5455,0.0000
09/29/2008,902.0203,856.5657,803.2323,856.5657,0.0000
09/30/2008,866.6667,868.8888,839.7980,868.8888,0.0000
10/01/2008,840.2021,856.1617,840.2021,856.1617,0.0000
10/02/2008,852.3232,810.1010,810.1010,810.1010,0.0000
10/03/2008,840.4040,803.0303,803.0303,803.0303,0.0000
10/06/2008,800.0000,764.6465,733.9394,764.6465,0.0000
10/07/2008,792.3232,729.4950,727.2728,729.4950,0.0000
10/08/2008,736.5657,718.1818,703.2323,718.1818,0.0000
10/09/2008,728.2828,683.8384,657.1717,683.8384,0.0000
10/10/2008,656.5657,662.2222,623.6364,662.2222,0.0000
10/13/2008,772.7273,751.3131,692.3232,751.3131,0.0000
10/14/2008,797.3738,767.2727,721.0101,767.2727,0.0000
10/15/2008,721.0101,674.1414,660.8081,674.1414,0.0000
10/16/2008,668.6868,690.1010,626.2626,690.1010,0.0000
10/17/2008,681.4142,683.4344,667.6768,683.4344,0.0000
10/20/2008,690.9091,731.3132,681.8182,731.3132,0.0000
10/21/2008,723.2323,686.0606,683.4344,686.0606,0.0000
10/22/2008,668.2829,635.7576,626.0606,635.7576,0.0000
10/23/2008,646.4647,634.3434,615.1515,634.3434,0.0000
10/24/2008,605.6565,629.6970,585.8586,629.6970,0.0000
10/27/2008,603.4344,594.5455,591.9192,594.5455,0.0000
10/28/2008,626.0606,630.3031,595.3535,630.3031,0.0000
10/29/2008,630.1010,676.7677,630.1010,676.7677,0.0000
10/30/2008,697.9798,682.6263,660.6061,682.6263,0.0000
10/31/2008,661.0101,682.6263,659.3940,682.6263,0.0000
11/03/2008,700.0001,683.0303,665.8586,683.0303,0.0000
11/04/2008,700.8081,719.7980,697.9798,719.7980,0.0000
11/05/2008,727.0707,682.0202,681.8182,682.0202,0.0000
11/06/2008,649.4950,641.8182,640.8081,641.8182,0.0000
11/07/2008,649.8990,673.1313,649.8990,673.1313,0.0000
11/10/2008,692.5252,666.8687,656.5657,666.8687,0.0000
11/11/2008,646.4647,640.4041,633.3333,640.4041,0.0000
11/12/2008,628.4849,611.1111,608.2829,611.1111,0.0000
11/13/2008,606.0606,656.7676,592.5253,656.7676,0.0000
11/14/2008,656.5657,617.5757,617.5757,617.5757,0.0000
11/17/2008,630.3031,612.3232,585.8586,612.3232,0.0000
11/18/2008,612.9293,616.7677,594.1414,616.7677,0.0000
11/19/2008,611.7172,575.9596,575.7576,575.9596,0.0000
11/20/2008,572.7273,537.7778,537.3738,537.7778,0.0000
11/21/2008,565.8586,580.0000,538.3839,580.0000,0.0000
11/24/2008,595.3535,610.1011,585.8586,610.1011,0.0000
11/25/2008,635.7576,616.3637,602.4243,616.3637,0.0000
11/26/2008,598.7879,631.3131,598.7879,631.3131,0.0000
11/28/2008,635.9596,636.1616,629.2929,636.1616,0.0000
12/01/2008,624.6465,583.8384,583.2323,583.8384,0.0000
12/02/2008,608.4849,611.7172,589.8990,611.7172,0.0000
12/03/2008,604.2424,624.0404,591.9192,624.0404,0.0000
12/04/2008,616.5657,600.8081,590.7071,600.8081,0.0000
12/05/2008,597.1717,620.0000,580.8081,620.0000,0.0000
12/08/2008,643.2323,645.6566,632.5252,645.6566,0.0000
12/09/2008,642.6263,636.3637,631.7172,636.3637,0.0000
12/10/2008,633.7374,649.2930,633.7374,649.2930,0.0000
12/11/2008,649.4950,639.5960,635.1515,639.5960,0.0000
12/12/2008,636.5657,645.4546,622.2222,645.4546,0.0000
12/15/2008,656.7676,640.4041,629.6970,640.4041,0.0000
12/16/2008,664.0404,675.3536,639.7980,675.3536,0.0000
12/17/2008,669.2929,672.1212,661.6162,672.1212,0.0000
12/18/2008,686.6667,651.3132,644.8485,651.3132,0.0000
12/19/2008,664.6465,648.8889,643.4343,648.8889,0.0000
12/22/2008,679.7980,641.8182,631.5151,641.8182,0.0000
12/23/2008,665.4545,635.9596,632.3232,635.9596,0.0000
12/24/2008,628.4974,640.0872,628.4974,640.0872,0.0000
12/26/2008,650.6605,645.5772,640.2906,645.5772,0.0000
12/29/2008,641.5106,645.1706,637.6473,645.1706,0.0000
12/30/2008,649.8471,662.0471,641.9172,662.0471,0.0000
12/31/2008,664.8937,670.5869,655.9471,670.5869,0.0000
01/02/2009,670.5869,688.6834,668.1470,688.6834,0.0000
01/05/2009,706.5767,690.7168,676.0769,690.7168,0.0000
01/06/2009,682.9902,688.2768,680.9569,688.2768,0.0000
01/07/2009,688.2768,673.0269,666.7237,673.0269,0.0000
01/08/2009,671.1970,670.7903,664.8937,670.7903,0.0000
01/09/2009,667.1304,654.5238,654.5238,654.5238,0.0000
01/12/2009,656.7604,637.8507,633.7840,637.8507,0.0000
01/13/2009,637.8507,632.3607,629.7174,632.3607,0.0000
01/14/2009,629.9207,610.1975,606.9443,610.1975,0.0000
01/15/2009,615.8908,617.3141,595.7610,617.3141,0.0000
01/16/2009,645.5772,624.8374,609.7909,624.8374,0.0000
01/20/2009,650.4572,578.8845,576.8512,578.8845,0.0000
01/21/2009,584.7811,609.9942,578.8845,609.9942,0.0000
