Date,Open,High,Low,Close,Volume
10/17/2012,1.00000E+003,1.00020E+003,9.99398E+002,1.00000E+003,0.00000E+000
10/18/2012,1.00060E+003,1.00060E+003,9.99198E+002,9.99398E+002,0.00000E+000
10/19/2012,1.00060E+003,1.00160E+003,1.00040E+003,1.00100E+003,0.00000E+000
10/22/2012,1.00060E+003,1.00060E+003,1.00020E+003,1.00040E+003,0.00000E+000
10/23/2012,1.00060E+003,1.00060E+003,1.00040E+003,1.00060E+003,0.00000E+000
10/24/2012,1.00060E+003,1.00060E+003,1.00020E+003,1.00040E+003,0.00000E+000
10/25/2012,9.99198E+002,9.99198E+002,9.98998E+002,9.99198E+002,0.00000E+000
10/26/2012,1.00020E+003,1.00020E+003,9.99799E+002,1.00000E+003,0.00000E+000
10/31/2012,1.00040E+003,1.00060E+003,1.00000E+003,1.00060E+003,0.00000E+000
11/01/2012,1.00140E+003,1.00160E+003,1.00080E+003,1.00160E+003,0.00000E+000
11/02/2012,1.00160E+003,1.00160E+003,1.00140E+003,1.00160E+003,0.00000E+000
11/05/2012,1.00160E+003,1.00160E+003,1.00120E+003,1.00160E+003,0.00000E+000
11/06/2012,1.00221E+003,1.00221E+003,1.00180E+003,1.00200E+003,0.00000E+000
11/07/2012,1.00241E+003,1.00241E+003,1.00200E+003,1.00221E+003,0.00000E+000
11/08/2012,1.00221E+003,1.00241E+003,1.00221E+003,1.00221E+003,0.00000E+000
11/09/2012,1.00221E+003,1.00221E+003,1.00200E+003,1.00221E+003,0.00000E+000
11/12/2012,1.00221E+003,1.00241E+003,1.00180E+003,1.00241E+003,0.00000E+000
11/13/2012,1.00241E+003,1.00241E+003,1.00160E+003,1.00221E+003,0.00000E+000
11/14/2012,1.00180E+003,1.00180E+003,1.00140E+003,1.00180E+003,0.00000E+000
11/15/2012,1.00200E+003,1.00200E+003,1.00180E+003,1.00180E+003,0.00000E+000
11/16/2012,1.00200E+003,1.00241E+003,1.00180E+003,1.00241E+003,0.00000E+000
11/19/2012,1.00241E+003,1.00261E+003,1.00221E+003,1.00241E+003,0.00000E+000
11/20/2012,1.00241E+003,1.00241E+003,1.00200E+003,1.00221E+003,0.00000E+000
11/21/2012,1.00241E+003,1.00241E+003,1.00200E+003,1.00241E+003,0.00000E+000
11/23/2012,1.00481E+003,1.00481E+003,1.00241E+003,1.00281E+003,0.00000E+000
11/26/2012,1.00341E+003,1.00341E+003,1.00301E+003,1.00321E+003,0.00000E+000
11/27/2012,1.00361E+003,1.00361E+003,1.00301E+003,1.00341E+003,0.00000E+000
11/28/2012,1.00401E+003,1.00401E+003,1.00281E+003,1.00341E+003,0.00000E+000
11/29/2012,1.00341E+003,1.00441E+003,1.00301E+003,1.00441E+003,0.00000E+000
11/30/2012,1.00441E+003,1.00521E+003,1.00381E+003,1.00521E+003,0.00000E+000
12/03/2012,1.00241E+003,1.00541E+003,1.00241E+003,1.00541E+003,0.00000E+000
12/04/2012,1.00601E+003,1.00601E+003,1.00521E+003,1.00541E+003,0.00000E+000
12/05/2012,1.00421E+003,1.00642E+003,1.00421E+003,1.00642E+003,0.00000E+000
12/06/2012,1.00621E+003,1.00621E+003,1.00541E+003,1.00621E+003,0.00000E+000
12/07/2012,1.00662E+003,1.00662E+003,1.00581E+003,1.00662E+003,0.00000E+000
12/10/2012,1.00682E+003,1.00682E+003,1.00601E+003,1.00621E+003,0.00000E+000
12/11/2012,1.00621E+003,1.00621E+003,1.00561E+003,1.00581E+003,0.00000E+000
12/12/2012,1.00642E+003,1.00682E+003,1.00601E+003,1.00662E+003,0.00000E+000
