Date,Open,High,Low,Close,Volume
01/30/2004,998.9911,1000.0000,998.7893,1000.0000,0.0000
02/02/2004,1002.8248,1001.8159,1001.8159,1001.8159,0.0000
02/03/2004,1005.2461,1006.2550,1002.8248,1006.2550,0.0000
02/04/2004,998.7893,997.9821,995.7626,997.9821,0.0000
02/05/2004,995.3592,998.7893,995.3592,998.7893,0.0000
02/06/2004,1001.8159,1011.2994,1001.8159,1011.2994,0.0000
02/09/2004,1012.7117,1010.6941,1010.6941,1010.6941,0.0000
02/10/2004,1014.9314,1014.9314,1014.3261,1014.9314,0.0000
02/11/2004,1014.7296,1024.0113,1013.1154,1024.0113,0.0000
02/12/2004,1024.0113,1024.0113,1024.0113,1024.0113,0.0000
02/13/2004,1023.0023,1012.7117,1012.7117,1012.7117,0.0000
02/17/2004,1019.7740,1024.0113,1019.5721,1024.0113,0.0000
02/18/2004,1019.7740,1019.5721,1019.5721,1019.5721,0.0000
02/19/2004,1024.4148,1022.5988,1022.5988,1022.5988,0.0000
02/20/2004,1014.9314,1005.8514,1004.8425,1005.8514,0.0000
02/23/2004,1008.8781,1002.4212,1002.4212,1002.4212,0.0000
02/24/2004,1000.4035,1005.2461,1000.4035,1005.2461,0.0000
02/25/2004,1007.2638,1007.2638,1007.2638,1007.2638,0.0000
02/26/2004,1008.4745,1008.6763,1008.4745,1008.6763,0.0000
02/27/2004,1007.2638,1009.6852,1007.2638,1009.6852,0.0000
03/01/2004,1016.9491,1016.1420,1010.8958,1016.1420,0.0000
03/02/2004,1018.5633,1018.9668,1017.5544,1018.9668,0.0000
03/03/2004,1006.8604,1007.6674,1006.8604,1007.6674,0.0000
03/04/2004,1013.1154,1015.5367,1013.1154,1015.5367,0.0000
03/05/2004,1016.5456,1016.7473,1014.3261,1016.7473,0.0000
03/08/2004,1016.7473,1016.7473,1016.7473,1016.7473,0.0000
03/09/2004,1004.8425,996.1662,996.1662,996.1662,0.0000
03/10/2004,996.7715,987.8934,987.8934,987.8934,0.0000
03/11/2004,983.4544,979.6206,979.6206,979.6206,0.0000
03/12/2004,982.6472,982.0418,979.6206,982.0418,0.0000
03/15/2004,975.9886,976.7957,974.5762,976.7957,0.0000
03/16/2004,979.0153,979.0153,979.0153,979.0153,0.0000
03/17/2004,985.2703,989.7094,984.0597,989.7094,0.0000
03/18/2004,980.8312,985.8756,979.2170,985.8756,0.0000
03/19/2004,982.0418,975.7869,975.7869,975.7869,0.0000
03/22/2004,968.5229,958.0306,957.8289,958.0306,0.0000
03/23/2004,965.2946,963.0750,960.6537,963.0750,0.0000
03/24/2004,963.0750,963.0750,963.0750,963.0750,0.0000
03/25/2004,969.3301,967.9176,967.9176,967.9176,0.0000
03/26/2004,978.4100,976.3922,976.3922,976.3922,0.0000
03/29/2004,983.0632,992.1600,983.0632,992.1600,0.0000
03/30/2004,991.1492,988.5213,988.5213,988.5213,0.0000
03/31/2004,993.5751,993.9793,989.7342,993.9793,0.0000
04/01/2004,992.3622,995.7987,992.3622,995.7987,0.0000
04/02/2004,1012.7794,1009.7472,1007.5235,1009.7472,0.0000
04/05/2004,1013.7902,1016.2160,1013.3859,1016.2160,0.0000
04/06/2004,1011.7687,1015.6096,1011.7687,1015.6096,0.0000
04/07/2004,1008.9386,1011.7687,1008.1300,1011.7687,0.0000
04/08/2004,1011.7687,1006.7149,1005.7042,1006.7149,0.0000
04/12/2004,1013.7902,1012.3752,1012.3752,1012.3752,0.0000
04/13/2004,1010.9601,1003.4805,1003.4805,1003.4805,0.0000
04/14/2004,998.6289,999.4374,998.6289,999.4374,0.0000
