Date,Open,High,Low,Close,Volume
01/02/2008,100.0000,100.0000,100.000,100.0000,100
01/03/2008,102.1145,102.1145,102.115,102.1145,100
01/04/2008,98.8335,98.8335,98.833,98.8335,100
01/07/2008,104.0058,104.0058,104.006,104.0058,100
01/08/2008,102.6719,102.6719,102.672,102.6719,100
01/09/2008,111.0973,111.0973,111.097,111.0973,100
01/10/2008,105.9830,105.9830,105.983,105.9830,100
01/11/2008,103.2127,103.2127,103.213,103.2127,100
01/14/2008,104.7533,104.7533,104.753,104.7533,100
01/15/2008,101.1535,101.1535,101.153,101.1535,100
01/16/2008,103.5095,103.5095,103.509,103.5095,100
01/17/2008,105.9654,105.9654,105.965,105.9654,100
01/18/2008,119.8868,119.8868,119.887,119.8868,100
01/22/2008,116.0609,116.0609,116.061,116.0609,100
01/23/2008,128.1060,128.1060,128.106,128.1060,100
01/24/2008,121.4039,121.4039,121.404,121.4039,100
01/25/2008,118.1569,118.1569,118.157,118.1569,100
01/28/2008,123.1107,123.1107,123.111,123.1107,100
01/29/2008,118.3766,118.3766,118.377,118.3766,100
01/30/2008,116.7572,116.7572,116.757,116.7572,100
01/31/2008,118.4618,118.4618,118.462,118.4618,100
02/01/2008,113.6111,113.6111,113.611,113.6111,100
02/04/2008,106.1656,106.1656,106.166,106.1656,100
02/05/2008,113.4796,113.4796,113.480,113.4796,100
02/06/2008,122.2612,122.2612,122.261,122.2612,100
02/07/2008,125.3683,125.3683,125.368,125.3683,100
02/08/2008,120.5475,120.5475,120.548,120.5475,100
02/11/2008,122.1101,122.1101,122.110,122.1101,100
02/12/2008,120.4105,120.4105,120.411,120.4105,100
02/13/2008,116.2353,116.2353,116.235,116.2353,100
02/14/2008,111.0237,111.0237,111.024,111.0237,100
02/15/2008,112.9838,112.9838,112.984,112.9838,100
02/19/2008,111.6137,111.6137,111.614,111.6137,100
02/20/2008,113.0721,113.0721,113.072,113.0721,100
02/21/2008,108.5390,108.5390,108.539,108.5390,100
02/22/2008,111.1116,111.1116,111.112,111.1116,100
02/25/2008,107.1024,107.1024,107.102,107.1024,100
02/26/2008,103.5666,103.5666,103.567,103.5666,100
02/27/2008,99.0480,99.0480,99.048,99.0480,100
02/28/2008,102.0383,102.0383,102.038,102.0383,100
02/29/2008,105.2098,105.2098,105.210,105.2098,100
03/03/2008,116.7136,116.7136,116.714,116.7136,100
03/04/2008,115.4891,115.4891,115.489,115.4891,100
03/05/2008,113.0157,113.0157,113.016,113.0157,100
03/06/2008,109.0833,109.0833,109.083,109.0833,100
03/07/2008,120.4630,120.4630,120.463,120.4630,100
03/10/2008,120.6061,120.6061,120.606,120.6061,100
03/11/2008,127.7275,127.7275,127.727,127.7275,100
03/12/2008,116.0029,116.0029,116.003,116.0029,100
03/13/2008,120.6685,120.6685,120.668,120.6685,100
03/14/2008,120.4763,120.4763,120.476,120.4763,100
03/17/2008,134.3802,134.3802,134.380,134.3802,100
03/18/2008,137.6473,137.6473,137.647,137.6473,100
03/19/2008,115.0440,115.0440,115.044,115.0440,100
03/20/2008,130.6153,130.6153,130.615,130.6153,100
03/24/2008,119.8378,119.8378,119.838,119.8378,100
03/25/2008,114.9920,114.9920,114.992,114.9920,100
03/26/2008,115.3786,115.3786,115.379,115.3786,100
03/27/2008,117.0948,117.0948,117.095,117.0948,100
03/28/2008,115.9207,115.9207,115.921,115.9207,100
03/31/2008,115.3878,115.3878,115.388,115.3878,100
04/01/2008,113.9390,113.9390,113.939,113.9390,100
04/02/2008,102.5976,102.5976,102.598,102.5976,100
04/03/2008,105.7345,105.7345,105.734,105.7345,100
04/04/2008,104.7401,104.7401,104.740,104.7401,100
04/07/2008,101.5733,101.5733,101.573,101.5733,100
04/08/2008,100.7902,100.7902,100.790,100.7902,100
04/09/2008,100.2986,100.2986,100.299,100.2986,100
04/10/2008,102.2615,102.2615,102.261,102.2615,100
04/11/2008,99.1433,99.1433,99.143,99.1433,100
04/14/2008,104.9325,104.9325,104.932,104.9325,100
04/15/2008,106.1871,106.1871,106.187,106.1871,100
04/16/2008,102.1459,102.1459,102.146,102.1459,100
04/17/2008,92.7957,92.7957,92.796,92.7957,100
04/18/2008,92.1192,92.1192,92.119,92.1192,100
04/21/2008,90.6568,90.6568,90.657,90.6568,100
04/22/2008,91.6313,91.6313,91.631,91.6313,100
04/23/2008,93.0770,93.0770,93.077,93.0770,100
04/24/2008,91.0017,91.0017,91.002,91.0017,100
04/25/2008,89.6028,89.6028,89.603,89.6028,100
04/28/2008,87.1651,87.1651,87.165,87.1651,100
04/29/2008,86.8418,86.8418,86.842,86.8418,100
04/30/2008,88.9870,88.9870,88.987,88.9870,100
05/01/2008,91.0664,91.0664,91.066,91.0664,100
05/02/2008,83.4951,83.4951,83.495,83.4951,100
05/05/2008,81.1623,81.1623,81.162,81.1623,100
05/06/2008,83.7133,83.7133,83.713,83.7133,100
05/07/2008,81.3529,81.3529,81.353,81.3529,100
05/08/2008,87.2029,87.2029,87.203,87.2029,100
05/09/2008,86.0991,86.0991,86.099,86.0991,100
05/12/2008,85.9501,85.9501,85.950,85.9501,100
05/13/2008,80.6193,80.6193,80.619,80.6193,100
05/14/2008,80.7380,80.7380,80.738,80.7380,100
05/15/2008,79.4703,79.4703,79.470,79.4703,100
05/16/2008,74.5501,74.5501,74.550,74.5501,100
05/19/2008,75.2227,75.2227,75.223,75.2227,100
05/20/2008,76.8069,76.8069,76.807,76.8069,100
05/21/2008,79.6728,79.6728,79.673,79.6728,100
05/22/2008,84.1862,84.1862,84.186,84.1862,100
05/23/2008,81.5577,81.5577,81.558,81.5577,100
05/27/2008,86.7580,86.7580,86.758,86.7580,100
05/28/2008,86.1676,86.1676,86.168,86.1676,100
05/29/2008,83.6922,83.6922,83.692,83.6922,100
05/30/2008,79.6997,79.6997,79.700,79.6997,100
06/02/2008,78.2475,78.2475,78.247,78.2475,100
06/03/2008,84.9467,84.9467,84.947,84.9467,100
06/04/2008,86.4208,86.4208,86.421,86.4208,100
06/05/2008,88.4133,88.4133,88.413,88.4133,100
06/06/2008,80.4454,80.4454,80.445,80.4454,100
06/09/2008,97.4452,97.4452,97.445,97.4452,100
06/10/2008,95.7200,95.7200,95.720,95.7200,100
06/11/2008,95.7578,95.7578,95.758,95.7578,100
06/12/2008,98.7124,98.7124,98.712,98.7124,100
06/13/2008,95.7317,95.7317,95.732,95.7317,100
06/16/2008,88.8411,88.8411,88.841,88.8411,100
06/17/2008,87.8056,87.8056,87.806,87.8056,100
06/18/2008,88.1963,88.1963,88.196,88.1963,100
06/19/2008,92.5412,92.5412,92.541,92.5412,100
