Date,Open,High,Low,Close,Volume
09/12/1989,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
09/13/1989,991.9711,991.9711,991.9711,991.9711,0.0000
09/14/1989,980.4259,980.4259,980.4259,980.4259,0.0000
09/15/1989,986.0884,986.0884,986.0884,986.0884,0.0000
09/18/1989,994.8933,994.8933,994.8933,994.8933,0.0000
09/19/1989,990.2727,990.2727,990.2727,990.2727,0.0000
09/20/1989,989.3061,989.3061,989.3061,989.3061,0.0000
09/21/1989,988.2848,988.2848,988.2848,988.2848,0.0000
09/22/1989,992.6421,992.6421,992.6421,992.6421,0.0000
09/25/1989,981.3068,981.3068,981.3068,981.3068,0.0000
09/26/1989,973.7983,973.7983,973.7983,973.7983,0.0000
09/27/1989,974.4057,974.4057,974.4057,974.4057,0.0000
09/28/1989,979.6883,979.6883,979.6883,979.6883,0.0000
09/29/1989,983.0598,983.0598,983.0598,983.0598,0.0000
10/02/1989,990.5048,990.5048,990.5048,990.5048,0.0000
10/03/1989,1000.9637,1000.9637,1000.9637,1000.9637,0.0000
10/04/1989,1007.2307,1007.2307,1007.2307,1007.2307,0.0000
10/05/1989,1007.6845,1007.6845,1007.6845,1007.6845,0.0000
10/06/1989,1022.3706,1022.3706,1022.3706,1022.3706,0.0000
10/09/1989,1026.9793,1026.9793,1026.9793,1026.9793,0.0000
10/10/1989,1024.4931,1024.4931,1024.4931,1024.4931,0.0000
10/11/1989,1020.7979,1020.7979,1020.7979,1020.7979,0.0000
10/12/1989,1018.4478,1018.4478,1018.4478,1018.4478,0.0000
10/13/1989,954.9647,954.9647,954.9647,954.9647,0.0000
10/16/1989,987.0417,987.0417,987.0417,987.0417,0.0000
10/17/1989,986.6826,986.6826,986.6826,986.6826,0.0000
10/18/1989,988.5050,988.5050,988.5050,988.5050,0.0000
10/19/1989,998.9254,998.9254,998.9254,998.9254,0.0000
10/20/1989,1001.1426,1001.1426,1001.1426,1001.1426,0.0000
10/23/1989,989.5042,989.5042,989.5042,989.5042,0.0000
10/24/1989,983.1012,983.1012,983.1012,983.1012,0.0000
10/25/1989,984.4359,984.4359,984.4359,984.4359,0.0000
10/26/1989,968.4890,968.4890,968.4890,968.4890,0.0000
10/27/1989,971.4466,971.4466,971.4466,971.4466,0.0000
10/30/1989,970.7844,970.7844,970.7844,970.7844,0.0000
10/31/1989,989.0873,989.0873,989.0873,989.0873,0.0000
11/01/1989,988.7001,988.7001,988.7001,988.7001,0.0000
11/02/1989,982.4937,982.4937,982.4937,982.4937,0.0000
11/03/1989,982.2454,982.2454,982.2454,982.2454,0.0000
11/06/1989,968.8585,968.8585,968.8585,968.8585,0.0000
11/07/1989,973.7376,973.7376,973.7376,973.7376,0.0000
11/08/1989,976.9421,976.9421,976.9421,976.9421,0.0000
11/09/1989,965.6185,965.6185,965.6185,965.6185,0.0000
11/10/1989,972.2728,972.2728,972.2728,972.2728,0.0000
11/13/1989,976.2119,976.2119,976.2119,976.2119,0.0000
11/14/1989,978.5916,978.5916,978.5916,978.5916,0.0000
11/15/1989,985.7499,985.7499,985.7499,985.7499,0.0000
11/16/1989,984.8986,984.8986,984.8986,984.8986,0.0000
11/17/1989,990.9276,990.9276,990.9276,990.9276,0.0000
11/20/1989,983.8225,983.8225,983.8225,983.8225,0.0000
11/21/1989,987.6536,987.6536,987.6536,987.6536,0.0000
11/22/1989,996.5605,996.5605,996.5605,996.5605,0.0000
11/24/1989,1002.0722,1002.0722,1002.0722,1002.0722,0.0000
11/27/1989,1015.6217,1015.6217,1015.6217,1015.6217,0.0000
11/28/1989,1023.9078,1023.9078,1023.9078,1023.9078,0.0000
11/29/1989,1014.2398,1014.2398,1014.2398,1014.2398,0.0000
11/30/1989,1023.9374,1023.9374,1023.9374,1023.9374,0.0000
12/01/1989,1044.1130,1044.1130,1044.1130,1044.1130,0.0000
12/04/1989,1050.6255,1050.6255,1050.6255,1050.6255,0.0000
12/05/1989,1046.7810,1046.7810,1046.7810,1046.7810,0.0000
12/06/1989,1053.1056,1053.1056,1053.1056,1053.1056,0.0000
12/07/1989,1048.4911,1048.4911,1048.4911,1048.4911,0.0000
12/08/1989,1058.7681,1058.7681,1058.7681,1058.7681,0.0000
12/11/1989,1069.2551,1069.2551,1069.2551,1069.2551,0.0000
12/12/1989,1103.0468,1103.0468,1103.0468,1103.0468,0.0000
12/13/1989,1096.4014,1096.4014,1096.4014,1096.4014,0.0000
12/14/1989,1081.7152,1081.7152,1081.7152,1081.7152,0.0000
12/15/1989,1081.3782,1081.3782,1081.3782,1081.3782,0.0000
12/18/1989,1071.5889,1071.5889,1071.5889,1071.5889,0.0000
12/19/1989,1071.5091,1071.5091,1071.5091,1071.5091,0.0000
12/20/1989,1080.0316,1080.0316,1080.0316,1080.0316,0.0000
12/21/1989,1083.7904,1083.7904,1083.7904,1083.7904,0.0000
12/22/1989,1084.2043,1084.2043,1084.2043,1084.2043,0.0000
12/26/1989,1084.8103,1084.8103,1084.8103,1084.8103,0.0000
12/27/1989,1087.2063,1087.2063,1087.2063,1087.2063,0.0000
12/28/1989,1085.9115,1085.9115,1085.9115,1085.9115,0.0000
12/29/1989,1092.8850,1092.8850,1092.8850,1092.8850,0.0000
01/02/1990,1097.7567,1097.7567,1097.7567,1097.7567,0.0000
01/03/1990,1082.3390,1082.3390,1082.3390,1082.3390,0.0000
01/04/1990,1069.7902,1069.7902,1069.7902,1069.7902,0.0000
01/05/1990,1059.1982,1059.1982,1059.1982,1059.1982,0.0000
01/08/1990,1069.4369,1069.4369,1069.4369,1069.4369,0.0000
01/09/1990,1057.1320,1057.1320,1057.1320,1057.1320,0.0000
01/10/1990,1054.9577,1054.9577,1054.9577,1054.9577,0.0000
01/11/1990,1063.8852,1063.8852,1063.8852,1063.8852,0.0000
01/12/1990,1041.4259,1041.4259,1041.4259,1041.4259,0.0000
01/15/1990,1039.4172,1039.4172,1039.4172,1039.4172,0.0000
01/16/1990,1043.7761,1043.7761,1043.7761,1043.7761,0.0000
01/17/1990,1031.9514,1031.9514,1031.9514,1031.9514,0.0000
01/18/1990,1039.2384,1039.2384,1039.2384,1039.2384,0.0000
01/19/1990,1052.3739,1052.3739,1052.3739,1052.3739,0.0000
01/22/1990,1020.6103,1020.6103,1020.6103,1020.6103,0.0000
01/23/1990,1025.8796,1025.8796,1025.8796,1025.8796,0.0000
01/24/1990,1025.9682,1025.9682,1025.9682,1025.9682,0.0000
01/25/1990,1018.4241,1018.4241,1018.4241,1018.4241,0.0000
01/26/1990,1024.6513,1024.6513,1024.6513,1024.6513,0.0000
01/29/1990,1033.1576,1033.1576,1033.1576,1033.1576,0.0000
01/30/1990,1037.1040,1037.1040,1037.1040,1037.1040,0.0000
01/31/1990,1053.9216,1053.9216,1053.9216,1053.9216,0.0000
02/01/1990,1054.7936,1054.7936,1054.7936,1054.7936,0.0000
02/02/1990,1063.3679,1063.3679,1063.3679,1063.3679,0.0000
02/05/1990,1066.4852,1066.4852,1066.4852,1066.4852,0.0000
02/06/1990,1062.6259,1062.6259,1062.6259,1062.6259,0.0000
