Date,Open,High,Low,Close,Volume
09/12/1989,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
09/13/1989,9.90180E+002,9.90180E+002,9.90180E+002,9.90180E+002,0.00000E+000
09/14/1989,9.83152E+002,9.83152E+002,9.83152E+002,9.83152E+002,0.00000E+000
09/15/1989,9.90170E+002,9.90170E+002,9.90170E+002,9.90170E+002,0.00000E+000
09/18/1989,9.93596E+002,9.93596E+002,9.93596E+002,9.93596E+002,0.00000E+000
09/19/1989,9.92678E+002,9.92678E+002,9.92678E+002,9.92678E+002,0.00000E+000
09/20/1989,9.90964E+002,9.90964E+002,9.90964E+002,9.90964E+002,0.00000E+000
09/21/1989,9.88767E+002,9.88767E+002,9.88767E+002,9.88767E+002,0.00000E+000
09/22/1989,9.89687E+002,9.89687E+002,9.89687E+002,9.89687E+002,0.00000E+000
09/25/1989,9.81808E+002,9.81808E+002,9.81808E+002,9.81808E+002,0.00000E+000
09/26/1989,9.81213E+002,9.81213E+002,9.81213E+002,9.81213E+002,0.00000E+000
09/27/1989,9.86126E+002,9.86126E+002,9.86126E+002,9.86126E+002,0.00000E+000
09/28/1989,9.96576E+002,9.96576E+002,9.96576E+002,9.96576E+002,0.00000E+000
09/29/1989,9.96189E+002,9.96189E+002,9.96189E+002,9.96189E+002,0.00000E+000
10/02/1989,1.00295E+003,1.00295E+003,1.00295E+003,1.00295E+003,0.00000E+000
10/03/1989,1.01403E+003,1.01403E+003,1.01403E+003,1.01403E+003,0.00000E+000
10/04/1989,1.01860E+003,1.01860E+003,1.01860E+003,1.01860E+003,0.00000E+000
10/05/1989,1.02074E+003,1.02074E+003,1.02074E+003,1.02074E+003,0.00000E+000
10/06/1989,1.02323E+003,1.02323E+003,1.02323E+003,1.02323E+003,0.00000E+000
10/09/1989,1.02443E+003,1.02443E+003,1.02443E+003,1.02443E+003,0.00000E+000
10/10/1989,1.02425E+003,1.02425E+003,1.02425E+003,1.02425E+003,0.00000E+000
10/11/1989,1.01791E+003,1.01791E+003,1.01791E+003,1.01791E+003,0.00000E+000
10/12/1989,1.01452E+003,1.01452E+003,1.01452E+003,1.01452E+003,0.00000E+000
10/13/1989,9.52078E+002,9.52078E+002,9.52078E+002,9.52078E+002,0.00000E+000
10/16/1989,9.68886E+002,9.68886E+002,9.68886E+002,9.68886E+002,0.00000E+000
10/17/1989,9.59587E+002,9.59587E+002,9.59587E+002,9.59587E+002,0.00000E+000
10/18/1989,9.58796E+002,9.58796E+002,9.58796E+002,9.58796E+002,0.00000E+000
10/19/1989,9.70777E+002,9.70777E+002,9.70777E+002,9.70777E+002,0.00000E+000
10/20/1989,9.69727E+002,9.69727E+002,9.69727E+002,9.69727E+002,0.00000E+000
10/23/1989,9.63239E+002,9.63239E+002,9.63239E+002,9.63239E+002,0.00000E+000
10/24/1989,9.59322E+002,9.59322E+002,9.59322E+002,9.59322E+002,0.00000E+000
10/25/1989,9.52194E+002,9.52194E+002,9.52194E+002,9.52194E+002,0.00000E+000
10/26/1989,9.39734E+002,9.39734E+002,9.39734E+002,9.39734E+002,0.00000E+000
10/27/1989,9.28793E+002,9.28793E+002,9.28793E+002,9.28793E+002,0.00000E+000
10/30/1989,9.30755E+002,9.30755E+002,9.30755E+002,9.30755E+002,0.00000E+000
10/31/1989,9.45552E+002,9.45552E+002,9.45552E+002,9.45552E+002,0.00000E+000
11/01/1989,9.46382E+002,9.46382E+002,9.46382E+002,9.46382E+002,0.00000E+000
11/02/1989,9.38334E+002,9.38334E+002,9.38334E+002,9.38334E+002,0.00000E+000
11/03/1989,9.36214E+002,9.36214E+002,9.36214E+002,9.36214E+002,0.00000E+000
11/06/1989,9.22477E+002,9.22477E+002,9.22477E+002,9.22477E+002,0.00000E+000
11/07/1989,9.25253E+002,9.25253E+002,9.25253E+002,9.25253E+002,0.00000E+000
11/08/1989,9.36659E+002,9.36659E+002,9.36659E+002,9.36659E+002,0.00000E+000
