Date,Open,High,Low,Close,Volume
10/09/2001,100.0000,100.0000,100.000,100.0000,100
10/10/2001,99.1870,99.1870,99.187,99.1870,100
10/11/2001,99.7398,99.7398,99.740,99.7398,100
10/12/2001,99.4797,99.4797,99.480,99.4797,100
10/15/2001,100.0000,100.0000,100.000,100.0000,100
10/16/2001,98.3740,98.3740,98.374,98.3740,100
10/17/2001,97.2358,97.2358,97.236,97.2358,100
10/18/2001,96.7805,96.7805,96.780,96.7805,100
10/19/2001,94.2764,94.2764,94.276,94.2764,100
10/22/2001,91.8374,91.8374,91.837,91.8374,100
10/23/2001,91.3496,91.3496,91.350,91.3496,100
10/24/2001,88.2276,88.2276,88.228,88.2276,100
10/25/2001,89.0406,89.0406,89.041,89.0406,100
10/26/2001,88.5854,88.5854,88.585,88.5854,100
10/29/2001,90.5691,90.5691,90.569,90.5691,100
10/30/2001,91.9024,91.9024,91.902,91.9024,100
10/31/2001,92.6829,92.6829,92.683,92.6829,100
11/01/2001,94.1463,94.1463,94.146,94.1463,100
11/02/2001,91.6748,91.6748,91.675,91.6748,100
11/05/2001,92.7154,92.7154,92.715,92.7154,100
11/06/2001,94.9594,94.9594,94.959,94.9594,100
11/07/2001,94.5691,94.5691,94.569,94.5691,100
11/08/2001,94.3089,94.3089,94.309,94.3089,100
11/09/2001,93.0732,93.0732,93.073,93.0732,100
11/12/2001,94.0488,94.0488,94.049,94.0488,100
11/13/2001,95.3171,95.3171,95.317,95.3171,100
11/14/2001,95.8049,95.8049,95.805,95.8049,100
11/15/2001,97.5285,97.5285,97.528,97.5285,100
11/16/2001,96.2602,96.2602,96.260,96.2602,100
11/19/2001,96.7480,96.7480,96.748,96.7480,100
11/20/2001,95.1219,95.1219,95.122,95.1219,100
11/21/2001,95.9350,95.9350,95.935,95.9350,100
11/23/2001,96.6829,96.6829,96.683,96.6829,100
11/26/2001,96.5528,96.5528,96.553,96.5528,100
11/27/2001,95.8049,95.8049,95.805,95.8049,100
11/28/2001,95.3496,95.3496,95.350,95.3496,100
11/29/2001,96.5854,96.5854,96.585,96.5854,100
11/30/2001,96.9106,96.9106,96.911,96.9106,100
12/03/2001,95.5981,95.5981,95.598,95.5981,100
12/04/2001,97.1376,97.1376,97.138,97.1376,100
12/05/2001,97.0841,97.0841,97.084,97.0841,100
12/06/2001,97.5684,97.5684,97.568,97.5684,100
12/07/2001,97.8323,97.8323,97.832,97.8323,100
12/10/2001,96.9128,96.9128,96.913,96.9128,100
12/11/2001,97.5807,97.5807,97.581,97.5807,100
12/12/2001,96.5463,96.5463,96.546,96.5463,100
12/13/2001,95.2966,95.2966,95.297,95.2966,100
12/14/2001,96.3700,96.3700,96.370,96.3700,100
12/17/2001,97.3948,97.3948,97.395,97.3948,100
12/18/2001,97.7691,97.7691,97.769,97.7691,100
12/19/2001,96.9030,96.9030,96.903,96.9030,100
12/20/2001,96.8461,96.8461,96.846,96.8461,100
12/21/2001,97.1804,97.1804,97.180,97.1804,100
12/24/2001,97.9934,97.9934,97.993,97.9934,100
12/26/2001,98.6146,98.6146,98.615,98.6146,100
12/27/2001,98.0633,98.0633,98.063,98.0633,100
12/28/2001,98.9605,98.9605,98.960,98.9605,100
12/31/2001,98.7397,98.7397,98.740,98.7397,100
01/02/2002,99.0149,99.0149,99.015,99.0149,100
01/03/2002,99.7651,99.7651,99.765,99.7651,100
01/04/2002,99.1752,99.1752,99.175,99.1752,100
01/07/2002,98.9590,98.9590,98.959,98.9590,100
01/08/2002,98.5027,98.5027,98.503,98.5027,100
01/09/2002,98.2454,98.2454,98.245,98.2454,100
01/10/2002,97.9462,97.9462,97.946,97.9462,100
01/11/2002,98.0178,98.0178,98.018,98.0178,100
01/14/2002,98.5908,98.5908,98.591,98.5908,100
01/15/2002,98.2465,98.2465,98.246,98.2465,100
01/16/2002,97.5912,97.5912,97.591,97.5912,100
01/17/2002,96.9317,96.9317,96.932,96.9317,100
01/18/2002,96.4499,96.4499,96.450,96.4499,100
01/22/2002,96.7282,96.7282,96.728,96.7282,100
01/23/2002,96.7712,96.7712,96.771,96.7712,100
01/24/2002,95.7944,95.7944,95.794,95.7944,100
01/25/2002,95.5171,95.5171,95.517,95.5171,100
01/28/2002,95.3763,95.3763,95.376,95.3763,100
01/29/2002,94.2459,94.2459,94.246,94.2459,100
01/30/2002,94.6933,94.6933,94.693,94.6933,100
01/31/2002,94.2798,94.2798,94.280,94.2798,100
02/01/2002,94.2863,94.2863,94.286,94.2863,100
02/04/2002,94.6955,94.6955,94.695,94.6955,100
02/05/2002,93.6014,93.6014,93.601,93.6014,100
02/06/2002,92.8448,92.8448,92.845,92.8448,100
02/07/2002,92.5993,92.5993,92.599,92.5993,100
02/08/2002,93.1990,93.1990,93.199,93.1990,100
02/11/2002,93.9901,93.9901,93.990,93.9901,100
02/12/2002,93.1051,93.1051,93.105,93.1051,100
02/13/2002,93.4884,93.4884,93.488,93.4884,100
02/14/2002,93.9780,93.9780,93.978,93.9780,100
02/15/2002,94.8552,94.8552,94.855,94.8552,100
02/19/2002,93.1796,93.1796,93.180,93.1796,100
02/20/2002,94.4110,94.4110,94.411,94.4110,100
02/21/2002,93.4900,93.4900,93.490,93.4900,100
02/22/2002,94.9805,94.9805,94.980,94.9805,100
02/25/2002,95.3921,95.3921,95.392,95.3921,100
02/26/2002,95.0002,95.0002,95.000,95.0002,100
02/27/2002,95.1757,95.1757,95.176,95.1757,100
02/28/2002,94.8361,94.8361,94.836,94.8361,100
03/01/2002,95.6763,95.6763,95.676,95.6763,100
03/04/2002,96.7988,96.7988,96.799,96.7988,100
03/05/2002,98.1477,98.1477,98.148,98.1477,100
03/06/2002,98.6640,98.6640,98.664,98.6640,100
03/07/2002,98.5786,98.5786,98.579,98.5786,100
03/08/2002,98.3900,98.3900,98.390,98.3900,100
03/11/2002,97.6836,97.6836,97.684,97.6836,100
03/12/2002,97.9627,97.9627,97.963,97.9627,100
03/13/2002,97.3780,97.3780,97.378,97.3780,100
03/14/2002,98.6266,98.6266,98.627,98.6266,100
03/15/2002,98.6740,98.6740,98.674,98.6740,100
03/18/2002,98.4950,98.4950,98.495,98.4950,100
03/19/2002,98.7380,98.7380,98.738,98.7380,100
03/20/2002,98.4846,98.4846,98.485,98.4846,100
03/21/2002,99.1094,99.1094,99.109,99.1094,100
03/22/2002,98.9779,98.9779,98.978,98.9779,100
03/25/2002,98.6837,98.6837,98.684,98.6837,100
03/26/2002,99.4207,99.4207,99.421,99.4207,100
03/27/2002,99.6613,99.6613,99.661,99.6613,100
03/28/2002,99.1008,99.1008,99.101,99.1008,100
04/01/2002,99.6412,99.6412,99.641,99.6412,100
04/02/2002,100.1056,100.1056,100.106,100.1056,100
04/03/2002,99.7771,99.7771,99.777,99.7771,100
04/04/2002,100.2637,100.2637,100.264,100.2637,100
04/05/2002,100.9996,100.9996,101.000,100.9996,100
04/08/2002,101.9647,101.9647,101.965,101.9647,100
04/09/2002,102.1561,102.1561,102.156,102.1561,100
04/10/2002,103.2459,103.2459,103.246,103.2459,100
04/11/2002,102.5278,102.5278,102.528,102.5278,100
04/12/2002,103.7613,103.7613,103.761,103.7613,100
04/15/2002,102.6622,102.6622,102.662,102.6622,100
04/16/2002,101.4305,101.4305,101.430,101.4305,100
04/17/2002,100.3269,100.3269,100.327,100.3269,100
04/18/2002,100.5821,100.5821,100.582,100.5821,100
04/19/2002,99.2443,99.2443,99.244,99.2443,100
04/22/2002,97.4055,97.4055,97.405,97.4055,100
04/23/2002,96.5013,96.5013,96.501,96.5013,100
04/24/2002,96.7773,96.7773,96.777,96.7773,100
04/25/2002,96.6055,96.6055,96.606,96.6055,100
04/26/2002,96.3627,96.3627,96.363,96.3627,100
04/29/2002,96.1837,96.1837,96.184,96.1837,100
04/30/2002,96.8795,96.8795,96.879,96.8795,100
05/01/2002,98.1003,98.1003,98.100,98.1003,100
05/02/2002,99.2551,99.2551,99.255,99.2551,100
05/03/2002,98.7680,98.7680,98.768,98.7680,100
05/06/2002,97.8550,97.8550,97.855,97.8550,100
05/07/2002,97.7856,97.7856,97.786,97.7856,100
05/08/2002,97.9343,97.9343,97.934,97.9343,100
05/09/2002,96.7458,96.7458,96.746,96.7458,100
05/10/2002,96.7281,96.7281,96.728,96.7281,100
05/13/2002,97.5818,97.5818,97.582,97.5818,100
05/14/2002,98.9132,98.9132,98.913,98.9132,100
05/15/2002,99.4856,99.4856,99.486,99.4856,100
05/16/2002,99.2563,99.2563,99.256,99.2563,100
05/17/2002,99.6640,99.6640,99.664,99.6640,100
05/20/2002,99.5617,99.5617,99.562,99.5617,100
05/21/2002,98.7865,98.7865,98.786,98.7865,100
05/22/2002,98.6845,98.6845,98.685,98.6845,100
05/23/2002,100.0249,100.0249,100.025,100.0249,100
05/24/2002,100.4308,100.4308,100.431,100.4308,100
05/28/2002,100.9484,100.9484,100.948,100.9484,100
05/29/2002,100.9194,100.9194,100.919,100.9194,100
05/30/2002,100.3791,100.3791,100.379,100.3791,100
05/31/2002,100.4306,100.4306,100.431,100.4306,100
06/03/2002,99.9508,99.9508,99.951,99.9508,100
06/04/2002,100.5193,100.5193,100.519,100.5193,100
06/05/2002,99.7962,99.7962,99.796,99.7962,100
06/06/2002,99.3307,99.3307,99.331,99.3307,100
06/07/2002,98.9088,98.9088,98.909,98.9088,100
06/10/2002,100.0389,100.0389,100.039,100.0389,100
06/11/2002,100.1186,100.1186,100.119,100.1186,100
06/12/2002,100.2366,100.2366,100.237,100.2366,100
06/13/2002,100.5436,100.5436,100.544,100.5436,100
06/14/2002,100.1663,100.1663,100.166,100.1663,100
06/17/2002,101.0407,101.0407,101.041,101.0407,100
06/18/2002,100.0596,100.0596,100.060,100.0596,100
06/19/2002,99.9041,99.9041,99.904,99.9041,100
06/20/2002,100.2824,100.2824,100.282,100.2824,100
06/21/2002,100.3170,100.3170,100.317,100.3170,100
06/24/2002,100.1363,100.1363,100.136,100.1363,100
06/25/2002,100.9744,100.9744,100.974,100.9744,100
06/26/2002,100.2719,100.2719,100.272,100.2719,100
06/27/2002,100.8345,100.8345,100.834,100.8345,100
06/28/2002,102.0011,102.0011,102.001,102.0011,100
07/01/2002,100.4368,100.4368,100.437,100.4368,100
07/02/2002,99.1746,99.1746,99.175,99.1746,100
