Date,Open,High,Low,Close,Volume
09/12/1989,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
09/13/1989,986.8310,986.8310,986.8310,986.8310,0.0000
09/14/1989,976.7309,976.7309,976.7309,976.7309,0.0000
09/15/1989,978.3985,978.3985,978.3985,978.3985,0.0000
09/18/1989,981.1810,981.1810,981.1810,981.1810,0.0000
09/19/1989,982.1047,982.1047,982.1047,982.1047,0.0000
09/20/1989,977.9381,977.9381,977.9381,977.9381,0.0000
09/21/1989,974.9771,974.9771,974.9771,974.9771,0.0000
09/22/1989,976.9496,976.9496,976.9496,976.9496,0.0000
09/25/1989,969.3228,969.3228,969.3228,969.3228,0.0000
09/26/1989,974.6475,974.6475,974.6475,974.6475,0.0000
09/27/1989,977.0057,977.0057,977.0057,977.0057,0.0000
09/28/1989,984.8384,984.8384,984.8384,984.8384,0.0000
09/29/1989,980.9724,980.9724,980.9724,980.9724,0.0000
10/02/1989,988.4021,988.4021,988.4021,988.4021,0.0000
10/03/1989,1000.3929,1000.3929,1000.3929,1000.3929,0.0000
10/04/1989,1004.9105,1004.9105,1004.9105,1004.9105,0.0000
10/05/1989,1003.9739,1003.9739,1003.9739,1003.9739,0.0000
10/06/1989,1007.1982,1007.1982,1007.1982,1007.1982,0.0000
10/09/1989,1011.4828,1011.4828,1011.4828,1011.4828,0.0000
10/10/1989,1009.4945,1009.4945,1009.4945,1009.4945,0.0000
10/11/1989,1002.5768,1002.5768,1002.5768,1002.5768,0.0000
10/12/1989,995.1874,995.1874,995.1874,995.1874,0.0000
10/13/1989,932.9522,932.9522,932.9522,932.9522,0.0000
10/16/1989,957.4140,957.4140,957.4140,957.4140,0.0000
10/17/1989,948.1758,948.1758,948.1758,948.1758,0.0000
10/18/1989,947.8506,947.8506,947.8506,947.8506,0.0000
10/19/1989,965.0755,965.0755,965.0755,965.0755,0.0000
10/20/1989,964.6554,964.6554,964.6554,964.6554,0.0000
10/23/1989,960.6225,960.6225,960.6225,960.6225,0.0000
10/24/1989,959.6355,959.6355,959.6355,959.6355,0.0000
10/25/1989,950.3641,950.3641,950.3641,950.3641,0.0000
10/26/1989,935.7463,935.7463,935.7463,935.7463,0.0000
10/27/1989,926.6259,926.6259,926.6259,926.6259,0.0000
10/30/1989,923.0535,923.0535,923.0535,923.0535,0.0000
10/31/1989,933.7233,933.7233,933.7233,933.7233,0.0000
11/01/1989,936.0455,936.0455,936.0455,936.0455,0.0000
11/02/1989,928.4662,928.4662,928.4662,928.4662,0.0000
11/03/1989,925.5339,925.5339,925.5339,925.5339,0.0000
11/06/1989,910.4240,910.4240,910.4240,910.4240,0.0000
11/07/1989,916.4237,916.4237,916.4237,916.4237,0.0000
11/08/1989,926.6115,926.6115,926.6115,926.6115,0.0000
11/09/1989,921.8967,921.8967,921.8967,921.8967,0.0000
11/10/1989,928.7294,928.7294,928.7294,928.7294,0.0000
11/13/1989,932.6990,932.6990,932.6990,932.6990,0.0000
11/14/1989,925.9195,925.9195,925.9195,925.9195,0.0000
11/15/1989,929.1942,929.1942,929.1942,929.1942,0.0000
11/16/1989,922.9470,922.9470,922.9470,922.9470,0.0000
11/17/1989,925.9699,925.9699,925.9699,925.9699,0.0000
11/20/1989,919.3631,919.3631,919.3631,919.3631,0.0000
11/21/1989,917.0078,917.0078,917.0078,917.0078,0.0000
11/22/1989,918.6293,918.6293,918.6293,918.6293,0.0000
11/24/1989,924.2419,924.2419,924.2419,924.2419,0.0000
11/27/1989,929.6286,929.6286,929.6286,929.6286,0.0000
11/28/1989,928.2115,928.2115,928.2115,928.2115,0.0000
11/29/1989,921.1097,921.1097,921.1097,921.1097,0.0000
11/30/1989,927.2000,927.2000,927.2000,927.2000,0.0000
12/01/1989,937.4469,937.4469,937.4469,937.4469,0.0000
12/04/1989,935.9463,935.9463,935.9463,935.9463,0.0000
12/05/1989,933.0472,933.0472,933.0472,933.0472,0.0000
12/06/1989,930.4574,930.4574,930.4574,930.4574,0.0000
12/07/1989,928.8057,928.8057,928.8057,928.8057,0.0000
12/08/1989,929.8416,929.8416,929.8416,929.8416,0.0000
12/11/1989,926.2519,926.2519,926.2519,926.2519,0.0000
12/12/1989,924.7699,924.7699,924.7699,924.7699,0.0000
12/13/1989,926.3180,926.3180,926.3180,926.3180,0.0000
12/14/1989,919.3832,919.3832,919.3832,919.3832,0.0000
12/15/1989,916.3920,916.3920,916.3920,916.3920,0.0000
12/18/1989,898.2607,898.2607,898.2607,898.2607,0.0000
