Ticker,Description,"Available since","Backfilled to"
$SPX,"S&P 500 Index",01/02/1970,01/02/1970
$SPXTR,"S&P 500 Total Return Index",01/04/1988,01/30/1970
$NDX,"Nasdaq-100 Index",01/31/1985,01/31/1985
$NDXTR,"Nasdaq-100 Total Return Index",03/04/1999,03/04/1999
$DJI,"Dow Jones Industrial Average",01/02/1970,01/02/1970
$DJITR,"Dow Jones Industrial Average Total Return",09/30/1987,01/02/1970
SPY,"SPDR S&P 500 Trust ETF",06/30/1997,01/30/1970
SPYG,"SPDR Portfolio S&P 500 Growth ETF",09/29/2000,09/29/2000
SPYV,"SPDR Portfolio S&P 500 Value ETF",09/29/2000,09/29/2000
MDY,"SPDR S&P MidCap 400 ETF",05/04/1995,07/01/1991
MDYG,"SPDR S&P 400 Mid Cap Growth ETF",11/15/2005,06/08/2004
MDYV,"SPDR S&P 400 Mid Cap Value ETF",11/15/2005,06/08/2004
SLY,"SPDR S&P 600 Small Cap ETF",11/15/2005,12/30/1994
VIOO,"Vanguard S&P Small-Cap 600 Index ETF",09/09/2010,12/30/1994
SLYG,"SPDR S&P 600 Small Cap Growth ETF",09/29/2000,09/29/2000
VIOG,"Vanguard S&P Small-Cap 600 Growth Index ETF",09/09/2010,07/28/2000
SLYV,"SPDR S&P 600 Small Cap Value ETF",09/29/2000,09/29/2000
VIOV,"Vanguard S&P Small Cap 600 Value ETF",09/09/2010,07/28/2000
VTV,"Vanguard Value Index ETF",01/30/2004,01/30/2004
VUG,"Vanguard Growth Index ETF",01/30/2004,01/30/2004
XLB,"Materials Select Sector SPDR ETF",12/22/1998,09/11/1989
XLC,"Communication Services Select Sector SPDR ETF",06/19/2018,09/11/1989
XLE,"Energy Select Sector SPDR ETF",12/22/1998,09/11/1989
XLF,"Financial Select Sector SPDR ETF",01/29/1999,09/11/1989
XLI,"Industrial Select Sector SPDR ETF",12/22/1998,09/11/1989
XLK,"Technology Select Sector SPDR ETF",12/22/1998,09/11/1989
XLP,"Consumer Staples Select Sector SPDR ETF",12/22/1998,09/11/1989
XLRE,"Real Estate Select Sector SPDR ETF",10/08/2015,10/09/2001
XLU,"Utilities Select Sector SPDR ETF",12/22/1998,09/11/1989
XLV,"Health Care Select Sector SPDR ETF",12/22/1998,09/11/1989
XLY,"Consumer Discretionary Select Sector SPDR ETF",12/22/1998,09/11/1989
QQQ,"Invesco QQQ Trust Series 1 ETF",03/10/1999,03/10/1999
DIA,"SPDR Dow Jones Industrial Average Trust ETF",01/20/1998,01/01/1990
IWM,"iShares Russell 2000 ETF",05/26/2000,01/01/1990
VONE,"Vanguard Russell 1000 Index ETF",09/22/2010,01/01/1990
VEA,"Vanguard Tax Managed FTSE Developed Markets ETF",07/26/2007,08/17/2001
ACWX,"iShares MSCI ACWI ex US ETF",03/31/2008,01/01/1980
VEU,"Vanguard FTSE All World ex US ETF",03/08/2007,01/01/1980
